GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 1 (APRIL-JUNE 2019) REPORT- EXPANSIONS,,,,,,,,,,
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
33,"Financial Intelligence
Centre","Placement of compliance related
advertisements, editorials and articles
publications & websites",Various service providers,Financial implication variation,"1,009,026.00","909,713.42",0.00,Not supported,Not stated,Not stated
34,Health,"Provision of Oncology Services for the
Ethekwini District in KwaZulu Natal",Wits Health Consortium,"Avoid service delivery disruption and
to advertise the tender","12,173,341.01","22,178,814.00","14,508,054.59",Conditional support,2019/05/01,2019/10/31
35,"Housing Development
Agency","Assessment and Planning of Promised
land Informal Settlement in Ga-
Segonyana Local Municipality in the
Northern Cape",Maxim Planning Solutions,Continuity of service,"2,667,156.64","2,646,900.40",0.00,Conditional support,Not stated,Not stated
36,"Human Sciences Research
Council",Printing services,Libone Litho,Continuity of service,"8 57,105.00","315,580.00",0.00,Supported,Not stated,Not stated
37,IEC,Election website hosting requirements,Telkom,Continuity of service,"200,000,000.00","11,740,935.00",0.00,Supported,2019/03/01,2024/02/28
38,"Independent Development
Trust","Provision of office accommodation in
Eastern Cape",Pearlstone Investment,Continuity of service,"4,795,653.26","5,539,564.26",0.00,Supported,2019/05/1,2021/04/30
39,"Independent Development
Trust","Provision of office accomodation in the
Eastern Cape",PHG Group,Continuity of service,"9,357,264.00","6,019,487.01",0.00,Supported,2019/08/1,2021/07/31
40,"Independent Development
Trust","Provision of office accommodation in
North West",Kakapa Skills Development Institute,Continuity of service,"4,392,573.96","6,357,665.66",0.00,Supported,2019/07/01,2022/06/30
41,Insurance SETA,"Printing and binding of sixty five (65)
copies of strategic plan",Jetline Greenside,"Urgent request from Parliament
Standing Portfolio Committee","400,000.00","126,546.00","60,000.00",Not supported,Not Stated,Not Stated
42,Mineral Resources,Provision of lease accommodation,Public Investment Corporate (PIC),"DPW to finalise the procurement
method","230,607,180.00","47,500,000.00","167,079,014.28",Supported,2019/04/01,2019/03/2020
43,"National Energy Regulator
of South Africa","Supply, install and maintain multifunction
printers",Motswako Solutions,"Estimated timelines to apply for
participation and contract on RT3
transversal contract will exceed the","7,829,662.88","986,616.00",0.00,Not supported,2019/05/01,2019/10/31
44,"National Regulator for
Compulsory Specifications",Payroll services,South African Bureau of Standards (SABS),Continuity of service,"1,952, 040.00","75, 600.00",0.00,Supported,Not stated,Not stated
45,"National School of
Governance","Delivery of Executive Development
Programme",North West University,Continuity of service,"76,496.28","1,193,341.97",0.00,Supported,2019/07/01,2020/03/31
46,"National Youth
Development Agency","Extension of a lease contract for NYDA
offices in Kimberley",Green Willows Properties 32 (Pty) Ltd,Continuity of service,"61,151.77","55,745.19",0.00,Supported,2019/04/01,2024/03/31
47,NCR,Legal services,Gildenhuys Malatji Attorneys,Continuity of service,"400,000.00","500,000.00","60,000.00",Conditional support,Not stated,Not stated
48,NLC,Physical security services,Katshe Security and Construction services,Additonal security personnel,"364,720.02","364,708.00",0.00,Conditional support,Not stated,Not stated
49,NRCS,Software licence,SABS,Increase in license fees,"1,952,040.00","75,500.00",0.00,Supported,Not stated,Not stated
,NRCS,Payroll services,Ergonomix (Pty) Ltd,To close 2018/19 tax year,Not stated,"116,000.00","23,776,250.00",Conditional support,2019/05/01,2019/08/31
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
51,PetroSA,"Maintain, manage and file PetroSA’s and
the GTL.F1’s patents",Spoor & Fisher,Continuity of service,"200,000.00","3,200,000.00","4,310,000.00",Not supported,2019/04/01,2021/03/31
52,PetroSA,"maintain, manage and file PetroSA’s and
the GTL.F1’s intellectual property
services",Hahn & Hahn,Continuity of service,"2,500,000.00","4,000,000.00","9,120,000.00",Not supported,2019/04/01,2022/03/31
53,PetroSA,"Provision for scaffolding services for the
GTL Refinery in Mossel Bay.",Siyakhona Scaffolding (Pty) Ltd,Continuity of service,"91,392,959.80","12,200,000.00","38,182,042.50",Supported,2019/05/01,2019/06/30
54,"Private Security Industry
Regulatory Authority",Procurement of cleaning services,Bamudzu General Trading,Bidding process in progress,"27,120.00","27,120.00",0.00,Not supported,2018/08/01,2019/01/31
55,PSETA,"Expansion against the original lease
agreement.",Gemgrow,Continuity of service,"6,283,389.60","3,600,456.00","9,035,096.76",Supported,2019/07/01,2020/06/30
56,Public Works,"Replacement of temporary prison in
Tzaneen correctional services",Musana Trading Enterprise,Continuity of service,"37,445,591.95","2,461,938.27","24,183,445.01",Conditional support,Not Stated,Not Stated
57,Public Works,"Wynberg 2 Millitary hospital-
refurbishment",Superway Construction,Continuity of service,"597,500,000.00","1,611,783.62","70,048,225.50",Not supported,Not Stated,Not Stated
58,Public Works,"Wynberg 2 Millitary hospital-
refurbishment",Superway Construction,Continuity of service,"597,500,000.00","35,685.50","70,012,540.00",Not supported,Not Stated,Not Stated
59,Public Works,"Replacement of temporary prison in
Tzaneen correctional services",Musana Trading Enterprise,Continuity of service,"37,445,591.95","2,994,616.07","26,645,383.28",Not supported,Not Stated,Not Stated
60,RAF,Fleet management,Fleet Data Technologies,Continuity of service,"58,371,916.00","34,100,000.00",0.00,Conditional support,Not stated,Not stated
61,RAF,Document storage,Metrofile (Pty) Ltd,Continuity of service,"8,430,000.00","2,725,786.81","2,224,385.86",Conditional support,Not stated,Not stated
62,Robben Island Museum,Procurement of short term insurance,Aon (Pty) Ltd,Additional assets to be covered,"660,329.00","133,001.00",0.00,Supported,Not Stated,Not Stated
63,Robben Island Museum,Procurement of short term insurance,Marsh (Pty) Ltd,Additional assets to be covered,"733,111.00","588,074.00",0.00,Supported,Not Stated,Not Stated
64,SANAS,Cleaning and Hygiene services,Quatro cleaning services,To finalise tender process,"272,916.80",Not stated,0.00,Conditional support,2019/06/01,2019/09/30
65,SARS,Variation of contract for Ladybrand DDU,Die Bosch Family Trust,Continuity of service,"3,357,709.97","6,290,300.75",0.00,Supported,2019/04/01,2028/03/31
66,SARS,"Renewal of the maintenance support of
licences and professional services of
ECM",OpenText,Continuity of service,"10,472,631.65","6,975,334.80",0.00,Supported,2019/06/27,2019/12/31
67,SASSA,"Office accommodation for Reiger Park
service office",Anthony’s Education Centre,Continuity of service,"290,767.92","387,031.68",0.00,Conditional support,2019/05/01,2022/04/30
68,SASSA,"Office accommodation for Soweto local
office","Redefine, Retail (Pty) Ltd",Continuity of service,"8,131,548.12","10, 058, 503.53","8, 009 ,591.08",Conditional support,2019/06/01,2022/05/31
69,SASSA,Office accommodation KZN -Lamontville,eThekwini Municipality,Continuity of service,"41,040.00","59,689.14","110,172.80",Conditional support,2019/04/01,2020/03/31
70,Sedibeng Water,"Project management function for Phase 2
of the Vaal Gamagara Water Supply
Scheme for a period up to 2026",Ingerop South Africa,"Continuity and maintenance of
expertise of the current Project
Management Unit.","121,159,580.19",No Stated,0.00,Not supported,Not stated,Not stated
71,Sentech,IS902 C-Band Satellite Capacity,Telkom SA,Continuity of service,"80,467,253.28","42,136,200.00",0.00,Supported,2019/06/01,2020/12/31
72,SITA,"Renewal of switching centre contract in
Bedfordview",Growthpoint SYC,Continuity of service,"1,641,768.90","2,086,617.98",0.00,Supported,2019/07/01,2024/06/30
73,SITA,"Replenishment of diesel for SAPS
Switching centres, Nodal Point Sites and
High Sites",Malpro Trading,Continuity of service,"851,000.00","3,572,985.60",0.00,Not supported,2019/06/01,2019/10/07
74,SITA,"Renewal of operating lease agreement for
SITA Nelspruit Switching Centre",Klipkoppie Ontwikkelings (EDMS) BPK,Continuity of service,"627,130.64","2,089,975.26","3,359,295.50",Supported,2019/08/01,2024/07/31
,SITA,Library Information Management Systems,CIPAL IT Solutions,Continuity of service,"29,093,712.00","25,500,000.00","59,441,776.00",Supported,2019/07/01,2021/06/30
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
76,"Small Enterprise
Development Agency
(SEDA)","Provision of office accommodation in
Tshwane Branch",Columbia Falls Properties,Continuity of service,"3,129,532.00","210,000.00","2,039,597.44",Supported,2019/06/01,2019/07/31
77,"Small Enterprise
Development Agency
(SEDA)","Provision of office accommodation in
Johannesburg Branch",Sanlam Life Insurance,Continuity of service,"4,670,095.00","307,680.00","2,039,597.44",Supported,2019/06/01,2019/07/31
78,"Small Enterprise Finance
Agency (SEFA)",Internet Connection,XDSL Networking Solutions (Pty) Ltd,Continuity of service,"137,073.60","11,379.25","11,379.25",Supported,2019/05/1,2019/05/31
79,"Small Enterprise Finance
Agency (SEFA)",Internet Connection,XDSL Networking Solutions (Pty) Ltd,Continuity of service,"137,073.60","22,758.50","22,758.50",Supported,2019/06/1,2019/07/31
80,"South African Airways
Limited","Supply and Delivery of Jet A-1 Fuel For
Domestic and International Locations","BP, Engen, EML, Sasol, Total, Astron, Shell, Puma,
Air BP, World Fuel Services, OMV, Deutschland
GmbH",Continuity of service,0.00,"4,000,000.00",0.00,Conditional support,Not stated,6 months
81,"South African Broadcasting
Corporation Ltd",Collection of arrear TV licence fees,Debt collection Agencies,"Bid is in the evaluation and
adjudication stages","138,687,393.55","40,300,000.00","8,104,115.32",Not supported,2019/04/01,2019/09/30
82,"South African Broadcasting
Corporation Ltd",Provision of host to host banking services,Trustlink (Pty) Ltd,"Additional resources required for a
new system","1,591,100.00","803,148.00",0.00,Supported,2019/04/01,2019/03/30
83,"South African Broadcasting
Corporation Ltd","Maintenance of the Auckland Park lifts
and escalators",Schindler Lifts,Single Source,"5,940,610.00","6,173,244.00",0.00,Supported,2019/10/01,2019/09/2021
84,"South African Health
Products Regulatory
Authority","Laboratory services for testing of
biological medicines and vaccines",National Control Laboratory,Sole Sipplier,"53,510,655.00","11,965,601.95","8,026,598.25",Not supported,2019/06/01,2019/12/31
85,"South African Health
Products Regulatory
Authority","Part time consultant to assist with
Corporate function establishment and
coordination",Dr. Nicholas Crisp,Continuity of service,"1,674,837.00","1,674,837.00",0.00,Conditional support,2019/05/01,2019/07/30
86,"South African Local
Government Association","Design and Construction of Water
Infrastructure at Enyathi and Bhokwe
Villages in Abaqulusi Local Municipality
Kwazulu Natal Province",Ziyanda Consulting (Pty) Ltd,Continuity of service,"1,349,750.00","1,023,136.20","202,000.00",Conditional support,Not stated,Not stated
87,"South African Local
Government Association",SALGA Free Lease Agreement Renewal,Anthill Real Estate,Continuity of service,"13,220,501.66","9,403,124.13","5,462,573.64",Conditional support,Not stated,Not stated
88,"South African National
Biodiversity Institute",ICT support services,EOH Mthombo (Pty) Ltd,To finalise the bidding process,"18,307,123.20","1,001,666.60","2,640,145.84",Supported,2019/05/1,2019/06/30
89,"South African National
Biodiversity Institute","Rendering of employee welness
programme",ICASA,Continuity of service,"849,579.00","53,934.54","141,588.00",Conditional support,2019/06/1,2019/07/31
90,"South African National
Biodiversity Institute","To return the freight of goods from
London to South Africa",Pioneer Freight Durban,Continuity of service,"273,787.31","84,388.90",0.00,Supported,Not Stated,Not Stated
91,"South African National
Biodiversity Institute",ICT support services,EOH Mthombo (Pty) Ltd,Continuity of service,"18,307,123.20","3,004,999.80","3,641,812.44",Supported,2019/07/01,2019/12/31
92,"South African National
Parks",Procurement of Microsoft Tru-up licenses,Microsoft,Sole supplier procurement method,"18,499,630.00","4,623,018.80",0.00,Supported,Not Stated,Not Stated
93,"South African National
Roads Agency","Replacing clutch kit, battery and gearbox",HJ Bosch and sons panel beater,Replacement discovered during repair,"6,833.00","15,833.00",0.00,Supported,Not stated,Not stated
94,"South African Police
Service","Supply and deliver of automotive spare
parts",All Parts,Bid was non responsive,"634,180,405.68","67,042,333.00","241,733,255.55",Conditional support,2019/07/01,2019/09/30
95,"South African Police
Service","Supply and deliver of automotive spare
parts",DAR Automotive,Bid was non responsive,"248,730,663.04","28,982,728.00","126,996,944.24",Conditional support,2019/07/01,2019/09/30
96,South African Post Office,Procurement of additional guards,Reshebile Security Services,"Additional requirements due to
increase in mail volumes","9,691,380.00","1,683,483.15",0.00,Supported,2019/07/01,2020/06/30
97,South African Post Office,"Procurement of 508 vehicles to transport
personnel to SASSA cashpoints",Fleet Africa,Bid is in contracting stage,"32,662,087.50","4,500,000.00","4,899,313.00",Not supported,2019/06/04,2019/09/03
,South African Post Office,"Guarding services at SASSA cash pay
points",Fidelity Security Services,Non award of the bid,"186,000,000.00","153,000,000.00",,Not supported,2019/04/20,2019/10/31
Number,"Entity/Department
(Use
dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,"Value of Contract
Extension","Value of previous
extensions","not supported/not
supported/Conditio
nal supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
99,South African Post Office,"Procurement of EMVlicense,
implementation, support and
maintenance",ACI,A more secure and compliant system,"15,044,818.00","5,687,023.00",0.00,Not supported,Not Stated,Not Stated
100,South African Tourism,"Provision for the rental and use of
photocopier machines",Ivyline MPS (Pty) Ltd,Continuity of service,"477,133.68","194,923.68","6 4,974.56",Supported,2019/05/1,2019/07/31
101,Statistics SA,Printing services of QLFS and SAYP,Ren-Form CC,Continuity of service,"2,023,310.00","576,168.50",0.00,Supported,2019/06/01,2019/09/31
102,Tourism,"Hosting the stakeholder outreach
workshop for tour operations",Cape Town Lodge,Increase in the number of delegates,"33,950.00","15,540.00",0.00,Supported,2019/03/29,2019/03/29
103,Tourism,"Publication of the Tourism amendment
Bill",Government Printing Works,"The number of pages increased from
the original","60,526.40","54,473.60",0.00,Supported,Not Stated,Not Stated
104,Tourism,Procurement of catering services,Ma's Leka foods,Increase in the number of delegates,"17,325.00","4,030.00",0.00,Supported,2019/06/05,2019/06/05
105,"Trans-Caledon Tunnel
Authority",Legal services,Tshisevhe Gwina Ratshimbilani Attorneys,Board requiring additional information,"161,000.00","200,000.00","100,000.00",Not supported,Once-Off,Once-Off
106,"Trans-Caledon Tunnel
Authority","Provision of additional 560 support hours
for Caseware software",Adapt IT,Sole Distributor,"963,349.50","711,818.00",0.00,Conditional support,2019/04/01,2022/03/31
107,Transnet,Security Services,Umkhombe Security Services,Competitive bid in progress,"5,151,425.00","6,019,669.00","2,575,712.00",Conditional support,Not stated,Not stated
108,Transnet Limited,"Provision of Engineering Services for the
detailed design and construction
management for the fire system upgrade
at Alrode, Witbank, Kroonstad and
Howick Depots/Pumpstations",Sivest SA (Pty) Ltd,Continuity of service,"33,000,000.00",0.00,0.00,Conditional support,2019/07/06,2020/09/30
109,Transnet Limited,"Provision of Cargo Handling Services for
Transnet SOC LTD, Operating at
Transnet Port Terminals at the Port of
Richards Bay for a period of five months",Crossmoor Transport (Pty) Ltd,Continuity of service,"178,191,059.05","52,073,521.00","84,039,648.45",Conditional support,2019/06/01,2019/10/31
110,Umgeni Water,SAP ERP Implementation Project,Raminet Technologies (Pty) Ltd,"Mediation Report dated 28 November
2018","58,862,638.32","123,244,516.69",0.00,Not supported,Once-Off,Once-Off
111,USAASA,"Provision of support and maintenance an
ERP system",Sikwe,Continuity of service,"496,800.00","621,000.00","931,500.00",Supported,2019/05/01,2019/06/01
112,USAASA,"Provision of office accommodation in
Cape Town",South African Post Office,Continuity of service,"54,608.58","28,941.72",0.00,Supported,Date of approval,2020/03/31
113,Wholesale and Retail SETA,"Provision of information technology
services",Solugrowth,"Procurement process must be
initiated again","19,290,000.00","1,830,000.00","31,290,732.13",Conditional support,Not Stated,Not Stated
114,Wholesale and Retail SETA,Maintenance of rental printer equipment,Konica Minolta,Continuity of service,"5,187,238.32","1,800,000.00",0.00,Supported,2019/08/01,2020/03/31
