3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
11,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Maintenance on Dust Handling Plant, Precipitators for
Maintenance and Outages at Matimba Power Station",BKM Tshimollo Holdings (Pty) Ltd,Expansion,"R2 037 294,00","R8 387 067,69","R22 550 033,25",2024/05/31,2022/03/01,2024/07/31,Reported,
12,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of hydraulic maintenance services for a period of 5
years at Kusile Power Station",Hyses (Pty) Ltd,Expansion,"R40 068 449,50","R35 084 820,00","R0,00",2024/05/16,2023/02/20,2028/02/21,Reported,
13,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The provision of Non-Industrial Cleaning-Offices, Kitchen and
Ablution Areas at Duvha Power Station for a period of 3 (three)
years","Thembalamantungwa Trading (Pty)
Ltd",Expansion,"R2 744 220,85","R47 460 880,00","R29 320 256,05",2024/05/31,2019/01/03,2024/08/02,Reported,
14,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of Soot Blower for normal Maintenance and outage for
a period of 3 years at Kusile Power Station",Katale Trading & Projects CC,Expansion,"R34 718 598,19","R48 130 699,74","R0,00",2024/05/31,2021/04/15,2025/04/14,Reported,
15,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The provision of a secretary to support the Finance and Support
services department for a period of 12months at Camden Power
Station.",Harambee General Services (Pty) Ltd,Expansion,"R188 588,88","R201 561,60","R187 152,40",2024/05/31,2022/06/01,2025/05/31,Reported,
16,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The compressors maintenance and service and the provision of
spares on an “as- and- when” required basis",CompAir SA (Pty) Ltd,Expansion,"R50 879 970,26","R55 693 304,79","R16 042 420,26",2024/06/05,2021/06/11,2025/06/10,Reported,
17,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of Horticulture, Alien Plants Control at Grootvlei Power
Station, Vaal Dam, Pantfontein Farms (Repurposing)",Africa Thumamina,Expansion,"R20 661 857,79","R28 139 177,59","R0,00",2024/05/10,2023/06/01,2028/05/31,Reported,
18,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The refurbishment and repair of LV motors at Kusile Power
Station for a period of Three 3 Years.",Winding Technologies,Expansion,"R5 175 000,00","R9 289 121,21","R0,00",2024/04/29,2022/02/15,2025/02/14,Reported,
19,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision for manufacture and refurbishment of slurry plant BBA
handling system and air slides at Matla Power station for a
period of 12 months",Mbali Industrial Solutions,Expansion,"R10 898 313,43","R21 113 163,01","R0,00",2024/05/24,2021/02/24,2025/05/23,Reported,
20,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of hygiene services at Komati Power
Station for a period of 1 year",Bidvest Steiner (Pty) Ltd,Expansion,"R135 136,50","R470 000,00","R198 850,00",2024/06/06,2023/01/11,2024/09/10,Reported,
21,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Supply and delivery of cleaning material for a five (5) year
period for stock replenishment",Baetshephi Civil and Construction CC,Expansion,"R3 620 200,00","R7 771 203,50","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
22,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Supply and delivery of cleaning material for a five (5) year
period for stock replenishment","Divine Roots (Pty) t/a Tshehlana Cleaning
Services",Expansion,"R3 112 654,22","R1 649 709,16","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
23,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The provision of Fire and medical services for a period of 36
\months at Camden Power Station",Mpumacare Emergency medical service,Variation,"R8 061 362,00","R19 222 395,00","R0,00",2024/06/04,2023/08/14,2026/08/13,Reported,
24,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of Condenser Chemical Cleaning For Unit 5 and Unit
6 at Majuba Power Station",Gra-Tech Pty (Ltd),Variation,"R2 293 974,00","R9 741 494,29","R0,00",2024/06/04,2022/09/16,2025/09/15,Reported,
25,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The Manufacture, Supply and Delivery of Rod Control Cluster
Assemblies (RCCAs) for Koeberg",Framatome,Expansion,"R110 847,99","R39 971 412,79","R486 200,00",2024/06/13,2022/01/04,2024/12/31,Reported,
26,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The Supply, delivery and Offloading of Lighting Materials and
associated consumables at the various power stations in the
ERI Construction Services business unit, on a “as and when
required basis for a period of 1 year”","Imperial & Lighting (PTY) LTD – Reg. No:
2020/169915/07",Expansion,"R4 414 447,50","R46 615 609,00","R0,00",2024/04/29,2023/05/01,2024/04/30,Reported,
27,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Security Services,"Best Enough Trading Projects 147 CC Reg No
2010/056880/23",Expansion,"R9 392 655,49","R16 480 795,32","R0,00",2024/04/12,2021/11/22,2025/01/02,Reported,
28,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The refurbishment, installation of cables, racks power control,
protection, testing and commission at various sites",Fullserve (PTY) Ltd,Expansion,"R21 192 705,21","R109 800 015,75","R0,00",2024/04/03,2021/04/08,2024/12/08,Reported,
29,Q2 2024/25,2024/06/28,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Ngome Plantation for a
period of one (1) Month.","Fezela Protection Services (Pty)
Ltd",Business continuity,"R154 163,19","R462 489,57","R0,00",2024/06/14,2024/06/16,2024/07/16,Reported,
30,Q2 2024/25,2024/06/28,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Brookland for a
period of one (1) Month.",EBL Tactical Security Services,Business continuity,"R84 448,33","R253 344,99","R0,00",2024/06/07,2024/06/08,2024/07/08,Reported,
31,Q2 2024/25,2024/06/28,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Variation in relation to a provision of security
services at Roburniafor a
period of one (1) Month.",EBL Tactical Security Services,Business continuity,"R171 948,00","R338 146,00","R0,00",2024/06/13,2024/06/15,2024/07/15,Reported,
32,Q2 2024/25,2024/06/27,"National Home Builders Registration Council
(NHBRC)","Extension of four (4) months with Isibaya Office Park for NHBRC
NewCastle Office",NewCastle Office Park,Tender advertised and administratively non-responsive,"R154 383,76","R1 077 692,44",R0.00,2024/06/27,2024/07/01,2024/10/31,Reported,
33,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"The manufacture, testing at works, training and supply of pole
mounted Auto Re-closers",RWW Engineering (Pty) Ltd Expansion,,"R82 512 980,71","R297 378 527,58","R3 704 967,80",2024/04/18,2019/01/02,2026/01/31,Reported,
34,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Modification for the increase on time and value for the security
services contract within Gauteng Cluster","Modise Protection Services
Kya Guards (Pty) Ltd.
Grace and Guardian (Pty) Ltd.
Marebole Security Solutions
Hwibidu Group (Pty) Ltd.
Prime African Security
Fidelity Security Services
Imvusa Trading 931 cc
Mjayeli Security Services
Bidvest Protea Coin
Rhinoforce Protection Services
Linda Intergrated Security
Imvusa Trading 931 cc",Expansion,"R138 028 753,94","R344 669 673,61","R14 174 088,16",2024/01/06,2021/01/06,2024/05/31,Reported,
35,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Modification of Debt Collection Services,,,"R1 301 442,09","R7 618 080,00","R450 000,00",2024/05/01,2022/08/08,2026/03/31,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
36,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Modification of converting annual financial statements to
extensible business reporting language
(XBRL)",Ernst & Young Advisory Services Pty Ltd,Expansion,"R425 382,70","R427 218,29","R0,00",2024/05/22,2021/06/01,2026/05/31,Reported,
37,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Provision for Physical Security Guarding Services which include
monitoring, escorting and armed response in the Northwest
Section for a period of three (3) years",Bamogale Security Solutions,Expansion,"R4 582 195,20","R5 269 524,48","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
38,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Provision for Physical Security Guarding Services which include
monitoring, escorting and armed response in the Northwest
Section for a period of three (3) years",Modise Protection Services,Expansion,"R4 484 995,20","R5 157 744,48","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
39,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Modification for the provision of refurbishment and construction
of Substation Projects or parts thereof required for Limpopo and
Mpumalanga Provinces within Limlanga Cluster Unit on an “as
and when” required basis","Afro Electrical High
Voltage Technology SA (Pty) Ltd CEE-HOO
Management cc t/a Mood Electrical
Mpande Business Enterprise",E x p ansion,"R117 751 474,00","R135 414 195,10","R153 873 433,94",2024/05/31,2017/04/01,2025/05/31,Reported,
40,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Unit 5 Earth Box Switch Box Refurbishment for the High
Frequency Power Supply at Kendal Power Station","Rethusent Live Line & Services (Pty) Ltd Secrete
TE Filters",Expansion,"R110 960,00","R127 604,00","R615 801,28",2024/06/18,2023/11/01,2024/09/30,Reported,
41,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Provision of Facilities Management Services at Eskom
Research and Innovation Centre building",Kgoshi Electrical cc,Expansion,"R6 226 590,00","R7 160 578,50","R7 269 830,00",2024/05/27,2021/04/01,2024/03/31,Reported,
42,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Design, manufacture, installation, testing, commissioning of
High Frequency Power Supply (HFPS) at Kriel Power Station
for Units 1 to 6",Lesedi Castlet Consortium,Expansion,"R3 480 031,85","R4 002 036,63","R0,00",2024/06/05,2021/12/03,2024/08/31,Reported,
43,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Modification No. 2 for the installation of HFPT for Unit 1 to 6 at
Lethabo Power Station",Alstom/General Electric Power Services (Pty) Ltd,Expansion,"R6 998 999,93","R8 048 849,92","R70 209 758,80",2024./5/27,2019/12/31,2025/01/19,Reported,
44,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Provision of PJFF inspection, repairs and bag replacement
during the outage at Kusile Power Station on an as and when
required basis",TT Thermal Suppliers (Pty) Ltd,Expansion,"R34 269 246,73","R39 409 633,74","R0,00",2024/06/13,2021/12/01,2024/11/30,Reported,
45,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Provision of Boiler internal high pressure washing and general
Cleaning during Outage at Kusile Power Station",Vhakoni Industrial Solutions,Expansion,"R8 847 665,00","R10 174 814,75","R11 008 321,24",2024/06/13,2021/06/15,2025/05/16,Reported,
46,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"The supply, delivery and offloading of petrol and diesel to
various Power Stations",PetroSA (SOC) Ltd,Expansion,"R225 976 611,47","R259 873 103,19","R1 884 972 556,65",2024/06/18,2019/10/01,2024/09/30,Reported,
47,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"First PO - Strip and Quote. Modification PO - Machine
damaged components & repair Camden unit 4 turbine &
generator main oil pump & gearbox.",Siemens Energy (Pty) Ltd,Expansion,"R9 367 709,78","R10 772 866,25","R0,00",2024/06/07,2024/03/26,2024/09/30,Reported,
48,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"The supply and delivery of processed and fresh vegetables,
fresh fruit and salads on an as when required basis to Kriel
Power Station",Letsepe Foods (Pty) Ltd,Expansion,"R1 012 409,39","R1 164 270,80","R0,00",2024/06/04,2021/12/01,2024/11/30,Reported,
49,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,The provision of coal plant cleaning and lashing,Mdito Business Enterprise CC,Expansion,"R3 750 000,00","R4 312 500,00","R1 906 250,06",2024/06/25,2021/03/10,2024/09/30,Reported,
50,Q2 2024/25,2024/07/10,South African Social Security Agency (SASSA),"Support and Maintenance for the opentext content lifecycle
management suite 16(Livelink)",Faranani,"The extension is subject to one month's termination notice in
the event that the procurement process and handover to a new
service provider is concluded earlier","R13 839 884,95","R109 222 007,00","R8 303 930,67",2024/06/28,2024/07/01,2024/11/30,Reported,
51,Q2 2024/25,2024/07/10,South African Social Security Agency (SASSA),Co-sourcing of beneficiary records management services,The Document Warehouse (Pty) Ltd,"In order to allow for the imlplimentation of the final court
outcome and finalization of the process of review of the Terms
of Reference","R76 829 248,12","R480 182 800,80","R78 829 248,12",2024/06/20,2024/07/01,2024/12/31,Reported,
52,Q2 2024/25,2024/07/02,National Prosecuting Authority of South Africa (NPA),Provision of facilities management services at DPP Cape Town,SJR Security Services & Transportation CC,"To complete a bid process for the appointment of a new
service provider","R1 124 507,08","R7 656 677,12","R0,00",2024/06/27,2024/07/01,2024/11/30,Reported,
53,Q2 2024/25,2024/07/18,South African Local Government Association (SALGA),Variation Order for fit out costs for WC office space,Turnkey Cape Pty Ltd,Additional service of sandblasting of windows,"R9 904,95","R966 127,77","R0,00",2024/06/25,Once off,Once off,Reported,
54,Q2 2024/25,2024/07/15,Property Practitioners Regulatory Authority,"Appointment of a service provider for the provision of SAP
Licenses",Simcura,There was a change in scope of work for licences,"R286 966,80",R875 935.05,R0.00,2024/05/18,Once off,Once off,Reported,
55,Q2 2024/25,2024/07/15,Property Practitioners Regulatory Authority,"Appointment of a service provider for the provision of forensic
Investigation",Kettle Consultants,"The added assignment represented continuation of the
previous work carried out by the firm for forensic
investigation","R73 830,00","R928 990,00","R1 184 572,68",2024/05/18,Once off,Once off,Reported,
56,Q2 2024/25,2024/07/22,Public Protector South Africa,Mobile contract,Telkom SA,Additional cell phone contracts,"R638 592,00","R5 969 628,00","R0,00",2024/07/22,Once off,Once off,Reported,
57,Q2 2024/25,2024/07/22,Public Protector South Africa,Security Services,Prime Security,Security services requirements,"R284 305,20","R198 529,48","R0,00",2024/07/22,Once off,Once off,Reported,
58,Q2 2024/25,2024/07/26,National Prosecuting Authority of South Africa (NPA),"Renewal of TREND® licences for Malware, Virus and Advanced
Persistent Cyber Threats (APT)",Fullstream Business Services (Pty) Ltd,Request is for 2nd year for Trend® licence,"R10 982 286,70","R71 968 594,77","R14 404 121,25",2024/07/11,2024/07/12,2025/07/11,Reported,
59,Q2 2024/25,2024/07/26,National Prosecuting Authority of South Africa (NPA),Rollout of laptops,Fullstream Business Services (Pty) Ltd,"Deployment and configuaration not included in
procurement of laptops.","R5 606 424,00","R71 968 594,77","R14 404 121,25",2024/11/07,2024/07/12,2025/07/11,Reported,
60,Q2 2024/25,2024/07/25,Property Practitioners Regulatory Authority,"Appointment of a service provider for vehicle service and
maintenance",Thato Truck Clinic,"During assessment of the vehicles during servicing It
was noted that some defect which are safety
requirements were not quoted which are required to be
serviced as a result the expansion was necessary.","R8 074,44","R35 803,33","R0,00",22/07/2024,Once off,Once off,Reported,
61,Q2 2024/25,2024/07/25,"South African Forestry Company SOC Limited
(SAFCOL)",Tenant Installation Allowance variaition for the new KZN office,Regal Property Trust,"Tenant Installation Allowance variaition for the new KZN
office","R17 073 553,07","R1 810 739,11","R0,00",15/07/2024,Once off,Once off,Reported,
62,Q2 2024/25,2024/07/14,National Housing Finance Corporation SOC Ltd (NHFC),"Migration of CTCHC ACCPAC fincance system to NHFC SAGE
Evolution",Brilliant Link,Extension of contract,"R124 200,00","R322 920,00","R484 380,00",16/04/2024,2024/04/25,2024/04/30,Reported,
63,Q2 2024/25,2024/07/14,National Housing Finance Corporation SOC Ltd (NHFC),"Provide a technical opinion on the approved existing impairment
policy for financial instruments to ensure compliance with GRAP
1",KPMG,Variation of contract,"R69 000,00","R662 386,00","R0,00",15/05/2024,2024/04/22,2024/05/21,Reported,
64,Q2 2024/25,2024/08/01,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Provision of financial accounting services,MMB Consulting Incorporation,"Armscor is in the process of finalising the AFS for
inclusion in the Annual Report for March 2024. a number
of improvements have been identified from the 2023/24
audit. The service provider confirmed that the same","R342 000,00","R650 000,00","R0,00",2024/04/19,2024/04/22,2024/09/30,Reported,
65,Q2 2024/25,2024/07/24,"South African Forestry Company SOC Limited
(SAFCOL)",Continuity of a legal matter,Lawtons Africa Attorneys Inc,Expansion of contract,"R2 000 000,00","R500 000,00","R0,00",2024/07/23,Once off,Once off,Reported,
66,Q2 2024/25,2024/08/02,"National Regulator for Compulsory Specifications
(NRCS)",Lease agreement,PE Hotels (Pty) Ltd,Cancelled,"R4 555 554,96","R10 292 666,63","R14 848 221,59",2019/11/18,2024/08/01,2026/07/31,Reported,
67,Q2 2024/25,2024/08/08,National Lotteries Commission (NLC),Minute Taking,Cosec Asssit,Variarion due to outstanding matters,Not stated,Not stated,"R0,00",Not stated,Not stated,Not stated,Reported,
68,Q2 2024/25,2024/08/08,National Lotteries Commission (NLC),Provision of off-site storage,Metrofile,SCM process for tender unfolding,"R250,000","R300 000,00","R0,00",Not stated,Not stated,Not stated,Reported,
69,Q2 2024/25,2024/08/16,South African National Accreditation System (SANAS),VOIP,"LIQUID Telecommunications South Africa (Pty)
Ltd",Contract extension,"R54 137,60","R103 422 276,00","R0,00",2024/07/31,2024/08/01,2024/11/30,Reported,
70,Q2 2024/25,2024/08/16,South African National Accreditation System (SANAS),RDS CALs for the MS Server 2022,Altron,Aditional work,"R89 904,15","R5 367 862,12","R629 894,45",2024/07/22,2024/07/27,2025/06/26,Reported,
71,Q2 2024/25,2024/08/02,South African Social Security Agency (SASSA),"Acquisition of office accommodation Kwa-Mashu Local Office for
2 years",Community Property Company (PTY) LTD,"Department of Public Works and Infrustructure put on
hold procurement of office accomodation for SASSA and
office accomodation to be provided by eThekwini
Municipality is also not ready for occupation. Also open
bid process emarked on by SASSA was non-responsive.","R2 765 475,84","R6 437 374,46","R0,00",2024/07/24,2024/08/01,2025/07/31,Reported,
72,Q2 2024/25,2024/08/02,South African Social Security Agency (SASSA),"Appointment of security service provider for the provision of
security services at SASSA KZN Region Midlands District for a
period of 5 months",Tyeks Security Services CC,"Termination of the contract with Mabotwane Security
Services due to failure to comply with contract
conditions. Limited period for running open bid process.","R6 592 173,83","R28 185 709,59","R0,00",2024/07/24,2024/08/01,2024/12/31,Reported,
73,Q2 2024/25,2024/08/07,Legal Aid South Africa,Ermelo Local Office Security Services,Dikolobe-Bakwena Security Services,RFQ process not yet concluded,"R2 850,00","R19 300,00","R0,00",2024/06/21,2024/07/01,2024/09/30,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
74,Q2 2024/25,2024/08/07,Legal Aid South Africa,Biometric systems to include anti-theft brackets,NEC XON system (Pty) Ltd,Installation of vandal resistant brackets,"R170 822,30","R7 378 547,81","R0,00",2024/06/21,Once off,Once off,Reported,
75,Q2 2024/25,2024/08/07,Legal Aid South Africa,Replacement and preventative maintenance of generator,Matase Industrial Solutions,Increasing the scope of work,"R25 284,00","R634 936,15","R171 759,93",2024/07/15,Once off,Once off,Reported,
76,Q2 2024/25,2024/08/07,Legal Aid South Africa,Siyabuswa Satellite Office ( Lease of office accomodation),Khuzani Trading CC,RFQ process not yet concluded,"R25 500,00","R365 976,00","R0,00",2024/06/24,2024/07/01,2024/09/30,Reported,
77,Q2 2024/25,2024/08/07,Legal Aid South Africa,Plumbing Maintenance and support services,Mahatlane Innovations Group,Increasing the scope of work,"R100 000,00","R196 666,00","R160 000,00",2024/06/26,2024/07/01,2024/12/31,Reported,
78,Q2 2024/25,2024/08/07,Legal Aid South Africa,Deeds and Company searches,Lexis Risk Management Proprietary Limited,RFQ process not yet concluded,"R21 471,06","R146 394,30","R0,00",2024/07/24,2024/08/20,2024/11/19,Reported,
79,Q2 2024/25,2024/08/07,Legal Aid South Africa,Emalahleni LO Cleaning Services,Izayo Projects,RFQ process not yet concluded,"R20 000,00","R480 000,00","R20 000,00",2024/07/23,2024/08/01,2024/08/31,Reported,
80,Q2 2024/25,2024/08/07,Legal Aid South Africa,Vredendal Local Office ( Lease of office accomodation),Lynette Mulder,Tender process not yet concluded,"R284 610,72","R1 232 215,75","R0,00",2024/07/23,2024/08/01,2025/07/31,Reported,
81,Q2 2024/25,2024/08/07,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office ( Lease of office
accomodation)",Karoovlakte Trust,Tender process not yet concluded,"R597 897,60","R5 339 352,00","R597 897,60",2024/07/23,2024/08/01,2025/01/31,Reported,
82,Q2 2024/25,2024/08/07,Legal Aid South Africa,Tzaneen Local Office ( Lease of office accomodation),Resilient Property (Pty) Ltd,Tender process not yet concluded,"R576 046,92","R2 673 707,01","R542 944,92",2024/07/23,2024/08/01,2025/07/31,Reported,
83,Q2 2024/25,2024/08/07,Legal Aid South Africa,Kimberley Local Office ( Lease of office accomodation),Pretmax Business Trust,Tender process not yet concluded,"R176 712,00","R4 590 473,42","R0,00",2024/07/23,2024/08/01,2024/09/30,Reported,
84,Q2 2024/25,2024/08/19,National Home Builders Registration Council (NHBRC),"Extension of the current contract for supply, installation and
maintenance of an intruder alarm system and armed response
at 23 NHBRC Offices for a period of Thirty One (31) days",SINQOBILE EQUESTRIAN SECURITY,Impractically impossible,"R 48 342, 45","R1 826 080,40","R0,00",2024/08/15,2024/08/16,2024/09/15,Reported,
85,Q2 2024/25,2024/08/02,Social Housing Regulatory Authority (SHRA),"Appointment of an information and communications technology
managed service provider to provide core ICT services to the
SHRA for a thirty-six (36) month period",Jec Technologies,"Extension of contract for a period of three months from 1
May 2024 to 31 July 2024 and an additional one month
until 31 August 2024","R227 803,33","R5 119 565,20","596 470,00",2024/04/30,Once off,Once off,Reported,
86,Q2 2024/25,2024/08/08,South African Social Security Agency (SASSA),Support and Maintenance of the SRD 350 System.,Procense,"Handover to new service provider
Business continuity to allows for the finalisation of the
replacement procurement process.","R7 831 500,00","R7 220 850,00","R10 442 000,00",2024/07/30,2024/08/01,2024/10/31,Reported,
87,Q2 2024/25,2024/08/12,"Department of Justice and Constitutional Development
(DoJ&CD)","Appointment of a Service Provider for the provision of Virtual
Library publications (Foreign Online, subscription to printed and
loose-leaf publication) for the Department of Justice
Constitutional Development, the Office of the Chief Justice",LexisNexis (Pty) Ltd,,"R302 595,81","R13 714 914,76","R7 802 595,81",2024/07/23,2024/08/01,2024/08/31,Reported,
88,Q2 2024/25,2024/08/16,Public Protector South Africa,Thabong Project Enterprise (Pty) Ltd,"Supply & Installation of grill mash at Mafikeng
Office","This component is critical to allow vehicles to drive into
the lockup garage without obstruction.","R7 500,00","R136 800,00","R0,00",2024/08/02,Once off,Once off,Reported,
89,Q2 2024/25,2024/08/16,Public Protector South Africa,"Provision of leasing and monitoring of the video-fied alarm
system for PPSA",ADT-fidelity,"Provision of leasing and monitoring of the video-fied
alarm system for PPSA Provincial and Regional Offices","R44 539,60","R2 122 885,14","R272 530,34",2024/07/31,2024/08/01,2024/08/31,Reported,
90,Q2 2024/25,2024/08/14,"South African Forestry Company SOC Limited
(SAFCOL)","Request to vary the contract amount with Lawtons Africa
Attorneys in the matter between Collins Sebola Financial
Services (Pty) Ltd // SAFCOL",Lawtons Africa Attorneys Inc,Continuity of a legal matter,"R2 000 000,00","R500 000,00","R0,00",2024/07/23,Once off,Once off,Reported,
