No,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date
32,DRDLR,"Provision of catering service at
Thaba Nchu College for 3
months",Ukweza Holdings,"Competitive bidding process in
progress","1 7,424,747.00","5 ,400,000.00",0.00,2017/04/04,Not supported,2017/04/01,Once off
33,DRDLR,"Renewal and maintenance of
Oracle software",SITA,Legislative rquirement,Not stated,"1 2,624,289.00",Not stated,2017/05/31,Not supported,2017/06/01,2018/05/31
34,DST,"Provision of temporary
employee",Ya Runa Trading CC,Continuity of service,"8 0,253.72","8 6,112.18",0.00,2017/06/07,Pending,2017/07/01,Once off
35,DST,Provision of security services,"Bidvest Protea Coin Group (Pty)
Ltd",Continuity of service,"5 84,213.04","1 09,403.61","4 12,843.80",2017/03/31,Supported,2017/04/01,Once off
36,Environmental Affairs,Forensic Investigation,Deloitte,Continuity of service,"4,952,642.00","2,210,924.44",0.00,2017/04/12,Not supported,2017/04/01,2017/09/30
37,Environmental Affairs,"Facilitating adult Education and
Training Programme and grade
12 classes to Environmental
Affairs employees",Letlotlo Edu Traning,Continuity of service,"414,785.31","69,130.89",0.00,2017/06/21,Supported,2017/07/01,Once off
38,Environmental Affairs,"Business and system analysis
service",SITA,Continuity of service,"1,541,280.00",7 700 000.00,0.00,2016/10/30,Conditional support,2017/06/02,2023/06/01
39,Eskom,"Design, manufacture, testing
and supply of estimated
quantities of line hardware for
distribution, transmission","Babcock Ntuthuko Powerlines
(Pty) Ltd and Prefermed Line
Products SA (Pty) Ltd","Increase in scope require
additional funds.","3 12,696,143.48","2 09,599,098.22",0.00,2017/04/13,Not supported,Not stated,Not stated
40,Eskom,"Documentary filming of the
construction process and
progress at Ingula Pump
storage Scheme",Du Films Production (Pty) Ltd,"To finalise final edit of 25 terra
bytes of construction footage.","2 ,049,101.70","3 ,585,000.00","9 ,437,570.00",2017/02/22,Conditional support,Not stated,Not stated
41,Eskom,"Detailed design and
construction",Ntamandla Construction CC,Project delays,"2 ,497,814.10",Time only,0.00,2017/04/13,Conditional support,from date of appointment,5 months
42,Eskom,"Integrated Secondary plant
solution for transmission division",Siemens Pty Ltd,Time only expansion,"2 9,181,713.30",0.00,0.00,2017/04/13,Supported,from date of appointment,6 months
43,Eskom,"Transmission Power Delivery
Projects",ABB South Africa,Time only expansion,"3 ,030,000.00",0.00,0.00,2017/04/26,Supported,from date of appointment,6 months
44,Eskom,"Manufacture and supply of split
meters",Landis & GYR (Pty) Ltd,"Continuation of services -
Original Equipment
Manufacturer","1 26,192,590.85","1 07,803,734.28","6 3,191,745.10",2017/04/26,Conditional support,from date of appointment,12 months
45,Eskom,"Construction of waste water
treatment Plant at Kusile Power
Station","Tubular Construction Zamani
Engineering Services Joint
Venture (TZJV)",Incomplete designs at award,"119,710,851.71","5 0,000,000.00","1 05,038,578.50",2017/04/13,Conditional support,2017/05/01,2018/03/31
46,Eskom,"Provision of Medium Voltage
electric motors to various power
stations","ABB South Africa (Pty) Ltd,
Actom (Pty) Ltd and Zest
Electric Motors (Pty) Ltd","To allow for deliveries of all
outstanding orders in the current
contract period.","168 849 638.40 -ABB
20 961 068.87- Zest
54 271 707.30 - Actom",Time extension,"5 238 619.03 - Zest
35 631 326.53 -Actom",Not dated,Conditional support,2017/04/01,2017/08/31
47,Eskom,"Manufacture, supply and
delivery of sedan, light delivery
vehicles, heavy commercial
vehicles, mini buses, buses and
panel vans to Eskom","Toyota SA, Ford Motor,
Volkswagen, Nissan, General
Motors, Mercedes Benz and
Iveco South Africa Pty Ltd","To save costs on maintenance
of old vehicles.","9 44,581,283.87",0.00,"1 ,000,000,000.00",2017/04/13,Conditional support,from date of appointment,27 months
48,Eskom,"Reticulation construction
services (Capital Programme)
For Eskom Distribution
Western Cape Operating Units",17 service providers,"Continuity of servce while
initiating a new tender process.","1 00,000,000.00",Time extension,"160,000,000.00",2017/04/13,Conditional support,12 months,Not indicated
49,Eskom,"The dead work maintenance
and emergency services on 11-
33KV, MV and LV Networks and
associated projects within the
Limpopo Operatign Unit (LOU)",Panel of 92 contractors,"There is currently a backlog of
poles that need to be replaced.","1 00,000,000.00","5 0,000,000.00",0.00,2017/04/13,Conditional support,From date of appointment,2018/07/31
50,Eskom,"A panel contract for Bentley
Enterprise Licenses
Subscription",Bentley Enterprise,Sole source,"9 ,427,300.00","4 4,468,419.82","1 ,014,498.00",2017/04/20,Support,2017/04/21,2019/04/20
51,Eskom,"Transmission shunt capacitator
and filter bank protection and
control schemes.","Powertech System Integrators
(Pty) Ltd",Continuity of service,"1 ,427,334.39","6 ,012,360.00","7 ,337,975.89",2017/04/20,Conditional support,from date of appointment,12 months
52,Eskom,"The provision of Legal Services
at Eskom Holdings SOC Ltd",73 legal firms,"Non -responsive bidder on two
RFPs issued","2 00,000,000.00","1 00,000,000.00","650,000,000.00",Not dated,Conditional support,from date of appointment,6 months
53,Eskom,"contracts for physical guarding
services at all eskom operating
units, grids and national key
points",25 Various contracts,Cancelled bid process,"3 97,575,048.00","4 11,400,136.00","839,134.00",2017/02/15,Conditional support,2017/04/01,2018/03/31
54,Eskom,"Supply Sulphur to various
Power Stations",Sasol Nitro,"Competitive bidding process in
progress","1 15,720,000.00","4 3,833,714.00","1 59,553,714.00",Not dated,Conditional support,2017/04/01,2018/04/01
55,Eskom,"Contracts to design,
manufacture, testing and supply
estimated quantities of medium
voltage electric motors to
various power stations",3 various contracts,"To allow for the outstanding
orders and additional items to be
delivered.","2 44,082,414.00",0.00,"2 84,952,360.00",Not dated,Conditional support,2017/05/01,2017/08/31
56,Eskom,"Provision of two accredited
facilitators and one administrator
for Operating Regulations, in
High Voltage Systems and Plant
Safety Regulations for Kusile
Power Station.",MP Learning Solutions (Pty) Ltd,Continuity of service,"2 ,606,440.00",Time extension,"1 ,493,995.20",2017/04/13,Supported,2017/04/01,2017/05/30
57,Eskom,"The Supply and delivery of
office chairs",Gxakwe’s projects cc,"Urgent need for replacement
chairs while initiating a tender
process.","7 2,740,687.34","2 40,000,000.00",0.00,2017/4/24,Not supported,Not supported,Not supported
58,Eskom,"The 24 Air Conditioning Split for
the Direct current (DC), Low
Voltage (LV) Switchgear and
Medium Voltage (MV) at Matla
Power Station","Umtsentane General Trading
CC","Temporal solution while the
central Chilled Water System is
being completed.","1 ,297,957.37","1 59,919.20",0.00,2017/05/22,Conditional support,2017/06/01,2017/10/31
59,Eskom,Security Services,Born to Protect,Open bid process cancelled,"1 3,689,423.56","1 2,872,422.92","3 7,912,407.06",2017/04/13,Conditional support,from date of appointment,six months
60,Eskom,Works at Kusile Power Station,Turbine,"Clearing past open claims
received from the contractor.","16,894,908,993.00","2,745,692,298.00",0.00,2017/03/01,Conditional support,2017/10/31,2021/03/31
61,Eskom,"Replacement of generator liquid
detector’s unit in hendrina",Siemens Power Generations,"To allow inspectors to maintain
and inspect shorts on planned
outages.",0.00,"4,692,525.00",0.00,2017/03/24,Conditional support,2017/04/01,2018/05/31
62,Eskom,"Replacement of Generator
Liquid Detector's Unit in
Hendrina",Siemens Power Generations,Additional scope of work,"84,940,267.10","4,692,525.25",0.00,2017/03/24,Conditional support,from date of appointment,six months
63,Eskom,"Delivery of coal at Kusile Power
Station",Universal Coal Development,Continuity of service,"3,154,983,000.00","5,101,861,679.00","6 16,675,054.00",2017/05/29,Conditional support,Not stated,Not stated
64,Eskom,"Supply of split meters to Eskom
on an as and when required
basis",Landis & GYR (Pty) Ltd,"A new system cannot integrate
with the current solution.","126,192,590.85","63,191,745.10","1 07,803,734.28",2017/05/11,Conditional support,from date of appointment,8 months
65,Eskom,Physical security services,Born to Protect,"Competitive bid process
cancelled","13,689,423.56","12,872,422.92","3 7,912,407.06",2017/04/13,Supported,Not stated,Not stated
66,Eskom,"Coal sampling, oversight and
analysis",various suppliers,"Unresponsive competitive bid
process","1 93,500,000.00","18,000,000.00","1 8,000,000.00",2017/05/31,Supported,2017/07/01,2017/09/30
67,Eskom,"Site SHEQ services for power
delivery projects","Eagles Multi Skills Academy
(Pty)","Align SHEQ services with
project timelines","1 ,170,573.12","3 ,721,300.00",0.00,2017/06/22,Not supported,2017/01/04,2019/05/30
68,Eskom,"Quality Management Services
(Time Only)","Tivanathi, SSSJV and SMMIDT",Allow completion of services,"2 8,863,648.00",Time only,0.00,2017-6-21,Supported,2017/01/07,2017/12/30
69,Eskom,"Excess Coal Stockyard for
Medupi power station (Time
only)","ThyssenKrupp Materials
Handling (Pty) Ltd",Allow completion of services,"1 ,089,444,585.41",0,"1,300,309,498.85",22/06/2017,Supported,2017/01/07,30/06/2017
70,Eskom,"Optical ground wire to distribut,
transmission and group capital
divisions","American Fijikura (Pty) Ltd,
Prysmian Cables Sistemas SA
Jiangsu Zhongtian Technology
Co. Ltd",Continuity of service,"8 24,588,388.00","2 92,652,792.00","1 20,553,858.00",2017/05/11,Conditional support,2015/10/01,2017/09/30
71,ESKOM,"Modification of contract for
manufacture, testing, supply,
delivery, off-loading, erection
and commissioning of 22KVto
400Kv",Actom Pty Ltd,"Unresponsive competitive bid
process","2 34,508,101.00","2 4,683,991.00","2 0,923,261.00",2017/05/25,Supported,2017/04/08,2018/04/07
72,Eskom,"Wage Bureau for the Medupi
and Kusile Power Station
Projects",Time Data Sequel CC,"To minimise the risk of site
instability","1 05,688,544.00","1 17,679,796.34",6 months,2017/05/22,Conditional support,from date of appointment,6 months
73,Eskom,"Eskom Power Plant Engineering
Institute (EPPEI) Phase II","University of Cape Town and
other six South African
Universities",Specialist skills,"1 54,950,000.00","7 6,550,000.00",0.00,2017/05/29,Conditional support,from date of appointment,5 years
74,Eskom,"Construction on minor civil
works at Koeberg Power Station",Tyris Construction (Pty) Ltd,Continuity of service,"9 ,247,375.84","7 00,723.11",0.00,2017/04/26,Conditional support,2017/07/01,2017/09/30
75,Eskom,"The supply, delivery and
installation of surge arrestors for
Gromis, Oranjemond and
Paulputs Eskom Substations",Siemens (Pty) Ltd,Time extension,"4 20,167.70",0.00,0.00,2017/04/26,Conditional support,2017/04/01,2017/11/30
76,Eskom,"Manufacture, testing, supply,
delivery, off-loading, erection
and distribution, transmission
and Group Capital Divisions on
an as and when required basis",ABB South Africa (Pty) Ltd,Continuity of service,"8 1,714,522.00","5 6,245,280.00","1 5,756,448.00",2017/05/11,Conditional support,2017/03/31,2018/03/30
77,Eskom,"Design, supply and installation
and commission of 88KV
overhead power line for the
Majuba Rail Project","Consolidated Power Projects
(Pty) Ltd",Time extension,"7 8,907,294.61",0.00,0.00,2017/06/14,,2017/07/01,2018/01/31
78,Eskom,"Supply and delivery of various
gaes and cylinder rentals to
various Eskom sites","Afrox (Pty) Ltd and Air Products
(Pty) Ltd","Competitive bidding process in
progress","2 2,800,000.00","5 1,663,864.82","8 9,246,927.67",2017/06/21,Conditional support,2017/07/01,2017/10/30
79,Eskom,"Design, procurement,
construction, commissioning,
operation and maintenance of
Eskom Mkondeni Solar
Photovoltaic","Besandla Engineering &
Construction (Pty) Ltd",Additional scope of work,"4,067,262.11","1,104,453.34",0.00,2017/04/13,Conditional support,from date of appointment,2 years
80,Eskom,Catering services,Various suppliers,"Additional funding ,funds has
depleted on the initital contract","97,250,000.00","40,800,600.00",0.00,2017/06/06,Conditional support,from date of appointment,8 months
81,Eskom,"Provision of engineering
services at PTR storage tanks
at Koeberg Operating Unit",TUV NORD,"TUV quality services are critical
to the success of the project","374,880.00","1,244, 000.00","2 ,019,600.00",2017/06/14,Not supported,Not stated,Not stated
82,FIC,"Renewal of online and paid
subscription",Money Laundering Bulletin,Continuity of service,"67,776.00","187,306.56",0.00,2017/03/31,Supported,4/8/2017,4/7/2020
83,GTAC,"Performance and expenditure
review on Provincial protected
areas",DNA Economics,Continuity of service,"997,893.00",250480.00,0.00,6/23/2017,Conditional support,6/3/2017,2/28/2018
84,GTAC,"Schools rationalisation and and
alignment project","Ndokhula Trading CC, Michael
Thomas Kenyon & Public Affairs
Research Institute",Continuity of service,"3,137,982.28",1390622.20,0.00,6/23/2017,Conditional support,6/3/2017,4/30/2019
85,Health,"Provision of alternative chronic
medication access programme
for public sector patients","Pharmacy Direct, Optipharm,
Medipost and MediRite,","Competitive bidding process in
progress",Not stated,"5 66,568,888.00",0.00,2017/04/11,Supported,2017/08/01,2018/01/30
86,Health,"Replacement of existing clinics
as well as building of
Community Health Care Centres",Procurement Dynamics,Change of scope,Not stated,Not stated,0.00,2017/04/12,Conditional support,Not stated,Not stated
87,Health,"Provision of project
management services for
construction and equipment of
re-locatable consulting rooms to
existing clinics in NHI pilot
districts in Free State and
Limpopo",I.N.T.P.M Project Managers,Additional contract scope,"3 ,651,349.00","2 ,120,989.00",0.00,2017/04/26,Conditional support,Not stated,Not stated
88,Health,"Provision of project
management services for
construction and equipment of
re-locatable consulting rooms to
existing clinics in NHI pilot
districts in the Eastern Cape","BNM Architects and Project
Managers",Additional contract scope,"1 ,659,303.00","9 49,534.00",0.00,2017/04/26,Conditional support,Not stated,Not stated
89,Health,"Provision of project
management services for
construction and equipment of
re-locatable consulting rooms to
existing clinics in NHI pilot
districts in Mpumalanga and
Western Cape",Indyebo Project Managers,Additional contract scope,"2 ,370,030.00","7 45,146.00",0.00,2017/04/26,Conditional support,Not stated,Not stated
90,Health,"Construction and equipment of
re-locatable consulting rooms to
existing clinics in NHI pilot
districts in Mpumalanga","Cedar Point Trading 229 (Pty)
Ltd",Additional contract scope,"4 1,901,532.00","2 ,061,519.00","8 ,380,606.00",2017/04/26,Supported,Not stated,Not stated
91,Health,"Professional Service Provider
as In-loco performance monitors",Various service providers,"Correction of PSP rates
alignment with published DPW
rates","1 08,234,597.00","2 1,300,244.00",0.00,26 April 2017,Conditional support,Not stated,Not stated
92,Health,"Extension of Private Security
Services to guard Forensic
Chemistry Laboratories in
Durban",Dem Hospitality,"Competitive bidding process in
progress","4 41,600.00","36,800.00","73,600.00",2017/05/24,Conditional support,6/1/2017,once off
93,Health,"Extension of Private Security
Services to guard Forensic
Chemistry Laboratories in
Durban",Raite Security Services,"Competitive bidding process in
progress","465,120.00","37,264.00","77,520.00",2017/05/24,Conditional support,6/1/2017,Once off
94,Health,"Extension of Private Security
Services to guard Forensic
Chemistry Laboratories in
Durban",Motsodi Trading Enterprise,"Competitive bidding process in
progress","447,173.00","38,760.00","74,528.00",2017/05/24,Conditional support,6/1/2017,Once off
95,Health,"Provision of prival physical
security",Dem Hospitality,"Competitive bidding process in
progress","441,600.00","3 6,800.00","7 3,600.00",2017/05/24,Conditional support,2017/06/01,Once off
96,Health,"Provision of prival physical
security",Motsodi Trading Enterprise,"Competitive bidding process in
progress","4 47,173.00","3 7,264.00","7 4,528.00",2017/05/24,Conditional support,2017/06/01,Once off
97,Health,"Provision of prival physical
security",Raite Security Services,"Competitive bidding process in
progress","4 65,120.00","3 8,760.00","77,520.00",2017/05/24,Conditional support,2017/06/01,Once off
98,Health,"Hosting and support of the
Medicines Control Council
website for a period of 12
months",E2 Solutions,Continuity of service,"4 7,880.00","5 1,600.00",0.00,2017/06/20,Conditional support,2017/08/01,2018/07/31
99,INSETA,Conference venue and catering,Premier Hotel ICC East London,Variation of Scope,"6,450.00","1,939.50",0.00,2017/05/15,Supported,once off,once off
100,Justice,Integrated Justice System,MindWorx Consulting,To finalse cost analys,"68,905,728.00","15,284,880.00","1 1,287,870.00",2017/05/28,Conditional support,from date of appointment,6 months
101,Justice,"Capacitating Project
Management Office",MindWorx Consulting,Finalisation of tender process,"68,905,728.00","15,284,880.00","1 1,287,870.00",2017/05/28,Conditional support,2017/06/01,2017/11/30
102,"Justice and Constitutional
Development",Transcription Services,"Sneller Transcriptions, Digital
Audio Recordings, Lepelle Office
Supplies CC and Ikamva Veritas
Transcriptions World Focus
1176","Delay in the finalisation of
specifications","35,356,199.10","5,641,665.07","11,270,831.88",2017/05/15,Conditional support,6/1/2017,2017/09/30
103,Labour,"Provision of support in a
disciplinary inquiry on behalf of
the DoL",Sizwe Ntsaluba Gobodo,Continuity of service,"452,771.52","214,207.38","785,304.32",2017/04/11,Conditional support,Once off,Once off
104,LegaL Aid,"Document exchange, daily
delivery and collection of
overnight mail services
countrywide",Docex (Pty) Ltd,Continuation of service,"2,513,096.35.","6 00,291.17",0.00,2017/03/29,Conditional support,2017/04/01,6 months
105,Legal Aid,Office lease,Redefine Properties,"Awaiting the completion of
Department of Justice building in
which the Justice Centre will be
accommodated without rental
cost","1,980,245.23","450,140.06","8 14,745.16",2017/05/09,Conditional support,from date of appointment,6 months
106,Legal Aid,Office lease,ABSA Bank Limited,Non -responsive bids,"913,852.92","354,605.57",0.00,2017/05/04,Conditional support,from date of appointment,12 months
107,Legal Aid,Provision of media monitoring se,rvNiceewssclip media,Finalisatio of tender process,"114,225.36","133,267.92","1 9,042.56",2017/05/26,Conditional support,2017/07/01,Once off
108,Legal Aid,Cleaning and hygiene services,Servest (Pty) Limited,Finalisatio of tender process,"254,069.00","22,630.12","4 5,260.24",2017/05/16,Conditional support,2017/05/01,Once off
109,Legal Aid,Travel management services,Travel with Flair (Pty) Ltd,Finalisatio of tender process,"2,014,706.00","215,126.76","1 ,089,170.76",2017/06/15,Conditional support,2017/04/01,Once off
110,Legal Aid SA,Media Monitoring Services,Newsclip Media Monitoring,To finalise a bid process,"11,422,536.00","1,904,256.00",0.00,2017/05/26,Conditional support,from date of appointment,Once off
111,Lepelle Northern Water,"Maintenance of spectrum
telemetry and support of spares",Spectrum Communications,Sole source,"1,444,974.00","2 ,000,000.00",0.00,2017/06/15,Pending,2017/07/20,2020/07/19
112,Lepelle Northern Water,"Maintenance and supply of
spare parts","KSB Pumps and Valves (Pty)
Ltd",Sole source,"5,456,076.00","7,000,000.00",0.00,2017/06/15,Conditional support,7/20/2017,7/19/2020
113,Lepelle Northern Water,"Maintenance of Gorman-Rupp
pumps and supply of spares",Babata Pump (Pty) Ltd,Sole source,"8 97,498.00","1 ,300,000.00",0.00,2017/06/15,Conditional support,2017/07/11,2020/07/10
114,Lepelle Northern Water,"Maintenance of artiflex PLC and
supply of spares",Artiflex Engineering (Pty) Ltd,Sole source,"94,333.00","150,000.00",0.00,2017/06/15,Not supported,2017/07/08,2020/07/07
115,Magalies Water,"Leasing of 28 printing machines
for a period of three months
(May to July 2017)",Canon,"Competitive bidding process in
progress","2,296,154.00","224,679.00",0.00,2017/04/24,Conditional support,Not stated,Not stated
116,Magalies Water,Employee Wellness Programme,Careways Group,"Competitive bidding process in
progress","94,200.00","75,000.00",0.00,2017/05/16,Pending,Not stated,Not stated
117,Mineral Resources,Mobile Services,MTN Pty Ltd,"Verifying the cost benefit with
Vodacom",Not stated,month to month,Not stated,2017/30/03,Conditional support,2017/04/01,month to month
118,Mineral Resources,Advisory Services,Ncube Attorneys,"Negotiation meetings for mining
charter reviews","171,000.00","102,600.00",0.00,2017/30/03,Conditional support,2017/04/01,Once off
119,Mineral Resources,Guarding Services,Silver Force Security,Increase in capacity,"462,955.50","99,204.75",0.00,2017/06/27,Supported,2017/07/01,2018/03/20
120,MISA,"Consultancy contract agreement
extension",various suppliers,Continuity of service,various,"28,850,584.32",0.00,2017/05/15,Supported,from date of appointment,12 Months
121,MQA,Cleaning services,Zikayoyu Cleaning,Increase in capacity,"254,250.00","140,238.00",0.00,2017/05/24,Conditional support,2017/07/01,2018/03/31
122,MQA,Quality Assurance Audits,Subject Matter Experts,Challenges with CSD,Not stated,"352,773.00",0.00,2017/06/22,Not supported,Not stated,Not stated
123,MQA,Legal Services,Geldenhuys Malatji Attorneys,Continuity of service,Not stated,"2 800.00
2 100.00",0.00,2017/04/10,Conditional support,2017/04/01,2018/03/31
124,MQA,Workshop for 17 delgates,Plokwane Royal Hotel,Variation of Scope,8 250.00,"2,805.00",0.00,26/05/2017,Conditional support,once off,once off
125,MQA,DHET/MQA SITA CEO forum,Forever Hotel Centurion,Variation of Scope,"18,300.00","3,450.00",0.00,2017/04/20,Supported,once off,once off
126,MQA,Workshop for 16 delgates,"Cape Town Lodge Hotel and
Conference centre",Variation of Scope,"5,250.00","5,120.00",0.00,Not stated,Supported,once off,once off
127,NEF,External Audit Services,SizweNtsalubaGobodo,"Business combination process
with the IDC","9 ,600,000.00","3 ,709,090.34",0.00,2017/04/12,Conditional support,2 years,Not stated
128,NLC,North West Office Space,Savima Business Solutions,To finalise cost analysis,"3,028,637.59","1,018,436.88",0.00,2017/05/19,Conditional support,from date of appointment,12 months
129,NLC,Northern Cape Office Space,Barkley west,To finalise cost analysis,"1,599,995.04","585,508.32",0.00,2017/05/19,Conditional support,from date of appointment,12 months
130,NLC,Western Cape Office Space,"Raymond Gnesin Investments 2
(Pty) Ltd",To finalise cost analysis,"3,639,572.15","1 ,223,384.16",0.00,2017/05/19,Conditional support,from date of appointment,12 months
131,NLC,Free State Office Space,Tad Consultancy & Services,To finalise cost analysis,"2,297,734.08","771,996.96",0.00,2017/05/19,Conditional support,from date of appointment,12 months
132,NLC,Eastern Cape Office Space,Saldosol Investments,To finalise cost analysis,"2,385,677.66","802,231.66",0.00,2017/05/19,Conditional support,from date of appointment,12 months
133,NLC,Mpumalanga Office Space,"Liberty Moon Investments 76
(Pty) Ltd",To finalise cost analysis,"3,843,891.89","1,308,797.52",0.00,2017/05/19,Conditional support,from date of appointment,12 months
134,NLC,KwaZulu Natal Office Space,Delta Facilities Management,To finalise a bid process,"2,044,428.12","686,890.80",0.00,2017/05/19,Conditional support,from date of appointment,12 months
135,NPA,"Unified Email Continuity
Solution",Dimension Data,To finalise a bid process,"5,024,676.11","840,000.00",0.00,2017/05/23,Conditional support,from date of appointment,6 months
136,NPA,Witnesses Accommodation,Different suppliers,"Delays in the finalization of court
cases",0.00,"2,974,375.61",0.00,2017/05/10,Conditional support,7/1/2017,2018/10/31
