5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
11,Q2 2022/23,New,2022/07/14,Commission for Conciliation Mediation & Arbitration,"Payment of annual membership fees to
professional body",Institute of Risk Management South Africa (IRMSA),"R2 587,99",Sole supplier,Within AA/AO,2022/06/23,Not indicated,Not indicated,Reported
12,Q2 2022/23,New,2022/09/13,"Commission for Conciliation, Mediation &
Arbitration",TRSS,Tshivhonda Business Solutions,"R16 067,80",Emergency Procurement due to Malfunctioning Uninterrupted Power Supply (UPS) Unit,Within AA/AO,2022/08/19,Not indicated,Not indicated,Reported
13,Q2 2022/23,New,2022/09/06,Competition Commission,"Appointment of data privacy expert - Govchat vs
Whatsapp/Facebook Matter",Dr Johny Ryan,"R162 800,00","Single Source- Market has been tested and only found Dr Johny to be the only suitable provider for the
service.",Within AA/AO,2022/04/01,2022/04/01,Not indicated,Reported
14,Q2 2022/23,New,2022/09/06,Competition Commission,Commentary on the criminal Procedure Act RS67,Juta & Co,"R1 600,00",Sole Source-This is the only provider for the service,Within AA/AO,2022/04/20,2022/04/20,Not indicated,Reported
15,Q2 2022/23,New,2022/09/06,Competition Commission,Competition Law Database Subscription,Wolters Kluwer,"R196 246,25",Sole Source- This is the only provider for the service,Within AA/AO,2022/04/29,2022/04/29,Not indicated,Reported
16,Q2 2022/23,New,2022/09/06,Competition Commission,Cellphone Repairs for DM Cartels,"Sachar Mobile Pretoria t/a Vodacom Hatfield
Repairs","R8 043,17","Single source-the nature of service does not allow for comparing thre quotes as this includes opening the
cellphone to assess the fault so it was impractical to compare three providers.",Within AA/AO,2022/06/21,2022/06/21,Not indicated,Reported
17,Q2 2022/23,New,2022/09/06,Competition Commission,"Retention of Technical Expert for Vodacom &
Newco Merger",Aetha Consulting,"R2 002 016,00","Limited Bidding - The service was acquired using a multiple source method and a thorough analysis of the
market was done and only few prospective service providers were requested to submit proposals",Within AA/AO,2022/06/24,2022/06/24,Not indicated,Reported
18,Q2 2022/23,New,2022/09/06,Competition Commission,Cellphone Repairs for the Commissioner,Jescom Technology t/a Vodacom Repairs Centurion,"R3 561,62","Single source-the nature of service does not allow for comparing thre quotes as this includes opening the
cellphone to assess the fault so it was impractical to compare three providers.",Within AA/AO,2022/07/01,2022/07/01,Not indicated,Reported
19,Q2 2022/23,New,2022/09/06,Competition Commission,"Appointment of an Actuary to assist the Commission
in the investigation of the various Long-term Insurers
matter. Case number 2021Jan0035",Matlotlo Group,Not indicated,"Limited Bidding - The service was acquired using a multiple source method and a thorough analysis of the
market was done and only few prospective service providers were requested to submit proposals",Within AA/AO,2022/07/06,2022/07/06,Not indicated,Reported
20,Q2 2022/23,New,2022/07/12,Council for Geoscience (CGS),"Appointment of thirteen specialists to the Dynefontyn
project team Appoint a specialist to the seismic
source technical integration team for the
Duynefontyn probabilistic seismic hazard analysis.",Various Suppliers,"R2 502 700,00","Each participating specialist will be required to develop one or more presentations, which need to be made
available to the Tl Team prior to the workshop, travel to and attend the workshop, give one or more
presentations and participate in discussions with the Tl Team and other scientists at the workshop. Finally,
they will be required to submit an electronic folder of scientific records that support their presentations and
discussions, to the CGS, for use by the Duynefontyn Tl Team. :",Noting,2022/07/11,Not stated,Not stated,Reported
21,Q2 2022/23,New,2022/07/12,Council for Geoscience (CGS),"Appoint a specialist to the seismic source technical
integration team for the Duynefontyn probabilistic
seismic hazard analysis.",Dr V. Montaldo Falero,"R3 712 115,46","To prepare for and participate in the important workshop of the SSHAC Level 2 PSHA scheduled for the
20th to 24th June 2022. The scope of work is as follows: • Attendance and participation in workshops and
working meetings",Noting,2022/07/11,Not stated,Not stated,Reported
22,Q2 2022/23,New,2022/07/12,Council for Geoscience (CGS),"Appoint a specialist to the ground motion technical
integration team for the Duynefontyn probabilistic
seismic hazard analysis",Dr P. Stafford,"R4 830 000,00","to prepare for and participate in the important workshop of the SSHAC Level 2 PSHA scheduled for the 20th
to 24th June 2022",Noting,2022/07/11,Not stated,Not stated,Reported
23,Q2 2022/23,New,2022/07/26,Council for Geoscience (CGS),"Enterprise Resource Planning (ERP) project
management services",Liepzig AdvisoryIT (Pty) Ltd,"R2 760 000,00",Continuation of service,Noting,2022/07/26,Not Stated,Not Stated,Reported
24,Q2 2022/23,New,2022/07/26,Council for Geoscience (CGS),"Purchase additional equipment for the mobile
seismograph stations",Red Dog Scientific Services,"R2 133 496,96",Continuation of service,Noting,2022/07/26,Not Stated,Not Stated,Reported
25,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Trailer mounted light mast generator sets,Aztec Components,"R7 236 938,50",SANDF requirements to support UN in DRC (Emergency),Within AA/AO mandate Noting,2022/04/20,2022/04/20,2022/04/20,Reported
26,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Rerouting of existing Fiber at WSU Butterworth
Campus","Telkom SA SOC Limited
(“Telkom”)","R109 078,73",Single Source,Within AA/AO mandate Noting,2022/04/08,2022/04/08,2022/04/08,Reported
27,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),The Development of a Micro-Heater Platform,Incomar Aerospace and Defence Systems (Pty) Ltd,"R197 740,20",Single source,Within AA/AO mandate Noting,2022/04/08,2022/04/08,2022/04/08,Reported
28,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),SPK Heat Exchanger,Retecon Services (Pty) Ltd,"R129 595,80",Sole Source,Within AA/AO mandate Noting,2022/03/08,2022/03/08,2022/03/08,Reported
29,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Smart Mobility need to procure Plan G SBD service
for two Datawell buoys.",MetOcean Telematics,"R67 954,46",Sole Source,Within AA/AO mandate Noting,2022/04/04,2022/04/04,2022/04/04,Reported
30,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Resonator replacement,Retecon Services (Pty) Ltd,"R3 269 011,85",Sole Source,Within AA/AO mandate Noting,2022/04/22,2022/04/22,2022/04/22,Reported
31,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Annual renewal of the Power Factory for Research
(PF4R) – License with unlimited nodes for 7 users",Digsilent Buyisa (Pty) Ltd.,"R159 528,00",Sole Source,Within AA/AO mandate Noting,2022/04/11,2022/04/11,2023/12/04,Reported
32,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Membrane Vacuum pump,Busch Vacuum Solutions,"R50 330,95",Sole Source,Within AA/AO mandate Noting,2022/04/20,2022/04/20,2022/04/20,Reported
33,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Qualica License renewal,Qualica GmbH,"R32 270,55",Sole Source,Within AA/AO mandate Noting,2022/04/01,2022/04/01,2023/03/31,Reported
34,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Optinum software license renewal,Opti-num Solutions (Pty) Ltd,"R380 904,15",Sole Source,Within AA/AO mandate Noting,2022/04/20,2022/04/20,2022/04/20,Reported
35,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Bentley Select AssetWise ALIM Software
Subscription for 2022",BENTLEY SYSTEMS INTERNATIONAL LTD,"R1 284 363,70",Sole Source,Within AA/AO mandate Noting,2022/04/25,2022/04/25,2023/05/24,Reported
36,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Request to advertise on Business Day Earth
Magazine",HighBury Media,"R72 398,25",Sole Source,Within AA/AO mandate Noting,2022/04/28,2022/04/28,2022/04/28,Reported
37,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),SABS subscription renewal,SABS,"R231 298,35",Sole Source,Within AA/AO mandate Noting,2022/05/01,2022/05/01,2023/04/30,Reported
38,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Edwards High Vacuum pump model RV12,United Scientific (Pty) Ltd,"R152 720,00",Sole Source,Within AA/AO mandate Noting,2022/04/05,2022/04/05,2022/04/05,Reported
39,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The provision of service and maintenance of Wave
Gliders for the CSIR Ocean Systems & Climate",Liquid Robotics Inc.,"R471 487,88",Sole Source,Within AA/AO mandate Noting,2022/05/05,2022/05/05,2022/05/05,Reported
40,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Supply and Delivery of Material for Water Leak
repairs to the Mogalakwena Local Municipality",GeoWater Systens (PTY) Ltd,"R86 030,00",Sole Source,Within AA/AO mandate Noting,2022/05/05,2022/05/05,2022/05/05,Reported
41,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Kimmon Laser tube,A and J Scientific,"R257 979,50",Sole Source,Within AA/AO mandate Noting,2022/05/06,2022/05/06,2022/05/06,Reported
42,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The provision of Arctic Hub Software License for
SANReN Computer Security Incident Response
Team",Arctic Security Ltd,"R648 000,00",Sole Source,Within AA/AO mandate Noting,2022/04/17,2022/04/17,2024/04/16,Reported
43,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"SYNCOR, Inc",Conical Technologies,"R91 839,00",Sole Source,Within AA/AO mandate Noting,2022/05/10,2022/05/10,2022/05/10,Reported
44,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"NPort S8455I - (4 RS-232/422/485 ports, 5 10/100M
Ethernet ports, 2KV Isolation Protection, 12-48
VDC, 0 to 60°C)",RJ connect,"R93 902,56",Sole Source,Within AA/AO mandate Noting,2022/05/11,2022/05/11,2022/05/11,Reported
45,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Quotation For Renewal of Mentor Support Contract,ASIC Design Services,"R175 419,56",Sole Source,Within AA/AO mandate Noting,2022/05/11,2022/05/11,2023/10/05,Reported
46,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Para Boot testing,SABS,"R85 353,62",Sole Source,Within AA/AO mandate Noting,2022/05/11,2022/05/11,2022/05/11,Reported
47,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Pearl Scanner and JAWS fr the blind,Sensory Solutions,"R45 540,00",Sole Source,Within AA/AO mandate Noting,2022/05/12,2022/05/12,2022/05/12,Reported
48,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),IR Viewer,Wirsam Scientific & Precision,"R60 879,85",Sole Source,Within AA/AO mandate Noting,2022/05/13,2022/05/13,2022/05/13,Reported
49,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Accessories hardware for Instron Instrument,ADI Scientific Pty Ltd,"R2 525 121,70",Sole Source,Within AA/AO mandate Noting,2022/05/18,2022/05/18,2022/05/18,Reported
50,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Gascam FPGA tool annual license renewal,Arrow Altech Distributors,"R102 071,36",Sole Source,Within AA/AO mandate Noting,2022/05/20,2022/05/20,2022/05/20,Reported
51,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The supply of exhibition material for the International
Supercomputing Conference in Hamburg, Germany.",Cubiworx,"R52 028,14",Sole Source,Within AA/AO mandate Noting,2022/05/23,2022/05/23,2022/05/23,Reported
52,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"DFA connectivity link between Centre for High
Performance Computing (CHPC) and Shawco
House; and from Shawco House site and University
of Cape Town (UCT)",DARK FIBRE AFRICA (PTY) LTD,"R66 280,85",Sole Source,Within AA/AO mandate Noting,2022/01/04,2022/01/04,2023/03/31,Reported
53,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"DFA connectivity link between Marine and Coastal
Management (MCM) and South African
Environmental Observation Network (SAEON)
uLwazi node",DARK FIBRE AFRICA (PTY) LTD,"R41 232,80",Sole Source,Within AA/AO mandate Noting,2022/01/04,2022/01/04,2023/03/31,Reported
54,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Request for connectors,Marine Solutions,"R216 130,43",Sole Source,Within AA/AO mandate Noting,2022/05/23,2022/05/23,2022/05/23,Reported
55,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Entrust Annual Renewal (2022),Law Trusted Third Party Services (Pty) Ltd,"R162 267,85",Sole Source,Within AA/AO mandate Noting,2022/01/07,2022/01/07,2023/06/30,Reported
56,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Casting SA Full Page Full Colour August 2022
,October 2022, December 2022, February 2023,
April 2023, June 2023 and Csting SA Website Logo
Twelve month from August 2022 to July 2023",BA Crowford Publishing,"R121 440,00",Sole Source,Within AA/AO mandate Noting,2022/05/24,2022/08/01,2023/07/31,Reported
57,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Eco-logic Publishing (Eco-logic Awards),Eco-Logic Publishing,"R118 680,00",Sole Source,Within AA/AO mandate Noting,2022/05/24,2022/05/24,2022/05/24,Reported
58,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Request for exhibiting at the Manufacturing Indaba -
9th edition",Manufacturing Indaba,"R157 550,00",Sole Source,Within AA/AO mandate Noting,2022/05/24,2022/05/24,2022/05/24,Reported
59,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Boxcryptor software license renewal,Secomba Gmbh,"R136 620,00",Sole Source,Within AA/AO mandate Noting,2022/05/14,2022/05/14,2025/05/13,Reported
60,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"National Event: 21 - 22 June 2022, Sandton
Convention Centre",Manufacturing Indaba,"R544 047,75",Sole Source,Within AA/AO mandate Noting,2022/05/27,2022/05/27,2022/05/27,Reported
61,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"Upgrade (Perpetual License): CORE Spectrum –
Floating license",Letter 27 Imagine it Pty Ltd,"R111 780,00",Sole Source,Within AA/AO mandate Noting,2022/05/27,2022/06/01,2023/05/31,Reported
62,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The acquisition of economic forcasting and impact
assessment models software for Smart Mobility",Conningarth Economists,"R462 300,00",Sole Source,Within AA/AO mandate Noting,2022/04/01,2022/04/01,2023/03/31,Reported
63,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The supply of 1 x Digital Mass Flow Controller
BRONKHORST",Mecosa Pty Ltd,"R150 176,20",Sole Source,Within AA/AO mandate Noting,2022/05/27,2022/05/27,2022/05/27,Reported
64,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"REMchannel remuneration survey subscription
services","PWC RESEARCH SERVICES (PTY) LTD t/a
REMCHANNEL PTY LTD","R63 135,00",Sole Source,Within AA/AO mandate Noting,2022/05/27,2022/05/27,2023/05/26,Reported
65,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Supply of 120-degree wide angle submarine camera,Marine Solutions,"R121 640,00",Sole Source,Within AA/AO mandate Noting,2022/05/30,2022/05/30,2022/05/30,Reported
66,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Initial Audit – BV service provider for UWS,Bureau Veritas,"R65 550,00",Sole Source,Within AA/AO mandate Noting,2022/05/30,2022/05/30,2022/05/30,Reported
67,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),exhibition space Aero south africa 2022,Messe Frankfurt South Africa (Pty) Ltd,"R52 336,50",Sole Source,Within AA/AO mandate Noting,2022/06/06,2022/06/06,2022/06/06,Reported
68,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),"The supply of 3 x compressor and install 2 in chiller
1, and the remaining one will be kept on site for a
spare for CHPC",Service First Cape (Pty) Ltd,"R167 453,80",Sole Source,Within AA/AO mandate Noting,2022/01/10,2022/01/10,2023/09/30,Reported
69,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Laboratory accreditation,SANAS,"R77 762,00",Sole Source,Within AA/AO mandate Noting,2022/01/06,2022/01/06,31/05/2022,Reported
70,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Oracle re-instatement (Agreement 18819200),Oracle Corporation (South Africa) (Pty) Ltd,"R83 098,30",Sole Source,Within AA/AO mandate Noting,2022/05/27,2022/06/01,2023/05/31,Reported
71,Q2 2022/23,New,2022/06/17,Council for Scientific and Industrial Research (CSIR),Renewal of subscription services for One year,Dassault Systémes SA (Pty) Ltd,"R41 572,50",Sole Source,Within AA/AO mandate Noting,2022/01/06,2022/01/06,31/05/2023,Reported
72,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Monthly storage for ventilators,Aramex,"R295 780,00",Single Source,Within AA/AO mandate Noting,2022/07/04,2022/07/04,2022/12/31,Reported
73,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The provision of a MariWeb/ORBCOMM data to the
Council
for Scientific and Industrial Research",IMIS Global Limited,"R526 636,80",Sole Source,Within AA/AO mandate Noting,2022/06/02,2022/02/01,2023/01/31,Reported
74,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Supply of lab safety equipment and consumables,Promolab Pty Ltd T/A Separations,"R42 987,00",Sole Source,Within AA/AO mandate Noting,2022/06/29,2022/06/29,2022/06/29,Reported
75,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Chemicals and reagents for analysing seawater
samples by FIA.",Merck Life Science (Pty) Ltd,"R136 810,60",Sole Source,Within AA/AO mandate Noting,2022/06/29,2022/06/29,2022/06/29,Reported
76,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),MPeople Resourcing (Green Economic Journal),M-people Resourcing,"R106 731,50",Sole Source,Within AA/AO mandate Noting,2022/05/30,2022/05/30,2022/05/30,Reported
77,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The Spray drier has stopped working. The spray
drier is urgently needed to complete UH Biosystems
work",GEA Engineering,"R148 561,98",Sole Source,Within AA/AO mandate Noting,2022/06/03,2022/06/03,2022/06/03,Reported
78,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Nano and Micro devices for Nextgen,Johannesburg Valve and Fitting c,"R31 896,78",Sole Source,Within AA/AO mandate Noting,2022/06/08,2022/06/08,2022/06/08,Reported
79,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The supply of a DriveLab including eye tracker
integrated in a real car setting for the Smart Mobility",Noldus Information Technology BV,"R1 540 637,38",Sole Source,Within AA/AO mandate Noting,2022/06/06,2022/06/06,2022/06/06,Reported
80,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),The supplier of 40 Bottles,University of California,"R72 078,01",Sole Source,Within AA/AO mandate Noting,2022/06/01,2022/06/01,2022/06/01,Reported
81,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Global Transit Ticketing & Fare Collection 2021-
2030 Report",Global Mass Transit,"R77 494,00",Sole Source,Within AA/AO mandate Noting,2022/06/20,2022/06/20,2022/06/20,Reported
82,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Request for software license renewal,Altair Engineering SA,"R406 060,47",Sole Source,Within AA/AO mandate Noting,2022/06/14,2022/06/14,2022/06/13,Reported
83,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Request for strain gauges,Elexsys Precision Physical Measurement,"R79 143,00",Sole Source,Within AA/AO mandate Noting,2022/06/14,2022/06/14,2022/06/14,Reported
84,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),LCD 12 PANEL MNT CAP TS,Centurion Micro Electronics,"R59 915,00",Sole Source,Within AA/AO mandate Noting,2022/06/07,2022/06/07,2022/06/07,Reported
85,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The provision of Road Construction Materials
Proficiency
Testing Scheme for the CSIR",National Laboratory Association of South Africa,"R36 885,10",Sole Source,Within AA/AO mandate Noting,2022/05/31,2022/05/31,2022/05/31,Reported
86,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The refurbishment of two CSIR-VeGAS-pCO2
systems that are integrated in the two SV3 Wave
Gliders",Hagan Technologies (Pty) Ltd,"R405 647,55",Sole Source,Within AA/AO mandate Noting,2022/07/05,2022/07/05,2022/07/05,Reported
87,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"The supply of Mirrorless camera with a full frame
(24.3 MP)
sensor, electronic shutter, and lens adapter","BrightSpot Automation, LLC","R154 452,87",Sole Source,Within AA/AO mandate Noting,2022/05/31,2022/05/31,2022/05/31,Reported
88,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"Tshwane Metro Dark Fibre Network Maintenance
and Support",Dark Fibre Africa (Pty) Ltd,"R1 442 328,97",Sole Source,Within AA/AO mandate Noting,2022/06/15,2022/06/01,2022/10/31,Reported
89,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"System Engineering, and development of
User Interface/Frond-end and Back-end software
for the Electronic Warfare Mission Support System
(EWMSS) product",Midnite Aerospace Solutions,"R4 403 741,00",Sole Source,Within AA/AO mandate Noting,2022/06/07,2022/06/07,2022/06/07,Reported
90,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),"21st Century Reward online remuneration
subscription services",21st Century,"R51 175,00",Sole Source,Within AA/AO mandate Noting,2022/05/31,2022/01/06,2023/05/31,Reported
91,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),PUDU pin and gas generators (explosives),Loulen Manufacturing,"R78 272,57",Sole Source,Within AA/AO mandate Noting,2022/06/07,2022/06/07,2022/06/07,Reported
92,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Newport optical components,Wirsam Scientific & Precision,"R36 774,70",Sole Source,Within AA/AO mandate Noting,2022/05/31,2022/05/31,2022/05/31,Reported
93,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Oracle Agreement 1954192 renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R945 645,67",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/09/01,2023/08/31,Reported
94,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Oracle Agreement 3010252 renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R975 479,91",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/09/01,2023/08/30,Reported
95,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Oracle Agreement 4381905 renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R543 960,96",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/08/28,2023/08/27,Reported
96,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Oracle Agreement 6243440 renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R989 668,45",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/09/04,2023/09/03,Reported
97,Q2 2022/23,New,2022/07/13,Council for Scientific and Industrial Research (CSIR),Oracle Agreement 18677417 renewal,Oracle Corporation (South Africa) (Pty) Ltd,"R690 301,50",Sole Source,Within AA/AO mandate Noting,2022/06/21,2022/08/25,2023/08/24,Reported
