SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 - QUARTER 3 (16 September 2020 - 15 December 2020) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Cases Allocated To Team Member
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Root Causes
(Use dropdown List)","not supported/not supported/Conditional
supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
58,28/9/2020,"Department of International Relations and
Cooperation (DIRCO)",Provision of storage facility,"Thando (Pty) Ltd & Elliot Mobility
(Pty) Ltd","15 117 861,60",finalisation of tender process,Contract Extension,Supported,Not stated,Not stated
59,4/12/2020,"Department of International Relations and
Cooperation (DIRCO)","Venue for Ubuntu Awards which is inclusive of décor, catering,
sound, stage, technical requirement, live entertainment,
programme directors, registration, and accreditation services",Not Stated,Not stated,state of nation address,Closed bid process (Limited market),Supported,13/2/2020,13/2/2020
60,2020/11/09,"Department of Justice and Constitutional
Development (DoJ&CD)","Resources and service providers currently invoiced in the Zondo
Commission of inquiry into allegation of State Capture, the
Nugent Commission of inquiry into Tax Administration and
Governance and the Mpati Commission",Different Resources,"115 000 000,00",Continuation of service,Business continuity,Conditional Support,not stated,not stated
61,2020/11/05,"Department of Justice and Constitutional
Development (DoJ&CD)","Office accommodation for SARS for the investigative directorate
within the NPA.",SARS,"38 000 000,00",Cost saving strategy,Business continuity,Conditional Support,2020/12/01,2021/05/31
62,2020/11/30,"Department of Justice and Constitutional
Development (DoJ&CD)","provision security guarding,
and special services for Department of Justice and
Constitutional Development, National
Prosecuting Authority (NPA), and Office of the Chief Justice",Variaoius Suppliers,"204 286 716,22",To allow for a new procurement process,Business continuity,Conditional Support,2020/11/20,Not stated
63,2020/11/03,Department of Public Enterprises (DPE),"Evaluation of the Alternative Proposal by Transnet SOC Limited
to incorporate the TNPA",Blue Plant Solutions,"434 700,00",Continuation of service,Preferred Supplier / Single Source,Supported,Not stated,Not stated
64,2020/11/10,"Department of Public Works and Infrastructure
(DPWI)","Additional Office Space for Telecommunication and Postal
Services in Hatfield","Government Employee Pension
Fund ((GEPF)","22 175 977,64",Single Source,Extension of Accommodation Leases,Conditional Support,Not Stated,Not Stated
65,2020/11/10,"Department of Public Works and Infrastructure
(DPWI)",Additional Office Space for Department of Defence at Eco Park,JR 209 Investment (Pty) Ltd,"14 488 655,07",Single Source,Extension of Accommodation Leases,Conditional Support,Not Stated,Not Stated
66,2020/10/27,"Department of Public Works and Infrastructure
(DPWI)","Additional Office Space for Department of Employment and
Labour in Fiksburg",FXB Shareholders (Pty) Ltd,"109 223,81",Preferred Supplier / Single Source,Extension of Accommodation Leases,Conditional Support,Not Stated,2022/03/31
67,2020/10/19,"Department of Public Works and Infrastructure
(DPWI)","Additional Office Space for Department of Justice and
Constitutional Development: :Labout Court in Cape Town",Raigrin Investment (Pty) Ltd,"850 787,25",Preferred Supplier / Single Source,Extension of Accommodation Leases,Conditional Support,Not Stated,2022/02/28
68,2020/10/20,"Department of Public Works and Infrastructure
(DPWI)",Additional Office Space for IPID in Bloemfontein,"Mayula Pocurement and Property
Management","3 514 032,00",Preferred Supplier / Single Source,Extension of Accommodation Leases,Conditional Support,Not Stated,2030/02/28
69,2020/11/26,"Department of Public Works and Infrastructure
(DPWI)","Additional Office Space for Sport, Arts and Culture",Ascension Properties,"35 902 337,28","Sports and Recreation Expired lease
agreement and merger with Arts and Culture",Expansion of scope (time & material),Not Supported,Not Stated,2024/10/31
70,2020/09/17,"Department of Public Works and Infrastructure
(DPWI)",Lease renewal,Various Landlords,Not Stated,To achieve favorable market-related rentals,Extension of Accommodation Leases,Not Supported,Not Stated,Not Stated
71,2020/10/09,"Department of Public Works and Infrastructure
(DPWI)",Allocation of Infrastructure projects,Emerging Contractors,Not Stated,Practical Training,Business Strategy/operations,Not Supported,Not Stated,Not Stated
72,2020/12/11,"Department of Public Works and Infrastructure
(DPWI)","Implementing Agent and Program Manager for Construction
Contractors","Construction Industry
Development Board (CIDB)","4 000 000,00",Preferred Supplier / Single Source,Business Strategy/operations,Not Supported,Not Stated,Not Stated
73,2020/09/16,Department of Science and Innovation (DSI),"Appointment of South African Research Infrastructure
Roadmap (SARIR) Steering Committee",Various Consultants,"984 000,00",Continuity of Service,Business continuity,Conditional Support,2020/11/11,2022/11/10
74,2020/10/28,Department of Science and Innovation (DSI),"Drafting of the business case and feasibility study for the
establishment of a suitable institutional entity for the astronomy
portfolio",GTAC,"3 089 856,00",Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Conditional Support,Not Stated,Not Stated
75,2020/11/04,Department of Science and Innovation (DSI),Econometric Analysis Study,"DNA Economics (Pty) Ltd , The
School of Economics of the
University of Cape Town, Pan
African Investment and Research
Services (PAIRS) and Econex","500 000,00",Closed Bid,"Easy way out (making deviations
normal way of procurement)",Not Supported,Not Stated,Not Stated
76,2020/11/04,Department of Science and Innovation (DSI),"Request for CSIR to be treated as Sole Service provider to
facilitate the perfomance of its legislative mandate",CSIR,Not Stated,Mandated Services,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Not Supported,Not Stated,Not Stated
77,2020/12/03,Department of Social Development (DSD),ArcGIS Online System,ESRI,"740 000,00",Single source,Business continuity,Not Supported,not stated,not stated
78,2020/11/06,"Department of Sports, Arts and Culture (DSAC)","Management of data for conflict of interest for Department of
Sports Arts and Culture and its public entities",Inoxoco,"1 500 000,00",Preferred Supplier,"Drafting of poor specifications (TORs) and
evaluation criteria",Not Supported,Not Stated,Not Stated
79,2020/10/12,Department of Tourism (DT),Expanded Public Works Programme Infrastructure,DBSA,Not Stated,Single Source,"Government-to-Government
Procurement (GTAC, CSIR, etc)",Conditional Support,2020/10/20,2023/03/31
80,2020/09/17,Department of Tourism (DT),"Procurement of a used (second hand) Mercedes Benz GLC
AMG","Mercedes Benz Lifestyle Centre
Menlyn","663 000,00",Single Source,"Easy way out (making deviations
normal way of procurement)",Not Supported,Not Stated,Not Stated
81,2020/11/30,Department of Water and Sanitation (DWS),Audit Command Language (ACL) Software,Suretec Solutions RSA (Pty) Ltd,"452 395,33",Sole supplier,Sole Supplier – e.g. OEM,Within AA/AO mandate Noting,2021/02/01,2022/01/31
82,2020/09/29,Department of Water and Sanitation (DWS),"Employment of 600 labourers in the Emfuleni Local Municipality
– Vaal River System Intervention project","Sakhile Ezweni Security and
Moreki Distributors","40 000 000,00","Companies will assist in protecting the Water
Services Infrastructure",Business continuity,Noting,Not stated,Not stated
83,2020/11/25,Department of Water and Sanitation (DWS),Renewal of Teammate Software licences,"Wolters Kluwer Tax and
Accounting Southern Africa (Pty)
Ltd","334 831,04",Sole supplier,Sole Supplier – e.g. OEM,Noting,2021/01/01,2020/12/31
84,2020/11/24,Development Bank of Southern Africa (DBSA),"Professional Service Providers for the addition of fourteen (14)
new schools for implementation as part of the Department of
Basic Education’s Sanitation Appropriate for Education
Programme (SAFE).",Various suppliers,Not Stated,Insufficient time for tender process,Expansion of scope (time & material),Supported,Not Stated,Not Stated
85,2020/12/11,Driving Licence Card Account,Maintenance services for the production of drivers licence card,Imprimerie Nationale Groupe,Not Stated,Original Equipment Manufacturer,Sole Supplier – e.g. OEM,Closed,2020/12/01,2021/08/31
86,2020/11/26,Electoral Commission (IEC) of South Africa,"Short bid advert period (14days) for the provision for supply and
delivery of Election Managemen Devices",Not Stated,Not Stated,Insufficient time for tender process,Business continuity,Supported,Not Stated,Not Stated
87,2020/11/30,Electoral Commission (IEC) of South Africa,Covid19 testing of all electoral commission staff,"DRS Mauf AC & Partners T/A
Lancet Laboratories","1 275 000,00",Covid19,Service Delivery Urgency,Noting,Not Stated,Not Stated
88,2020/10/16,Electoral Commission (IEC) of South Africa,Google Maps Service API,28 East Pty Ltd,"2 500 000,00",Sole supplier,Business continuity,Noting,Not stated,Not stated
89,2020/09/22,Electoral Commission (IEC) of South Africa,"Procurement of Central African Republic election material and
Short advertisement period",Not stated,"9 414 000,00",Short advertisement period,Insufficient time,Supported,Not stated,Not stated
90,2020/10/15,Eskom Holdings SOC Ltd,"Detection of possible harmful elements in both crop and soils,
final leaching of lasts souls and fianl reporting",University of Pretoria,"928 000,00",Noting,Preferred Supplier / Single Source,Noting,12 months,12 months
91,2020/10/14,Eskom Holdings SOC Ltd,Construction of Kusile Medium Voltage (MV) Switchgear,Not applicable,Not applicable,Noting,Poor contract management,Noting,Not stated,Not stated
92,2020/09/22,Eskom Holdings SOC Ltd,Purchase of hardware,"Cisco Technology and Services
(South Africa) (Pty) Ltd","117 803 000,00",Preferred technology,Preferred Supplier / Single Source,Conditional Support,24 months,24 months
93,2020/10/13,Eskom Holdings SOC Ltd,Claims Advisory Services,HKA Global (Pty) Ltd,"314 990 728,09","Historical knowledge and
experience",Preferred Supplier / Single Source,Conditional Support,18 months,18 months
94,2020/10/01,Eskom Holdings SOC Ltd,"Credit Value Adjustment (CVA)
/Debit Value Adjustment (DVA) and Credit Default Swaps (CDS)
valuations services to cover
interim and year end reporting",Deloitte and Touché,"930 580,00","No internal skills
or capacity",Resistance to change,Conditional Support,2020/10/01,2021/04/30
95,2020/09/30,Eskom Holdings SOC Ltd,"Lease with current Landlord for Thabakgolo Building in the
Limpopo Operating Unit (LOU)","Redefined
Properties Limited","722 390,24",Secure landlord,"Failed tender processes; Restart tender
processes",Conditional Support,54 months,54 months
96,2020/09/22,Eskom Holdings SOC Ltd,"The supply, installation and repairs of a stolen and vandalised
12KMS of Overhead Traction Equipment (OHTE) for the newly
constructed Majuba Rail Link Line",Tractionel Enterprise,"18 077 357,86",Maintain warrantees for the design,"Easy way out (making deviations normal
way of procurement)",Conditional Support,3 months,3 months
97,2020/09/30,Eskom Holdings SOC Ltd,"Manufacture, supply and delivery of estimated quantities of high
pressure, high temperature
valves and valve spares","BBG Engineering (Pty) Ltd and
Bilfinger Intervalve Africa
(Pty) Ltd","7 027 699,78",Preferred supplier,Preferred supplier,Conditional Support,36 months,36 months
98,2020/09/30,Eskom Holdings SOC Ltd,Provision of Telcowide Data Links,Dark Fibre,Not stated,Continuation of service,Preferred Supplier / Single Source,Noting,Not stated,Not stated
99,2020/11/24,Eskom Holdings SOC Ltd,"Dismantling and removal of 101 towers (31.7KM) of scrap steel
structures at Atlas-Matla Line and Rehabilitation of Foundation",J.S Metals,"524 428,75",Continuation of service,Poor contract management,Conditional Support,12 months,12 months
100,2020/12/07,Eskom Holdings SOC Ltd,Closing of bids during festive season,Eskom Generation Division,Not stated,Maintenance activities,Service Delivery Urgency,Not Supported,2020/12/15,2021/01/15
101,2020/11/05,FAIS Ombud,Mobile Cloud App,"SPOC Managed Services (Pty)
Ltd","64 184,86",Single Source,Value-for-money,Supported,Not Stated,Not Stated
102,2020/12/15,Financial and Fiscal Commission (FFC),Departure from Treasury Regulation 16a4.1,Not stated,Not Stated,"It is impractical to have a fully functional SCM
unit","It is impractical to have a fully functional
SCM unit",Conditional Support,Not Stated,Not Stated
103,2020/12/08,"Government Pensions Administration Agency
(GPAA)","Request to approach only five (5) companies who had
responded to Expression of Interest (EOI-GPAA 5/2020)",Not Stated,Not Stated,"Closing the tender to 5 respondants who
reponded to bd GPAA 5/2020","Inadequate market research and
analysis",Conditional Support,Not Stated,Not Stated
104,2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation seven Offices,Limited bidding process,"0,00",Continuity of Services,Inadequate market research and analysis,Supported,Not stated,Not stated
105,2020/11/17,Housing Development Agency (HDA),Completion of the outstanding project milestones,"Intastor Controlled Environment
Pty Ltd","236 760,61","Delay in the approval of the building plans due
to Covid-19",COVID-19,Noting,Not stated,Not stated
106,2020/11/17,Housing Development Agency (HDA),"Completion of the outstanding milestones to develop a detailed
Greater Alexandre Development Plan (GADP","Plan Associates Development
Planners Pty Ltd","779 124,00","Delays with IMMT has not yet convened due
to COVID-19 imapct",COVID-19,Closed,Not stated,Not stated
107,2020/10/27,Human Sciences Research Council (HSRC),Reporting: Data Collection for the Seroprevalence study,Epicentre,"20 859 708,00",Emergency procurement,"Use emergency provision to enter into
long term contracts",Noting,Not Stated,2021/03/31
108,2020/11/19,Independent Development Trust (IDT),Procurement of PPEs,Various Options,"95 565 857,40",Urgent Requirement,Service Delivery Urgency,Not Supported,Not Stated,Not Stated
109,2020/09/26,Industrial Development Corporation (IDC),Office accommodation,Various Suppliers,Not Indicated,Single Source,Preferred Supplier / Single Source,Closed,Not Stated,Not Stated
110,10/12/2020,"Insurance Sector Education and Training Authority
(Inseta)SETA",Certified ODOO Partners,ODOO partners,"1 640 000,00","INSETA decided on using ODOO software
based on the memorandum of understanding
with HWSETA","Lack of understanding of procurement
legislation",Not Supported,Not stated,Not stated
111,2020/12/10,Legal Aid South Africa,Office accomomodation in various Provinces,Not Stated,"5 816 326,29",Continuation of service,Business Strategy/operations,Supported,not stated,not stated
112,2020/10/13,Lepelle Northern Water,Provision of storage area network,Dell San Device,"2 500 000,00",Instruction from SITA,Business continuity,Supported,Not stated,Not stated
113,2020/10/27,Lepelle Northern Water,Contractor of Babanana/Nkabaka bulk water project,Department of Human Settlement,"353 807 154,89",Not given,"Easy way out (making deviations normal
way of procurement)",Not Supported,Not stated,Not stated
114,2020/11/19,Lepelle Northern Water,Provision of waste collection,Tshenolo Waste (Pty) Ltd,858 per unit,Court order,Court Order / Litigation,Supported,Not stated,Not stated
115,2020/11/19,Lepelle Northern Water,Provision of SAP annual license,SAP SA (Pty) Ltd,"3 343 427,00",Sole source,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
116,2020/11/19,Lepelle Northern Water,Provision of wonderware software maintenance and support services,Digital Industries,"1 420 992,52",Sole source,Sole Supplier – e.g. OEM,Noting,Not stated,Not stated
117,2020/12/11,Limpopo Community Education and Training College,Purchase of a building,29 Bendor Street Polokwane,"8 476 516,38",limited bidding prcess,Closed bid process (Limited market),Supported,Not stated,Not stated
118,2020/10/14,Magalies Water,"Supply, delivery and offloading the chemicals for Magalies
Water treatment plants","Metsi-Chem as the second
highest bidder for the","3 630 000,00",Contract to highest bidder was terminated,"Poor performance (Service delivery and
APP targets)",Noting,Not stated,Not stated
119,2020/11/19,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",SAGE 300,Limited bidding process,"1 000 000,00",Limited bidding process,Inadequate market research and analysis,Not Supported,Not stated,Not stated
120,2020/11/19,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Investigate invest leakeage,Khumalo and Mabuya Attorneys,"687 462,12",Continuity of Services,"Lack of understanding of procurement
legislation",Not Supported,Not stated,Not stated
121,2020/09/18,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Maintenance of NSDMS,Dajo Technologies,"1 853 150,00",Continuation of services,Preferred Supplier / Single Source,Not Supported,Not Stated,Not Stated
