,Department/ Entity,Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,Value of previous extensions,"Award/
Recommended
date by AO/AA","Supported/Not
Supported","Contract Start
Date","Contract End
Date"
57,Eskom,"Design, manufacture, testing & supply
of line hardware for distribution and
transmission","Babcock Ntuthuko Powerlines
(Pty) Ltd",Expansion of scope of work,"312 696 143,48","209 599 098,22","0,00",2017/02/22,Not Supported,Not stated,Not stated
58,Eskom,"Fencing (Western Cape Operating
Unit)","Gordian Fence SA (Pty) Ltd and
Afriwire",Expansion of scope of work,"33 333 333,32","2 1 425 746,00","1 6 614 057,00",Not dated,Conditional support,Not stated,Not stated
59,Eskom,"Uninterupted Power Supplies (UPS)
(P16) at Medupi Power Station",Standby Systems,Continuity of service,"132 037 510,00","10 573 334,79","0,00",2016/12/14,Conditional support,2016/12/31,2019/06/30
60,Eskom,"Transmission of Power Delivery
Projects",Consolidated Projects (Pty) Ltd,Expansion of scope of work,"158 259 330,15","44 292 964,84","202 552 294,44",2017/01/09,Conditional support,Not stated,Not stated
61,Eskom,"Provision of software license,
maintenance and support and
professional services",Micro Focus Software Ireland,Sole source,"73 500 000,00",140 441 334.50,"233 650 610,20",2017/01/13,Supported,Not stated,Not stated
62,Eskom,"Cleaning outside at Matimba Power
Station",Mmakgoge (Pty) Ltd,Enable legal investigations to take place,"20 464 946,00","9 181 896,00","14 265 294,00",2017/01/17,Conditional support,2017/02/01,2017/12/31
63,Eskom,"Psychometric assessment materials
and services",JVR Psychometrics,Insufficient budget,"600 000,00","800 000,00","0,00",2017/01/17,Conditional support,2016/06/01,2017/05/31
64,Eskom,"Electrification of Households, Schools
and Clinicis in Limpopo",Panel of 88 contractors,Backlog of electrification,"127 263 217,20","127 724 587,85","93 292 953,60",23/01/2017,Conditional support,2017/06/15,2017/03/31
65,Eskom,"Provision of meetings management
services for Eskom Board","iThemba Governance and
Statutory Solutions (Pty) Ltd",Retain the level of proficiency,"1 218 000,00","2 030 000,00","0,00",26/01/2017,Conditional support,2017/02/01,2017/12/31
66,Eskom,"Construction supervision phase 4 at
the Ingula pumped storage scheme","Braamhoek Consultants Joint
Venture (BCJV)",Expansion of scope of work,"0,00","589 621 050,73","0,00",2017/02/08,Conditional support,2017/04/11,2018/04/10
67,Eskom,"Manufacture, testing, supply, delivery,
off-loading, erection and
commissioning of 400kV","Actom High Voltage Equipment,
a division of Actom (Pty) Ltd",Competitive bidding process in progress,"95 388 050,00","54 698 715,00","150 086 765,00",2017/02/09,Conditional support,Not stated,12 months
68,Eskom,"Provision of coal sampling; oversight
and analysis of Eskom coal imports","MBMCF Resource Management,
Mpumamanzi Group, Natural
Sampling Services, Noko
Analytical Services, Rockom
Transport and Projects, SABS
Commercial SOC Ltd, SGS
South Africa (Pty) Ltd and Siza
Coal Services).",Competitive bidding process in progress,"193 500 000,00","36 000 000,00","0,00",2017/02/21,Conditional support,2017/04/01,2017/09/30
69,Eskom,"Accommodation of 159 Hitachi Artisans
for Kusile Power Station project.",Villa Roma Boutique Hotel,Expansion of scope of work,"8 174 250,00","7 263 900,00","2 478 600,00",2017/042/24,Conditional support,2017/03/01,2017/08/31
70,Eskom,"Supply of 1.2 million tons of coal from
the Klipfontein Colliery",Iyanga Mining (Pty) Ltd,Competitive bidding process in progress,"506 018 266,67","720 298 528,00","321 558 518,67",Not stated,Conditional support,2017/03/01,2017/08/31
71,Eskom,"Provision of construction management
staff to support Kusile Power Station",Impulse International (Pty) Ltd,Continuity of service,"76 734 640,00","119 081 920,00","3 094 599,98",2017/03/17,Not Supported,2017/03/20,2018/01/19
72,Eskom,"Provision of project controls reporting
for generation, new build and
renewables projects","Arup Tata Power Engineering
Consortium",Continuity of service,"25 500 933,60","73 749 381,03","36 075 084,54",2017/01/30,Conditional support,2017/02/28,2018/03/31
73,Eskom,"Provision of permanent security
services for the Western Cape
Operating Unit.","Greystone Trading 389 CC and
Eden Security Services CC",Competitive bidding process in progress,8 500 000.00,"1 366 854,05","13 835 146,68",Not stated,Conditional support,Not stated,Not stated
74,Eskom,"Electrification of household’s
connections, infrastructure and infills.",Various suppliers,Expansion of scope of work,"300 000 000,00","84 472 653,00","0,00",Not stated,Conditional support,2016/01/01,2017/01/30
75,Eskom,"Refurbishment of outside plant, water
treatment control and instrumentation
at Tutuka Power Station.",Yokogawa South Africa (Pty) Ltd,Expansion of scope of work,"139 696 225,58","51 961 221,21","143 662 637,00",Not stated,Conditional support,2017/11/01,2018/02/28
76,Eskom,"Engineering, Design, Manufacture,
Inspection, Delivery, Site testing,
Commissioning of 24 complete
Auxillary oil Transformers; associated
fire protection system and earthing
resistors for the Kusile Power Station",Zest Electric Motors (PTY) Ltd,Delays caused by other contractors,"82 029 507,31","13 611 034,12","0,00",Not stated,Conditional support,Not stated,40 months
77,Eskom,Industrial and medical gases,"Afrox (Pty) Ltd and Air Products
(Pty) Ltd",Competitive bidding process in progress,"20 000 000,00",18 735 639.67,"22 168 302,41",2016/12/20,Conditional support,Not stated,6 months
78,Eskom,"Project controls, reporting for
generation, new build and renewables
projects","Arup Tata Engineering
Consortium",Continuity of service,"25 500 933,60","36 075 084,54","37 674 296,49",Not stated,Conditional support,2017/02/28,2018/03/31
79,Eskom,"Manufacture, testing, delivery, off
loading and erection of estimated
quantities 11-120kv transformers.","Instrument Transformer
Technologies",Competitive bidding process in progress,"33 676 568,34","0,00","0,00",Not stated,Conditional support,2016/11/01,2017/02/28
80,Eskom,"Low Voltage Switchgear Kusile Power
Station",Siemens SA,Delays caused by other contractors,491 163 194.44,"0,00","0,00",2017/01/30,Conditional support,Not stated,36 Months
81,Eskom,"Design, manufacture, testing and
supply of medium voltage electric
motors to various power stations","ABB South Africa; Actom (Pty)
Ltd; Zest Electric Motors (Pty)
Ltd","Allow for the outstanding orders and additional
items to be delivered","244 082 414,46","284 952 360,00","284 952 360,00",Not stated,Supported,2017/05/01,2017/08/31
82,Eskom,Purchase of vehicles ancilaries,Various suppliers,"Alignment of contract with approved capital
budget","159 341 338,00","129 924 911,00","0,00",Not stated,Conditional support,Not stated,Not stated
84,Eskom,Supply coal to Kusile power station,Universal Coal,Improve coal specification.,"3 154 983 000,00","5 101 861 679,00","616 675 054,00",2017/03/20,Not Supported,2013/04/01,2023/03/31
86,Eskom,"Construction of burner facility in
CAMDEN Power station",Tsalanang Pty LTD,Extension of contract period,"3 227 375,00","0,00","0,00",2017/03/15,Conditional support,2016/10/17,2017/10/17
87,Eskom,Construction of Gromis in Orenjemond,OPTIPOWER Projects,Expansion of scope of work,"178 197 922,00","40 398 000,00","0,00",2017/04/21,Conditional support,2016/01/15,2017/08/14
88,Eskom,"Provision of security services for all
units and National Key Points",25 Contracts,"Cancellation of tender due to non responsive
bids received","397 575 048,00","411 400 136,00","926 839 134,00",2017/02/15,Conditional support,2017/04/30,2018/03/01
89,Eskom,"Supply Sulphur to various Power
Stations",Sasol Nitro,Competitive bidding process in progress,"115 720 000,00","12 654 658,00","31 179 056,00",2017/03/23,Conditional support,2010/12/01,2017/09/30
90,Eskom,Construction of overhead lines,Various service providers,Insufficient budget,"98 396 347,00","9 146 692,00","0,00",2016/12/14,Conditional support,Not stated,Not stated
91,Eskom,"Provision of Server Support Services,
Disaster Recovery Data Centre
Services, End-User Computing
Services and Service Desk Support",T-Systems,Competitive bidding process in progress,"2 936 231 859,00","942 344 318,00","3 388 581 250,00",2017/02/08,Conditional support,2017/03/01,2018/04/30
92,Eskom,Provision of security services,"Eden Security CC and Raite
Security",Competitive bidding process in progress,"18 000 000,00","4 405 774,36","6 7 249 648,41",Not dated,Conditional support,Not stated,Not stated
93,Eskom,"Transportation of coal from various rail
sidings to Tutuka, Grootvlei, Camden
and Majuba Power Stations",Transnet Freight Rail (TFR),"Impractical to negotiate new contracts for a
longer period without a long term view of the
coal requirements for the power stations","4 857 766 000,00","2 055 472 844,00","0,00",2017/02/24,Conditional support,2017/04/01,2017/10/31
94,ETDP SETA,Software Licence and payroll services,SAGE VIP,Single Source,"148 304,88","148 304,88","0,00",2017/02/24,Conditional support,2017/01/03,2018/01/04
95,ETDP SETA,Storage facility,Kwamasiza Transport,Limited/No space on the new premises,"467 217,60","141 930,00","0,00",2017-0223,Conditional support,2017/01/04,2017/08/31
96,ETDP SETA,Provision of Office Space,Global Continuity SA (Pty) Ltd,Non-responsive bids,"1 275 063,60","1 311 000,00","786 000,00",2016/10/03,Conditional support,2017/01/04,2017/08/31
97,FIC,"Supply of Newspapers and Financial
Magazines",Sephoti Trading & Projects,Continuity of service,"122 226,64","91 018,56","0,00",2017/01/12,Supported,2017/02/01,2018/02/28
98,FIC,"Supply of Newspapers and Financial
Magazines",Cape Subscriptions Cc,Continuity of service,"9 921,60","10 464,00","0,00",2017/01/12,Supported,2017/02/01,2018/02/28
99,FIC,"Supply of Newspapers and Financial
Magazines",Cape Subscriptions Cc,Continuity of service,"11 606,39","15 412,80","0,00",2017/01/12,Supported,2017/02/01,2018/02/28
100,FIC,"Premium paid subscription of various
applications",Various Service Providers,Continuity of service,"8 744 352,91","5 818 442,27","0,00",2017/03/23,Conditional support,2017/04/01,2020/03/31
101,GTAC,Communication services,Lathithaa Consulting Services,Expansion of contract period,"729 600,00","1 500 000,00","1 09 000,00",2017/01/20,Supported,2017/02/01,2017/07/31
102,GTAC,"Municipal Finance Improvement
Programme",Various Service Providers,Competitive bidding process in progress,"12 551 446,00","1 473 100,00","0,00",2017/03/31,Not Supported,2017/04/01,2017/05/31
103,Health,Storage of confidential documents,Metrofile (Pty) Ltd,Confidentiality on medical files,"282 722,00","166 456,00","73 721,00",2017/03/02,Conditional support,2017/04/01,2018/03/31
104,Health,"Replacement of clinics and Community
Health Centres",Procurement Dynamics,Expansion of scope due to Operation Phakisa,"5.72% per clinic; 4.50% per CHC
and 5.50% disbursement fees
per facility","9,90%","0,00",2017/03/08,Conditional support,2014/11/07,2017/11/06
105,Health,"Provide preventative and clinical
services on a seasonal basis in public
health facilities","Foundation for Professional
Development (Pty) Ltd",Competitive bidding process in progress,"26 606 218,00","3 616 766,00","3 146 769,00",2017/03/27,Conditional support,2017/04/01,2017/09/30
106,Health,"Extension of private physical security
contract",Dem Security Services CC,Competitive bidding process in progress,"441 600,00","73 600,00","0,00",2017/03/29,Conditional support,2017/04/01,2017/05/31
107,Health,"Extension of private physical security
contract",Raite Security Services CC,Competitive bidding process in progress,"465 120,00","77 520,00","0,00",2017/03/29,Conditional support,2017/04/01,2017/05/31
108,Health,"Extension of private physical security
contract",Motsodi Trading Enterprise CC,Competitive bidding process in progress,"447 173,00","74 528,00","0,00",2017/03/29,Conditional support,2017/04/01,2017/05/31
109,ICASA,"Bandwith and Video conferencing
bridging solutions",Galeboe Professional Service,Uninterupted access to internet,"2 628 847,57","1 344 215,22","0,00",2016/12/14,Supported,2016/07/07,Once-Off
110,"Justice and Constitutional
Development",Transcription Services,Various Service Providers,Competitive bidding process in progress,"35,356,99.10","4 22 561,95","7 044 269,93",2017/02/17,Supported,2017/03/01,2017/05/31
111,"Justice and Constitutional
Development","Travel and accommodation
management services",Flair (Pty) Ltd,Competitive bidding process in progress,"168 506 615,00","50 958 369,00","245 851 897,00",2017/02/24,Supported,2017/04/01,2017/09/30
112,Labour,Litigation support services,Sizwe Ntsaluba Gobodo,Continuity of service,"452 771,52","7 85 304,32","0,00",2017/01/16,Conditional support,Once off,Once off
113,Legal Aid,"Rental of office accommodation in
Stellenbosch Justice Centre","Abacus Property Holding & Key
Capital Property Holdings",Competitive bidding process in progress,5 772 489.40,520 459.84,361 439.14,2017/03/22,Not Supported,Not stated,Not stated
114,Legal Aid,"Rental of office accommodation in
Mafikeng Justice Centre",Edgebay Investment 9 (Pty) Ltd,Competitive bidding process in progress,1 307 657.52,"1 507 256,33",363 516.93,2017/02/20,Conditional support,Not stated,Not stated
115,Lepelle Northern Water,"Installation of 500mm Raw water
pipeline at Doorndraai Plant",TCP Bereka JV Sebushi,Extension of scope of work,"4 585 494,00","1 433 418,00","964 566,00",2017/01/26,Conditional support,2016/04/09,2017/07/29
116,Lepelle Northern Water,"Planning and design processes for the
raising of Tzaneen Dam Project",Blackhead Consulting,Extension of scope of work,"17 000 000,00","7 000 000,00","0,00",2017/02/16,Not Supported,Not stated,Not stated
117,LGSETA,"Develop QAS addendum and
Bankdata of assessment Instruments",Mr Wermart Groenewald,Continuity of service,"60 000,00","45 000,00","0,00",2017/02/17,Conditional support,2017/02/17,2017/02/03
118,LGSETA,"Maintenance and Hosting of MIS
System",Remotenet,Continuity of service,"6 134 822,36","6 097 235,76","0,00",2017/03/16,Conditional support,2017/04/01,2020/03/31
119,LGSETA,Network Infrastructure upgrade,Vox,Continuity of service,"4 079 400,00","1 849 879,22","0,00",2017/03/16,Conditional support,2017/04/01,2020/03/31
120,Mineral Resources,"Support of the SAMRAD and SAMSHA
online system",Moneo Professional Services,Single Source,"13 680,00","1 008 000,00","246 240,00",2016/10/27,Supported,2017/01/03,2020/01/04
121,MISA,Trainings,SAICE-PDP,"Reasonable cost and experience on MISA
skills training courses","4 743 438,75","800 000,00","2 608 891,31",2017/01/24,Not Supported,2016/04/01,2017/03/31
122,MISA,"Extension of a contract for a Financial
Consultant",Mr Z Nanabhay,"The initiate and finalisation of recruitment
process for permanent position","706 560,00","1 148 160,00",574 080.00,2017/01/25,Supported,2017/04/01,2018/03/31
123,MISA,"Consultancy Agreements for Technical
Consultants of various Built
Environment Field",Technical consultants,Competitive bidding process in progress,Not stated,"28 850 584,32","22 593 600,00",2017/02/25,Supported,2017/04/01,2018/03/31
124,MQA,Reconcilliation of transactions,SAB&T Chartered Accountants,Single Source,"1 258 680,00","1 385 364,00","0,00",2017/03/13,Not Supported,2017/01/04,2017-06-31
125,MQA,"Acquisition of editing and printing of the
2017/18 strategic plan service",IE Communications,Overtime work,"59 113,81","38 540,94","0,00",2017/02/28,Conditional support,2017/01/04,Once-Off
126,MQA,Chairing of MQA's disciplinary hearing,Hogan Lovells,"Additional days needed to conclude disciplinary
hearings process","91 200,00","13 680,00","0,00",2017/01/26,Supported,2017/01/26,2017/01/26
127,National Treasury,Lease of parking space,Moongate 125 (Pty) Ltd,Continuity of service,"2 820 054,24","4 577 207,26","0,00",2017/02/15,Conditional support,2017/03/01,2020/02/28
128,National Treasury,Maintenance of Secuscan Machines,Pabalelo Security and Projects,Continuity of service,"0,00","1 143 648,00","0,00",2017/02/23,Conditional support,2017/03/01,2019/02/28
129,NHBRC,Mobile offices,"Mobile Specialized Technologies
Group (Pty) Ltd",Enabling sufficient time to conduct bid process,"11 080 800,00","1 026 000,00","0,00",2017/02/01,Conditional support,6 months,Not stated
130,NHRBC,Audit Services,Ernst & Young,Continuity of service,"471 618,00","686 778,00","0,00",2016/12/19,Conditional support,Not stated,Not stated
131,NPA,Covert accommodation for witnesses,Different suppliers (7),"Ensure safety, protection of witnesses and their
relatives from danger.","0,00","1 883 704,12","0,00",2017/03/27,Conditional support,Not stated,Not stated
132,NPA,Covert accommodation for witnesses,Different suppliers (7),"Ensure safety, protection of witnesses and their
relatives from danger.","0,00","2 585 825,24","0,00",2017/03/06,Conditional support,Not stated,Not stated
133,NPA,Covert accommodation for witnesses,Different suppliers (7),"Ensure safety, protection of witnesses and their
relatives from danger.","0,00","1 941 937,66","0,00",2017/03/06,Conditional support,Not stated,Not stated
134,NPA,"Warranty, maintenance and support for
Video conference",Infrasol (Pty) Ltd,"Renewal of warranty, maintenance and support","12 897 734,78","4 773 367,67","0,00",2017/03/17,Conditional support,Not stated,Not stated
135,NSFAS,Office accomodation,Proud Heritage,Extension of lease agreement,"5 430 690,00","21 746 021,87","0,00",2017/02/20,Conditional support,2017/03/01,2022/02/28
136,NSFAS,Reprinting of the NSFAS Strategic Plan,Indingliz,Changes in the print document,"18 740,80","15 655,05","0,00",2017/02/24,Supported,Once off,Once off
137,NSFAS,Travel Services,Travel With Flair,Continuity of service,"797 356,00","122 670,00","0,00",2017/03/27,Supported,2017/04/01,2017/06/30
138,NSG,Call centre services,SITA,Inability to sustain on-premise contact centre,"3 984 179,00","2 579 414,21","0,00",2017/03/14,Conditional support,2017/04/01,2019/03/31
139,NSG,Delivering AMDP and EMDP,Various Universities,Competitive bidding process in progress,"50 000 000,00","12 095 885,70","0,00",2017/03/24,Conditional support,2017/04/01,2017/09/30
140,PetroSA,"Storage and transportation of Mill scale
with VDM Grondverskuiwing (Pty) Ltd",VDM Grondverskuiwing (Pty) Ltd,Expansion of scope of work,"3 875 919,00","3 759 527,00","0,00",2016/12/19,Conditional support,2015/06/01,2018/07/31
141,PetroSA,"Renewal of SAP Software licence and
maintenance","Systems Application Products
SA (Pty) Ltd",Sole source,"10 993 440,00","7 712 064,00","60 599 142,00",2016/12/19,Conditional support,2015/06/01,2018/07/31
142,PetroSA,"IT Senior Database Management and
SAP Technical Services",Gijima Holdings (Pty) Ltd,Continuity of service,3 875 040.00,2 789 760.00,"0,00",2017/01/10,Not Supported,2016/11/01,2017/10/30
