SCM GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 3 (16 SEPTEMBER 2020 - 15 DECEMBER 2020) REPORT EXPANSIONS,,,,,,,,,,,,
Number,Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
,2020/12/14,Agrément South Africa,Office Accomodation,"Council for Scientific and Industrial Research
(CSIR)",Contract extension,Not Stated,Not Stated,Not Stated,Conditional Support,2020/12/14,2021/03/01,2024/02/28
,2020/10/29,Air Traffic and Navigation Services (ATNS),Total Airport and Airspace Modeler (TAAM) Fast Time Simulation Software,TAAM,"To finalise reseach and
develop specifications for the
next tender process","7 468 315,56","11 425 284,00",0.00,Supported,2020/10/29,2020/11/16,2022/11/15
,2020/11/23,Air Traffic and Navigation Services (ATNS),Dynamics GP Support,Braintree VOX Telecommunications,New strategy adopted,"1 189 905,00","2 379 810,00",0.00,Supported,2020/11/23,2020/12/03,2021/05/02
,2020/09/21,Airports Company South Africa (ACSA),"Slot Management Solution for the Development, Support and Maintenance
of SCORE",Prolog Development Centre (PDC),"Difficult for users to do slot
coordination optimally and on-
going maintenance is","2 703 293,00","6 468 854,00","720 824,00",Conditional Support,2020/09/21,2021/04/01,2024/03/31
,2020/09/29,Amatola Water,"Professional services implementation Mthatha Bulkwater master plan,
refurbishment of Mathata Thornhill raw water pipeline, upgrading of Mthata
water supply, Thornhill bulk water supply upgrade and rehabilitation and
Rosedale to Libode WSS",Gibb (Pty) Ltd,"Adjust values to be in line with
final construction cost","90 092 303,74","61 877 515,08","329 787 116,17",Not Supported,2020/07/23,Not stated,Not stated
2020/11/27,Department of Health (DoH),"Provision of an alternative chronic medication access programme for the
public sector patients","Pharmacy Direct (Pty) Ltd and DSV HealthCare
(Pty) Ltd","Allow time to engage on a
new tender process","562 493 514,24","1 543 597 628,46",-,Supported,2020/11/25,2021/04/01,2022/03/31
2020/12/03,"Department of Higher Education and Training
(DHET)",Construction of Umgungundlove FET College,Motheo Construction,"Relocation of unforssen water
pipeline on behalf","9 562 213,42","113, 648,034.45","16 034 810,85",Supported,2020/12/02,Not stated,Not stated
2020/09/29,Department of Home Affairs (DHA),Cash in transit services,Fidelity Cash Solutions,Tender process not finalised,"1 612 722,00",18 553 180.80,3 225 444.00,Not Supported,2020/09/29,2020/10/01,2021/12/31
2020/11/05,Department of Home Affairs (DHA),"Management of front office processing of VISA and permit applications in
South Africa and abroad",VFS Global,Finalisation of PPP process,"0,00","0,00","0,00",Conditional Support,2020/11/05,2021/01/01,2022/12/31
2020/09/30,"Department of Justice and Constitutional
Development (DoJ&CD)","Security guarding, and special services for Department of Justice and
Constitutional Development, National Prosecuting Authority (NPA), and
Office of the Chief Justice",Variaoius Suppliers,"To allow for a new
procurement process","135 191 144,14",Not stated,Not stated,Conditional Support,2020/09/30,2020/10/01,2020/11/30
2020/09/30,"Department of Justice and Constitutional
Development (DoJ&CD)","Security support, control room operators’ services and maintenance in
104 offices",Variaoius Suppliers,"To allow for a new
procurement process","14 131 396,98","42, 394, 109.94",Not stated,Conditional Support,2020/09/30,2020/10/01,2020/11/30
2020/10/19,"Department of Justice and Constitutional
Development (DoJ&CD)","Provision of K2 development, maintenance and support services",Lilnar Trading t/a IT Rekted (Pty) Ltd,"To allow for a new
procurement process","3 313 418,00","25,333,268.84","1,652,733.74",Conditional Support,2020/10/19,2020/11/01,2021/02/28
2020/09/30,"Department of Justice and Constitutional
Development (DoJ&CD)","Integrated Justice System (IJS) transversal skills resourcing services for a
six (6) months",Not Stated,"To allow for a new
procurement process","44 734 334,64","196,992,000.00","74,809,412.92",Conditional Support,2020/09/30,2020/10/01,2021/03/31
2020/10/30,"Department of Mineral Resources and Energy
(DMRE)","Provision of office accommodation for the DMRE Western Cape regional
office in Cape Town",Renny Properties,"The Landlord offered an
extension of not less than 24
months","6 300 116,70",Not Stated,Not Stated,Not Supported,2020/10/29,2020/06/01,2020/05/31
2020/09/29,Department of Public Service and Administration,Provition of dedicated internet services,SITA,Business Continuity,"308 511,39",1 582 710.54,0.00,Supported,2020/09/29,2020/07/01,2021/12/31
2020/11/26,"Department of Public Works and Infrastructure
(DPWI)","DCS: Baviaanspoort Prison: Emthonjeni Youth Centre-Refurbish, Repair,
and Upgrade Security , Building Steam Installation and Wet Services",JFE Industries,Variation of order,"15 399 073,09","157 995 881,50","17 494 045,10",Not Supported,2020/11/25,Not Stated,Not Stated
2020/11/25,"Department of Public Works and Infrastructure
(DPWI)","Western Cape: DOD: AFB Overberg TFDC upgrade and renovations to
building and infrastructure",Raubex Joint Venture,Variation of order,"143 767,25","249 880 000,00","12 136 986,68",Not Supported,2020/11/24,Not Stated,Not Stated
2020/12/07,"Department of Public Works and Infrastructure
(DPWI)",Additional Office Space,PDL Property Management (Pty) Ltd,Variation of scope,"130 666,02","622 651,44",0.00,Supported,2020/11/09,Not Stated,2021/12/31
2020/12/10,"Department of Public Works and Infrastructure
(DPWI)","Replacement of asbestos roof with fibre cement in Seshego Magistrate
office",Macho Construction Group,Variation of scope,"599 688,18","6 772 410,95","966 391,45",Not Supported,2020/11/09,Not Stated,Not Stated
2020/11/26,Department of Science and Innovation (DSI),Renewal of Lease Agreement for NIPMO,Innovation Hub Management Company,Contract extension,"304 446,00","2 725 666,92","1 891 905,05",Supported,2020/11/11,2021/01/01,2021/03/31
2020/11/26,Department of Science and Innovation (DSI),Renewal of Lease Agreement for NACI,Innovation Hub Management Company,Contract extension,"298 559,56","2 676 732,00","2 541 986,98",Supported,2020/09/11,2021/01/01,2021/03/31
2020/11/23,"Department of Sports, Arts and Culture (DSAC)","Management and Disbursement of the Presidential Employment Stimulus
Programme (PESP)",South African Cultural Observatory (SACO),"Contract expansion in excess
of 15%",Not Stated,Not Stated,Not Stated,Not Supported,2020/11/11,Not Stated,Not Stated
2020/10/20,Department of Water and Sanitation (DWS),Debt collection,Solwandle Attorneys,Completing of work,Not Stated,Not Stated,Not Stated,Not Supported,2020/09/23,Not stated,Not stated
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Eastern Cape),JHI Blue Bacon,Contract extension,"3 279 226,16",4 157 575.44,505 055.70,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Free State),The Michael House Family Trust,Contract extension,"3 146 872,68","4 482 509,86",424 669.19,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (KwaZulu Natal),The Kaywood Trust,Contract extension,"2 132 550,71",2 682 588.15,299 765.28,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Limpopo),Frikkie Pienaar Properties,Contract extension,"1 665 000,00",3 521 032.82,332 442.00,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Mpumalanga),Road Hogg Tours,Contract extension,"3 621 702,36",5 489 112.71,441 652.92,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Northern Cape),AIDA,Contract extension,"2 277 000,00",3 738 706.68,403 545.12,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Northern West),Engel & Volkers,Contract extension,"2 182 125,00",5 200 933.03,420 808.44,Supported,2020/11/24,2021/01/01,2023/12/31
2020/11/24,"Education, Training and Development Practices
Sector Education and Training Authority (ETDP
SETA)SETA",Renewal of Provincial Lease agreements (Western Cape),JHI Frederick Carter,Contract extension,"2 068 900,96",4 420 912.97,293 638.86,Supported,2020/11/24,2021/01/01,2023/12/31
2020/10/20,Eskom Holdings SOC Ltd,"Maintenance and Woodpole replacement scopes of work required for the
operations and maintenance portfolio in KZN",Various suppliers,Continuity of service,"72 000 000,00","126 026 468,00","17 300 000,00",Supported,2020/10/20,2020/11/01,2021/10/31
2020/11/25,Eskom Holdings SOC Ltd,"Sringing, cabling, earthing and minor civils at Lomond Substation and
Lulamisa Substations",Gebane Engineering Services CC,"Complete the reamining scope
of work","1 013 859,00","11 976 852,90",0.00,Conditional Support,2020/11/24,2020/12/15,2021/11/14
2020/11/26,Eskom Holdings SOC Ltd,"Supply, transportation, erection and dismantling of scaffolding and
insulation material","Southey Contracting (Pty) Ltd; Kaefer Thermal
Contracting Services (Pty) Ltd; SGB-Cape, a
division of Waco Africa (Pty) Ltd and TMS Group
Industrial Services (Pty) Ltd",Continuation of service,"551 425 000,00","378,499 500.00","6,119,911,519.00",Conditional Support,2020/11/26,2021/01/01,2021/06/30
2020/11/20,Eskom Holdings SOC Ltd,"Procurement of Control and Instrumentation (P17C) at Medupi Power
Station",Siemens (Pty) Ltd,Continuation of service,"167 824 729,88","1,284,080,088,00","101,622,509,00",Conditional Support,2020/11/19,2021/08/19,2022/03/19
2020/10/13,Eskom Holdings SOC Ltd,"Contract Claims Advisory Services Panel at Group Capital for time and
money","HKA Vharanani Properties Joint Venture (HKA VP
JV), C-Squared (C2) and Price Waterhouse
Coopers (PWC)",Depletion of funds,"38 208 043,00","389,500,000,00",0.00,Conditional Support,2020/11/13,2021/04/30,2021/10/30
2020/10/21,Eskom Holdings SOC Ltd,Procurement of Legal Services for Medupi Borutho Line,Gildenhuys Malatji Inc,Continuation of service,"1 610 575,00","459,425.00 00",0.00,Not Supported,2020/10/21,2020/10/17,2021/07/16
2020/10/21,Eskom Holdings SOC Ltd,"LV Motor Repair and Refurbishment services for the procurement of LV
motor repair and refurbishment services","Marthinusen and Coutts Cleveland A division of
Actom (Pty) Ltd",Depletion of funds,"1 918 487,42","17,201,230.26","2,434,306.42",Conditional Support,2020/10/21,2020/11/23,2020/12/31
2020/11/24,Eskom Holdings SOC Ltd,Provision of quality and/ or inspection services,Tivanathi Engineering (Pty) Ltd,Continuation of service,"5 585 233,43","49,415,960.00","7,258,620.60",Conditional Support,2020/11/24,2020/11/26,2021/02/26
2020/10/20,Eskom Holdings SOC Ltd,"Provision of a panel of electrical contractors for minor and major work
within the reticulation portfolio",Panel of electrical contractors,Continuation of service,"36 577 811,00","237,921,912,23","19,549,042,05",Conditional Support,2020/10/20,2021/02/01,2021/03/31
2020/09/17,Eskom Holdings SOC Ltd,"Supply and delivery of coal to Kusile Power Station and/or any other
Eskom power station",HCI,Expansion of scope,"309 380 700,00","8,605,221,840,00",0.00,Conditional Support,2020/07/30,Not stated,Not stated
2020/09/22,Eskom Holdings SOC Ltd,Provision of Legal services,"Harkoo, Brijlal, Reddy and
Incorporated",Continuation of service,"4 049 200,00","1,740,000.00",0.00,Conditional Support,2020/09/22,Not stated,2021/10/31
2020/09/16,Eskom Holdings SOC Ltd,Provision of Legal services,Reneqe Attorneys,Continuation of service,"3 565 000,00","1,035,000.00",0.00,Conditional Support,2020/11/10,Not stated,2024/03/31
2020/10/08,Eskom Holdings SOC Ltd,"Turbine
Generator (P03) Medupi Power Station",Alstom South & East (Pty) Ltd,Continuation of service,"116 567 868,00","13,364,641,808.00",0.00,Conditional Support,2020/10/08,Not stated,Not stated
2020/10/14,Eskom Holdings SOC Ltd,"Provision of physical security
services for Eskom Holdings SOC Ltd and National Key Points",Various service providers,"Increase in the demand for
security services","269 647 730,00","1 515 550 650,68","0,00",Conditional Support,2020/10/13,2019/10/01,2021/03/31
2020/10/20,Eskom Holdings SOC Ltd,Construction of Kusile Medium Voltage (MV) Switchgear,"Stefanutti Stocks & Basil Read Joint Venture
(SSBR JV)",Access delays,"268 251 506,24","1 877 170 000,43","3 178 921 724,39",Noting,2020/10/20,Noting,Noting
2020/12/08,Eskom Holdings SOC Ltd,Provision of mobile connectivity services to all Eskom divisions,Vodacom SA (Pty) Ltd,Continuation of service,"53 200 143,00","80,000,000.00",-,Conditional Support,2020/12/07,9 months,2021/08/17
2020/09/28,Eskom Holdings SOC Ltd,Stringing and cabling at Pluto and Midas Substation,Gebane Engineering services cc,Outages,"990 755,00","12 133 372,50","1 840 726,19",Conditional Support,2020/09/28,2020/10/01,2021/06/30
2020/09/29,Eskom Holdings SOC Ltd,Electrical contracts,Panel of contractors,"To allow for establishment of a
new panel","18 748 693,80","46 698 637,65","9 201 210,03",Conditional Support,2020/09/22,2020/11/01,2021/10/31
2020/10/28,Eskom Holdings SOC Ltd,SPU metering reading services,Panel of contractors,Insufficient funds,"7 760 336,96","46 798 992,40","6 801 283,41",Conditional Support,2020/10/20,Not stated,Not stated
2020/11/30,Eskom Holdings SOC Ltd,"Wet Flue Gas Desulphurisation (WFGD) Plant of six (6) Units at Kusile
Power Station",Alstom S and E Africa (Pty) Ltd,"Make provision for
contingency on the project","55 833 564,38","2,745,590,776.00","308,937,779.23",Conditional Support,2020/11/27,2020/10/01,2023/08/30
2020/11/24,Eskom Holdings SOC Ltd,"Provision of quality and/
or inspection services","Atvance Empowered Risk
Management","Stability and no disruption
on the current services
provided","1 380 000,00","9,954,912.00","1,260,960.37",Not Supported,2020/11/24,2020/11/26,2021/02/26
2020/11/09,Estate Agency Affairs Board of South Africa,Continued Profession Development (CPD) software and related services,E2 Institutions Pty Ltd,Extension of Contract,"863 406,00",692 640.00,0.00,Conditional Support,2020/11/09,2019/04/01,2022/03/30
2020/10/01,Government Pensions Administration Agency,GPAA and GEPF Network services,MTN,"Tender process not finalised
by SITA","23 659 198,08",32 533 812.36,9 767 705.21,Supported,2020/10/01,2020/10/01,2020/10/31
2020/10/13,Government Pensions Administration Agency,Call centre services,MTN,Tender process not finalised,"3 725 337,47",14 388 114.53,5 671 536.15,Supported,2020/10/01,2020/11/01,2021/10/01
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Royal traders,Continuity of service,"352 024,00","811 087,00","1 955 054,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Gemgrow/Arrowhead Properties,Continuity of service,"484 882,00","927 422,00","3 508 141,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Tower Properties,Continuity of service,"505 352,00","842 793,00","3 850 485,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Stroh Familie Trust,Continuity of service,"324 000,00","709 394,00","2 379 171,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Blend Properties,Continuity of service,"227 664,00","503 748,00","1 841 354,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Skyline Motors,Continuity of service,"284 910,00","572 959,00","1 564 598,00",Supported,2020/12/03,2021/04/01,2021/12/31
2020/12/04,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Office Accommodation,Blue Crest Holdings,Continuity of service,"4 125 763,00",22 411 272.00,55 423 190,Supported,2020/12/03,2021/04/01,2021/12/31
2020/10/28,"Independent Communications Authority of South
Africa (ICASA)",RT08-2017 Removal and Storage of assets of auhority,SKYNET,Bidding process in progress,"124 200,00","272 366,37",0.00,Not Supported,2020/10/28,2020/11/01,2021/01/21
2020/12/01,"Independent Communications Authority of South
Africa (ICASA)",Lease extension for the KZN Regional office,Delta Property Fund Ltd,Tender process in progress,"1 113 415,74",4 465 583.95,0.00,Supported,2020/11/27,2021/06/01,2022/05/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Forster Care and Widowers,Variation of order,"78 808,97","313 900,12",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Tirhani,Variation of order,"153 610,70","313 900,12",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,A Re Direng Caregivers,Variation of order,"185 668,58","627 800,24",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Batsha Ba Kopane,Variation of order,"212 383,49","601 085,34",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Itereleng Projects,Variation of order,"185 668,58","627 800,24",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Kutullo Disability Care,Variation of order,"185 668,58","627 800,24",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Makapanstad Rural Development,Variation of order,"185 668,58","627 800,24",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Lokgabeng Disabled Centre,Variation of order,"345 958,01","467 510,82",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Peeletso Sechabeng,Variation of order,"212 383,49","601 085,34",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/10/14,Independent Development Trust (IDT),EPWP-COVID 19 Response Project,Rekopane Old Age and Disability Centre,Variation of order,"185 668,58","627 800,24",0.00,Supported,2020/10/13,Not Stated,2020/11/30
2020/09/22,Industrial Development Corporation,Provision of office accomodation,Various suppliers,Business Continuity,Not stated,Not stated,Not stated,Closed,2020/09/22,Not stated,Not Stated
2020/11/26,"Insurance Sector Education and Training Authority
(Inseta)SETA",Enterprise Resources Planning,Solugrowth,Continuity of service,"1 329 478,08",5 016898.19,"1 254 224,55",Supported,2020/11/26,2020/12/01,2021/05/31
2020/11/26,"Insurance Sector Education and Training Authority
(Inseta)SETA",Management Information System,Solugrowth,Continuity of service,"1 088 002,25","4 352 011,56","1 088 002,89",Supported,2020/11/26,2020/12/01,2021/05/31
2020/10/03,Legal Aid South Africa,"Office accommodation of the Umlazi
Local Office (Umzinto Satellite Office)",Not Stated,"To allow for a new
procurement process","135 075,79","719,085.60","45,024.93",Conditional Support,2020/10/20,2020/11/01,2021/06/30
2020/11/30,Legal Aid South Africa,Provisioning of a group life insurance scheme,Verso Financial Services (Pty) Ltd,"To allow for a new
procurement process","1 995 849,54","5,199,007.32",0.00,Conditional Support,2020/11/27,2021/01/01,2021/03/31
2020/12/03,Legal Aid South Africa,"Document exchange services for all Legal Aid offices and the
variation is for the extension of","Docex Management
(Pty) Ltd","To allow for a new
procurement process","300 319,41","3,303,758.54","300,000.00.",Conditional Support,2020/12/02,2021/01/01,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Bridgecon Properties,"Allow time to engage on a
new tender process","354 392,40","354 292,20","1 045 109,12",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,De Bryn,"Allow time to engage on a
new tender process","442 340,86","1 421 577,92","1 424 481,90",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Ikoutoris Trust,"Allow time to engage on a
new tender process","482 786,00","512 400,00","1 036 178,10",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Integer Properties,"Allow time to engage on a
new tender process","4 570 292,40","12 151 907,29","18 744 501,58",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Mauvene Investment (Pty) Ltd,"Allow time to engage on a
new tender process","406 454,46","265 392,00","10 119 626,41",Supported,2020/09/22,2020/11/13,2021/03/31
2020/09/28,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation,Retcon,"Allow time to engage on a
new tender process","775 968,06","1 020 000,00","6 644 928,06",Supported,2020/09/22,2020/11/13,2021/03/31
