5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
20,Q1 2023/24,New,2023/04/25,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Mfubesi Projects,R22 970,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/4/4,Once off delivery,Not stated,Reported
21,Q1 2023/24,New,2023/04/26,Special Investigation Unit,"Associations of Certified Fraud
Conference and Seminas
examiners South Acrifa (""ACFE"")",,R160 650.00,any other,Noting,2023/4/26,2023/9/13,2023/9/15,Reported
22,Q1 2023/24,New,2023/05/08,South African Social Security Agency,Extension of Call Centre Services,ISON Xperiences,R19 665 000,To allow re-advertisement and completeion of the procurement processes,Noting,2023/4/30,2023/5/1,2023/8/31,Reported
23,Q1 2023/24,New,2023/05/02,"Export Credit Insurance Corporation of South
Africa Limited",Bloomberg subscription,Bloomberg Finance LP,R25 875.00,Exception in terms of procurement policy,Noting,2023/4/14,Not stated,Not stated,Reported
24,Q1 2023/24,New,2023/05/02,"Export Credit Insurance Corporation of South
Africa Limited",ICT Consumables,Viewnet,R20 332.00,Deviation,Noting,2023/4/20,Not stated,Not stated,Reported
25,Q1 2023/24,New,2023/05/02,"Export Credit Insurance Corporation of South
Africa Limited",LGRC license renewal,LexisNexis,R354 004.50,Exception in terms of procurement policy,Noting,2023/4/24,2023/5/1,2024/3/31,Reported
26,Q1 2023/24,New,2023/05/11,"Department of Trade, Industry and Competition",Statistical Analysis solution,Statistical Analysis System,R20 303 744.00,Preffered supplier,Noting,2023/5/9,Not stated,Not stated,Reported
27,Q1 2023/24,Rollover,2023/04/05,"Export Credit Insurance Corporation of South
Africa Limited",Research Editor,Clarity Global strategic communications,R258 060.00,Deviation,Noting,2023/3/29,Not stated,Not stated,Reported
28,Q1 2023/24,Rollover,2023/04/05,"Export Credit Insurance Corporation of South
Africa Limited",Online learning programme for 95 employees for 12 months,Mdiga Dynamics,R960 000.00,Deviation,Noting,2023/3/30,Not stated,Not stated,Reported
29,Q1 2023/24,New,2023/05/17,National Regulator for Compulsory Specifications,Microsoft licences,Microsoft South Africa Limited,R8 256 015.07,Deviation,Noting,Not stated,Not stated,Not stated,Reported
30,Q1 2023/24,New,2023/05/10,Armaments Corporation of South Africa Limited,Supply and delivery of rotary motion control equipment,Aerotech INC United Kingdom(UK),R198 564.33,The service provider is an OEM of the rotary motion control equipment,Noting,2023/5/10,2023/4/3,2024/10/1,Reported
31,Q1 2023/24,New,2023/05/10,Armaments Corporation of South Africa Limited,Provision of SANREN services and internet services for a period of 36 months,TENET,R454 680.00,TENET is the only entity that operates the Sanren sole supplier,Noting,2023/5/10,2023/4/12,2026/4/10,Reported
32,Q1 2023/24,New,2023/05/10,Armaments Corporation of South Africa Limited,Consultation of Subcorn Connectors,CSIR,R49 066.60,CSIR is the only entity that can perfom the specialised services,Noting,2023/5/10,2023/3/29,2023/5/12,Reported
33,Q1 2023/24,New,2023/05/10,Armaments Corporation of South Africa Limited,Calibration of 2 national instruments data acquisition cards,Test Dynamics Defense Pty Ltd,R49 040.00,Test Dynamics Defense is the only authorised distributor of NI products in South Africa,Noting,2023/5/10,2023/4/20,2023/7/28,Reported
34,Q1 2023/24,New,2023/05/10,Social Housing Regulatory Authority (SHRA),"Procurement of SHRA website developer to perform debugging and repair of the
SHRA website",SWM Communications,R5 088.75,"The developer created the website and are familier with the pluggins and other elements
that they have specifically used to develop the website and therefore they were selected
as single source",Noting,2023/4/24,Once off delivery,N/A,Reported
35,Q1 2023/24,New,2023/04/04,Social Housing Regulatory Authority (SHRA),Procurement of a service provider for to adjust misaligned hinges of the door closer,Active Motion,R730.25,Single source service provider for the misaligned hinges of the door closer,Noting,2023/4/14,Once off delivery,N/A,Reported
36,Q1 2023/24,New,2023/05/17,Community Schemes Ombud Service,"Procurement of license fee subscription for two (2) years (Asset Management
Software (AMS360)",Kreston Pretoria,R76 291.00,Kreston Pretoria is a sole supplier for the Asset Management Software (AMS360).,Noting,2023/5/17,Once off delivery,N/A,Reported
37,Q1 2023/24,New,2023/05/18,South African Social Security Agency,Annual Govlaw Conference,Intelligence Transfer Centre,R22 997.70,Sole Supplier,Noting,2023/10/5,2023/5/17,2023/5/18,Reported
38,Q1 2023/24,New,2023/05/19,"Department of Trade, Industry and Competition",Subscription (fDI markets) for 3 years,The Fianacial Times Ltd,R1 418 818,Sole Supplier,Noting,2023/5/12,2023/5/12,2026/05/11,Reported
39,Q1 2023/24,New,2023/05/15,Armaments Corporation of South Africa Limited,Procurement of the body composition tracking system,Cosmed,R1 325 054.27,Cosmed is the original equipment manufacturer,Noting,2023/5/15,2023/3/14,N/A,Reported
40,Q1 2023/24,New,2023/05/31,National Home Builders Registration Council,Training,The Ethics Institute,R25 044.00,Deviation,Noting,2023/5/31,Not stated,N/A,Reported
41,Q1 2023/24,New,2023/05/31,National Home Builders Registration Council,Training,Mercer Intel-ed,R9 584.00,Sole supplier,Noting,2022/5/23,2022/05/23,N/A,Reported
42,Q1 2023/24,New,2023/05/31,National Home Builders Registration Council,Branding,Master Build KZN,R8 800.00,Impractical to get more service providers,Noting,2022/5/27,2022/05/27,N/A,Reported
43,Q1 2023/24,New,2023/05/31,National Home Builders Registration Council,Conference,Corinium Intelligence Global,R16 084.00,Sole Supplier,Noting,2022/5/30,2022/05/30,N/A,Reported
44,Q1 2023/24,New,2023/05/31,National Home Builders Registration Council,,,,,,,,,
45,Q1 2023/24,New,2023/06/05,Department of Correctional Services,Security Lighting,JFE Group,R5 626 427.68,Emergency,Noting,2023/5/2,2023/05/08,2023/11/08,Reported
46,Q1 2023/24,New,2023/06/05,Department of Correctional Services,Roof repairs,Amagwaba Construction,R2 914 882.31,Emergency,Noting,2023/5/3,2023/05/08,2023/11/08,Reported
47,Q1 2023/24,New,2023/06/05,South African National Accreditation System,Finance temporary staff member,Only recruitment,R22 537.02,single source,Noting,2023/5/29,Not stated,Not stated,Reported
48,Q1 2023/24,New,2023/06/05,South African National Accreditation System,Sage Evolution system license fee renewal,Sage South Africa,R136 364.01,Sole Supplier,Noting,2023/5/19,Not stated,Not stated,Reported
49,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holding,R135 410.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/16,Once off delivery,N/A,Reported
50,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Halbes Construction,R14 640.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
51,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Skonza Logistics,R8 430.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
52,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Skonza Logistics,R4 190.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
53,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Halbes Construction,R6 310.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
54,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",World Focus 1322,R10 450.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
55,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",World Focus 1322,R8 430.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
56,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Skonza Logistics,R26 070.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
57,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holding,R29 260.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
58,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holding,R24 990.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
59,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holding,R6 260.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
60,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holding,R10 450.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
61,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Vani&Nyandendi Holding,R10 550.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
62,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Vani&Nyandendi Holding,R14 640.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
63,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Okl Creations,R43 340.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
64,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",World Focus 1322,R29 230.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
65,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",Halbes Construction,R21 780.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
66,Q1 2023/24,New,2023/05/31,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and dignity packs",World Focus 1322,R12 520.00,"Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",Noting,2023/5/23,Once off delivery,N/A,Reported
67,Q1 2023/24,New,2023/06/13,"Export Credit Insurance Corporation of South
Africa Limited",B-BBEE Software licenses,B-BBEE 123 (Pty) Ltd,R203 278.60,SCM policy,Noting,2023/6/6,Not stated,Not stated,Reported
68,Q1 2023/24,New,2023/06/07,Armaments Corporation of South Africa Limited,Conduncting of an annual service maintenance,Seascape Marine Servicerps Pty Ltd,R264 231.20,Sole supplier,Noting,2023/6/6,Once off delivery,N/A,Reported
69,Q1 2023/24,New,2023/06/07,Armaments Corporation of South Africa Limited,Renewal of the Ship Air Defence model,BAE Systeme Australia Limited,R715 930.09,Original Equipment Manufactures,Noting,2023/6/6,2023/06/02,2024/9/30,Reported
70,Q1 2023/24,New,2023/04/12,Denel SOC Ltd,Emergency repair to main generator station,De Kock and Cronje,R94 472.50,"Emergency occurred on 11 December 2022 at OTR. The main generator
station stopped workingand there were no electricity feed from Eskom or the
generators. This resulted in De Kock & Cronje being called out to attend to the
emergency as OTR does not have the expertise to work on high voltage
electricity. There were no time to reuest three quotes as this was an
emergency and needed to be attended to immeditaly.",Noting,2023/03/08,2022/12/13,2022/12/13,Reported
71,Q1 2023/24,New,2023/04/12,Denel SOC Ltd,Hospitality service for dunes at Arniston,Hutech International,R1 050 000.00,"Tender process was initiated December 2022 and is still in process. Due to the
complexity of the tender it could not be concluded in time.",Noting,2023/04/01,2023/05/31,2023/5/31,Reported
72,Q1 2023/24,New,2023/04/12,Denel SOC Ltd,Hospitality service for dunes at Arniston,Hutech International,R900 000.00,Single Source,Noting,2023/01/01,2023/01/30,2023/3/31,Reported
73,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Supply and delivery of MEM RNDM ACCS:DIMM;1333 MHZ;4GB 2RX4,Blax Interactive Trading,R147 734.40,"On the 1st of February 2023 an urgent situation arose for the Microgrid project.
For this purchase order the situation arose because of additional hard drives
and computer memory being required for computers that are currently in
storage. These computers cannot be used without additional memory and
storage being upgraded.",Noting,2023/04/17,2023/04/17,2023/05/02,Reported
74,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Wiring of Microgrid Containers,Ayama Projects,R253 600.00,"On the 15th of February 2023 an urgent situation arose for the Microgrid
project. The situation arose because of shortage of resources required for
wiring of control panels and testing of Microgrid units. The complete wiring of
control panels and testing was critical for full functionality of the Microgrid
units. Ayama Projects was appointed to wire and connect equipment on
fourteen (14) microgrids units and the rest being done by PPM workshop.",Noting,2023/04/18,2023/04/18,2023/04/30,Reported
75,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,supply and install a new lash motor,Etis Cranes,R42 907.50,"On 2023/03/17 an urgent sitation arose at Eskom Park, Mechanical workshop.
The situation arose as a result of annual load testing of the 10 ton overhead
crane in the mechanical workshop which was found to be defecting. Upon the
stripping the lash motor shaft was found broken and it required urgent
replacement due to the Microgrid projects taking place in the Mechanical
workshop. The crane is also used to load and off load bulk material which is
used for steel fabrication in the workshop. The liftingof heavy material by
hands is posing a safety threat. The urgent procurement process was followed
to get the overhead crane repaired so as to fast track the microgrid production
and fabrication of spares.",Noting,2023/04/06,2023/04/06,2023/04/28,Reported
76,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,RMU 11kV 630A200A 2R1B N/E I/L O/D D8060,ACTOM MV SWITCHGEAR,R4 439 550.00,"Iterms required urgently for Minor Retic customers paid projects and
customers without supply while waiting for the long lead delivery dates.",Noting,2023/04/20,once-off,once-off,Reported
77,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Fuel oil maintenace - Majuba PS,Sarfunco SA (Pty) Ltd,R2 991 070.00,"On 03/04/2023 an urgent order situation arose for fuel oil maintenance contract
to be modified or newly placed. The situation arose as a result of men-power
for doing required maintenance on the fuel oil plant due to contract duration
completed. if the urgency materialised, one/more of the following threats to the
Eskom business were likely to arise: (1) There are threats of interriptions in the
supply of electricity to customers resulting in load shedding/load reduction
and/or production loss and or (2) There is a threat of major consequential
expense to Eskom (3) There is a threat of serious damage to Eskom's
reputation.",Noting,2023/05/05,2023/05/05,2023/07/04,Reported
78,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Procurement of the Main Turbine Vibration System Probes - Tutuka PS,Bently Nevada LLC,R5 343 431.00,"On 4 April 2023, an urgent situation arose at Tutuka Power Station. The
procurement department went out on enquiry for the procurement of the main
turbine vibration probes which are to be used on unit 6 that had to be returned
to service on the 19th of April but has since failed to and is on an outage slip.
While unit 6 was down its vibration probes were taken to unit 3 that needed
the probes urgently with the hope that procurement was going to place an
order and have the probes delivered in time. While the normal procurement
process was in the process Tutuka received communication from te OEM of
the probes that they had been phased out on the 1st of April 2023 and that
replacement probes will take 20 weeks from the date of order placement to be
delivered, an urgency then arose to the effect that unit 6 will not be able to be
returned to service without these vibration probes as they are very critical to the
operation of the main turbines. Without the probes the turbine cannot be put
on load and hence no electricity can be generated. It is of paramount
importance that these pumps are available if unit 6 is to return to service soon.
The station cannot afford to wait for 20 weeks as this will mean that the unit
won’t be available throughout the whole winter.",Noting,2023/05/10,2023/05/10,Once Off Order,Reported
79,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Provision ash plant spares various bearings, plumber blocks and sleeves -
Kendal PS",Diketane construction,R1 031 097.85,"Kendal Power Station performance is negatively affected by the unavailability
and reliability of the ash handling plant from the Submerged Scraper Conveyor
(SSC) to the ash dump. The current poor performance of the ash handling
plants has a direct environmental impact regarding high particulate and fugitive
emissions resulting in environmental noncompliance and unsafe conditions for
the personnel as well as the neighbouring residence. The station is currently
not complying to its particulate and fugitive emissions as set out in the license
agreement for all 6 generating units and not complying with the occupational
health and safety requirements.",Noting,2023/05/10,As and when required,As and when required,Reported
80,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Urgent Structure repairs on S1B - Kendal PS,New Era Steel Work,R1 055 700.00,"Immediate Recovery and restoration of the coal plant S1B structure is required.
This shall remove the potential risk of further failure and make safe. This shall
also provide redundancy to enable further day to day maintenance that is
needed to satisfy operational requirements. A Team that worked on the
previous S5A structural repair has now sought employment at NEW ERA
Engineering, Hence the NEW ERA quotation and the supporting letter
justifying this.",Noting,2023/05/11,2023/05/12,2023/06/15,Reported
81,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Unit 6 Domestic circuit recovery - Lethabo PS,Ibusisiwe,R2 278 719.10,"On the 31 March 2023 an urgent situation arose at Lethabo Power Station,
Unit 6 RH side of the boiler due to fire incident electrical cables were burnt. As
a result, illumination was badly affected.",Noting,2023/05/11,2023/04/10,Once Off Order,Reported
82,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Urgent Procurement for Arnot and Camden Power Station Coal,Buhlebenkosi 0318 (Pty) Ltd,R114 487 800.00,"On 5 January 2023 an urgent situation arose at Arnot and Camden Power
Stations. The situation arose as a result of the coal stock days being below the
20 days which is below the grid code with the stock days being 13.8 and an
anticipated 4 days at Arnot and Camden respectively. On the 11th of January,
the stock days at Camden were confirmed via a survey to be at 9 days",Noting,2023/02/06,2023/01/26,2023/07/26,Reported
83,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Supply and delivery of EFP leak of valves - Tutuka PS,TVC Flow Solutions,R14 891 373.00,Sole Source - OEM,Noting,2022/11/23,2023/05/01,2028/05/30,Reported
84,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Assessment, Cleaning, Replacement of Damaged components,
Resealingand testing / Commissioning of isolated Phase Bus Duct
(Excluding Material) - Peaking","High Voltage Equipment a Div of
Actom",R3 440 317.24,"Ingula Unit 2 is currently on forced outage due to a failure that occurred on the
Generator Circuit Breaker. We can confirm that early delivery is critical, the
invitation of competitive bids is either impossible or impractical and that this is
not due to improper planning.",Noting,2023/05/09,2023/05/09,2023/07/27,Reported
85,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,"Hiring of six (6) 1600CFM oil free mobile diesel compressors with driers to
carried out / Duvha PS",Kgotsoko Investments,R8 721 000.00,"On October 2022 an urgent situation arose at Duvha Power Station Low
Pressure Services air compressor plant. The situation arose as a result of all
four (4) electric compressors unavailability due to unforeseen major
breakdowns at different intervals. To mitigate having to shut down or having
multiple unit trips, a decision to hire mobile compressors was taken as per the
formal guideline from engineering department. Also, in March 2023 Duvha
Power Station experienced electric boards failures tripping the remaining two
compressors in service hence the decision to continue hiring mobile
compressors.",Noting,2023/05/10,2023/05/10,2023/08/09,Reported
86,Q1 2023/24,New,2023/05/23,Eskom Holdings SOC Ltd,Cable Services 04-05-2023 (005) - Duvha PS,Eskom Rotek Industries,R2 215 586.32,"On 1st of April 2023 an urgent situation arose at Duvha Power Station. The
situation arose as a result of the Cable contract with 115 ELECTRICAL
SOLUTIONS (Pty) Ltd vendor number 11085374 was blocked from transacting
with Eskom due to company ownership changes which were not declared
timeously with Eskom Vendor management and Legal.",Noting,2023/05/09,2023/05/10,Once Off Order,Reported
