5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 3 (16 SEPT - 15 DEC) REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not supported/Conditional supported
(Use dropdown List)","""Award/recommended by AO/ AA date
(yyyy/mm/dd)""",Contract start date (yyyy/mm/dd),Contract expiry (yyyy/mm/dd)
32,2021/10/27,Department of Employment and Labour (DEL),HBT Services to all outstanding Offices and SEE sites,Telkom SA SOC Limited,3640335.93,single source,Not Supported,25/9/2021,Not Indicated,Not Indicated
33,2021/11/9,"Department of Environment, Forestry and Fisheries (DEFF)",Legal data bases for research purposes,"LexisNexis and Juta,",2648086.31,Single Source,Conditional Support,11/8/2021,Not Stated,Not Stated
34,2021/11/10,"Department of Environment, Forestry and Fisheries (DEFF)",Supply of 300 000L of polar diesel,Engen Petroleum,4613064.00,Single Source,Conditional Support,11/10/2021,Not Stated,Not Stated
35,2021/12/3,"Department of Environment, Forestry and Fisheries (DEFF)","Additional Microsoft Office M365 and Windows defender licences for the
Department using",Microsoft,6000000.00,Single Source,Conditional Support,12/3/2021,Not Stated,Not Stated
36,2021/12/14,"Department of Environment, Forestry and Fisheries (DEFF)","Supply of science specific bandwidth to the research component of the
Oceans and Coast branching",Tertiary Education and Research Network of South Africa (TENET),600 000.00,Single Source,Not Supported,12/10/2021,Not Stated,Not Stated
37,2021/10/2,Department of Higher Education and Training (DHET),Examination certificates,Quotation procurement method,2000000.00,Quotation procurement method,Supported,10/1/2021,Not Stated,Not Stated
38,10/19/2021,Department of Higher Education and Training (DHET),Laptops and desktops,Retail Outlet,306299252.00,Suppliers on SITA list are unable to deliver,Not Supported,10/19/2021,Not stated,Not stated
39,2021/9/20,Department of Home Affairs (DHA),Provisioning of,Various Suppliers,Not indicated,Business Continuity,Supported,14/9/2021,Not indicated,Not indicated
40,2021/11/16,Department of Home Affairs (DHA),Provisioning of tent services to accomodate 500 destitutes refugess,Cosi Hiring,Not indicated,Single source,Not Supported,15/9/2021,Not indicated,Not indicated
41,2021/12/2,Department of International Relations and Cooperation (DIRCO),"repatriation of mortal remains from other countries must be done as matter
of emergency",Cobra,3574640.00,Emergency,Noting,4/20/2021,Not stated,Not stated
42,2021/12/6,Department of International Relations and Cooperation (DIRCO),"venue that includes catering, décor, stage, sound, live entertainment,
technical requirements, programme directors, registration and accreditation
services for the annual Ubuntu awards",Cape Town International Convention Center,Not Stated,Single source,Closed,12/6/2021,2/22/2022,2/22/2022
43,2021/12/6,Department of Justice and Constitutional Development (DoJ&CD),"Cash in transit service at various offices within the `nine (9) provinces of
DoJ & CD and OCJ",Not stated,23473016.29,Preferred supplier,Conditional Support,12/3/2021,11/25/2021,5/31/2022
44,2021/12/2,Department of Justice and Constitutional Development (DoJ&CD),"Maintenance and support Court Recording Technology (CRT) SOS and
AVR for DoJ & CD and OCJ",Not stated,9000000.00,Business continuity,Not Supported,11/29/2021,06 months,06 months
45,2021/11/3,Department of Military Veterans (DMV),"Provision of scenarios on the amendment Bill and Macro Organisational
Design Implications",GTAC,Not applicable,Preferred supplier,Conditional Support,11/3/2021,Not applicable,Not applicable
46,2021/10/28,"Department of Planning, Monitoring and Evaluation (DPME)","Provision of technical support services for the production of second edition
Covid-19 country report for a period of 12 months",GTAC,1162000.00,Continuation of service,Not Supported,10/27/2021,Date of approval,12 months
47,2021/11/30,"Department of Planning, Monitoring and Evaluation (DPME)",Presidential Hotline service,SITA,Not stated,Single source due to compatibility,Not Supported,11/24/2021,Not stated,Not stated
48,2021/12/3,Department of Public Works and Infrastructure (DPWI),State Memorial Service of the late former President FW De Klerk,Cape Town Stadium,2000000.00,Single Source,Conditional Support,12/3/2021,12/9/2021,12/13/2021
49,2021/12/9,Department of Public Works and Infrastructure (DPWI),Response to NT letter dated 09 April 2021 - Implementing Agents,DBSA AND COEGA,0.00,Single Source,Noting,12/8/2021,Not Stated,Not Stated
50,2021/12/7,Department of Public Works and Infrastructure (DPWI),"Interim Office for Departrment of Science and Innovation (DSI) Head
Office",Council for Science and Industrial Research (CSIR),12604506.00,Single Source,Not Supported,12/7/2021,10/1/2021,10/1/2021
51,2021/9/22,Department of Science and Innovation (DSI),Lease of Office Space for National Advisory Council on Innovation (NACI),Innovation Hub Management Company,497598.70,Single Source,Supported,9/14/2021,10/1/2021,2022/02/28
52,2021/9/22,Department of Science and Innovation (DSI),"Lease of Office Space for the National Intellectual Property Management
Office (NIMPO)",Innovation Hub Management Company,507411.00,Single Source,Supported,9/14/2021,10/1/2021,2022/02/28
53,2021/10/19,Department of Science and Innovation (DSI),"Review of the 2021 Science Technology and Innovation (STI) Decadal
Plan","Prof. Johan Mouton, Prof. Mario Scerri, Prof. Erika Kraemer-Mbula, Prof.
Sarah Mosoetsa, Ms. Marjorie Pyoos, Mr. Andrew Donaldson, Dr. McLean
Sibanda, and Prof. Michael Sachs",1200000.00,Single Source,Conditional Support,10/14/2021,Not Stated,Not Stated
54,2021/12/9,Department of Science and Innovation (DSI),Institutional Review of the Technology Innovation Agency (TIA),"Panel of Experts (Ms Marjorie Pyoos, Ms Ela Romanowska, Mr Dhesigen
Naidoo, and Mr Olympus Manthata)",1000000.00,Single Source,Conditional Support,12/3/2021,Not Stated,Not Stated
55,2021/10/28,Department of Small Business Development (DSBD),To manage the Intra Africa Trade Fairs 2021(IAFT21),"Reed Exhibitions Pty (Ltd),",2000000.00,Single Source,Not Supported,10/27/2021,11/15/2021,11/21/2021
56,2021/11/24,Department of Small Business Development (DSBD),To manage the Intra Africa Trade Fairs 2021(IAFT21),Afremixbank,2000000.00,Single Source,Not Supported,11/23/2021,11/15/2021,11/21/2021
57,2021/12/8,"Department of Sports, Arts and Culture (DSAC)",Commission of Artworks,Prof. Pitika Ntuli,1000000.00,Single Source,Not Supported,12/7/2021,Not Stated,Not Stated
58,2021/9/30,Department of Tourism (DT),Appointment of Ministeria task team,"Mr Joe Rantete
Dr Sharon Horton-Herselman
Mr Ndivhuwo Mabaya
Mr Xhanti Payi
Mr Jurgen Kogl",5900000.00,Single Source,Not Supported,9/29/2021,10/1/2021,2022/09/30
59,2021/10/7,Department of Tourism (DT),"Continuation with the implementation of the National Youth Chef Training
programme",South African Chef Association (SACA),15827671.00,Single Source,Not Supported,8/23/2021,4/1/2021,2021/12/31
60,2021/11/11,Department of Tourism (DT),Local Government Training Programme,United Nations World Tourism Organisation,2252000.00,Single Source,Closed,11/10/2021,Not Stated,Not Stated
61,2021/11/29,Department of Tourism (DT),To deliver Local Government Training Programme in tourism,United Nations World Tourism Organisation,2250000.00,Single Source,Conditional Support,11/26/2021,Not Stated,Not Stated
62,2021/10/7,Department of Transport (DOT),Provision of testimony by KPMG on an investigation they conducted.,KPMG,197058.42,Continuation of service,Within AA/AO mandate Noting,6/21/2021,Not Stated,Not Stated
63,2021/10/1,Department of Water and Sanitation (DWS),"Supply replacement DC Battery Bank and Charger and Test, Repair and
Commission the secondary network as an Eskom requirement to re-
energise Gariep",E&M Construction (Pty) Ltd,688079.50,Emergency,Noting,2021/10/1,Not stated,Not stated
64,2021/11/24,Department of Water and Sanitation (DWS),"HYDSTRA Software license` subscription, support and maintenance",Kisters (Pty) Ltd,3471840.00,Sole supply,Noting,11/24/2021,12/1/2021,2024/11/30
65,2021/9/30,Department of Water and Sanitation (DWS),Hartbeespoort area office schemes into a functional condition contract,PGN Civils,25315138.00,Emergency,Noting,9/30/2021,Not stated,Not stated
66,2021/12/10,Department of Water and Sanitation (DWS),Additional Inet/Winet terminal emulation and printing software licenses,GP van Niekerk Ondernemings,248055.00,Sole Provider,Within AA/AO mandate Noting,12/10/2021,1/1/2022,5/31/2022
67,2021/11/11,"Department of Women, Youth and Persons with Disabilities (DWYPD)","Payments to the South African Women Lawyers Association (SAWLA)
members who presented radio talk shows during a public awareness
campaign on Economic Empowerment of women through commercial radio
stations",South African Women Lawyers Association (SAWLA),176000.00,Preffered supplier,Not Supported,10/29/2021,Not Stated,Not Stated
68,2021/11/16,Development Bank of Southern Africa (DBSA),"Reallocation of 20 schools to existing Contractors for implementation
(SAFE) Programme",Various Suppliers,Not indicated,Cost and time saving,Conditional Support,12/11/2021,Not indicated,Not indicated
69,2021/12/14,Driving License Card Account (DLCA),"Provision of maintenance service for the drivers card license production
hardware and systems",Imprimerie Nationale Groupe,9157076.25,Single source,Within AA/AO mandate Noting,12/14/2021,12/1/2021,12/31/2022
70,2021/10/21,Electoral Commission (IEC) of South Africa,Capacity shortage for the printing of ballot papers local Gov elections,Various Suppliers,42000000.00,Capacity and Capability contraint,Supported,21/10/2021,Not indicated,Not indicated
71,2021/9/30,Eskom Holdings SOC Ltd,"Manufacturer of the new
pipe sections for Replacement of Piping Corrosion Protection (Mod 10018
SEC)",Sulzer Pumps South Africa (Pty) Ltd,R36 389 388,Finalise tender process,Not Supported,9/29/2021,19 months,19 months
72,2021/10/18,Eskom Holdings SOC Ltd,"The design, manufacture & supply of ½ class of 600 globe stop valve, Q3,
NSF for Nuclear Application at Koeberg Power Station",Mitech Control Valves (Pty) Ltd,118450.00,Concludes one of the final phases of the supplier development process,Conditional Support,10/18/2021,12 months,12 months
73,2021/10/19,Eskom Holdings SOC Ltd,"The manufacturing and supply of the Twin Enamel Epoxy (TEE) and
Continuous Transposed
Copper (CTC) conductor wires",ASTA Energy Transmission Components,9203018.78,"There is no company that
has this manufacturing capability.",Not Supported,10/19/2021,6 months,6 months
74,2021/10/19,Eskom Holdings SOC Ltd,Supplier Development Programme,KSB Pumps and Valves (Pty) Ltd,9203018.78,Preferred supplier,Conditional Support,10/25/2021,6 months,6 months
75,2021/10/22,Eskom Holdings SOC Ltd,"Supplier
Development Programme",Paltech Valve Maintenance (Pty) Ltd,18489.79,Preferred supplier,Conditional Support,10/22/2021,12 months,12 months
76,2021/10/26,Eskom Holdings SOC Ltd,"Design, manufacture & supply of ½” soft seated lubricated plug valve, Q3;
NSF For Nuclear Application at Koeberg Power Station",AZ-Armaturen South Africa (Pty) Ltd,97989.20,Preferred supplier,Conditional Support,10/12/2021,12 months,12 months
77,2021/11/10,Eskom Holdings SOC Ltd,Structural repairs of Unit 2 CFI/SEC pump station filtration pits,ERI (Eskom Rotek Industries),11000000.00,Preferred supplier,Conditional Support,11/10/2021,Not stated,Not stated
78,2021/11/12,Eskom Holdings SOC Ltd,"Closed Tender Process
(Limited Tendering) to place contracts from the newly established Stringing
and Cabling
Panel of Contractors for Transmission Projects Delivery",Various Service providers,464565824.00,Preferred supplier,Not Supported,11/11/2021,Not stated,Not stated
79,2021/11/10,Eskom Holdings SOC Ltd,"Civil structural repairs of Unit 2 CFI/SEC Pump Station Filtration Pits and
CDI Fore Bay Area in Outage 225 at Koeberg Nuclear Power Station",ERI (Eskom ROTEK INDUSTRIES),11000000.00,Preferred supplier,Conditional Support,11/10/2021,2022/01/01,Not stated
80,2021/11/16,Eskom Holdings SOC Ltd,"For applying 80/20 PPPFA preference point system, for an enquiry for the
transfer of ash (excavate, load, haul and transport to mine) from Camden
power station ash dam to the nearest mine",Not applicable,Not applicable,Incorrect preference point system,Not Supported,11/16/2021,Not applicable,Not applicable
81,2021/11/22,Eskom Holdings SOC Ltd,"Design, manufacture & supply of end support centrifugal pump, Q3, NSF
for Nuclear Application at Koeberg Nuclear Power Station",APE Pumps,230000.00,Preferred supplier,Conditional Support,11/22/2021,12 months,12 months
82,2021/11/22,Eskom Holdings SOC Ltd,"Supply, delivery and offloading of fuel oil",Various suppliers,Not applicable,Finalise the tender process,Not Supported,12/7/2021,Not applicable,Not applicable
83,2021/10/19,Eskom Holdings SOC Ltd,"Response Implementation and support of a Meter Data Management
System",Nextec,Not applicable,Feedback to NT's condition,Noting,10/19/2021,Not applicable,Not applicable
84,2021/12/2,Eskom Holdings SOC Ltd,"Closed Tender Process
(Limited Tendering) to place contracts from the newly established Stringing
and Cabling
Panel of Contractors for Transmission Projects Delivery",Various Service providers,464565824.00,Preferred supplier,Noting,12/2/2021,Not stated,Not stated
85,2021/12/7,Eskom Holdings SOC Ltd,Fuel oil,Six suppliers,Not applicable,Easy way out (making deviations normal way of procurement),Not Supported,12/7/2021,Not stated,Not stated
86,2021/10/19,Eskom Holdings SOC Ltd,Meter Data Management System,Nextec,Not applicable,Feedback to NT's condition,Noting,10/19/2021,Not applicable,Not applicable
87,2021/10/26,Eskom Holdings SOC Ltd,Supply of Coal to Duvha Power Station,South 32,Not applicable,Feedback to NT's condition,Noting,10/26/2021,Not applicable,Not applicable
88,2021/10/15,Eskom Holdings SOC Ltd,"Financial Risk Management Analytics software, maintenance and support",FinCad Europe Ltd,34 800 Euros,Feedback to NT's condition,Noting,10/15/2021,8/19/2020,8/18/2022
89,2021/11/25,"Finance and Accounting Services Sector Education and Training Authority
(Fasset)SETA",Prosecutorial Services in a Disciplinary Inquiry,Mareologe 6,1000000.00,Single Source,Not Supported,11/12/2021,Not Stated,Not Stated
90,2021/11/17,"Food and Beverage Manufacturing Industry Sector Education and Training
Authority (FoodBev SETA)SETA",Ceding of a company from Growthpoint to SKG Properties,Growthpoint and SKG Properties,0.00,Single Source,Within AA/AO mandate Noting,11/10/2021,Not Stated,Not Stated
91,2021/11/19,Free State Provincial Treasury,"To represent the FSPT in court proceedings against Kuje Projects on the
procurement of thermometers","Hill, MaCarthy",500000.00,Single Source,Supported,10/7/2021,Not Stated,Not Stated
92,2021/10/26,Freedom Park,Delivery of Artwork for Gallery of Leaders for Freedom Park,Natal Collective,1148661.94,Single Source,Conditional Support,10/22/2021,11/1/2021,2022/01/31
93,2021/10/26,Freedom Park,Organisation Re-alignment for Freedom Park,SPT Consulting,94668.00,Single Source,Not Supported,10/11/2021,Not Stated,Not Stated
94,2021/10/11,Government Printing Works (GPW),Technical support and maintenance services InCape system,Messers. Muehlbauer,14400000.00,Business Continuity/OEM,Conditional Support,6/10/2021,Not indicated,Not indicated
95,2021/10/11,Government Printing Works (GPW),Technical support and maintenance services,Messers IAI Industrial Systems,2700000.00,Business Continuity,Supported,6/10/2021,Not indicated,Not indicated
96,2021/10/18,Government Printing Works (GPW),"Development, implement, certify and support post the QMS",SABS,9016811.00,single source,Supported,18/10/2021,Not indicated,Not indicated
97,2021/10/7,Government Technical Advisory Centre (GTAC),Pathway Manager for the PYEI Fund,Harambee Youth Employment Accelerator,934400000.00,Single source,Not Supported,7/10/2021,Not indicated,Not indicated
98,2021/11/2,Government Technical Advisory Centre (GTAC),Youth Employment Services,Harambee Youth Employment Accelerator,934400000.00,single source,Conditional Support,2/11/2021,Not indicated,Not indicated
99,2021/12/9,Human Sciences Research Council (HSRC),Unplanned Maintenance on HSRC Building's 10 Lifts,Melco Elevator (South Africa),1000000.00,Sole Source,Noting,10/28/2021,Not Stated,Not Stated
100,2021/12/9,Human Sciences Research Council (HSRC),Brokerage Service,GIB Insurance Brokers (Pty) Ltd,1016067.57,Single Source,Within AA/AO mandate Noting,10/28/2021,10/1/2021,10/1/2021
101,2021/11/23,Independent Communications Authority of South Africa (ICASA),Radio Frequency Spectrum Management (WRAP),GEW subcontracted Altair Engineering S.A. (Pty) Ltd,1928742.00,Single source,Within AA/AO mandate Noting,9/21/2021,Not indicated,Not indicated
102,2021/9/22,Independent Development Trust (IDT),Appointment of Consultant to provide Chief Financial Officer services,Tatiso Consulting,464572.80,Single Source,Conditional Support,9/22/2021,9/30/2021,2021/12/30
103,2021/6/15,International Frontier Technologies SOC Ltd,Procure Legal services,Cliffe Dekker Hofmeyr Inc,552000.00,single source,Conditional Support,15/6/2021,Not indicated,Not indicated
104,2021/10/28,Ithala Soc,Cash collection service,Not stated,Not stated,Closed bid,Conditional Support,10/27/2021,Not stated,Not stated
105,2021/10/5,KwaDukuza Local Municipality,Outdoor Advertising Street light/panel,Primedia,0.00,Sole source,Not Supported,10/1/2021,Not stated,Not stated
106,2021/12/1,Land and Agricultural Development Bank of South Africa (Land Bank),To continue with legal action and recovery proceedings,Unigro Financial Services (Pty) Ltd,Not indicated,Single source,Conditional Support,1/12/2021,Not indicated,Not indicated
107,2021/10/29,Legal Aid South Africa,"Procures Gift Vouchers from Makro for Legal Aid SA Board Members
using single-source procurement.",Makro,35611.14,Preferred supplier,Not Supported,10/11/2021,Not stated,Not stated
108,2021/9/21,Lepelle Northern Water,Physical security services,N/A,N/A,Quotation procurement system instead of open bidding system,Supported,2021/9/21,Not Stated,Not Stated
109,2021/12/14,Mhlathuze Water,Professional legal service,Not Stated,1000000.00,Closed bidding,Within AA/AO mandate Noting,12/10/2021,1/1/2022,5/31/2022
110,9/30/2021,Mine Health and Safety Council (MHSC),Procurement of building,Not Stated,N/A,building within 15km of head office may apply,Not Supported,9/30/2021,Not Stated,Not Stated
111,2021/11/16,Mine Health and Safety Council (MHSC),Building,Not stated,Not stated,Single source due to compatibility,Supported,11/16/2021,Not stated,Not stated
112,11/5/2021,Mintek,Fittings and tubing,Many suppliers,11119584.00,Original Equipment Manufacturer,Supported,11/5/2021,Not stated,Not stated
113,2021/9/20,National Credit Regulator (NCR),Legal services,Mothle Jooma Sabdia,300000.00,Single source,Conditional Support,9/28/2021,Not stated,Not stated
114,2021/9/30,National Energy Regulator of South Africa (NERSA),"Supply Microsoft software licenses and software assurance to NERSA for
a period of three (3) years from 01 July 2021 to 30 June 2024",Microsoft Ireland Operations Limited,8150739.00,Sole Supplier,Within AA/AO mandate Noting,2021/9/28,2021/7/1,2023/6/30
115,2021/9/23,National Prosecuting Authority of South Africa (NPA),"G-Fleet for the procurement of 94 vehicles for the Office for Witness
Protection Unit",G-Fleet,Not stated,Sourcing Strategy,Conditional Support,9/15/2021,Not stated,Not stated
116,2021/10/1,National Prosecuting Authority of South Africa (NPA),Criminal case of the State vs Mokhesi and others (the Asbestos case).,FTI Consulting,5199477.75,Business continuity,Conditional Support,9/29/2021,Not stated,Not stated
117,2021/11/12,National Prosecuting Authority of South Africa (NPA),"Extend a deviation granted to Investigative Directorate resources from
Zondo Commission",Nugent and Mpati Commissions,Not stated,Sourcing Strategy,Conditional Support,11/11/2021,12 months,12 months
118,2021/10/22,National Research Foundation (NRF),"Repair, specific and complex rewind of the rotary Uniterruptable Power
Supply (UPS) unit 3 motor-generator",LH-Marthinusen a Division of Actom (Pty) Ltd,1634369.65,Emergency Procurement,Noting,10/18/2021,Not Stated,Not Stated
119,2021/12/2,National Research Foundation (NRF),"Licences, Maintenance and Support for Enterprise Risk Management and
Compliance Management Software",Exclaim Innovations & Solutions (Pty) Ltd,1087160.55,Sole Source,Noting,12/1/2021,Not Stated,Not Stated
120,2021/11/12,National School of Government (NSG)National Department,Training Management System,Not indicated,Not indicated,Low bid response,Closed,11/11/2021,Not indicated,Not indicated
121,2021/10/27,National Treasury,Appointment of Telkom SA soc for provisioning of advisory services,Telkom SA SOC Limited,7807040.00,single source,Supported,26/10/2021,Not indicated,Not indicated
122,2021/11/8,,,Pegasys (Pty) Ltd,1669200.00,single source,,29/10/2021,,
123,2021/11/29,National Treasury,Subscription of S&P Global Market Intelligence Capital IQ Platform,S&P Capital IQ,1378643.00,Single source,Not Supported,29/11/2021,Not indicated,Not indicated
124,2021/12/2,National Treasury,Faith Leeuw to attend IS0 31000 lead risk manager training,Crest Advisory Africa (Pty) Ltd,32059.13,Single source,Not Supported,1/12/2021,Not indicated,Not indicated
125,11/6/2021,Passenger Rail Agency of South Africa (PRASA),"Provision of eviction service of unlawful occupiers of its rail reserve in the
Western Cape Central.","Red Ants
COEGA and DBSA",80000000.00,Urgency due to Court Order,Not Supported,4/11/2021,Not stated,Not stated
126,2021/10/28,Passenger Rail Agency of South Africa (PRASA),Development of technical specification and evaluation of project,,300000000.00,Continuation of service,Conditional Support,10/28/2021,Not stated,Not stated
127,2021/10/28,Passenger Rail Agency of South Africa (PRASA),"Repair and supply of mission critical components (rotary machines and
wheels) and maintenance significant items",Various,400000000.00,"Continuation of service, while the procurement process in is progress",Not Supported,11/9/2021,12/1/2021,5/30/2022
128,2021/12/1,"Petroleum, Oil and Gas Corporation of South Africa (PetroSA)",Provision of legal services,Shepstone & Wylie,4500000.00,Continuation of service,Supported,12/1/2021,Not stated,Not stated
129,2021/11/12,Postbank,Subscription to the Data,"Refinitiv Limited
Harambee Venture",Not indicated,Single source,Not Supported,8/11/2021,Not indicated,Not indicated
130,2021/11/19,Postbank,Appointment of Harambee Venture Pty Ltd on a sole mandate,,Not indicated,Not indicated,Within AA/AO mandate Noting,18/11/2021,Not indicated,Not indicated
131,12/14/2021,Private Security Industry Regulatory Authority (PSIRA),Printing of grades training manual,Governement Prining Works,3308678.34,Single source,Conditional Support,12/14/2021,Not stated,Not stated
132,2021/10/21,Public Investment Corporation SOC Ltd (PIC),Executive search agency,Various Suppliers,Not indicated,Institution knowledge/single source,Conditional Support,21/10/2021,Not indicated,Not indicated
133,2021/11/17,Public Protector South Africa,Procurement of insurance services of more than R 250 000,Not stated,250000.00,Sourcing Strategy,Not Supported,9/13/2021,Not stated,Not stated
