Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
62,Eskom,"Modification of contract for
manufacture, testing and supply of
estimated quantities of Circuit
Breakers",Actom High Voltage (Pty) Ltd,"Additional stock required to restore
power supply","482 429 232,00","13 639 554,54","786 226 998,00",Not stated,Supported,Not stated,Not stated
63,Eskom,"Extension of contract for dust & noise
monitoring services at Kusile",Gijima Holdins (Pty) Ltd,"Competitive bidding process in
progress","2 506 692,69","1 221 281,45","0,00",2016-11-24,Conditional support,Not stated,Not stated
64,Eskom,"Extension of manufcturer, testing,
supply, delivery, offloading and
erection of estimated quantities of 6.6-
132KV Voltage transformers","Instrument Transformer
Technologies (Pty) Ltd","Competitive bidding process
unsuccesful","19 809 181,89","19 809 181,89","0,00",2016-12-14,Conditional support,2015-01-11,2016-10-31
65,Eskom,"Construction, installation, erection
and commissioning of miscellaneous
building",Basil Read (Pty) Ltd,Delays in construction,"227 304 374,00","0,00","511 449 309,30",2016-11-24,Supported,2017-01-01,2017-12-31
66,Eskom,"Supply and delivery of Gas for
Research, Testing & Development
(Rosherville)",Air Liquide,Incorporation of additional need,"2 213 900,00","892 204,00","0,00",Not stated,Supported,2016-09-22,2018-08-21
67,Eskom,"Supply, delivery and support services
for laptops,desktops and slates",Mustek (Pty) Ltd,"Escalating business needs for
computer equipments.","38 500 000,00","60 258 823,00","0,00",2016-05-12,Not Supported,2016-07-18,2017-07-17
68,Eskom,"Modification of an Infrustructure at
Medupi Power Station",Actom (Pty) Ltd,"Contactor delayed due to other
contract on site","735 302 678,00","582 397 111,00","1 551 557 012,42",2016-10-10,Conditional support,Not stated,6 years
69,Eskom,"Construction services for Minor
Reticulation contracts within the
Gauteng Operating Unit",Various Contractors,"Funds depleted before project
completion","75 000 000,00","203 013 259,31","0,00",2016-10-31,Conditional support,Not stated,36 months
70,Eskom,"Loading of coal at the Blinkpan Rail
Siding","Makoya Supply Chain Holdings
(Pty) Ltd","Contract value depleted due to non-
perfomance by other mines","166 655 600,00","53 835 600,00","13 000 000,00",2016-12-09,Conditional support,Not stated,Not stated
71,Eskom,"Coal handling services at Tutuka
Coal Terminal",Transnet Freight Rail,Continuity of service,"127 500 000,00","10 800 000,00","0,00",2016-12-09,Supported,Not stated,Not stated
72,Eskom,"Unit board replacement at Palmiet
Pumped Storage Scheme.",Siemens (Pty) Ltd,Continuity of service,"9 561 336,00","5 313 080,87","0,00",2016-12-12,Conditional support,2016-12-18,2017-08-12
73,Eskom,Construction of water treatment plant,Alula Water (Pty) Ltd,"Outstanding work remaining due
access challenges","718 114 780,00","120 996 405,00","0,00",2016-12-14,Conditional support,2016-12-30,2019-03-31
74,Eskom,"Provision of Fuel Oil and Sootblower
Plant Maintenance","Clyde Bergmann Africa (Pty)
Ltd",Continuity of services,"32 800 001,57","10 902 731,64","0,00",2016-12-14,Conditional support,Not stated,Not stated
75,Eskom,"Supply of milling plant maintenance
services from unit 1 to 6 at Duvha
Power Station",Steinmuller Africa (Pty) Ltd,"Competitive bidding process in
progress","0,00",Not stated,"0,00",2016-12-15,Conditional support,2016-12-28,2017-03-27
76,Eskom,"Provision of Biometric Access Control
Software, Equipment/Materials and
Consumables at Medupi Power
Station project","Honeywell Automation and
Control Solutions (SA) (Pty) Ltd",Additional scope of work.,"9 967 051,10","15 581 432,57","0,00",2016-12-15,Supported,2016-04-01,2019-03-31
77,Eskom,"Provision of security services in the
Welom Area, Free State Operating
Unit",Phiriphiri Security Services,Continuity of service,"23 180 584,15","5 727 422,98","26 704 909,07",2016-12-15,Not Supported,2017-01-01,2017-03-31
78,Eskom,"Provision of Forensic and Anti-
Corruption consultation services",Panel of service providers,Backlog of forensic services,"30 000 000,00","30 000 000,00","0,00",2016-12-15,Conditional support,Not stated,2019-03-30
79,Eskom,"Transportation of raw and portable
water from Kendal Power Station to
Kusile Power Station project","Tamukelo Business Enterprise
cc","Competitive bidding process in
progress","63 534 415,00","14 694 095,52","0,00",2016-12-15,Supported,2016-12-22,4 Months
80,Eskom,"Chimneys and silos at Medupi Power
Station",Karrena-Concor Joint Venture,"Competitive bidding process in
progress","797 010 242,00","19 867 486,60","202 545 752,00",2016-12-14,Conditional support,2017-07-07,2018-07-07
81,Eskom,Security services,Born to protect security,"Competitive bidding process in
progress","13 689 423,56","5 339 428,14","32 794 327,52",Not stated,Supported,2016-11-01,2017-04-30
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
82,Eskom,"Construction of Miscellaneous
Structure at Kusile Power Station","Stefanutti Stock Basil Read
Joint Venture (SSBR-JV)",Revised design and measurement,1 632 321 742.11,1 183 068 984.06,739 849 498.47,2016-11-11,Conditional support,,19 Months
83,Eskom,Catering Services,Lephalale Site Services,"Increase number of staff working on
site",221 046 709.94,189 829 034.77,"0,00",2016-11-11,Supported,Not stated,Not stated
84,Eskom,"Maintenance KRUSS of K11
Tensiometers.",Advance Laboratory Services,Calibration of Kruss equipment,92 207.25,984 965.20,"0,00",2016-11-17,Supported,Not stated,Not stated
85,Eskom,Supply of coal,Inyanga Mining (Pty) Ltd,"Competitive bidding process in
progress",506 018 266.67,"2 816 148 764,00",321 558 518.60,2016-11-15,Conditional support,Not stated,Not stated
86,Eskom,"Planning, Scheduling tasks, Cost
Engineering, Control tasks and
Control with verification of progress
site.",RPS Engineering,Continuity of service,"123 729 840,00","68 362 292,00","0,00",2016-11-22,Conditionally Supported,2016-12-31,2018-03-18
87,Eskom,"Provision of engineering project
support and facilitate upgrade of Kriel
Fabric Filter Plant","Babcock & Wilcox Power
Generation Group",Inspection by contractor outsatnding,139 397 259.82,"0,00",19509076.69,2016-12-15,Supported,Not stated,Not stated
88,Eskom,"Construction of Gilead 66Vk and
Knobel Chloe 66Kv Feeder Bays",High Voltage Technology,Inspection by contractor outsatnding,23 016 957.98,"0,00",383 979.08,2016-12-15,Supported,Not stated,Not stated
89,Eskom,"Provision of equipment, materials,
consumables and services required
to complete site work",Stefanutti Stock and Izazi,Increased quantitities,211 419 990.62,425 780 104.16,"0,00",2016-11-11,Conditional support,Not stated,Not stated
90,Eskom,Security services,Born to protect security,"Competitive bidding process in
progress","13 689 423,56","5 339 428,14","32 576 978,92",Not stated,Supported,2016-10-20,6 Months
91,Eskom,"Refurbishment and upgrade of
Eletrostatic Precipitators at Matla
Power Station",Hamon SA (Pty) Ltd,Continuity of service,331 564 637.30,218 757 930.68,30 093 699.37,2016-09-06,Supported,2016-07-01,2019-12-31
92,ETDP SETA,Network support services,Projects Unlimited,Single source,Not stated,"88 920,00","0,00",2016/21/10,Supported,2016-07-20,2016/20/11
93,ETDP SETA,"cleaning up and rendering support
service",Delloitte Consulting (Pty) Ltd,Single source,"2 640 000,00","7 955 245,00","0,00",2016/21/07,Supported,2016-08-30,2018-07-31
94,FASSET,Advisory Services,Ligwa Advisory Services,"To allow for the contunuity of the
services","500 000,00","374 235,00",1 773 065,2016-07-18,Not Supported,Not stated,Not stated
95,Film and Publication Board,"Bar-code and tag registration as well
as classification",Document Warehouse,Change in the scope of work,"192 745,68","41 389,30","0,00",2016-10-10,Supported,Not stated,Not stated
96,FoodBev SETA,Refurbishment costs,Growthpoint Properties,"Landlord has own list of suppliers for
the refurbishment","4 500 000,00","952 474,49","0,00",2016/20/10,Supported,2015-10-01,2018/31/10
97,Human Settlements,"Internal Audit, Risk Management and
Forensic Management",Sekela Consulting (Pty) Ltd.,"Finalisation of all outstanding cases
and implementation of interventions.","11 729 025,00","13 629 036,44","33 284 683,16",2016-09-16,Conditional support,Not stated,Not stated
98,"Justice and Constitutional
Development",Security services,"Fidelity Security, Born to
Protect, Linda Security and
Mabotwane Security","Competitive bidding process in
progress",782 000 000.00,41 201 650.29,397 503 607.00,2016-10-12,Supported,2016-11-01,2016-11-30
99,"Justice and Constitutional
Development",Security services,"Fidelity Security, Born to
Protect, Linda Security and
Mabotwane Security","Competitive bidding process in
progress",782 000 000.00,20 700 831.24,438 705 257.20,2016-10-12,Supported,2016-12-01,2016-12-15
100,Legail Aid,Security services,Ewings Security,"Competitive bidding process in
progress",29 489.63,29 489.63,"0,00",2016-10-05,Supported,2016-10-01,2016-10-31
101,Mineral Resources,Mobile Services,MTN (Pty) Ltd,"The delays in appointing a new
service provider","14 730 847,72","4 119 942,40","0,00",2016/31/10,Supported,2016-01-11,2017/30/03
102,Mineral Resources,"Support of the SAMRAD and
SAMSHA online system",Moneo Professional Services,To allow for the continuty of services,Not stated,"1 008 000,00","246 240,00",2016/27/10,Supported,Not stated,Not stated
103,MISA,Provision of Artisan training,Majuba TVET,Single source,"3 286 830,00","10 240 365,00","9 340 807,00",2016-11-15,Conditional support,Not stated,Not stated
104,MISA,Provision of Artisan training,Vuselela TVET,Single source,"2 583 571,00","4 734 000,00","3 264 000,00",2016-11-18,Conditional support,Not stated,Not stated
105,MISA,"Provision of due diligence and vetting
services",Phakwe/Motheo JV,Expansion of scope,"3 378 000,00","181 600,00","0,00",2016-12-13,Not Supported,Not supported,Not supported
106,MISA,License renewal,Sage Pastel,Continuity of service,"0,00","90 831,00","0,00",2016-12-06,Supported,2016-12-01,2017-11-30
107,National Skills Fund,TVET College site at Nkandla,Rambros Construction CC,Not Stated,"194 019 881,00","16 953 099,00","38 803 976,00",Not stated,Not Supported,Not stated,Not stated
108,National Skills Fund,TVET College site Bhanmbanana,"Mamli Projects JV Phumi
Trading",Not stated,"167 427 900,00","33 485 580,00","2 737 225,00",Not stated,Not Supported,Not stated,Not stated
109,National Treasury,Extension of lease agreements,BPDC Investments,Continuity of service,"2 486 003,24","2 709 744,24","0,00",2016-11-10,Supported,2017-05-01,2018-04-30
110,NDoH,Supply of vaccines in SA,"Biologicals and Vaccine
Institute of Southern Africa
(Pty) Ltd","Allow time to finalise bidding
process",Not stated,"6 159 741 200,00","0,00",2016-11-21,Supported,2017-01-01,2018-12-31
111,NDoH,"Provision of technical assistance to
the TB Control and Management
Cluster - Global Fund Finance Unit",VP Health Systems,Continuity of service,"365 940,00","182 970,00","0,00",2016-10-01,Supported,2016-10-01,2016-12-30
112,NDoH,"Finalisation of VAT returns for the
Global Fund Grant",Nexia SAB&T,Continuity of service,"456 912,00","51 300,00","0,00",2016-10-25,Supported,2016-10-01,2016-10-31
113,NDoH,"Performance management of general
practitioners","Professional Development
(Pty) Ltd",Testing a capitation model,"26 606 218,00","3 146 769,00","0,00",2016-10-12,Conditional support,2016-11-20,2017-03-31
114,NPA,Lease of office space,Different houses,Continuity of service,"0,00","5 787 201,00","0,00",2016-09-30,Supported,2016-08-01,2017-03-31
Number,Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended date
by AO/AA","not Supported/not
Supported",Contract Start Date,Contract End Date
115,NRF,"assembly intergration and testing of
1000 hybrid memory cube (HMC)
mezzanine",Peralex,Delay in delivery of HMC,"8 948 634,00","1 808 514,00","0,00",2016-10-24,Supported,Not stated,Not stated
116,NRF,Replacement of Chiller plant,"BVI Consulting Engineers
Western Cape (Pty) Ltd",Expansion of scope,"504 354,01","310 415,67","0,00",2016-11-15,Conditional support,Not stated,Not stated
117,NRF,Lease of office space,"Excellerate Real Estate
Services","Leased building sold without
notification, urgent need for office
space","28 783 477,73","9 987 533,25","0,00",2016-12-20,Supported,2017-04-01,2018-03-31
118,PetroSA,"Provision of DSTV service for
employees",Multichoice (Pty) Ltd,Expansion of scope,"31 936,80","10 021,78","0,00",2016-10-06,Supported,2016-04-01,2017-03-31
119,PetroSA,"Provision of software products with
functionality that allows plotting of
large files","Bentley Systems International
Ltd",Sole source,"1 449 775,05","410 783,80","0,00",2016-10-06,Supported,1997-08-06,Indefinitely
120,PetroSA,Provision of Bulldog software,"Comfin Software and
Consulting Services",Expansion of scope,"890 006,00","50 334,00","0,00",2016-10-20,Supported,2016-10-16,2017-04-15
121,PetroSA,"Provision of a QPR software for a
business process modelling and
management tool.","LBR Engeneering t/a Executive
Business Solutions (Pty) Ltd",Sole source,"3 187 063,00","121 800,00","1 907 191,00",2016-10-20,Supported,2016-05-01,2017-04-30
122,PetroSA,"Provision of a maintenance service
for the fuel management system","On Track Innovation Africa
(Pty) Ltd",Sole supplier,"2 096 795,00","343 200,00","0,00",2016-10-21,Conditional support,2016-10-15,2018-10-14
123,PetroSA,"Provision of a paradigm interprete
software licences",Paradigm Geophysical B.V,Expansion of scope,"42 000,00","36 734,00","309 548,00",2016-10-27,Supported,2016-11-01,2017-10-31
124,PetroSA,"Provision of audit service on financial
modeling",Kuhumelela Advisory Services,Expansion of project duration,"25 000,00","10 250,00","0,00",2016-10-03,Conditional support,2016-10-07,2016-10-10
125,PetroSA,"Renewal of DMSI condition
monitoring software",RCMI (Pty) Ltd,Sole source,"206 923,00","66 600,00","0,00",2016-11-08,Conditional support,2016-12-01,2017-11-30
126,PetroSA,"Provision of specialist resource for
EDI cross application module",DLK Group,Continuity of service,"108 000,00","148 944,00","0,00",2016-11-21,Conditional support,2016-10-01,2016-12-31
127,PetroSA,"Provision of a web vulnerability
scanner software",Acunetix Limited,Sole source,"5 995,00","5 498,00","5 000,00",2016-11-22,Conditional support,2016-08-01,2017-07-31
128,PetroSA,"Provision of bulk liquid storage
facilities in Europe for Mosspar M","Vopak Terminal Chemiehaven
B.V",Expansion of scope,"34 400 000,00","1 400 000,00","15 100 000,00",2016-11-28,Conditional support,2016-11-01,2017-02-28
129,PetroSA,"Provision of information and trading
services for energy prices foreign
exchange and money markets",Thomson Reuters,Sole source,"103 591,00","127 622,00","126 348,00",2016-12-13,Conditional support,2016-08-01,2017-07-31
130,PetroSA,"Extension of a subscription contract
for Platts system",S&P Global Platts,Sole supplier,"1 677 857,00","366 889,00","0,00",2016-12-15,Supported,2016-11-29,2017-11-27
131,PetroSA,"Renewal of the CaseWare Software
Licence and Maintenance","CQS Technology Holdings
(Pty) Ltd",Sole supplier,"22 730,00","47 022,00","0,00",2016-12-19,Supported,2017-01-01,2017-12-01
132,PetroSA,"Extension of Pira Energy Group’s
license agreement contract",Pira Energy Group,Sole supplier,"263 000,00","65 750,00","0,00",2016-12-15,Supported,2016-12-01,2017-11-30
133,PetroSA,"Provision of maintenance and
support for a TotalChrom TCCS
software","PerkinElmer South Africa (Pty)
Ltd",Sole source,"72 693,00","576 082,00","1 230 941,00",2016-12-14,Conditionally Supported,2016-05-01,2019-04-30
134,PetroSA,"Provision of limited licences of three
microcomputer programmes",Chempute Software (Pty) Ltd,Sole source,"44 448,00","118 912,00","895 045,00",2016-12-08,Conditionally Supported,Not stated,Not stated
135,PRASA,"Assist in concluding audit coverage
plan for 2016/17 financial year","Sizwe Ntsaluba Gobodo and
Sekela Gobodo Consortium","Expansion of project duration due to
delays","39 878 808,00","5 500 000,00","0,00",Not dated,Supported,2016-08-26,2017-03-31
