,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date,
37,Eskom,"Provision of Porject Enginerring
Services to Power Delivery Engineering
(Integration)",DMG Resources,Continuity of service,7 518 015.00,0.00,0.00,2018/04/05,Not supported,2018/04/01,2019/02/28,
38,Eskom,"Provision of Professjonal Quantity
Surverying Services For Kusile Power
Station",Durapi Consultants,Continuity of service,90 082 271.04,51 376 767.92,107 843 674.10,2018/04/05,Not supported,2018/04/01,2018/09/30,
39,Eskom,"Sourcing and delivery of Material and
Services for The Eskom Information
Centre (EIC)","EBSCO International & Worldwide
Information Systems (Pty) Ltd for
subscription and Worldwide
Information Systems (Pty) Ltd &
Alicanie Trading cc for Books","Funds depleted and additional
demand",56 972 064.00,98 875 887.00,0.00,2018/02/23,Within AA/AO mandate,2015/03/16,2020/03/15,
40,Eskom,"Provision and Maintenance of the Fuel
Oil Plant",Sufarnco SA (Pty) Ltd,High demand of fuel,22 368 000.00,26 506 000.00,0.00,2018/04/05,Not supported,2015/08/01,2020/07/31,
41,Eskom,"Engineering and design of boilers and
associated plant","Mitsubishi Hitachi Power Systems
Europe Gmbh & Mitsubishi Hitachi
Power Systems Africa (Pty) Ltd",Additional scope changes,185 316 800.00,3 092 835 843.00,0.00,2018/04/25,Conditional support,2018/01/01,2021/03/31,
42,Eskom,"Palmiet Blowdon Air Compressor
Replacement",Lesedi Nuclear Services (Pty) Ltd,Design is not finalised,20 521 261.29,0.00,0.00,2018/04/05,Pending,2018/04/30,2018/10/31,
43,Eskom,"Provision of Project Control for Kusile
Power Station",RPS Consulting,Business continuity,141 052 017.60,0.00,0.00,2018/04/05,Not supported,2018/04/01,2018/09/30,
44,Eskom,"Provision of SAS software license.
maintenance and support and
professional services",SAS Institute (Pty) Ltd,Sofware renewal,29 186 756.76,231 730 314.10,87 160 490.68,2018/02/24,Pending,2017/03/01,2021/04/30,
45,Eskom,Project Engineering Surveying Services,Themba Consultants,RFQ process to be finalised,26 360 836.90,0.00,0.00,2018/04/05,Not supported,2018/04/01,2018/05/31,
46,Eskom,"Construction of the new admin building
at Camden Power Station",Trencon Construction (Pty) Ltd,Continuity of service,72 322 833.20,0.00,0.00,2018/02/27,Pending,2018/02/28,2018/08/31,
47,Eskom,"Construction of portion of Medupi-
Borutho 400KV Transmission Line
project (Section A","Consolidated Power Projects (Pty)
Ltd (Conco)",Continuity of service,1 582 593 330.00,0.00,44 292 964.84,2018/05/15,Supported,2018/06/14,4 months,
48,Eskom,"Provision of Forensic & Anit-Corruption
Consultation Services.","Kago Solutions. Neo Solutions.
Prodogy. Crawford. EY. Nexia
SAB&T. Exactech. Qhubeka/XUlu.
Katch Logistics. Open Water. UBAC.
NMK. G9. Morar and Phandahanu","Limited funds and addiitonal
scope of work",30 000 000.00,62 369 600.00,79 914 495.41,2018/05/24,Conditional support,2018/06/01,2019/04/30,
49,Eskom,"Manufacture and supply of Split Meters
to Eskom on an as and when required
basis","Landis & Gyr (Pty) Ltd and
Nyamezela Metering (Pty)","Finalise the compettive bidding
process",350 189 590.85,201 384 282.19,129 110 460.10,2018/04/04,Not supported,2018/11/01,2018/12/31,
,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date,
50,Eskom,"Provision of Legal Services For Eskom
Holdings SOC Limited",Legal Firms,"Finalise the compettive bidding
process",200 000 000.00,80 000.00,750 000 000.00,2018/04/17,Conditional support,2018/04/01,2018/12/31,
51,Eskom,"Supply of three PSA Nitrogen
Generation Plant Generation Plants at
Kusile Power Station",Nugen Technologies (Pty) Ltd,Additional scope of work,20 981 016.00,0.00,15 106 318.92,2018/05/17,Supported,2018/05/18,2018/11/15,
52,Eskom,"Maintenance and Operation of the
Sewer Treatment Plant at Kusile Power
Station",Prentec (Pty) Ltd,"Finalise the compettive bidding
process",8 174 893.25,420 000.00,3 591 493.00,2018/05/08,Conditional support,2018/05/10,2018/06/09,
53,Eskom,"Provision of Professional Services at
the Hendrina Power Station","Shaweni Consulting Engineers (Pty)
Ltd","Complete the remaining scope
of work",1 855 870.00,0.00,0.00,2018/05/15,Conditional support,2018/05/15,2018/07/15,
54,Eskom,Security Services at Simmerpan,Utafutja Trading (Pty) Ltd,Business continuity,2 716 641.75,2 587 970.52,1 725 310.29,2018/05/04,Not supported,2018/05/01,2019/04/30,
55,Eskom,"Refurbishment of four main isolation
valves",WK Construction,Additional scope of work,20 998 074.76,1 140 000.00,0.00,2018/04/19,Supported,2017/11/01,2018/05/31,
56,Eskom,"Manufacture. supply and installation of
the Auto Schemes at Koeberg for
Transmission Delivery Projects",ABB South Africa (Pty) Ltd,Continuity of service,3 030 000.00,0.00,0.00,2018/06/25,Pending,2018/08/01,2019/05/31,
57,Eskom,"Valve Regulated Lead Acird Cells.
Battery Stands. Battery Cabinets
andAllAccessories to various divisions
onan as and when required basis","COM 10 A Division of ACTOM (Pty)
Ltd","Additional business
requirements",3 808 711.92,8 896 901.95,5 009 311.56,2018/06/18,Not supported,2016/08/01,2021/07/30,
58,Eskom,"Provision of Monthly Bureau
Maintenance Service for Driver
Monitoring Cameras Installed at Eskom
Vehicles Including De-Installation and
Re-Installation of Untis",Drive Risk (Pty) Ltd,"Finalise the compettive bidding
process",16 621 495.00,41 291 588.00,0.00,2018/06/25,Conditional support,2018/07/01,2018/07/31,
59,Eskom,"Maintenance of On Board Maintenance
Of ON Board Computers (OBC) UNITS
Installed on Eskom Vehicles","Mix Telematics Enterprises SA (Pty)
Ltd","Finalise the compettive bidding
process",18 083 250.00,"39,875,460.00",0.00,2018/06/25,Conditional support,2018/07/01,2018/07/31,
60,Eskom,"Supply. transportation. erection and
dismantling of scaffolding and insulation
material for Generation Power Stations
including Group Capital","Southey Contracting (Pty) Ltd. Kaefer
Thermal Contracting Services. SGB-
Cape and TMS Group Industrial
Services (Pty) Ltd",Court interdict,0.00,390 025 028.00,0.00,2018/06/06,Supported,2018/07/01,2018/09/30,
61,Eskom,"Provision of Fuel Cards Facilities For
Fuel. Oil. Toll Fees. Repairs and
Maintenance Facilities",Standard Bank SA (Stannic),"Finalise the compettive bidding
process",7 217 841.84,5 836 085.61,29 464 998.69,2018/05/30,Supported,2018/06/01,2018/12/31,
62,Eskom,"Contract for Home-Work. Home
Transport for Employees",UM Joint Ventures,"Finalise the compettive bidding
process",25 477 033.18,2 327 610.51,9 261 306.78,2018/06/27,Supported,2018/07/01,2018/07/31,
63,Eskom,"The Supply and Delivery of Hardware
Storage. Servers &Blades). Software.
professional services. maintenance &
support Modular Data Centre","Hewlett-Packard Enterprise (HPE)
South Africa (Pty) Ltd",Continuation of service,421 171 934.61,230 000 000.00,0.00,2018/05/22,Supported,2018/05/31,2019/30/04,
64,Eskom,"Provision of Facilities Managemetn
Services to Eskom Real Estate (ERE)
Corporate Office Buildings in Gauteng
Region on as when required basis","Eris Periscopic Masingati. Leroy
Building Construction cc & Thumncu
(Pty) Ltd","Depletion of funds and
additional scope of work",57 550 888.00,162 449 879.91,57 130 668.48,2018/06/25,Supported,2018/07/01,2018/08/31,
65,Eskom,"Supply. Delivery and Offloading of Fuel
Oil to all Eskom's Fired Power Stations","Econ Oil & Energy (Pty) Ltd & FFS
Refiners (Pty) Ltd","Finalise the compettive bidding
process",2 485 574 824.83,0.00,0.00,2018/06/25,Supported,2018/07/01,2018/10/31,
66,Eskom,"Procurement of Plant Design. Supply
and Installation and Commission of
88kV Overhead Power Line For Majuba
Rail Project","Consolidated Power Projects (Pty)
Ltd","Complete the remaining scope
of work",91 539 383.44,0.00,0.00,2018/06/22,Conditional support,2018/07/01,2018/08/31,
67,Eskom,"Technical Assurance for Majuba
Offloading Facility and Yard
Optimisation",Themba UES Joint Venture,"Delays in Construction
Services",15 722 623.33,0.00,Not Indicated,2018/03/28,Awaiting additional information,2018/04/01,2018/03/30,
68,Eskom,"Supply of Coal to Camden Power
Station",Vunene Mining,Continuity of service,1 531 600 000.00,5 163 960 000.00,586 042 531.30,2018/04/18,Conditional Support,Not Indicated,5 years,
70,Eskom,"Design . procurement. delivery on site
excess coal stock yard at Kusile","Tenova Mining and Minerals South
Africa (Pty) Limited",Addional scope of work,962 383 802.66,166 287 688.00,0.00,2018/03/29,Not supported,Not Indicated,Not Indicated,
71,Eskom,Provision of technical assistance,Ergo Exergy Tech inc,"Finalise the compettive bidding
process",49 971 836.00,105 310.89,0.00,2018/04/10,Pending,Not Indicated,12 Months,
,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date,
72,ETDP SETA,"Provision of office accomodation-
Mpumalanga",Road Hogg Tours,Continuity of service,3 883 102.07,1 606 010.64,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
73,ETDP SETA,"Provision of office accomodation- North
West",Engel & Volkers,Continuity of service,3 608 181.43,1 592 751.60,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
74,ETDP SETA,"Provision of office accomodation-
Eastern Cape",JHI Blue Beacon,Continuity of service,2 696 299.56,1 461 275.88,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
75,ETDP SETA,"Provision of office accomodation- Free
State",The Michael Family Trust,Continuity of service,3 165 470.50,1 317 039.36,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
76,ETDP SETA,"Provision of office accomodation-
Limpopo",Frikkie Pienaar Properties,Continuity of service,2 623 187.30,897 845.52,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
77,ETDP SETA,Provision of office accomodation- KZN,The Kaywood Trust,Continuity of service,1 788 673.59,893 914.56,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
78,ETDP SETA,"Provision of office accomodation-
Gauteng",JHI Sanlam,Continuity of service,3 270 817.78,1 357 662.00,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
79,ETDP SETA,"Provision of office accomodation-
Northern Cape",AIDA,Continuity of service,2 635 805.28,1 102 901.40,0.00,2018/05/16,Supported,2018/07/01,2020/06/30,
80,"Financial and Accounting
Services SETA",Systems and Human resources,Deloitte,Bid to be advertised,0.00,8 461 959.00,0.00,2018/06/20,Conditional support,2018/07/01,2018/09/30,
81,"Financial and Fiscal
Commission",Lease of office accomodation,Mowana Property,Continuity of service,2 740 937.84,3 626 967.38,2 236 081.46,2018/05/21,Supported,Not stated,Not stated,
82,FPM SETA,"Provision of Management Information
System",Deloitte,Continuity of service,4 194 429.52,428 670.68,643 006.02,2018/06/28,Conditional support,2018/07/01,2018/08/31,
83,GCIS,Physical security services,Mafoko Security and Patrols,Continuity of service,10 201 679.95,904 736.13,1 507 893.55,2018/05/31,Supported,2018/07/01,2018/09/30,
84,GPAA,Rendering mainframe support services,Accenture,Continuity of service,251 818 034.90,5 084 145.61,25 675 583.40,2018/04/19,Supported,2018/05/01,2018/06/30,
85,GPAA,"Mainframe data replication and fail over
services",BCX,Continuity of service,6 352 772.00,497 020.06,2 612 526.38,2018/04/19,Supported,2018/05/01,2018/06/30,
86,Health,"Provision of warehousing and
distribution services for the National
Buffer Stock.",Imperial Health Services (Pty) Ltd,"Alignment of contract with ARV
contract and donor funding
cycle",5 363 486.00,2 550 078.00,4 875 721.20,2018/02/06,Supported,2018/10/01,2019/03/31,
87,Health and Welfare SETA,Internal Audit Services,PriceWaterHouseCoopers,"The service provider acquired
knowledge and is familiar with
the project",2 900 000.00,979 591.92,0.00,2018/04/03,Not supported,2018/04/01,2018/08/31,
88,Home Affairs,"Extension of SASSA Security Contracts
for 5 regions",Various suppliers,Tender Cancelled for 5 regions,Not Indicated,Not Indicated,Not Indicated,2018/04/24,Not supported,Not Indicated,3 months,
89,"Human Sciences Research
Council",Hygiene services,Bidvest Steiner,To complete tendering process,1 173 648.00,104 152.92,151 428.00,2018/04/16,Not supported,2018/05/01,2018/07/31,
90,"Human Sciences Research
Council",Internet connectivity,TENET,Affiliation,0.00,0.00,4 623 308.53,2018/04/25,Not supported,2018/05/01,2023/04/30,
91,"Human Sciences Research
Council",Courier Services,Aramex,To complete tendering process,470 000.00,300 000.00,0.00,2018/04/18,Not supported,2018/05/01,2018/07/31,
92,IEC,"Lease of office accomodation - East
London",Finishing Touch Trading,Continuity of service,12 758 842.00,3 277 464.00,2 003 312.00,2018/05/14,Supported,2018/07/01,2018/12/31,
93,IEC,"Lease of office accomodation - Buffalo
City. East London",Investpro Commencial,Continuity of service,1 325 803.95,107 073.00,618 195.00,2018/05/30,Not supported,2017/07/01,2018/06/30,
94,IEC,"Lease of office accomodation -
Umzimvubu",Nomvuyo Zituta Magwentshu,Continuity of service,487 553.16,96 458.22,32 152.74,2018/05/30,Not supported,2017/11/01,2018/07/31,
95,"Independent Development
Trust","Renewal of development research
solution licenses",ADRS,License renrenewal,0.00,1 948 049.00,0.00,2018/04/05,Pending,2018/04/01,2019/03/31,
96,"Inkomati-Usuthu Catchment
Management Agency",Laboratory services,Regent Water CC,Continuity of service,2 999 232.00,449 884.80,0.00,2018/06/01,Within AA/AO mandate,2017/08/01,2019/08/30,
97,"Insurance Sector Education
and Training Authority",Provision of Internal Auditing,PWC,Continuity of service,1 777 006.00,450 000.00,231 783.00,2018/06/18,Conditional support,2018/06/01,2018/09/30,
98,"International Relations and
Cooperation",Security services,Alpha Security,Not indicated,60 708.00,10 118.00,0.00,2018/06/13,Not supported,Not stated,Not Stated,
99,IPID,Provision of cleaning services,Mvumbo Investment,Continuity of service,133 455.02,66 727.51,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
100,IPID,Provision of cleaning services,Gugu and Pro General Trading,Continuity of service,136 689.08,68 344.54,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
101,IPID,Provision of security services,Zack-Jack Security Services,Continuity of service,356 999.64,178 499.82,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
102,IPID,Guard and alarm services,Imvula,Continuity of service,147 022.02,73 511.01,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
103,IPID,Security services,Madiali Security and Projects,Continuity of service,573 390.00,286 695.00,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
104,IPID,Cleaning services,Clean Safe and Green,Continuity of service,64 884.00,32 442.00,0.00,2018/05/24,Supported,2018//06/01,2018/06/30,
105,"Iziko Museums of South
African","verification and valuation of heritage
assests",Grant Thornton,Continuity of service,6 808 536.00,2 723 414.40,0.00,2018/04/19,Not supported,2018/04/26,2019/03/31,
106,"Justice and Constitutional
Development","provision of ICT infrastructure support
and maintenance services",EOH Mthombo (Pty) Ltd,"Finalise the compettive bidding
process",159 903 626.82,21 197 378.85,26 650 604.41,2018/05/30,Conditional support,Not indicated,Not indicated,
107,"Justice and Constitutional
Development",ICT Security Services,CHM Vuwani (Pty) Ltd,Continuity of service,29 814 432.99,6 121 892.97,3 726 804.12,2018/05/14,Not supported,2018/05/15,2018/08/15,
,Department / Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/Recommendation
by/ date",Supported/Not supported,Contract Start Date,Contract End Date
108,"Justice and Constitutional
Development",Transcription services,"Sneller.Digital Audio. Lepelle. and
World focus","Finalise the compettive bidding
process",35 356 199.10,6 026 443.80,26 138 613.22,Not indicated,Supported,2018/06/01,2018/07/31
109,Labour,SAP support and maintenance,Dimension Data,Continuity of service,56 031 327.53,10 345 860.00,5 080 320.00,2018/06/11,Supported,2018/07/01,2018/10/31
110,"Local Government Education
and Training Authority","Conduct investigations into allegations
of financial misconduct",EOH Forensic Services,Continuity of service,500 000.00,"684,500.00",0.00,2018/05/14,Pending,Once-off,Once-off
111,Mhlathuze Water,"GPS coordinates for each asset; re-
assessment.",Royal Haskoning DHV (Pty) Ltd,Continuity of service,492 331.80,310 546.53,0.00,2018/04/25,Not supported,Not stated,Not Stated
112,MISA,"Consolidation of the issues in the High
Court litigation between MISA and the
former Technical Consultants","Ngeno and Mteto Incorporated
Attorneys",Continuity of service,270 000.00,620 788.50,0.00,31/01/2018,Not supported,2017/11/01,2018/02/28
113,National Credit Regulator,Legal Services,Geldenhuys Malatji Attorneys,Budget almost depleted,400 000.00,500 000.00,60 000.00,2018/06/20,Pending,Not indicated,Not indicated
114,National Credit Regulator,Legal Services,R&S Attorneys,Budget almost depleted,456 230.39,500 000.00,0.00,2018/05/09,Pending,2017/06/06,Not indicated
115,National Credit Regulator,Legal Services,Dlamini Attorneys,Budget almost depleted,500 000.00,450 000.00,0.00,2018/06/15,Not supported,2017/07/08,Not indicated
116,National Credit Regulator,Legal Services,Bazuka & Company Incorporated,Budget almost depleted,450 000.00,400 000.00,67 000.00,2018/06/15,Pending,2017/09/21,Not indicated
117,National Credit Regulator,Legal Services,Dlamini Attorneys,Budget almost depleted,500 000.00,500 000.00,0.00,2018/03/23,Pending,On going,Not indicated
118,National Credit Regulator,Legal Services,Geldenhuys Malatji Attorneys,Budget almost depleted,386 004.50,500 000.00,57 900.68,2018/06/20,Conditional support,Not indicated,Not indicated
119,National Credit Regulator,Legal Services,Hogan Lovells South Africa,Budget almost depleted,500 000.00,400 000.00,75 000.00,2018/06/21,Conditional support,Not indicated,Not indicated
120,"National Health Laboratory
Service","Extension of the lease contract at Ficus
Park building",Mile Investments 215 (Pty) Ltd,"To avoid additional costs of the
new lease",632 889.24,2 745 745.54,0.00,2018/04/17,Pending,2018/05/01,2021/04/30
121,"National Lotteries
Commission",Office accomodation,Barkley West,"Registration and refurbishment
of the house outstanding",1 599 995.04,167 629.99,585 508.32,2018/05/04,Conditionally supported,2018/07/01,2018/08/30
122,"National Regulator for
Compulsory Specifications",Annual financial statements reporting,Reliable Accountants incorporated,Budget almost depleted,170 602.50,170 602.50,0.00,2018/06/12,Pending,2018/05/01,2018/06/31
123,"National Regulator for
Compulsory Specifications",Legal Panel,Not specified,"Finalise the compettive bidding
process",Not indicated,Not indicated,Not indicated,2018/05/16,Pending,Not indicated,Not indicated
124,"National Research
Foundation",Lease of building,Life Vincent Pallotti Hospital,Continuity of service,28 736 921.00,4 507 824.27,9 987 533.00,2018/06/20,Not supported,2018/04/01,2018/09/30
125,National Treasury,"Provision of support and maintenance
for back office system",Barone. Budge and Dominick,Continuity of service,18 484 383.11,4 269 320.62,0.00,2018/06/22,Not Supported,Not stated,Not stated
126,NHBRC,Bloemfontein lease agreement,"ERF 2790 Bloemfontein close
cooperation",Bid non-responsive,1 460 880.00,645 025.92,0.00,2018/03/28,Not Supported,2017/11/01,2018/10/31
127,NHBRC,Kimberly lease agreement,Hapbesigheids Trust,Bid non-responsive,1 843 833.00,854 174.80,0.00,2018/03/28,Not Supported,2017/12/01,2018/11/30
128,NHBRC,Polokwane lease agreement,Talas Properties,Bid non-responsive,3 792 492.00,1 620 072.00,0.00,2018/03/28,Not Supported,2017/12/01,2018/12/31
129,NHBRC,Tzaanen lease agreement,"Comanage Investments 20 (Pty) Ltd
Brokers",Bid non-responsive,342 000.00,140 356.00,0.00,2018/03/28,Not Supported,2018/02/01,2019/01/31
130,NHBRC,"extension of lease agreement at
Bellville office",Broll Property Group,Bid non-responsive,8 164 894.00,2 677 135.00,0.00,Not indicated,Supported,Not indicated,Not indicated
131,NHBRC,"Office space at Newcastle Office with
Newcastle Office Park (Pty) Ltd",Newcastle Office Park (Pty) Ltd,Bid non-responsive,803 208.60,325 299.59,0.00,2018/06/27,Supported,2018/07/01,2019/06/30
132,NHBRC,"Notice of expansion - Lease for
Klerksdorp",Surego Investment,Bid non-responsive,476 674.40,122 989.00,Not Indicated,2018/03/28,Not supported,2018/03/01,2018/02/28
133,NHBRC,"Notice of expansion - Lease for George
Office",Classic Diamond Holdings,Bid non-responsive,666 900.00,345 828.00,163 838.00,2018/03/28,Not supported,2018/04/01,2019/03/30
134,NHBRC,"Notice of expansion - Lease for Witbank
office",De Bruyn Commercial,Bid non-responsive,1 811 699.00,357 859.00,Not Indicated,2018/03/28,Not supported,2017/11/01,2018/04/30
135,NHBRC,"Notice of expansion - Lease for
Tshwane Office",SKG Properties,Bid non-responsive,1 685 561.94,1 824 953.00,Not Indicated,2018/03/29,Not supported,2017/07/01,2018/06/30
