"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 4 ( 16 December 2022 - 15 March 2023) REPORT EXPANSIONS",,,,,,,,,,,,,,,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
9,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),"Salary parity, Pay Scale design and Remuneration Strategy and
Policy",Emergence Human Capital,"Pay Progression workshop with Executives, Remuneration Charter review,
Pay Progression model Calculations and Developing a new remuneration
table that is aligned to the new policy.","R151 125,00","R270 266,10","R0,00",Within AA/AO mandate Noting,2022/11/22,2022/11/25,2023/04/30,
,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),Coaching sessions,"The Integral Coaching
Centre",Feedback Report debrief session,"R37 950,00","R388 700,00","R0,00",Within AA/AO mandate Noting,2022/12/13,2022/12/13,Once off,
11,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),"Principal Investigator : National Food
Security and Nutrition Survey",CSIR,"Additional 269 hours for the Principal
Investigator","R575 000,00","R971 750,00","R0,00",Within AA/AO mandate Noting,2022/11/29,2022/11/29,2022/12/31,
12,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),"Setup and Configuration of Non-
Microsoft User account for HSRC",Blue Connectionz,Development of additional functionality,"R85 376,00","R1 735 380,00","R0,00",Within AA/AO mandate Noting,2022/11/25,2022/11/01,2023/01/31,
13,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),Research Services,"Institute of Natural
Resource","Additional days required for Dr Admire
Nyamwanza to facilitate the closing out of
this project.","R19 794,37","R131 962,50","R0,00",Within AA/AO mandate Noting,2022/12/22,2022/12/22,2022/12/31,
14,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),"Business Innovation Survey (BIS) 2019-
2021 fieldwork",Geoscope South Africa,BIS Email Strategy Approach and Costing,"R218 122,04","R2 741 205,33","R0,00",Within AA/AO mandate Noting,2022/12/22,2023/01/01,2023/03/31,
15,Q4 2022/23,New,2023/02/09,Human Sciences Research Council (HSRC),Curation and printing service,African Sun Press,100 additional notebooks,"R11 900,00","R140 000,00","R0,00",Within AA/AO mandate Noting,2023/01/20,2023/01/20,Not Stated,
16,Q4 2022/23,New,2023/02/14,Human Sciences Research Council (HSRC),SASAS 2022 data collection in Limpopo,Social Data Collectors CC,"To undertake data collection in the 24
Identified rural area layers sampled in
Limpopo","R310 867,00","R600 000,00","R0,00",Within AA/AO mandate Noting,2023/02/06,2023/02/06,Not Stated,
17,Q4 2022/23,New,2023/02/14,Human Sciences Research Council (HSRC),SASAS 2022 data collection in Limpopo,GeoScope SA,"To Reinstate the surveyToGo software and
database for the electronic data collection","R34 499,99","R260 164,50","R0,00",Within AA/AO mandate Noting,2023/02/06,2023/02/06,Not Stated,
18,Q4 2022/23,New,2023/02/14,Human Sciences Research Council (HSRC),"Security Guarding for HSRC
Sweetwaters office",Khensani Security Services,"Extension of the contract for a further 3
Month","R72 005,40","R3 456 258,79","R0,00",Within AA/AO mandate Noting,2023/02/06,2023/02/06,Not Stated,
19,Q4 2022/23,New,2023/02/07,South African Weather Service,"Extension of the Weather Information Service agreement with
Weather Intelligence System (Pty) Ltd",Weather Intelligence Systems (Pty) Ltd,"Weather Intelligence Systems (Pty) Ltd (WIS) was appointed as a partner of
SAWS following a request for proposal issued to the market in mid 2019 to
identify poetential partners who have unique capabilities to assist SAWS with
revenue generation. WIS was one of the four partners appointed in the
process.Thye weather inforation service agreement for for three years (1
February 2020 to 31 January 2023.","R1 319 660,70","R3 061 497,15","R0,00",Within AA/AO mandate Noting,2023/01/20,2023/02/01,2023/07/31,
20,Q4 2022/23,New,2023/02/07,South African Tourism,"Domestic survey(3 months extension) and Departure (3 months
extension)",Plus Research 94,Tender process in its final award stage,"R8 775 747,75","R85 201 936,92","R0,00",Within AA/AO mandate Noting,2022/12/23,2023/01/01,2023/03/31,
21,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",WC George office lease,King of Storms Properties Pty Ltd,Lease Renewal,"R675 076,26","R993 636,40","R317 091,02",Within AA/AO mandate Noting,2022/12/30,2023/02/01,2028/01/31,
22,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)","Protools control surface and network storage for the Kwa Zulu
Natal province",Jasco Systems Pty Ltd,Project Duration Continuity,"R0,00","R3 899 421,16","R0,00",Within AA/AO mandate Noting,2022/12/22,2022/12/31,2023/06/30,
23,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)","The physical security services at the SABC Northern Cape
Offices",Khayalami Security CC,Continuity of services,"R555 808,80","R2 394 024,00","R4 061 450,40",Within AA/AO mandate Noting,2022/11/27,2022/12/01,2023/01/31,
24,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",News branding and graphics playout system,Protea Electronics Pty Ltd,"Additional time in developing a mitigation plan in the absence of the current
workstation for TA135 Henley Branding and Graphics","R0,00","R57 456 225,25","R0,00",Within AA/AO mandate Noting,2022/11/23,2023/01/01,2023/03/31,
25,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",News Website and Mobile Application Support,African Proficiency Software Proprietary,Continuity of services,"R1 300 698,00","R1 171 800,00","R0,00",Within AA/AO mandate Noting,2022/11/14,2022/11/15,2023/05/14,
26,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",Extraction of Data from Mobius to Sharepoint,African Proficiency Software Proprietary,"Continuity of services due to the delay caused by the vetting process and
vendor registration process","R0,00","R459 793,00","R0,00",Within AA/AO mandate Noting,2022/10/10,2022/11/01,2022/12/31,
27,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",Software License and Support of BIS Netpass Software,BIS Advanced Software Systems Limited,Continuity of services,"R868 406,40","R766 363,68","R2 299 091,04",Within AA/AO mandate Noting,2022/12/20,2023/01/01,2025/12/31,
28,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",Economic Data services,Refinitive SA Incorporated in Switzerland,Continuity of services,"R1 672 390,00","R1 146 722,04","R0,00",Within AA/AO mandate Noting,2022/10/05,2022/11/01,2024/10/31,
29,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",Peromnes (Job Evaluations System) Software License Renewal,Deloitte Consulting (Pty) Ltd,Sole provider,"R39 291,00","R36 550,00","R0,00",Within AA/AO mandate Noting,2022/12/13,2023/01/01,2023/12/31,
30,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)","Provision of Support and Licensing of ADABAS and Natural suite
of products",Software AG Pty Ltd,Continuity of services,"R3 616 321,35","R24 108 809,00","R47 781 615,00",Within AA/AO mandate Noting,2023/11/14,2023/04/25,2026/04/24,
31,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)","The Symantec Endpoint protection suite renewal and
maintenance",EOH Mthombo Pty Ltd,Continuity of services,"R252 898,80","R2 419 832,30","R0,00",Within AA/AO mandate Noting,2022/10/24,2022/11/01,2023/01/31,
32,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",The License and support of Ada- and E-Strip Software,Bateleur Software,Continuity of services,"R704 072,08","R704 072,08","R704 072,08",Within AA/AO mandate Noting,2022/10/25,2023/04/01,2026/03/31,
33,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)",Hot Water boiler replacement,Mekan Engineering Services Pty Ltd,Expansion of funds,"R48 732,40","R1 899 000,00","R0,00",Within AA/AO mandate Noting,2022/10/14,Once off,Once off,
34,Q4 2022/23,New,2023/02/15,"South African Broadcasting Corporation SOC Limited
(SABC)","Physical security services at the SABC Kwa-Zulu-Natal, Durban
regional Offices",Mafoko Security Patrols Pty Ltd,Continuity of services,"R1 045 460,16","R3 937 554,27","R0,00",Within AA/AO mandate Noting,2022/10/24,2022/11/01,2023/01/31,
35,Q4 2022/23,New,2023/02/27,National Research Foundation (NRF),"Design, supply and installation of a target transporter track
extension and spares for the South African isotope facility (saif)
at iThemba Labs in Faure, Western Cape, South Africa)","Technology and Innovation Support
Center Ltd","The expansion relates to two additional doors for the design, supply and
installation of the Target Transporter Track Extension for the South African
Isotope Facility (SAIF)","R508 261,00","R2 130 009,93","R0,00",Within AA/AO mandate Noting,2023/02/08,2023/03/01,2024/02/29,
36,Q4 2022/23,New,2023/02/27,National Research Foundation (NRF),"Supply and support of the google apps suite for business and
vault services for SARAO for a period of 3 years.",Xepa Consulting (Pty) Ltd,"The current three year agreement with XEPA expires in December 2023 and
it does not make sense to appoint a new reseller to provide the Google
Archived User (AU) licences when a cost effective month-to-month
agreement can be entered into with the incumbent supplier.","R51 060,00","R4 419 160,00","R0,00",Within AA/AO mandate Noting,2023/02/08,2023/03/01,2026/02/28,
37,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Provision of SANSA Board pack Software,Ability Holdings (PTY) LTD,Additional licences required for the new board members and new executives,"R180 000,00","R781 080,00","R0,00",Within AA/AO mandate Noting,2022/08/19,2022/09/01,2025/04/30,
38,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Recruitment Services,"MasTech, Phaki Personnel and Mogale
Solutions)","SANSA has staff memebrs who are contractors belonging to the 3 service
providers which will end in 31 March 2023.","R750 000,00","R2 937 035,73","R0,00",Within AA/AO mandate Noting,2022/11/25,2022/12/01,2023/03/01,
39,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Student Residence Revamp Catering,Gilbert's Catering,"Delays in construction of the student residence. Students were unable to
access the kitchen faclities, there provision of catering services had to be
extended by 1 week.","R15 620,00","R56 490,00","R0,00",Within AA/AO mandate Noting,2022/11/04,2022/11/04,2022/11/11,
40,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),"Salary parity, Pay Scale design and Remuneration Strategy and
Policy",Emergence Human Capital,"Pay Progression workshop with Executives, Remuneration Charter review,
Pay Progression model Calculations and Developing a new remuneration
table that is aligned to the new policy.","R151 125,00","R270 266,10","R0,00",Within AA/AO mandate Noting,2022/11/22,2022/11/25,2023/04/30,
41,Q4 2022/23,New,2023/02/08,South African National Space Agency (SANSA),Legal Services,"Phungo attorneys, Verveen attorneys and
Gildenhuys Malatji attorneys","Extension of the legal services panel contract to 30 June 2023 due to
pending legal matters.","R1 000 000,00","R1 523 133,36","R0,00",Within AA/AO mandate Noting,2022/12/23,2023/01/01,2023/06/30,
42,Q4 2022/23,New,2023/03/07,uMsunduzi Museum,"Refurbishment and upgrade of uMsunduzi Museum' s Buildings :
Appointment of Mechanical Engineer",HAMSA Consulting Engineers,"Previous drawings for the project were outdated therefore drawings were
redesigned . Evidently this required the scope of work to change for the
project and additional work to be completed.","R723 272,38","R332 028,47","R0,00",Within AA/AO mandate Noting,2023/03/03,2023/03/31,2024/10/14,
43,Q4 2022/23,New,2023/03/13,National Research Foundation (NRF),"Variation to the Purchase Order (iLAB-PO000005701) awarded
to ABX Advanced Biochemical Compounds for the supply of
Conical Column Reservoir 10 ml",ABX Advanced Biochemical Compounds,"At the time of obtaining the quotation, the freight charges were not included.
On the 17th of February 2023, the goods were delivered, and upon receiving
them, they included freight charges on their invoice.
They have added additional costs for airfreight, hence the increase.","R4 675,00","R7 601,00","R0,00",Within AA/AO mandate Noting,2023/02/08,Once off,Once off,
44,Q4 2022/23,New,2023/03/13,National Research Foundation (NRF),"Renewal of Service Level Agreement with The Document
Warehouse for off-site storage facilities",The Document Warehouse,"Exhausted the budget of R300 000 in 18 months as opposed to the 24
months as initially projected. It is thus necessary to expand the SLA with
Document Warehouse for the 3-year expansion of the SLA to provide time
to receive the disposal authorities from NARSSA and ensure continuous
provision of services","R300 000,00","R815 000,00","R0,00",Within AA/AO mandate Noting,2023/03/07,2023/04/01,2026/03/31,
45,Q4 2022/23,New,2023/01/31,Agrément South Africa,"Appointment of a Service Provider for the Provision of Azure AD
Premium Ps and Backup & site recovery annual license including
monitoring and support",Intellitech Systems,"The contract was extended due to the procurement process for the new
service provider not being finalised timeously.","R110 241,01","R17 892,92","R0,00",Within AA/AO mandate Noting,2022/06/01,2022/06/01,2022/07/31,
46,,New,2022/12/29,South African revenue Service,Upington railway Station,Tansnet,"The contract extension between SARS and Transnet for a period of 5
years commencing 1 January 2023 until 31 December 2027 at a total
cost of R 2 204181.82 Incl VAT at an escalation of 5% per annum.","R2 204 181,00","R262 628,64","R5 745 615,19",Within AA/AO mandate Noting,2022/12/01,2023/01/01,2027/12/31,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]",,,,,
47,Q4 2022/23,New,2022/12/29,South African revenue Service,KZN-Shedding and recycling of clothing,BitsNonwovenPopietayLimited,"The variation of time on an existing contract for the shredding and
recycling of clothing, from 1 January 2023 to 31 December 2023.","R0,00","R1 500 000,00","R0,00",Within AA/AO mandate Noting,2022/12/22,2023/01/01,2023/12/31,
48,Q4 2022/23,New,2022/12/23,Sentech Limited,"Motivation for approval of variation order on the existing contract
for AUCOM, Tender No.: SENT/025/2022-23.","AUCOM SA
VFS Global",Exchange Rate Variation,"R66 734,07","R1 267 856,85","R0,00",Within AA/AO mandate Noting,2022/09/11,Notindicated,Notindicated,
49,Q4 2022/23,New,2022/12/23,Home Affairs,"Extention of contract to manage Front Office processing of Visa
and Permit applications in South Africa and abroad",,To allow for the completion of a Public Private Partnership process,"R0,00","R0,00","R0,00",Within AA/AO mandate Noting,2022/12/09,2023/01/01,2024/12/31,
50,Q4 2022/23,New,2022/12/23,Home Affairs,"Extention of contract with Thales (Gemalto Southern Africa) for
the continued use of Assure-ID Sentinel Software for DHA
Systems at all Ports of entry.",Thales (Gemalto Southern Africa),"To provide continuity for the use of Assurance-ID Sentinel Software for
the DHA Systems.","R4 972 319,40","R13 409 947,60","R0,00",Within AA/AO mandate Noting,2023/12/13,2023/04/01,2024/03/31,
51,Q4 2022/23,New,2022/12/22,South African Revenue Service,Oudshoorn Lease Extension,Klein Karoo Fonds,"Variation of lease extension between SARS and Klein Karoo Fonds, in
respect of the leasing ofoffice space for a period of five (5) years from
01 January 2023 to 31 December 2027, with an option of early exit
clause, at a cost of R 581,263.20 incl.VAT and 0% escalation","R581 263,20","R482 652,14","R0,00",Within AA/AO mandate Noting,2022/12/15,2023/01/01,2027/12/31,
52,Q4 2022/23,New,2022/12/22,South African Revenue Service,Upington Ancorley Lease Extension,Ancorley Gebou (Pty) Ltd,"The contract extension between SARS and Ancorley Gebou (Pty) Ltd
for a further period of five (5) years commencing 1 February 2023 to
31 January 2028, at a total cost of R 17 904 852.79 Incl. VAT at an
average escalation of 5%.","R17 904 852,80","R190 326,87","R22 640 960,69",Within AA/AO mandate Noting,2022/12/15,2023/02/01,2028/01/31,
53,Q4 2022/23,New,2022/12/22,South African Revenue Service,Portshepstone TPS extension,Zelpy 1494 (Pty) Ltd,"Variation request to extend the lease between SARS and Zelpy 1494
(Pty) Ltd for the Port Shepstone branch office for a period of five (5)
years commencing on 1 December 2022 to 30 November 2027","R9 164 236,97","R4 711 159,68","R10 049 097,17",Within AA/AO mandate Noting,2022/12/12,2022/01/12,30/11/2027,
54,Q4 2022/23,New,2023/01/11,Statistics South Africa,"Extension of service and maintenance of Nuvera monochrome
printer","Bytes document solution division of
Altron",Service and maintanance component of contract still in valid,"R3 313 790,59","R6 682 499,06","R0,00",Within AA/AO mandate Noting,2022/12/22,2023/02/01,2025/01/31,
55,Q4 2022/23,New,2023/01/16,National Treasury,"NT015-2021: Appointment of a service provider to render
comprehensive hygiene and cleaning services for National
Treasury buildings 240 Madiba Street, tender information centre
wing, 40 church square in Pretoria CBD and 3rd floor Parliament
offices at 120 Plein Street in Cape Town for a period of 3 years.","M-JNR AND OLWETHU
CONSULTING (PTY) LTD","Annual increases based on CPI on the anniversary of this Agreement
and to annual statutory wage increases as promulgated by the Minister
of Labour in terms of the Sectoral Determination 1: Contract Cleaning
Sector, as amended from time to time","R376 371,24","R19 891 891,08","R0,00",Within AA/AO mandate Noting,2022/01/27,2022/02/01,2025/02/03,
56,Q4 2022/23,New,2023/01/16,National Treasury,"Request to extend the Ngomso Research, Witing and Editing
Services contract","Ngomso Research, Writing and Editing
Services CC","Annual increases based on CPI on the anniversary of this Agreement
and to annual statutory wage increases as promulgated by the Minister
of Labour in terms of the Sectoral Determination 1: Contract Cleaning
Sector, as amended from time to time","R0,00","R94 000,00","R0,00",Within AA/AO mandate Noting,2022/03/01,2022/05/09,2023/02/09,
57,Q4 2022/23,New,2023/01/19,South African Revenue Service,Umhlanga TPS Office Extension,Ahmed Suleman Family Trust,"Variation to extend the lease between SARS and Ahmed Suleman
Family Trust for the Umhlanga branch office for a period of five (5)
years commencing on 1 January 2023 to 31 December 2027, at an
estimated total cost of R 33 866 644.68 including VAT, escalating at
0% for year 1 only and afterwards the rental rates will escalate at 7.5%
per annum. The lease agreement will include HVAC maintenance at a
total cost of R2 527 511.40 for the duration of the lease agreement
which covers preventative and corrective maintenance.","R36 394 156,08","R18 298 033,85","R6 885 818,65",Within AA/AO mandate Noting,2022/12/22,2023/01/01,2027/12/31,
58,Q4 2022/23,New,2023/02/14,Universal Service and Access Agency of South Africa,"Appointment of Sentech for variation of the project scope to
assemble and package 270 000 loose DHT Satelite Dish
components.",SENTECH,"1. Shortage of DTH Satellite Dish Kits for BDM project. This was
exercibated by the high demand for such in the rural areas where
antennae signal is very week. Without these components, the project
will be significatly interrupted and thereby worsen the delays in the
completion of the project and release of spectrum.
2. Sentech was already appointed to deplete the same stock and is the
entity approved through the funding model to install and deplete the
current STBs warehoused at SAPO.
3. The assembly was not included in the initial contract to install the
remaining STBs.","R100 741 559,64","R409 508 135,65","R0,00",Within AA/AO mandate Noting,2022/05/24,2022/11/18,"Upon completion of the project as
agreed by both parties",
59,Q4 2022/23,New,2023/02/14,Universal Service and Access Agency of South Africa,"Appointment of Sentech as a service provider for After market
support",SENTECH,"1. SABC was supposed to carry this service and they dropped out of
this contract due to lack of capacity to deliver. They wrote to the
Minister indicating that they are not able to crry out this task/project.
2. Due to the pace at which the project was going and considering that
Sentech had provided this service in the previous financial year,
Sentech was approached to assist with this and they have responded
positively. They already have a facility to carry out the after-market
services from their call centre. There was therefore no need for
USAASA to spend significant portion of USAF budget on funding the
establishment of a new facility.","R47 027 621,00","R409 508 135,65","R100 741 559,64",Within AA/AO mandate Noting,2022/04/10,2022/09/11,2024/08/11,
60,Q4 2022/23,New,2023/02/20,"National Economic, Development and Labour Council",Legal Assistance,Cliff Dekker Hofmeyr Inc,Variation,"R396 041,60","R91 287,00","R0,00",Within AA/AO mandate Noting,2023/02/16,Notindicated,Notindicated,
61,Q4 2022/23,New,2023/02/24,South African Revenue Service,Generator extension,Matase Industrial Solutions (Pty) Ltd,"The extension of RFP 39/2019 - Maintenance and support of diesel
replenishment and online monitoring of back-up generators with Matase
Industrial Solutions (Pty) Ltd at a total cost of R20 000 000 VAT inclusive for
the remainder of the contract which is due to expire 30 September 2023","R20 000 000,00","R31 308 916,17","R4 211 453,24",Within AA/AO mandate Noting,2023/02/17,2020/10/01,2023/09/30,
62,Q4 2022/23,New,2023/03/01,South African Revenue Service,"Financial approval required for members of SARS to attend
Erwin Foundation training Certification course",Casewise South Africa (Pty) Ltd,A risen need for training for employees,"R467 960,65","R152 699,30","R0,00",Within AA/AO mandate Noting,2023/02/23,2023/03/01,2027/02/28,
63,Q4 2022/23,New,2023/03/02,Home Affairs,"Request to utilise the Department of Home Affairs' banker to
open transactional banking acounts for the Border Management
Authority.",ABSA,To allow for a new open tender process to be finalised,"R0,00","R0,00","R0,00",Within AA/AO mandate Noting,2023/01/27,2023/03/01,2028/02/29,
64,Q4 2022/23,New,2023/03/03,Financial Intelligence Centre,"Request for expansion of cost for the CEB-SHL contract to
provide psychometric assessments and professional services to
the Financial Intelligence Centre",CEB-SHL,"To be built and then transfer/replicate all FIC profiles from the former
integrated site to the new Talent Central Site","R10 536,30","R59 710,00","R0,00",Within AA/AO mandate Noting,2023/02/17,2023/04/01,2024/03/31,
65,Q4 2022/23,New,2023/03/03,Financial Intelligence Centre,"Request for variation of cost for the Mondtes Holdings contract
to provide payroll services for the Financial Intelligence Centre",Mondtes Holdings,"This is due to the delays caused by none responsiveness of suppliers to the
RFQ","R193 459,04","R454 132,25","R193 459,04",Within AA/AO mandate Noting,2023/02/20,2023/03/05,2023/08/04,
66,Q4 2022/23,New,2023/03/03,Financial Intelligence Centre,"Request for approval for the extension of the contract duration
for the internal communications publishing platfrom contract by
50,18%of the original contract value",Corporate LAN Advertising (Pty) Ltd,"This is due to the delays caused by none responsiveness of suppliers to the
RFQ","R71 263,20","R141 992,80","R0,00",Within AA/AO mandate Noting,2023/02/20,2023/02/27,2023/08/26,
67,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Request for approval to increase the current capped amount for
the maintenance of additional equipment on contract RFB 2019-
2019 for the provision of maintenance and support of Wide Area
Network (WAN), Local Area Network (LAN), Environmental
Equipment and related Firmware/Software to the South African
Police Service (SAPS) to accommodate payment for the
maintenance and support of additional equipment for the
remaining period of the contract ending 2023/06/30","Storage Technology Services (Pty) Ltd
t/a Nexio","Maintenance of additional equipment which was identified during verification
by the external auditors","R7 475 000,00","R238 988 724,59","R0,00",Within AA/AO mandate Noting,2022/10/28,2022/10/28,2023/06/30,
68,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Request for scope expansion to the current contract RFB 2413-
2020 for Gauteng SITA buildings to include hygiene services for
the duration of the contract ending 28 February 2024","Siyathuthuka and Mutla Bafokeng
Facility JV",Additional hygiene services that were not included in the original contract.,"R739 772,00","R27 865 626,60","R0,00",Within AA/AO mandate Noting,2022/11/10,2023/01/27,2025/02/28,
69,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Request for approval of scope variation to supply and install
addtional material which is further required to install new access
control system that is currently being deployed at SITA Centurion
and Numerus, and will further be deployed to the rest of SITA
offices including provinces","Guard-4-Sure Security Services (Pty)
Ltd",Under estimated quantities in the original contract.,"R992 208,04","R15 988 985,68","R0,00",Within AA/AO mandate Noting,2022/11/17,2023/01/11,2025/01/10,
70,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Extension of contract RFB 1886-2018 for the specialist elactrical
and mechanical contractor to provide elactrical and mecahnincal
infrastructure support, critical repairs and material for a period of
6 months","Med TechEngineers and Airwaves
Airconditioner",Business continuity whist waiting for finalisation of the replacement tender.,"R1 127 400,00","R7 516 000,00","R0,00",Within AA/AO mandate Noting,2022/11/17,2022/12/01,2023/05/31,
71,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"Request to extend the current contract for LAN and Desktop
support for a period of 3 months on behalf KZN; Department of
Human Settlements",Datacentrix (Pty) Ltd,Business continuity whist waiting for finalisation of the replacement tender.,"R897 000,00","R11 422 869,42","R368 000,00",Within AA/AO mandate Noting,2022/11/28,2023/02/01,2023/04/30,
72,Q4 2022/23,New,2023/03/06,State Information Technology Agency,"LAN infrastructure Maintenance & Support, on behalf of the
Northern Cape Department of Co-operative Governance, Human
Settlements, and Traditional Affairs",DVF Network Technology (Pty) Ltd,"Business continuity whilst waiting for the commencement of the replacement
process.","R106 444,00","R1 337 568,77","R0,00",Within AA/AO mandate Noting,2022/12/17,2022/12/19,2023/12/18,
