row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
20,Q3 2022/23,2022/11/08,Central Energy Fund SOC Ltd (CEF),"Renewal of licences for the CEF budwith Idu South
Africa (Pty) Ltd for the use of the Idu budgeting
system at CEF",IDU South Africa (Pty) Ltd,"R 92 572,85",Sole source,2022/10/31,2022/11/01,2023/10/31,,Noting,New
21,Q3 2022/23,2022/12/06,Central Energy Fund SOC Ltd (CEF),"Upgrade the Teammate system renew licences for
the use of the system by Internal Audit",Wolter Kluwer,"R 1 230 372,91",Sole Provider,2022/11/01,2022/11/07,2023/12/01,,Noting,New
22,Q3 2022/23,2022/10/25,Competition Commission,"Market Defination Module and Remedies Module
(12 Months Subscription)",Caselex B.V,"R 115 702,74",Sole Source- This is the only provider for the service,2022/09/09,Not stated,Not stated,,Within AA/AO,New
23,Q3 2022/23,2022/12/05,Council for Geoscience (CGS),"cosmogenic dating
services for a period of one year","UNIVERSITY OF
VERMONT","R 1 069 200,00",Continuition of service,2022/12/05,Not Stated,Not Stated,,Noting,New
24,Q3 2022/23,2022/12/05,Council for Geoscience (CGS),"cosmogenic
dating services for a period of one year",PROF. PAUL BIERMAN,"R 9 85 875,00",Continuition of service,2022/12/05,Not Stated,Not Stated,,Noting,New
25,Q3 2022/23,2022/12/05,Council for Geoscience (CGS),upgrade of Srarlims v10 to v12 and its maintenance,"STARLIMS
NETHERLANDS B.V","R 2 322 374,24",Continuition of service,2022/12/05,Not Stated,Not Stated,,Noting,New
26,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","3.5"" SCSI 68-pin Wide Single Ended (SE) SSD,
2.14GB capacity, SLC NAND Flash, 0°C to +70°C
operating temp",Red Rock Technologies inc,"R 44 188,77",Sole Supplier,2022/08/23,2022/08/23,2022/08/23,,Within AA/AO mandate Noting,New
27,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Accreditation fee for the South African National
Accreditation System (SANAS) 2022/2023",SANAS,"R 33 878,00",Sole Supplier,2022/08/19,2022/08/19,2023/08/18,,Within AA/AO mandate Noting,New
28,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Advertising space in Highbhury Sasfika Media -
African Decisions",Highbhury Sasfika Media,"R 29 212,00",Sole Source,2022/09/29,2022/09/29,2022/09/29,,Within AA/AO mandate Noting,New
29,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Annual accreditation fee 2022/2023,SANAS,"R 33 878,00",Sole Supplier,2022/09/07,2022/09/07,2023/09/06,,Within AA/AO mandate Noting,New
30,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Annual licence renewal (Solid Works),Siemens Industry Software SA (Pty) Ltd,"R 44 856,00",Sole Supplier,2022/09/07,2022/09/05,2023/09/04,,Within AA/AO mandate Noting,New
31,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Annual renewal of Business licences (SimaPro
Compact, Analyst, Developer)",The Green House,"R 74 221,00",Sole Source,2022/09/28,2022/10/01,2023/09/30,,Within AA/AO mandate Noting,New
32,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Billboard Advertising,Kwaito Trading Company (Pty) Ltd,"R 45 308,85",Sole Supplier,2022/08/26,2022/09/01,2022/11/30,,Within AA/AO mandate Noting,New
33,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Billboard Advertising,Kwaito Trading Company (Pty) Ltd,"R 45 308,85",Sole Supplier,2022/08/26,2022/09/01,2022/11/30,,Within AA/AO mandate Noting,New
34,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Capacitating Blouberg municipality on the use of a
land decision-making framework",i@consulting,"R 99 360,00",Single Source,2022/05/23,2022/05/23,2022/05/23,,Within AA/AO mandate Noting,New
35,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Construction of an exchibition stand at the
BioAfrica Conference in Durban",Brand Sprout,"R 119 738,00",Sole Supplier,2022/08/24,2022/08/27,2022/08/31,,Within AA/AO mandate Noting,New
36,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Custom explosive detonators for PUDU system,Loulen Manufacturing,"R 194 107,21",Sole Supplier,2022/08/30,2022/08/30,2022/08/30,,Within AA/AO mandate Noting,New
37,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Cyber professional license renewal.,CGCIS Ltd.,"R 765 478,35",Sole Supplier,2022/09/07,2022/09/07,2023/09/06,,Within AA/AO mandate Noting,New
38,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","DR-2477-P/M250 Analog torque transducer with
feather key. Lorenz part No. 109467 Capacity:
5Nm. Accuracy class: 0.25%",Elexsys Precision Physical Measurement,"R 32 783,00",Sole Source,2022/09/19,2022/09/19,2022/09/19,,Within AA/AO mandate Noting,New
39,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Ethniks scala software renewal 2022,Ethniks Scala,"R 87 127,40",Sole Supplier,2022/08/30,2022/08/30,2023/08/29,,Within AA/AO mandate Noting,New
40,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)",Gaussian and Linda Software Maintenance renewal,Gaussian Inc.,"R 261 652,50",Sole Source,2022/09/29,2022/12/01,2023/11/30,,Within AA/AO mandate Noting,New
41,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Ground vibration test (GVT) system hardware
equipment",TANDM Technologies,"R 132 087,85",Sole Supplier,2022/09/05,2022/09/05,2022/09/05,,Within AA/AO mandate Noting,New
42,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Hamilton EasyFerm Plus Arc 425mm,United Scientific (PTY) LTD,"R 81 489,00",Sole Supplier,2022/09/13,2022/09/13,2022/09/13,,Within AA/AO mandate Noting,New
43,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Highly specialized underwater military grade PU
cables with connectors",Hiconnex,"R 229 202,57",Sole Supplier,2022/08/30,2022/08/30,2022/08/30,,Within AA/AO mandate Noting,New
44,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Hyhenated TGA-FTIR Pump Module Replacement,PerkinElmer SA,"R 97 270,45",Sole Supplier,2022/08/16,2022/08/16,2022/08/16,,Within AA/AO mandate Noting,New
45,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)",Kuka Repairs,Jendamark,"R 37 290,59",Sole Source,2022/09/21,2022/09/21,2022/09/21,,Within AA/AO mandate Noting,New
46,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",License renewal for casewise,Wasewise,"R 332 555,82",Sole Supplier,2022/09/09,2022/08/01,2023/07/31,,Within AA/AO mandate Noting,New
47,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Market Research Report,BCC Research LLC,"R 70 794,65",Sole Supplier,2022/09/07,2022/09/07,2022/09/07,,Within AA/AO mandate Noting,New
48,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",MATLAB Annual Lisence,Opti Num Solutions,"R 80 847,30",Sole Supplier,2022/08/23,2022/08/23,2023/08/22,,Within AA/AO mandate Noting,New
49,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)",Media buying,African Science Stars (Pty) Ltd,"R 65 000,00",Sole Source,2022/10/03,2022/10/03,2022/10/03,,Within AA/AO mandate Noting,New
50,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Modules, Technical Components",Siemens,"R 88 002,26",Sole Supplier,2022/09/06,2022/09/06,2022/09/06,,Within AA/AO mandate Noting,New
51,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","NCPC-SA Profile in BBQ Magazine for 20 Years
Celebration",Cape Media t/a Kaqala Media,"R 34 442,50",Sole Source,2022/09/22,2022/09/22,2022/09/22,,Within AA/AO mandate Noting,New
52,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","PRODUCT CERTIFICATION-ANS 62-1:2013 -
Pipes suitable for threading and of nominal size not
exceeding 150 mm. Class: Medium - 8NB
(Screw/Plain), 10NB (plain), 15NB (plain) and 20NB
(plain)",SABS,"R 209 616,25",Sole Source,2022/09/19,2022/09/19,2022/09/19,,Within AA/AO mandate Noting,New
53,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Provisioning dark fibre link to connect ASSAf new
building to SANReN network",Dark Fibre SA,"R 152 762,82",Sole Source,2022/09/29,2022/09/01,2023/03/31,,Within AA/AO mandate Noting,New
54,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)",RAPDASA Conference exhibition,RAPDASA,"R 230 000,00",Sole Source,2022/09/14,2022/09/14,2022/09/14,,Within AA/AO mandate Noting,New
55,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Replacement Lens Control PCB for the Waters
Synapt HDMS",Microsep,"R 156 144,70",Sole Supplier,2022/08/18,2022/08/18,2022/08/18,,Within AA/AO mandate Noting,New
56,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Replacement of Y axis Motor for a 3 D printer,3D Solids Additive Manufacturing Technology CC,"R 110 251,94",Sole Supplier,2022/09/06,2022/09/06,2022/09/06,,Within AA/AO mandate Noting,New
57,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Request for 1 x TVWS Base Station, 2 x CPE
devices and 1 x Cloud SW (NMS)",WiFrost Inc.,"R 71 941,62",Sole Supplier,2022/08/18,2022/08/18,2022/08/18,,Within AA/AO mandate Noting,New
58,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Request for 1 x TVWS Base Station, 2 x CPE
devices and 1 x Cloud SW (NMS)",WiFrost Inc.,"R 71 941,62",Sole Supplier,2022/08/18,2022/08/18,2022/08/18,,Within AA/AO mandate Noting,New
59,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Request for Investment in the 4th upgrade of
capacity on the West Africa Cable System (WACS)",Broadband Infraco SOC Ltd (BBI),"R 20 476 435,86",Sole Source,2022/09/29,2022/09/29,2022/09/29,,Within AA/AO mandate Noting,New
60,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Request to participate in National Event:
International Aluminium Federation of South Africa
Conference 26 – 27 October 2022 to be held in
Cape Town.",Aluminium Federation of South Africa,"R 200 000,00",Sole Supplier,2022/09/05,2022/10/26,2022/10/27,,Within AA/AO mandate Noting,New
61,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Scanlab scanner components,Scanlab GmbH,"R 111 018,23",Sole Supplier,2022/08/19,2022/08/19,2022/08/19,,Within AA/AO mandate Noting,New
62,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Sciformer Systems Used For KPI Submissions,
Contract Data Management and Partnership
Management Models",Management Planning Systems,"R 53 959,30",Sole Source,2022/09/29,2022/09/29,2023/09/28,,Within AA/AO mandate Noting,New
63,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Servicing and repairs of the MilliQ in building 18
used to generate deionised water",Merck Life Science Pty,"R 70 823,74",Sole Source,2022/09/14,2022/09/14,2022/09/14,,Within AA/AO mandate Noting,New
64,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Specialised Mining Electrical engineering,Donald Bryden,"R 80 000,00",Sole Supplier,2022/08/25,2022/08/25,2022/08/25,,Within AA/AO mandate Noting,New
65,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","SPIE subscription renewal (01 September 2022 to
31 August 2023)",SPIE,"R 87 882,76",Sole Supplier,2022/08/30,2022/09/01,2023/08/31,,Within AA/AO mandate Noting,New
66,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","Supply and Delivery of Liquid Helium Basline 5.0
0.3KG",African Oxygen (Pty) Ltd,"R 52 481,56","Due to the global shortage only African Oxygen Limited (Afrox) can secure and import the product for the
South African market. If the CSIR cannot secure liquid helium and the instrument runs dry, it will be unlikely
to recover the system and in addition to the severe safety risk which will most probable cause irreparable
damage the instrument",2022/10/03,2022/10/03,2022/10/03,,Within AA/AO mandate Noting,New
67,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Technical Components,Siemens (Pty) Ltd,"R 51 699,00",Sole Supplier,2022/09/13,2022/09/13,2022/09/13,,Within AA/AO mandate Noting,New
68,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Technical Components,Timbre Broadcast Solutions,"R 199 237,50",Sole Supplier,2022/08/15,2022/08/15,2022/08/15,,Within AA/AO mandate Noting,New
69,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Technical Components,Gisma Steckverbinder GMBH,"R 47 915,31",Sole Supplier,2022/08/26,2022/08/26,2022/08/26,,Within AA/AO mandate Noting,New
70,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Technical Components,Timbre Broadcast Solutions,"R 199 237,50",Sole Supplier,2022/08/15,2022/08/15,2022/08/15,,Within AA/AO mandate Noting,New
71,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Technical Components,Gisma Steckverbinder GMBH,"R 47 915,31",Sole Supplier,2022/08/26,2022/08/26,2022/08/26,,Within AA/AO mandate Noting,New
72,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","The enhancement of the FGD Supplier Database
Portal for Eskom Medupi Power Station",Cambridge Industrial Systems,"R 576 250,00",Sole Source,2022/09/23,2022/09/23,2022/09/23,,Within AA/AO mandate Noting,New
73,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","The provision of Iridium Communications Service to
the CSIR.",CLS South Africa,"R 300 000,00",Sole Source,2022/09/23,2022/09/23,2023/09/22,,Within AA/AO mandate Noting,New
74,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",The repair and upgrade VINDTA 3C,Marine Analytics and Data,"R 140 508,04",Sole Supplier,2022/09/08,2022/09/08,2022/09/08,,Within AA/AO mandate Noting,New
75,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","The supply of Dynamic Shear Rheometer spindles
and plate sets","Anton Paar Southern Africa, Pty Ltd","R 79 074,00",Sole Source,2022/09/28,2022/09/22,2022/09/22,,Within AA/AO mandate Noting,New
76,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","The supply of parts and spares for the CSIR GO
PCO2 system",General Oceanics Inc,"R 121 345,74",Sole Source,2022/09/14,2022/09/14,2022/09/14,,Within AA/AO mandate Noting,New
77,Q3 2022/23,2022/10/27,"Council for Scientific and Industrial Research
(CSIR)","The supply three scroll compressors of which two
will be installed in chiller 1 circuit 2",Service First Cape (Pty) Ltd,"R 179 730,05",Sole Source,2022/09/14,2022/09/14,2022/09/14,,Within AA/AO mandate Noting,New
78,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","The upgrading of cetis PV-Module test 3 system -
Sun Simulator in the PV module lab",H.A.L.M Elektronik GMBH,"R 2 363 764,48",Sole Supplier,2022/09/09,2022/09/09,2022/09/09,,Within AA/AO mandate Noting,New
79,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)",Turbo Pump Replacement,Carl Zeiss,"R 218 992,58",Sole Supplier,2022/08/22,2022/08/22,2022/08/22,,Within AA/AO mandate Noting,New
80,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Watson Marlow pumps used on Bioprocess
reactors",Watson-Marlow Bredel SA (Pty) Ltd,"R 121 735,67",Sole Supplier,2022/08/24,2022/08/24,2022/08/24,,Within AA/AO mandate Noting,New
81,Q3 2022/23,2022/09/16,"Council for Scientific and Industrial Research
(CSIR)","Writefull Annual Subscription Renewal (24 August
2022 – 23 August 2023)",WorldWide Information Services (Pty) Ltd,"R 100 743,00",Sole Supplier,2022/08/19,2022/08/24,2023/08/23,,Within AA/AO mandate Noting,New
82,Q3 2022/23,2022/09/28,Council for the Built Environment (CBE),SAAPAM 21ST Annual Conference,SAAPAM,"R 5 500,00","Single source procurement was used as there are only a few service providers in the market who are
offering conferences with the same /similar theme.",2022/07/22,2022/09/26,2022/09/30,,Within AA/AO mandate Noting,New
83,Q3 2022/23,2022/12/02,Council for the Built Environment (CBE),"Relocation of the two leased Office Printers to the
new CBE office.",Bytes Document Solutions/Altron,"R 5 871,23","Single Source. The CBE is a participant on transversal contract, RT3-2018: Office Automation Solutions.
The Master Transversal Agreement makes provision for the movement of the equipment at a fee by the
service provider.",2022/11/17,2022/11/25,2022/11/30,,Within AA/AO mandate Noting,New
84,Q3 2022/23,2022/09/27,Denel,AV8,Denel Dynamics,"R 548 932,00",Procurement by other means,2022/07/07,2022/07/07,29/07/2022,,Noting,New
85,Q3 2022/23,2022/09/30,Denel,C130 Project,JM International,"R 1 225 769,22",Procurement by other means,19/09/2022,19/09/2022,18/10/2022,,Noting,New
86,Q3 2022/23,2022/09/30,Denel,C130 Project,JM International,"R 3 946 800,00",Procurement by other means,2022/09/19,2022/09/19,2022/10/18,,Noting,New
87,Q3 2022/23,2022/09/27,Denel,SQ2000,Xpitec,"R 11 676 972,80",Procurement by other means,2022/09/23,2022/01/07,30/07/2022,,Noting,New
88,Q3 2022/23,2022/10/05,Denel,SQ2000,MIDNITE AEROSPACE SOLUTIONS,"R 3 946 800,00",Procurement by other means,28/09/2022,28/09/2022,30/11/2023,,Noting,New
89,Q3 2022/23,2022/12/08,Denel SOC Limited,"Maintenance and repair on air defence artillery
system sable",Reutech Solutions,"R 1 106 101,86",Procurement by other means,2022/12/08,2022/12/01,2023/01/31,,Noting,New
90,Q3 2022/23,2022/12/08,Denel SOC Limited,MOBADS Development for ADCS VPBL,Reutech Radar Systems,"R 2 1 280 854,65",Procurement by other means,2022/12/08,2022/11/30,2022/09/22,,Noting,New
91,Q3 2022/23,2022/12/14,Denel SOC Limited,OEM,EDH Doppler,"R 1 23 399,60",Procurement by other means,2022/12/14,2022/09/05,30/01/2023,,Noting,New
92,Q3 2022/23,2022/12/14,Denel SOC Limited,Sole Supplier,"Dynamic Control, Division of Reutech","R 1 3 214 887,00",Procurement by other means,2022/12/14,2022/11/24,2023/09/29,,Noting,New
93,Q3 2022/23,2022/11/29,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Appointment of a service provider for the supply,
installation and configuration of Electronic
Document Management System (EDMS)
solution/software namely, VicECM including support
fo a period of twelve months",Edge Consulting,"R 9 798 347,00","The Department appointed Delta World to develop its Cadestral Information System (CIS). The intergration
of the revamped CIS system with an EDMS is one of the requirements for successful implementing a fit-for
purpose system for the management of cadastral records and documents throughout their life cycle. The
system development scope of work undertaken by Data World includes identifying and proposing of suitable
software and licenses that respond to business, functional and technical requirements for a revamped CIST.",2022/11/01,2022/11/01,2023/10/31,,Noting,New
94,Q3 2022/23,2022/09/29,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Oracle Software Update License and Technical
Support Renewal",Oracle Corporation (South Africa) (Pty) Ltd,"R 10 885 028,82",Sole supplier/Provider,2022/08/30,2022/09/01,2023/08/31,,Noting,New
95,Q3 2022/23,2022/11/10,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Procurement of avicide for the control of Quelea
birds",Philagrp South Africa (Pty) Ltd,"R 7 647 500,00",Sole supplier,2022/10/31,Not stated,Not stated,,Noting,New
96,Q3 2022/23,2022/11/10,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Procurement of bacterial larvicide for the control of
blackfly outbreaks",Philagrp South Africa (Pty) Ltd,"R 4 616 890,00",Sole supplier,2022/11/01,Not stated,Not stated,,Noting,New
97,Q3 2022/23,2022/12/07,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Supply and delivery of inscticide for the control of
the current locust outbreak",Avima,"R 103 500 000,00",Emergency,2022/11/30,Not stated,Not stated,,Noting,New
98,Q3 2022/23,2022/09/19,Department of Basic Education (DBE),"Print, package and distribute the general education
standardised curriculum tests to the 9 provincial
education departments",Government Printing Works,"R 10 000 000,00",Preferred Supplier,2022/09/09,2022/09/09,2022/11/30,,Noting,New
