Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
26,"Education Training and
Development Practices SETA",Cleaning Services,Walking Tall Trading,Increased office space,"824,728.68","226,260.26",0.00,2019/03/13,Supported,2019/04/1,2020/06/30
27,Environmental Affairs,Increase in the scope of work for the aquaculture sea,CSIR,Continuity of service,"450,341.40","630,430.00",0.00,2018/07/09,Supported,2018/11/21,2019/06/20
28,Environmental Affairs,Provision of legal services,J Phillip Attorneys,Continuity of service,"100,000.00","200,000.00",0.00,2019/03/08,Supported,Not stated,2019/07/15
29,Eskom,"Maintainace and outage repair services for boilers
pressure parts, and/or the the mantainance of outage
repair services for high pressure pipework","Actom (Pty) Ltd, Babcock Ntuthuko
Engineering (Pty) Ltd and Steinmuller
Africa (Pty) Ltd",Continuity of service,"843,600,000.00",Not stated,"15,474,290,648.00",2019/02/15,Conditional support,2019/04/01,2019/09/01
30,Eskom,"FCA Transporters, for the haulage of coal by road to
various Eskom’s power stations",Various suppliers,Continuity of service,"7,102,000,000.00","1,500,000,000.00","4,199,000,000.00",2019/03/13,Conditional support,2019/04/01,2019/09/30
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
31,Eskom,"Construction of Coal Stockyard for Materials Handling
at Kusile Power Station Time Only","Tenova Mining and Minerals South
Africa (Pty) Limited",Continuity of service,"1,001,219,697.00",0.00,"502,043,399.10",2019/02/15,Supported,2019/08/12,2019/08/12
32,Eskom,"Design, upgrade, refurbishment and optimisation of
the rail yard and coal offloading facility at Majuba
Power Station for time only",Aveng Africa (Pty) Ltd,Continuity of service,"634,381,758.75",Not stated,Not stated,2019/02/11,Supported,2018/12/12,2019/04/30
33,Eskom,Virtual power station aggregator systems,NEXTEC Industrial Technologies,Competitive bid in progress,"18,228,963.60","23,119,617.36","90,939,484.50",2019/02/11,Conditional support,2019/03/31,2020/03/31
34,Eskom,"Technical assurance for Majuba upgraded coal
offloading facility and yard optimisation project",Themba UES Joint Ventures,Continuity of service,"15,860,541.07","6,446,792.22",Not stated,2019/01/24,Conditional support,2019/02/05,2020/01/05
35,Eskom,"Construction of a Waste Water Treatment Plant at
Kusile Power Station for time only",Tubular Zamani JV (TZJV),Continuity of service,"119,710,851.71",Not stated,"155,038,578.53",2018/12/19,Supported,2019/01/01,2019/12/31
36,Eskom,"Social impact and resettlment, heritage services,
oversight and monitoring",Mbofho consulting,Continuity of service,"1,217,192.00","2,991,336.00","1,009,119.00",2018/12/14,Not supported,2019/08/01,30/04/2022
37,Eskom,Printing services,Motswako Office Solutions (Pty) Ltd,Continuity of service,"185,265,442.42","19,566,322.90","30,523,077.81",2019/03/07,Not supported,2019/03/01,2019/05/31
38,Eskom,"Construction of Ariadne Eros 132/400Kv Multi Circuit
Line Section A",Jyoti Construction (Pty) Ltd,Continuity of service,"780,268,694.76",Not stated,Not stated,2018/10/25,Conditional support,2019/04/01,2019/09/30
39,ESKOM,"Design, Supply, Delivery and Installation of two
auxillary cooling towers (Eastside & Westside) For
Kusile Power Station Projects",Industrial Water Cooling (Pty) Ltd,Continuity of service,"25,252,756.00",Time extension,"1,372,275.95",2018/12/19,Conditional support,2019/01/01,2019/02/28
40,ESKOM,Main Civil Works for the Kusile Power Station Project,Kusile Civil Works JV,Continuity of service,"2,898,339,000.00",545 931 497.00,"4,759,041,466.00",2019/01/28,Conditional support,2019/03/31,2021/06/30
41,ESKOM,"Provision of Electrical Contracting for the
Electrification Programme in the 9 Eskom Operating
Units","Various service providers = Panel A,
B &C",Continuity of service,"2,801,391,549.20","1,523,023,654.45",Not stated,2018/11/29,Conditional support,2019/01/04,2020/09/30
42,ESKOM,"Commissioning of Hydrogen Plant at Kusile Power
Station",ACI Technical Services,Continuity of service,"1,598,670.20","48,345.41",Not stated,2019/02/19,Not supported,2019/02/20,2019/12/19
43,ESKOM,"Monitoring, Maintenance and Refurbishment Services
on Boiler Feed Pumps and Spares",Sulzer Pumps SA (Pty) Ltd,Competitive bid in progress,"646,050,000.00",Time extension,"26,977,779.00",2019/03/08,Conditional support,2019/01/04,2019/06/30
44,ESKOM,"Unit Transformer System and Earthening Equipment
for Kusile Power Station",Actom (Pty) Ltd,Continuity of service,"215,192,778.28",Time extension,"601,925.54",2019/01/28,Not supported,Not stated,Not stated
45,ESKOM,Infrastructure Contract at Duvha Power Station,CCI AG,OEM,-,"3,520,215.79",Not stated,2018/12/13,Within AA/AO mandate Noting,Not stated,Not stated
46,ESKOM,"Construction of portion of Medupi- Borutho 400KV
Transmission Line project (Section B)",Consolidated Power Projects (Pty) Ltd,Additional quantities,"158,259,330.00","23,982,908.77",Not stated,2019/02/13,Conditional support,2018/11/13,2019/04/13
47,Film and Publication Board,Office Accomodation,Faerie Glen Waterpark,DPW has not advertised the bid,11 020 800.00,0.00,4 773 179.88,2018/12/18,Not supported,2019/02/1,2020/01/30
48,Health,Offsite Storage,Metrofile (Pty) Ltd,Tender dispute with Iron Mountain,"3,084,605.08","1,507,600.73",0.00,2019/02/12,Supported,2019/02/21,2019/07/31
49,Health,"Leasing storage / warehouse for mass media
communication contract for critical health information
material",Sadmon Projects and Consulting,"Process of advertising and appointing
new suitable storage service provider(s)
is underway",0.00,0.00,0.00,2018/11/08,Not supported,Not stated,Not stated
50,Higher Education and Training,"Extension of time and escalation shortfal for the
construction of the new Nkandla",Rambros Construction CC,Delays in the construction,194 019 881.00,15 971 560.00,58 932 168.32,2018/10/06,Not supported,Not stated,Not stated
51,Home Affairs,"Support and maintenance of the IT infrastructure for
Live Capture and Smart ID card at front offices, Bank
branches and Emcs to the Ports of Entry",EOH Mthombo,Competitive bid in progress,"162,083,334.68","5,182,403.04","36,762,123.44",2019/01/18,Conditional support,2019/02/05,2019/03/05
52,Independent Electoral Commission,Office accommodation for the entity in Abaqulisi,Jurisforum CC,"Single source due to scarcity of office
space in the area","401,880.29","56,286.00","345,085.00",2019/02/13,Supported,2019/03/01,2019/07/31
53,Independent Electoral Commission,Provision of internet services,Dimension Data (Pty) Limited,Exercising a renewal option,"4,281,318.00",5 200 000.00,0.00,2019/02/22,Supported,2019/03/01,2020/02/28
54,Independent Electoral Commission,Remote desktop and infrastructure support services,Altron TMT (Pty) Limited,Exercising a renewal option,"8,060,924.70","3,200,000.00",0.00,2019/02/22,Supported,2019/05/01,2020/04/30
55,"Independent Police Investigative
Directorate",Cleaning and hygiene services at IPID Head Office,SSG Cleaning Services,Continuity of service,"5,946,684.52","1,636,671.38",0.00,2019/02/27,Not supported,2019/04/01,2021/06/30
56,"International Relations and
Cooperation",ACL software licenses,CQS GRC Solutions (Pty) Ltd,"Surtech Solutions RSA (Pty) Ltd bought
over CQS GRC Solutions (Pty) Ltd and
increased the prices.","74,481.40","12,487.31",0.00,2019/02/05,Conditional support,Not stated,Not stated
57,Isimangaliso Wetland Park,Provision of legal services,D'Arcy Hermann Raney,"Entity could not provide the required
documents","3,800,000.00","3,700,000.00","21,100,000.00",2019/02/25,Not supported,2019/04/1,2020/03/31
58,Iziko Museums of South Africa,Installation of additional shelving,Acrow Limited,"The shelves and cabinets previously
manufactured were of high quality and
standard","1,287,884.13","306,944.53",0.00,2018/12/13,Not supported,2019/01/18,2019/03/15
59,Legal Aid SA,Office accommodation in Carletonville,Tronsteyn (Pty) Ltd,Continuity of service,"341,940.34","41,910.96",Not stated,2019/02/22,Not supported,2019/04/01,2019/09/30
60,Legal Aid SA,Medical aid brokerage services,Alexander Forbes Health (Pty) Ltd,Continuity of service,Not stated,Not stated,Not stated,2019/02/28,Conditional support,2019/03/01,2019/03/31
61,Legal Aid SA,Printing services,Dalitso Business Equipment (Pty) Ltd,Continuity of service,"7,399,144.00","439,802.70","3,722,487.40",2019/01/31,Not supported,2019/02/01,2019/03/31
62,Legal Aid SA,Office accommodation in PE,Sydenham Property Trust,Continuity of service,"4,392,803.52","366,440.85","1,051,983.36",2019/02/22,Not supported,2019/03/01,2019/06/30
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
63,Mango Flight,Ground handling services,BidAir Services,Continuity of service,Not stated,"40,000,000.00",Not stated,2019/03/27,Supported,2019/04/01,2020/03/31
64,"Media, Information and
Communication Technologies SETA",Financial management Services,Deloitte,"Implementation of the new fiancial
strategy","13,328,042.00","1,867,354.80","3,361,238.65",2019/02/19,Not supported,2019/04/01,2019/07/31
65,"Medical Research Council of South
Africa","Communication Services for the ""What Works""
Research",Ladbury PR Company,Continuity of service,"7,069,360.00","1,573,800.00",0.00,2019/03/04,Supported,Not stated,Not stated
66,"Medical Research Council of South
Africa","Training and management of staff, quality assurance
oversight and technical assistance",Julienne Corboz,Continuity of service,"799,185.00","478,152.00",0.00,2019/03/04,Supported,Not stated,Not stated
67,Mineral Resources,Lease Accomodation between DMR and PIC,PIC,"In the process of aquiring alternative
accomodation",Not stated,Not stated,Not stated,2019/03/20,Not supported,Not stated,Not stated
68,National Consumer Commission,Legal Services,Erasmus Scheepers Attorneys,Continuity of service,"150,000.00","78,153.54",Not stated,2019/01/19,Conditional support,Not stated,Not stated
69,National Credit Regulator,Legal Services,Hogan Lovells,Continuity of service,"450,000.00","700,000.00","450,000.00",2018/11/09,Conditional support,Not stated,Not stated
70,National Credit Regulator,Legal Services,Hogan Lovells,Continuity of service,"400,000.00","50,000.00","75,000.00",2018/11/09,Conditional support,Not stated,Not stated
71,National Credit Regulator,Legal Services,Bowman Gilfillan Attorneys,Continuity of service,"490,000.00","1,000,000.00","600,000.00",2019/01/29,Conditional support,Not stated,Not stated
72,National Credit Regulator,Legal Services,Motlhe-Jooma Sabdia,Continuity of service,"400,000.00","450,000.00","360,000.00",2019/01/29,Conditional support,Not stated,2020/02/28
73,National Development Agency,Multi–Protocol Label Switching (MPLS) services,VOX Telecom,Continuity of service,"6,627,736.00","754,940.00","991,955.02",2019/03/12,Supported,2019/04/01,2019/07/31
74,"National Energy Regulator of South
Africa","Supply, installation and maintenance of multifunction
printers",Motswako Office Solutions,Significant cost saving to be obtained,"7,829,662.88","3,946,467.09","1,122,076.28",2019/02/25,Not Supported,Not stated,Not stated
75,National Heritage Council of SA,Office Accommodation,Delta Property fund,Tender process stilll underway,"4,305,404.52","1,754,112.00",2 353 390.64,2019/03/05,Supported,2019/04/01,2019/09/30
76,"National Institute for the Humanities
and Socila Sciences (NIHSS)",Office Accommodation,Alchemy Properties,Non responsive bid,"8,052,784.35","1,496,426.00","748,213.20",2018/12/11,Supported,2019/02/01,2019/07/31
77,National Research Foundation,Lease of building,Redifene Properties,Continuity of service,"476,126.98","477,407.47",0.00,2019/02/25,Supported,2019/03/01,2020/02/28
78,"National Student Financial Aid
Scheme","Conduct Independent Assusrance on the validity,
accuracy, completeness in terms of the data and
information provided by Institutions",Ernst & Young,"The original contract scope was
reduced to two years","9,595,567.00","4,358,111.30",0.00,2019/03/18,Conditional support,Not stated,Not stated
79,NEMISA,Provision of temporary company secretarial services,Fluidrock Advisory Pty Limited,Continuity of service,"375,000.00","1,125,000.00",0.00,2019/03/06,Supported,2019/04/01,2019/12/31
80,NPA,"Accommodation for Office of the Witness Protection in
nine (9) regional offices",Various suppliers,Continuity of service,Not stated,"18,967,429.88",Not stated,2019/03/08,Conditional support,2019/04/01,2021/12/31
81,NPA,Facilities management services,Office Wild Facilities Solutions CC,Continuity of service,Not indicated,"811,553.53",Not stated,2019/03/07,Not supported,2019/03/01,2019/06/30
82,PetroSA,Provision of non-destructive testing services,De-Tect Unit Inspection (Pty) Ltd,Finalising a new tender process,"36,239,305.00","3,890,073.00",0.00,2019/02/22,Within AA/AO mandate Noting,2019/03/01,2019/06/30
83,PetroSA,"Provision of Wide Area Network (WAN) services,
voice services and Offshore Point to Point connectivity",Telkom SA,"Finalizing the contracting process of a
bid","25,573,883.00","3,537,600.00","29,211,376.00",2019/03/12,Supported,2019/04/01,2019/07/31
84,"Planning, Monitoring and Evaluation","Technical expertise to support the intervention teams
for the North West Province","Council for Science and Industrial
Research (CSIR)",Continuity of service,"5,000,000.00",0.00,0.00,2019/03/27,Conditional support,Not stated,2020/03/31
85,Public Enterprises,Cleaning services,Vuledza Industries,Competitive bid in progress,0.00,"124,788.00",0.00,2019/03/26,Conditional support,2019/04/01,2019/06/30
86,Public Works,"Maintenance / upgrade of the patrol road/fencing on
the borders between S.A and Zimbambwe and
Mozambique",Endecon Ubuntu (pty) Ltd,Continuity of service,"16,953,627.73","1,254,024.85",3 679 338.66,2019/01/28,Conditional support,Not stated,Not stated
87,"Quality Council for Trades and
Occupation (QCTO)",To review HR Policy Manual,"Centre for Africa Building and
Development (CACBD)",Expansion of scope,"420,000.00","250,000.00",0.00,2019/02/07,Not supported,Not stated,Not stated
88,Railway Safety Regulator,Chairperson of a hearing,Puke Maserumule,Continuity of service,"279,000.00","500,000.00",Not stated,2018/12/06,Conditional support,Not stated,Not stated
89,Road Accident Fund,Lease agreement for Johannesburg,Joburg Skyscraper (Pty) Ltd,Continuity of service,"11,590,206.00","14 357 040,31","7,830,389.51",2019/01/23,Conditional support,2019/04/01,2020/03/31
90,Road Accident Fund,Lease agreement for East London,Drury Lane Properties (Pty) Ltd,Continuity of service,"34,603,216.04","8,078,583.36",Not stated,2019/01/23,Conditional support,2019/04/01,2020/03/31
91,Road Accident Fund,Lease agreement for Mahikeng,Columbia Falls Properties (Pty) Ltd,Continuity of service,"3,506,867.12","980,000.00",Not stated,2019/01/23,Supported,2019/04/01,2020/03/31
92,Road Accident Fund,"Government Communications and Information
Services (GCIS) services","Government Communications and
Information Services (GCIS)",Services not included in intial contract,"105,000,000.00","130,000,000.00",Not stated,2019/03/27,Not supported,Not stated,Not stated
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
93,"Rural Development and Land
Reform",Construction of chalets,Razzmatazz,"Continuity of service and cost
effectiveness","54,146,095.50","9,241,482.96",0.00,2019/02/06,Supported,Not stated,Not stated
94,SABS,Office Premises,Lynco developers,"Laboratory’s accreditation status linked
to the current premises","1,970,777.28","6,077,434.00",Not stated,2019/02/18,Conditional support,,2023/08/31
95,SABS,Office Premises,Sun Cheung Properties,Investment in the current premises,"2,238,931.00","2,660,720.00",0.00,2019/02/18,Conditional support,2019/04/01,2021/03/31
96,"Safety and Security Education and
Training Authority (SASSETA)",Office Accommodation,Field Space Property group,Allow for tenant installations,"17,623,996.13",0.00,"10,602,612.00",2019/03/11,Supported,2019/04/01,2019/08/30
97,SASSA,Office accommodation in Namibia,J & B Estate,Continuity of service,"39,192.00","79,037.20",Not stated,2019/02/05,Conditional support,2019/04/01,2020/03/31
98,SASSA,Cleaning services in Kwazulu Natal,Various suppliers,Continuity of service,"6,988,789.40","2,446,076.29","1,048,318.41",2019/01/02,Conditional support,2019/02/01,2019/03/31
99,SASSA,Parking space,Broll Property Group Pty (Ltd,Continuity of service,"431,364.60","1,906,668.88","33,199,065.51",2019/03/26,Conditional support,2019/04/01,2021/03/31
100,Science and Technology,Lease agreement,Innovation Hub,"DPW failed to finalise the procurement
for DST","2,725,666.92","1,046,204.00",0.00,2019/03/05,Supported,2019/04/01,2019/03/31
101,SIU,Office accommodation in DBN,Bishop’s Court Properties,Continuity of service,"27,847,681.00","3,988,542.00","13,689,795.00",2019/03/26,Conditional support,2019/04/01,2019/11/30
102,Small Business and Development,Risk and Etics management,Wenzile Consulting Services,Continuity of service,"492,000.00","246,000.00",0.00,2019/03/18,Not supported,2019/05/16,2020/05/16
103,Small Business and Development,Risk and Etics management and Secretariat,Wenzile Consulting Services,Continuity of service,"285,408.00","175,000.00",0.00,2019/03/18,Not supported,2019/05/16,2020/05/16
104,"Small Enterprise Finance Agency
(SEFA)",Audit Service,Sizwe Ntsaluba Gobodo Inc,Continuity of service,"2,422,242.69",2 347 434.00,0.00,2019/01/08,Supported,2019/02/01,2019/03/31
105,Social Development,Security services,Mafoko Security Patrols,Continuity of service,"3,272,313.60","818,078.40",Not stated,2019/02/06,Supported,2019/03/01,2019/05/31
106,"South African Broadcasting
Corporation Ltd",Supply of scaffolding equipment,Wreckers Scaffolding Services,"Impractical to embark on a new tender
process","1,617,660.00","2,657,529.00","1,771,686.00",2019/02/22,Supported,2019/08/1,2019/07/31
107,"South African Broadcasting
Corporation Ltd",Debt Collection for TV Licences,Debt Collection Agencies,"Competitive bidding process in
progress","138,687,393.55","13,915,200.00","8,104,115.32",2019/03/13,Supported,Not stated,Not stated
108,"South African Civil Aviation
Authority","Ad-hoc services emanating from various office
alteration & optimisation",Jeff's IT Solution CC,Continuity of service,"219,358.80","1,538,381.18",Not stated,2019/03/11,Noting,Not stated,Not stated
109,"South African Civil Aviation
Authority",Provision of Security services,Fidelity Security Services (Pty) Ltd,Hand over process,"1,288,137.52","664,068.76","322,034.38",2019/02/27,Conditional support,2019/03/01,2019/04/30
110,"South African Civil Aviation
Authority",Lease agreement of RAASA,Academy Bed & Breakfast,Continuity of service,"536,234.92","622,380.00",Not stated,2019/03/08,Supported,2019/04/01,2020/06/30
111,"South African Civil Aviation
Authority","Extension of lease (office space,aircraft fixed based
operations)",Execujet Maintenance (Pty) Ltd,Continuity of service,Not stated,"1,389,683.35",Not stated,2018/12/06,Supported,2019/01/01,2020/06/30
112,"South African Diamond and
Precious Metal",Office accomodation,Providence Family Trust,Finalisation of tenant installation,"1,138,464.00","160,000.00",0.00,2019/01/29,Supported,2019/02/1,2019/04/30
113,"South African Heritage Resources
Agency","Layout, typesetting and print production of SAHRA
annual performance plan",PE & R Business Solution,"Re-printing due to revised budget on
the APP","99,475.00","17,020.00",0.00,2019/02/04,Supported,Not stated,Not stated
114,"South African Local Government
Association",Renewal of SALGA Mpumalanga Lease,Liberty Moon Investments 76 (Pty) Ltd,Renewal of lease agreement,"4,572,132.75","2,071,245.96","620,192.88",2019/02/21,Not supported,Not stated,Not stated
115,"South African National Biodiversity
Institute","Additional costs incurred for attending site visits and
inspections",Vernon Mathews Architects,Continuity of service,"390,292.00","370,694.77","856,569.00",2019/02/18,Conditional support,Not stated,Not stated
116,South African National Parks,Room-seekers system used for bookings,Real Travel and Tourism Systems CC,Continuity of service,0.00,"5,638,657.34","74,941,331.80",2019/02/08,Not supported,2019/03/1,2019/08/31
117,South African National Parks,"Office Accommodation for the special projects
department",Cozirex,Continuity of service,"370,044.00","28,000.00","965,911.04",2018/12/11,Supported,2018/12/1,2019/11/30
118,"South African National Road
Agency","Appointment of Consulting Engineering for
Assessment, Detailed Design, Contract Document and
Construction Monitoring of the rehabilitation of
National Road R23 Section 2 from Standerton (KM 0)
to Greylingstad (KM 56)",SMEC (Pty) Ltd,Continuity of service,"18,613,133.53","14,034,335.00","40,435,499.89",2019/01/28,Conditional support,Not stated,Not stated
119,"South African National Road
Agency","The operations and maintenance of toll plazas on the
N1 South and R30 toll roads: NRA X.004-130-2010/1",Intertoll Africa (Pty) Ltd,Continuity of service,"551,969,510.74","79,470,605.20",Not stated,2019/01/28,Supported,2019/03/01,2020/02/28
120,"South African National Road
Agency","Supervisoin of Routine Road Maintenance N2 Section
8 -10 West Cape Boarder",Consultant EE,Continuity of service,"944,491.00","1,794,360.00",Not stated,2019/02/08,Supported,Not stated,Not stated
121,"South African National Road
Agency","Supervisoin of Routine Road Maintenance N2 Section
12-16 Colchester and East London",Consultant EE,Continuity of service,Not stated,"2,051,600.00","1,118,289.00",2019/02/08,Supported,Not stated,Not stated
122,"South African National Road
Agency","Realignmnet of N2 section 27 from uMhjlali River
Bridge",Naidu Consulting (Pty) Ltd,Continuity of service,"5,236,522.00","7,312,395.00","1,400,000.00",2019/02/18,Supported,Not stated,Not stated
123,"South African Nuclear Energy
Corporation Limited",Provision of insurance broker services,AON (Pty) Ltd,Failed to initiate a bid process on time,"2,023,500.00","458,850.00","342,756.00",07/03/2019,Not supported,2019/04/01,2020/03/31
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","Award/recommend
ed by AO/ AA","supported/not
supported/Conditional
support","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
124,South African Police Service,Health Risk Management services,Metropolitan Health Risk Management,"Competitive bidding process in
progress","320,000,000.00","28,000,000.00","33,000,000.00",2019/01/22,Supported,2019/01/25,2019/04/24
125,South African Police Service,Supply and Delivery of automotive spare parts,All Parts (Pty ) Ltd,"Competitive bidding process in
progress","634,180,405.68","37,189,731.60",92 974 329.15,2019/01/29,Conditional support,2019/02/01,2019/03/31
126,South African Police Service,Supply and Delivery of automotive spare parts,DAR automotive,"Competitive bidding process in
progress","248,730,663.04","19,537,991.42",48 844 978.56,2019/01/29,Conditional support,2019/02/01,2019/03/31
127,South African Police Service,Supply and Delivery of automotive spare parts,All Parts (Pty ) Ltd,"Competitive bidding process in
progress","634,180,405.68","111,569,194.80","130,164,060.75",2019/03/27,Conditional support,2019/04/01,2019/09/30
128,South African Police Service,Supply and Delivery of automotive spare parts,DAR Automotive,"Competitive bidding process in
progress","248,730,663.04","58,613,974.26","68,382,969.98",2019/03/27,Conditional support,2019/04/01,2019/09/30
129,South African Post Office,Guarding Services,Fidelity Security,F a il e d n e g o t i a t i o n s w i t h b i d d e r s,"1 2 1 , 5 0 0 , 0 0 0 . 0 0","6 , 9 6 7 , 960.43","39,100,000.00",2019/01/30,Supported,2019/02/01,2019/05/31
130,South African Post Office,Guarding Services,Mabotwane,Failed negotiations with bidders,"37,000,000.00","4,769,486.40","7,446,258.50",2019/01/30,Supported,2019/02/01,2019/05/31
131,South African Post Office,Guarding Services,Fidelity Security,F a il e d n e g o t i a t i o n s w i t h b i d d e r s,"1 2 1 , 5 0 0 , 0 0 0 . 0 0","1 8 , 9 3 0 , 452.66","39,100,000.00",2019/01/23,Supported,2019/02/01,2019/04/30
132,South African Post Office,Guarding Services,Distinctive Choice,Failed negotiations with bidders,"4,200,000.00","350,000.00","610,000.00",2019/01/23,Supported,2019/02/01,2019/04/30
