Labour,Support in a disciplinary enquiry,Sizwe Ntsaluba Gobodo,"495,941.04",Continuity of service,2016/07/25,Supported,Once off,once-off
Labour,Security services & CCTV Maintenance,Servest Technical Services (Pty) Ltd,"279,999.96",Continuity of service,2016/06/28,Supported,Once off,Once off
LGSETA,Lease of office space in the Northern Cape,Thomas Fmaily Trust,"893,230.40",Competitive bidding process not succesful,8/10/2016,Supported,9/1/2016,3/31/2018
Mineral Resources,Procurement of official Vehicle from Porsche South Africa for the Deputy Minister,Porsche South Africa,"1,328,920.00",Item not on NT transversal contract RT 57,7/27/2016,Supported,Once off,Once off
MISA,"Support of 27 Priority Districts,",CSIR,5 6 72 172.00,Competitive bid process not succesful,2016/07/25,Supported,Not stated,Not stated
MISA,Renew licensing for the business intelligence tools.,MAN Consortium,"7,890,000.00",License renewal,2016/09/12,Supported,Not stated,Not stated
MISA,Courier service,SAPO,Not stated,"SAPO preferred service provider as a
government entity",2016/07/29,Supported,Not stated,Not stated
National Skills Fund,Catering - University of Pretoria,Adlers Catering all occasions,"17,400.00",Service provided by in-house catering,8/10/2016,Supported,Once off,Once off
National Gambling Board,Training Services,International Studies for Parliamentary Services,"70,000.00","Tailored in-house training for all entities under
the DTI",2016/07/19,Supported,Not stated,Not stated
National Skills Fund,Financial year end performance information reporting and audit preparation,Ernest and Young (Pty) Ltd,"4,259,668.43",Continuity of service,4/7/2016,Not supported,Not stated,Not stated
National Skills Fund,To render Strategic communication,Ms Angela Church,"3,407,174.00",Continuity of service,3/1/2016,Not supported,3/1/2016,2/28/2017
National Skills Fund,Annual subscription fee,Sage Pastel,"90,791.98",Sole source,8/10/2016,Supported,9/8/2016,9/7/2017
National Treasury,Voluntary Medical Male Circumcision on behalf of the state,"Closed bid to be conducted on the National Department of Health
accredited suppliers.","2,400,000,000.00",Urgent need for implementation,2016/08/19,Supported,Not stated,Not stated
National Treasury,Supply and Delivery of Medical and Industrial gases to the state,African Oxygen Limited (Afrox) and Air Liquide Healthcare (Pty) Ltd,Not stated,Only two (2) suppliers in the market,2016/08/19,Supported,Not stated,Not stated
NGB,Training service to two NGB officials,International Centre for Parliamentary Studies,"70,000.00","In-house tailor made training for regulatory
bodies under the Department of Trade and
Industry.",Not stated,Supported,Not stated,Not stated
NHBRC,Insurance services,AON (Pty) Ltd.,"1,131,303.61",Competitive bid process not succesful,2016/07/12,Supported,Not stated,Not stated
NHBRC,Women Empowerment Programme,Times Media and Independent Media,"3,000,000.00",Competitive bidding process not possible,2016/07/19,Supported,Not stated,Not stated
NHBRC,Remedial works on 222 Eastern Cape houses,Bid process still to be followed on only 7GP of the CIDB Contractors,Not indicated,Competitive bid process not succesful,2016/07/14,Supported,Not stated,Not stated
NHBRC,Management Advanced Programme for 20 senior management employees.,"1. GIBS;
2. UNISA;
3. UJ;and
4. Wits.","1,500,000.00","Limited bidding process will be followed on the
selected 4 suppliers. Impractical to invite bids.",2016/07/20,Supported,Not stated,Not stated
NHBRC,Forensic Investigation on Fraud,Not stated,"5,000,000.00",Competitive bid process not succesful,2016/09/29,Supported,Not stated,Not stated
NMISA,Audit Services,Ernest & Young (E&Y),Not stated,Continuity of service,2016/08/12,Not supported,Not stated,Not stated
NRF,Appointment of Baggermana Farma Consult,Baggermana Farma Consult,"4,508,000.00","European company allowed to apply for market
authorisation of a product",2016/10/08,Supported,Not stated,Not stated
NRF,Procurement of optic directional coupler and retroreflector,Thorlabs Inc,"2,476,845.00",Continuity of service,2016/08/15,Supported,Not stated,Not stated
NRF,Specialised veterinary services and related supplies,"UNIVERSITY OF PRETORIA-FACULTY OF VETERINARY
SCIENCE (FVS)","1,875,000.00",FVS is the only veterinary school in the country,2016/08/15,Supported,Not stated,Not stated
PRASA,Repairs of infrastructure in Brardene station,Transnet,"20,314,774.45","Station infrastructure damaged by storm need
for urgent repairs",2016/08/19,Supported,Once off,Not stated
PRASA,Repairs of infrastructure in Escombe station,Transnet,"5,069,896.07","Station infrastructure damaged by storm need
for urgent repairs",2016/08/19,Supported,Once off,Not stated
PRASA,Repairs of infrstructure in Umlazi Zwelethu Station Amanzimtoti,Transnet,"11,027,687.11","Station infrastructure damaged by storm need
for urgent repairs",2016/08/19,Supported,Once off,Not stated
PRASA,Repairs of infrstructure in Redhill Station,Transnet,"4,541,651.90","Station infrastructure damaged by storm need
for urgent repairs",2016/08/19,Supported,Once off,Not stated
PRASA,Repairs of infrstructure in Duff Station,Transnet,"6,152,667.26","Station infrastructure damaged by storm need
for urgent repairs",2016/08/19,Supported,Once off,Not stated
PRASA,General overhaul upgrade and support,Various contractors,Not stated,"High incidence of rolling stock vandalism
encountered.",Not stated,Not supported,Not stated,Not stated
Presidency,Upgrade of Metastorm Business management software (MBPM),Metastorm,Not stated,"The Metastorm software integrates
seamlessly with Open Text eDOCS to make
Integrated Document Management System
(IDMS) .",7/6/2016,Supported,Not stated,Not stated
Presidency,Integrated Document Management System (IDMS) annual software maintenance,None,Not stated,Migration from Open Text eDOCS,2016/07/29,Supported,not yet awarded,not yet awarded
PSC,Training courses for senior management,UNISA,"850,900.00",Single source,2016/08/17,Supported,Not stated,Once off
Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recom
meded by
AO/ AA","Supported/ Not
supported by NT","Contract start
date",Contract expiry
Public Works,"Maintenance and operation of water & sewerage works at Voorberg, Obiqua & Dwarsriver Prisons.",Zana Manzi Services (Pty) Ltd,"29,100,166.68","BAC approval for advertisement less
prescribed 21 days",7/12/2016,Supported,7/1/2016,7/31/2018
Public Works,Acquisition of office accommodation for the Department of Public Enterprise,Delta Property Fund,"41,720,147.64",Competitive bidding process was not succesful,8/5/2016,Supported,8/6/2016,8/5/2017
Public Works,Replacement of a cable for the winch at the Saldanha Bay Harbour slipway complex,Guerrin Marine Construction CC,"1,386,817.97",Competitive bidding process was not succesful,3/1/2016,Supported,Once off,Once off
Public Works,Leasing three houses foa a minister and two Deputy Ministers,Not stated,"3,240,000.00",Competitive bidding process was not succesful,8/22/2016,Supported,once-off,once-off
QCTO,Conduct research,JET Education Services,Not stated,Sole source,8/16/2016,Not supported,Not stated,Not stated
RAF,Content hosting and brand awareness drive,Arrive Alive,"240,000.00","To allow for a legal partnership with Arrive
Alive, for sharing of services.",Not stated,Supported,Not stated,Not stated
RAF,Job placement opportunities,Linkedin,"800,000.00","Cost savings by reducing the number of
placements done with agencies.",Not stated,Supported,Not stated,Not stated
RAF,Corporate Panel of Attorneys to attend to RAF litigation matters,Corporate Panel of Attorneys,"3,000,000.00",Continuity of service,Not stated,Supported,Not stated,Not stated
RAF,Exhibitions and activations,Not stated,"500,000.00","Relevant exhibition platforms to engage public
on RAF activities",2016/07/07,Supported,2016/08/01,2017/07/31
RAF,Recruitment of the CEO,Not stated,Not stated,Limited bidding process for panel of recruiters,2016/09/26,Supported,Not stated,Not stated
RAF,Movement of documents,Crossroad Distributors,"544,211.56","Transversal contract not finalised by National
Treasury",2016/07/19,Supported,Not stated,Not stated
RAF,Youth road safety summit,Various contractors,Vaious amounts,"Summit was held at venues which are shared
and paid for by different entities",2016/05/26,Supported,Once off,Not stated
RTMC,Lease of office accommodation - Faerie Glen Waterpark,Faerie Glen Waterpark,"12,684,932.00",Competitive bidding process not possible,Not stated,Not supported,Not stated,Not stated
Rural Dev & Land Reform,Subscription of law programs,Juta Law,"1,153,340.08",Sole source,2016/08/30,Supported,Not stated,Not stated
Rural Dev & Land Reform,Acquisition of aluminium steel barcodes and baud adhesive activator bottles,PWC,"51,476.70",Other suppliers do not meet quality standards,2016/06/21,Not supported,Not stated,Not stated
Rural Dev & Land Reform,"Procurement of goods and services for the one household one hecter programme for the Cookhouse
town.",None,"5,137,319.00",No reason provided,2016/07/26,Not supported,not yet awarded,not yet awarded
Rural Dev & Land Reform,Provision of Novell licence agreement for eight months,SITA,"2,809,568.00",Continuity of service,2016/07/25,Supported,2016/08/01,2017/03/31
South African Tourism,"For Trade, PR and Communication services",JoyCo.,"1,294,722.00","Internal capacity and infrusctructure constraints
to expand the business plan",8/15/2016,Supported,9/1/2016,3/31/2017
South African Tourism,Procurement of goods and services,Different service provider,Not stated,"It is impractical to source competitive quotes
due to the exclusivity and unique nature of the
tourism related products.",9/19/2016,Supported,Not stated,Not stated
S.A Weather Services,Supply of Hogen Hydrogen generators spare parts and servicing of Generators,Intermet Africa (Pty) Ltd,"1,823,834.70",Sole source,8/30/2016,Supported,Not stated,Not stated
SALGA,Provide additional ofice space,Southwest Systems,"177,864.97",Continuity of service,2016/08/10,Supported,Not stated,Not stated
SAMRC,Procurement of Intervention Evaluation phase on VAW,ICDDR-B,"6,647,193.00",Single Source,,Supported,Not stated,Not stated
SANAS,Request to deviate from code of Conduct for BAC,Not stated,Not stated,"Urgent need to appoint a second supply chain
practitioner.",2016/08/31,Not supported,Not stated,Not stated
SANAS,Approval to deviate from paragraph 3 of the Code of conduct for BAC,Not indicated,Not stated,"Urgent need to appoint a second supply chain
practitioner.",2016/08/31,Not supported,Not stated,Not stated
SANBI,Emergency Plumbing services at the National Herbarium Building,Thari Ya Tshepe Security and Projects 42,"8,800.00",Emergency Procurement,7/25/2016,Supported,Once off,Once off
SANBI,Repairs and maintenance of the Pretoria National Botanical Garden (PNBG) and Yamaha Generator,Grassnyer Kliniek (EDMS) BPK,"12,263.14",Single Source,8/17/2016,Supported,Once off,Once off
SANBI,Building of additional board rooms,AJ Renovatum,"42,041.19",Continuity of service,8/22/2016,Supported:,Once off,Once off
SANBI,Staff to atend the Arid Zone Ecology forum (AZEF) from 3-6 October 2016,Arid Zone Ecology Forum,"2,750.00","AZEF is a Non-Profit Organisation focused on
research in the arid zone of Southern Africa.",8/22/2016,Supported,Once off,Once off
SANBI,Biosystematics Research & Biodiversity collections,University of Stellenbosch,"22,100.00",Collaboration of professors to supervise thesis,9/8/2016,Supported,once-off,once-off
SANBI,conducting of the Invasive species training,Kay Montgometry,"9,120.00",Sole source,9/9/2016,Supported,once-off,once-off
SANBI,Hosting of the ICT Governance Workshops,MICT SETA Trainers without Borders,"12,538.86","MICT SETA Trainers without Borders is
accredited by the South African Education and
Training Quality Assurance Body.",9/6/2016,Supported,once-off,once-off
SANParks,Payment Card Industry Data Security Standards (PCI DSS) compliance Services.,Foregenix (Pty) Ltd,"180,720.00",Investigation of fraudulent activity,7/25/2016,Supported,Once off,Once off
SANParks,To broadcast the SANParks week 2016,SABC Morning Live,"458,738.91",SABC has a broad audience reach,8/30/2016,Supported,once-off,Once off
SANParks,To broadcast in Tsitsikamma Section of the Garden Route National Park,SABC Lotus FM,"25,000.00",SABC has a broad audience reach,9/8/2016,Supported,once-off,once-off
SANRAL,Rehabilitation of a National Road 23 Section 2 from Standerton to Greylingstand (51 Km),Messrs Vela VKE,"18,501,452.39","Delays in the approval of Water Use License
Authorisation by the National Department of
Water and Sanitation",2016/08/31,Supported,Not stated,Not stated
SANRAL,Advice SANRAL on litigation process,Messrs Fasken martineu Attorneys,Not stated,Urgent ligitation process,2016/05/12,Supported,Not stated,Not stated
SANRAL,Management and maintenance of Bapong Traffic Control Centre between Pretoria and Zeerust,"Bakwena Platinum Corridor Concessionaire (Pty) Ltd - Bapong
Traffic Control Centre (Btcc)",119 568 927.00,Continuity of service,2016/09/09,Supported,Not stated,Not stated
SANRAL,Maintenance of elevator for the SANRAL Northern Region office,Kone Elevators SA (Pty) LTD,76 393.09,Continuity of service,Not stated,Supported,2016/09/01,2019/08/31
SANRAL,Management and maintenance of Mantsole Traffic Control Centre between Bela Bela and Polokwane,"Bakwena Platinum Corridor Concessionaire (Pty) Ltd - Mantsole
Traffic Control Centre (Mtcc)",87 274 718.99,Continuity of service,2016/09/09,Supported,Not stated,Not stated
SAPO,Disaster Recovery Hosting Site for Postbank,TELKOM SA,"7,260,000.00","Procurement process for new DR capabilities
for both the Postbank and SAPO is under
review by internal audit and SCM.",7/25/2016,Supported,6/1/2016,5/31/2017
SAPO,Disaster Recovery hosting site for SAPO and Postbank,TELKOM SA,"40,880,512.00","Current Postbank Disaster Recovery is hosted
by Telkom SA",unsigned,Not supported,01/09/2016,31/08/2019
SAPS,Supply and Delivery of identifier plus kits,LTC Tech South Africa (Pty) Ltd,"12,512,085.39",Sole source,7/26/2016,Supported,Once off,Once off
SAPS,Supply and Delivery of identifier plus kits,LTC Tech South Africa (Pty) Ltd,"22,243,707.36",Sole source,8/16/2016,Supported,Once off,Once off
SAPS,Supply and Delivery of Crime Index Consumables,Whitehead Scientific (Pty) Ltd,"16,357,344.00",Sole source,8/30/2016,Supported,Once off,Once off
SAPS,Prepfiler extraction Kits and processing plates,LTC Tech South Africa (Pty) Ltd,"2,806,040.60",Sole source,8/8/2016,Supported,Once off,Once off
SARS,Renewal of software licence,Vmware International Ltd,"4,893,065.26",Continuity of service,2016/08/25,Supported,1/09/2016,5 years
SARS,revised SARS operating model,Bain & CO. Inc. SA,50 155 639.49,Continuity of service,2016/08/22,Supported,Once off,6 months
SARS,Track and trace,Sovereign Border Solutions,"1,048,650.00",Contuinuity of service,2016/03/01,Supported,01/10/2016,Once off
SARS,Acquisition of media buying services,Spacegrow Media,"36,301,519.00","Continuity of service while finalising
competitive bid process.",2016/09/01,Supported,2016/11/01,2017/04/30
SARS,Customer centricity: Game changing strategy design & execution training.,GIBS,"14,175.00",Uniqueness of GIBS course content.,2016/09/28,Supported,2016/11/02,2017/07/31
SARS,Subscription to CEB for 18 months,CEB,"1,665,216.00",Competitive bidding process not possible,2016/09/27,Supported,2016/10/03,2017/05/31
SASRIA,Upgrade of Web based Sasria web based calculator,Intervate,"971,640.00",Continuity of service,2016/08/05,Supported,Once off,Once off
Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recom
meded by
AO/ AA","Supported/ Not
supported by NT","Contract start
date",Contract expiry
SASSA,Appointment of SITA to refresh the Agency's ERP server infrastructure,Oracle Corporation SA,"32,211,967.54",Continuity of service,2016/08/01,Not supported,Not stated,Not stated
