3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
15,Q1 2024/25,"De
2024/04/09",partment of Justice and Constitutional Development (DoJ&,"for the procurement of subscription services for a legal library
comprising of: local online, electronic and printed for the
department of justice and constitutional development, the office of
CD)
the chief justice (ocj), legal aid south africa, national prosecuting
authority (npa), special investigating unit (siu) and the public
protector","1. LexisNexis (Pty) Ltd
2. Juta & Company (Pty) Ltd
3. Sabinet Online (Pty) Ltd",Business continuity to allows for the finalisation of the replacement procurement process.,"R 1 0 192 099,60","R 1 42 423 141,41","R 2 0 384 199,20",2024/03/27,2024/04/01,2024/06/30,Reported
16,Q1 2024/25,"De
2024/04/09",partment of Justice and Constitutional Development (DoJ&,"appointment of a service provider for the provision of virtual
library publications (foreign online subscription to printed and
loose leaf publications) for the department of justice and
CD)
constitutional development, the office of the chief justice (ocj),
legal aid south africa, national prosecuting authority (npa), special
investigating unit (siu) and the public protector",1. LexisNexis (Pty) Ltd,Business continuity to allows for the finalisation of the replacement procurement process.,"R 2 500 000,00","R 1 5 000 000,00","R 5 000 000,00",2024/03/27,2024/04/01,2024/06/30,Reported
17,Q1 2024/25,"De
2024/04/09",partment of Justice and Constitutional Development (DoJ&,"rendering of cash in transit services in various offices of the
CD)
department of justice & constitutional development as well as the
office of the chief justice",Fidelity Cash Solutions (Pty) Ltd,Business continuity to allows for the finalisation of the replacement procurement process.,"R 6 375 000,00","R 1 7 178 391,40","R 2 2 661 587,01",2024/03/27,2024/04/01,2024/06/30,Reported
18,Q1 2024/25,2024/04/12,South African Social Security Agency (SASSA),"appointment of a service provider for the provision of office
accommodation to sassa mpumalanga region for a period of thirty
six (36) months.",streak street investment (pty) ltd,"This procurement relate to the acquisition of office accommodation for SASSA Mpumalanga. DPW
could not manage to secure a building for the region due to its procurement processes that had to
be restarted due to none response bids.","R 3 8 643 307,92","R 2 1 991 491,12","R 2 1 991 491,12",2024/04/04,2024/05/01,2027/04/30,Reported
19,Q1 2024/25,2024/04/03,Legal Aid South Africa,Umlazi Local Office Hygiene Services Contract,Bidvest Steiner,Align with the lease agreement to end at the same time,"R 1 9 176,99","R 1 63 008,01",R -,2024/01/30,2024/03/01,2024/06/30,Reported
20,Q1 2024/25,2024/04/03,Legal Aid South Africa,"Installation and Maintenance services of server room environment
monitoring",Diopoint (Pty) Ltd,Extending the scope of work,"R 1 7 899,40","R 2 70 360,08",R -,2024/03/18,2024/04/01,2025/07/31,Reported
21,Q1 2024/25,2024/04/03,Legal Aid South Africa,Umlazi Local Office (Umzinto SO) Cleaning Services Contract,Vulithuba Cleaning Services,New RFQ process to appoint service provider not yet concluded,"R 4 6 036,20","R 2 21 448,96","R 2 760,92",2024/02/21,2024/03/01,2024/09/30,Reported
22,Q1 2024/25,2024/04/03,Legal Aid South Africa,Personal Credentials Verification,Managed Integrity Evaluation,Tender process not yet concluded,"R 2 48 010,00","R 7 10 623,99","R 7 47 083,46",2023/11/20,2023/12/01,2024/02/29,Reported
23,Q1 2024/25,2024/04/03,Legal Aid South Africa,Umzinto Satellite Office (Lease of office accomodation),Hypersingh Food Market CC,Tender process not yet concluded,"R 1 66 800,00","R 7 22 320,98","R 4 98 275,92",2023/03/30,2023/04/01,2024/03/31,Reported
24,Q1 2024/25,2024/04/03,Legal Aid South Africa,Group Life Variation,Wynsam Wealth,Tender process not yet concluded,"R 5 022 429,00","R 5 2 650 749,00",R -,2024/03/12,2024/04/01,2024/06/30,Reported
25,Q1 2024/25,2024/04/03,Legal Aid South Africa,"Cleaning Services- Kokstad Satellite
Office","Sajini Cleaning Services Pty
Ltd","None responsive RFQ process, alignment of support services to lease period","R 3 5 272,08","R 1 99 879,20",R -,2024/03/07,2024/04/01,2024/09/30,Reported
26,Q1 2024/25,2024/04/03,Legal Aid South Africa,"Cleaning Services- Port Shepstone
LO","Sajini Cleaning Services Pty
Ltd","None responsive RFQ process, alignment of support services to lease period","R 5 1 006,90","R 2 89 045,08",R -,2024/03/06,2024/04/01,2024/09/30,Reported
27,Q1 2024/25,2024/04/03,Legal Aid South Africa,Cleaning contract JHB LO,Vogue Exchange Services,RFQ process for new appointment not yet concluded,"R 1 4 375,00","R 1 72 500,00",R -,2024/03/15,2024/04/01,2024/04/30,Reported
28,Q1 2024/25,2024/04/03,Legal Aid South Africa,Cleaning Variation: National Office,OKS Investments,Tender process not yet concluded,"R 2 36 531,12","R 2 902 518,00","R 4 04 513,10",2024/03/21,2024/04/01,2024/05/31,Reported
29,Q1 2024/25,2024/04/03,Legal Aid South Africa,Eastern Cape Provincial Office (Lease of office accomodation),FHS (PE) Property Trust,Tender process not yet concluded,"R 1 88 914,92","R 3 225 531,99",R -,2024/03/12,2024/04/01,2024/06/30,Reported
30,Q1 2024/25,2024/04/03,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,Tender process not yet concluded,"R 1 16 616,36","R 2 080 406,99","R 3 49 849,08",2024/03/15,2024/04/01,2024/06/30,Reported
31,Q1 2024/25,2024/04/03,Legal Aid South Africa,Cradock Satellite Office (Lease of office accomodation),Fish River Ostrich Farming CC,Tender process not yet concluded,"R 7 6 590,00","R 6 34 359,72",R -,2024/03/15,2024/04/01,2024/09/30,Reported
32,Q1 2024/25,2024/04/03,Legal Aid South Africa,Port Shepstone Local Office (Lease of office accomodation),Essop Bux Family Trust,Tender process not yet concluded,"R 2 27 795,04","R 2 034 257,74",R -,2024/03/15,2024/04/01,2024/09/30,Reported
33,Q1 2024/25,2024/04/03,Legal Aid South Africa,"Limpopo / MpumalangaProvincial Office (Lease of office
accomodation)",Flashing Star Trading 8 (Pty) Ltd,Tender process not yet concluded,"R 6 47 518,08","R 5 606 831,29",R -,2024/03/20,2024/04/01,2024/09/30,Reported
34,Q1 2024/25,2024/04/03,Legal Aid South Africa,Westonaria Satellite Office (Lease of office accomodation),Carvasmal Properties cc,Tender process not yet concluded,"R 3 7 177,35","R 5 78 963,49","R 3 03 844,50",2024/03/20,2024/04/01,2024/06/30,Reported
35,Q1 2024/25,2024/04/03,Legal Aid South Africa,Estcourt Satellite Office (Lease of office accomodation),Golden Rewards 371 cc,Tender process not yet concluded,"R 1 05 143,22","R 9 38 952,08",R -,2024/03/15,2024/04/01,2024/09/30,Reported
36,Q1 2024/25,2024/04/03,Legal Aid South Africa,Giyani Satellite Office (Lease of office accomodation),ASZ Property Trust,Tender process not yet concluded,"R 1 81 440,00","R 6 31 601,31","R 1 67 600,00",2024/03/28,2024/04/01,2025/03/31,Reported
37,Q1 2024/25,2024/04/03,Legal Aid South Africa,Sterkspruit Satellite Office (Lease of office accomodation),Senqu Local Municipality,Tender process not yet concluded,"R 9 3 791,52","R 2 44 353,76","R 1 73 650,60",2024/03/26,2024/04/01,2025/03/31,Reported
38,Q1 2024/25,2024/04/03,Legal Aid South Africa,Umzinto Satellite Office (Lease of office accomodation),Hypersingh Food Market CC,Tender process not yet concluded,"R 1 78 476,00","R 7 22 320,98","R 6 65 075,92",2024/03/26,2024/04/01,2025/03/31,Reported
39,Q1 2024/25,2024/04/03,Legal Aid South Africa,Bellville Local Office (Lease of office accomodation),Exhibition Building Investments (Pty) Ltd,Tender process not yet concluded,"R 1 381 683,88","R 5 820 155,30",R -,2024/03/28,2024/04/01,2025/03/31,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
40,Q1 2024/25,2024/04/03,Legal Aid South Africa,Newcastle Local Office (Lease of office accomodation),Mashelec Property Investments cc,Tender process not yet concluded,"R 2 07 241,47","R 3 574 605,85","R 3 45 402,45",2024/03/25,2024/04/01,2024/06/30,Reported
41,Q1 2024/25,2024/04/03,Legal Aid South Africa,Verulam Local Office (Lease of office accomodation),Mahomed Alli Koodruth Family Trust,Tender process not yet concluded,"R 4 31 176,26","R 3 632 542,70","R 4 31 176,26",2024/03/28,2024/04/01,2024/09/30,Reported
42,Q1 2024/25,2024/04/03,Legal Aid South Africa,Upington Local Office (Lease of office accomodation),Usentra (Pty) Ltd,Tender process not yet concluded,"R 1 222 549,31","R 5 149 160,64","R 1 324 428,43",2024/03/28,2024/04/01,2025/03/31,Reported
43,Q1 2024/25,2024/04/03,Legal Aid South Africa,Athlone Local Office (Lease of office accomodation),Athlone Local Office,Tender process not yet concluded,"R 6 91 470,60","R 2 926 530,63",R -,2024/03/28,2024/04/01,2025/03/31,Reported
44,Q1 2024/25,2024/04/03,Legal Aid South Africa,Stanger Satellite Office (Lease of office accomodation),Stangar Mall Properties (Pty) Ltd,Tender process not yet concluded,"R 1 67 739,84","R 7 62 537,11",R -,2024/03/28,2024/04/01,2025/03/31,Reported
45,Q1 2024/25,2024/04/03,Legal Aid South Africa,Postmasburg Satellite Office (Lease of office accomodation),Postmasburg Remax (Pty) Ltd,Tender process not yet concluded,"R 2 76 000,00","R 1 066 775,65","R 6 18 786,96",2024/03/28,2024/04/01,2025/03/31,Reported
46,Q1 2024/25,2024/04/03,Legal Aid South Africa,Kokstad Satellite Office (Lease of office accomodation),Dr Jamjam Homeopathy (Pty) Ltd,Tender process not yet concluded,"R 9 6 274,44","R 7 96 065,98","R 1 78 286,04",2024/03/28,2024/04/01,2024/09/30,Reported
47,Q1 2024/25,2024/04/30,Special Investigating Unit (SIU),Lease Extension for Western Cape Province,"Acucap Investments (Pty)Ltd C/O
Growthpoint Management Services
Proprietary",Extension of the lease for a period of twelve months,"R 3 376 018,20","R 2 1 504 499,90","R 2 0 731 181,48",2024/03/28,2024/04/01,2025/03/31,Reported
48,Q1 2024/25,2024/04/30,Special Investigating Unit (SIU),Travel Management Services,Hamba Nathi Travel Services,Extension of Travel management services for the SIU employees for a period of two months,"R 9 25 777,00","R 6 168 275,00",R -,2024/03/28,2024/04/01,2024/05/31,Reported
49,Q1 2024/25,2024/04/09,"Export Credit Insurance Corporation of South Africa SOC
Ltd (ECIC)","Customization of the Caseware file for preparation of the ECIC
annual financial statements and update the Caseware file to the
latest IFRS 17.",Adapt IT (Pty) Ltd,"The software is currently used for preparation of the annual financial statements for the corporation.
IFRS 17 became effective in the current financial year and will significantly change the Annual
Financial Statements from 2023/24, as a result re-customization of the Caseware file is required.
The work relating to re-customization is outside the contract scope as it is not the usage of the
licence as per the contract.","R 1 65 055,11","R 2 38 901,47",R -,2024/03/19,2022/09/03,2025/09/02,Reported
50,Q1 2024/25,2024/05/09,National Lotteries Commission (NLC),Provision of Security to NLC Head Office,Ligit Security Solutions,Security contract at NW office expired and requiring security at the office,"R 2 21 835,00","R 4 568 513,17",R -,2024/04/11,,,Reported
51,Q1 2024/25,2024/05/09,National Lotteries Commission (NLC),Provision of Security to Eastern Cape Office,Orap Security Services,Security contract terminating end of April 2024 and procurement process still being finalised,"R 8 1 863,52","R 4 95 356,83",R -,2024/03/24,,,Reported
52,Q1 2024/25,2024/05/10,National Home Builders Registration Council (NHBRC),Extension of the current lease for a period of two months,Zuikerkop,Impractial impossible,"R 2 44 328,10","R 6 993 544,83","R 8 60 572,07",2024/04/29,2018/11/01,2024/06/30,Reported
53,Q1 2024/25,2024/05/10,National Home Builders Registration Council (NHBRC),Extension of the current lease for a period of six months,Mowana,Impractial impossible,"R 1 381 999,99","R 9 998 634,22","R 1 202 733,12",2024/04/29,2018/11/01,2024/10/31,Reported
54,Q1 2024/25,2024/05/10,National Home Builders Registration Council (NHBRC),Extension of the current lease for period of six months,Prop West Investment,Impractial impossible,"R 6 88 706,25","R 4 917 557,70","R 9 34 710,00",2024/04/29,2018/11/01,2024/10/31,Reported
55,Q1 2024/25,2024/05/10,National Home Builders Registration Council (NHBRC),Assessment and Determination Test on Irregular Expenditure,Maoela Incorporated,Continuation of service,"R 9 8 900,00","R 8 63 190,00",R -,2024/04/30,Not stated,Not stated,Reported
56,Q1 2024/25,2024/04/25,Community Schemes Ombud Service (CSOS),"Provision of short-term insurance for CSOS assets as contained
in the fixed assets schedule and register.",Moso Consulting Services,"CSOS sourced the services of a reputable service provider to assist with the provision of short-
term insurance through the Request for Proposal(RFQ) process for its assets as per the audited
fixed assets register at the time of signing the contract. CSOS initially entered into a two (2) year","R 111 849,00","R 7 16 938,00",R -,2024/04/20,2024/04/24,2024/04/30,Reported
57,Q1 2024/25,2024/05/02,Legal Aid South Africa,Potchefstroom LO (Lease of office accomodation),Double Deal Property Investments CC,Tender process not yet concluded,"R 1 310 396,40","R 2 595 268,37","R 5 50 366,44",2024/04/23,2024/05/01,2025/04/30,Reported
58,Q1 2024/25,2024/05/02,Legal Aid South Africa,Ga-Rankuwa LO (Lease of office accomodation),Tunisa Trading (Pty) Ltd,Tender process not yet concluded,"R 1 140 872,19","R 4 721 931,80","R 8 07 220,89",2024/04/29,2024/05/01,2025/04/30,Reported
59,Q1 2024/25,2024/05/02,Legal Aid South Africa,Kroonstad LO (Lease of office accomodation),Crown Hill Properties 727 CC,Tender process not yet concluded,"R 242 681,16","R 1 947 164,65","R 4 49 167,32",2024/04/29,2024/05/01,2024/10/31,Reported
60,Q1 2024/25,2024/05/02,Legal Aid South Africa,Bizana so (Lease of office accomodation),Vinto-Africa Trading and Investments CC,Tender process not yet concluded,"R 179 857,52","R 7 57 625,29",R -,2024/04/29,2024/05/01,2025/04/30,Reported
61,Q1 2024/25,2024/05/02,Legal Aid South Africa,Catering for Zambia Delegation,Asikhuthazane (Pty) Ltd,Including breakfast and lunch for additional 10 people,"R 4 100,00","R 2 2 200,00",R -,2024/04/18,2024/04/18,2024/04/18,Reported
62,Q1 2024/25,2024/05/16,South African Social Security Agency (SASSA),Supportand Maintenance Services,Faranani,Finalization of procurement process,"R 8 303 930,97","R 1 09 222 007,00","R 1 0 474 841,95",2024/03/29,2024/04/01,2024/06/30,Reported
63,Q1 2024/25,2024/05/16,South African Social Security Agency (SASSA),Real Time Socpen Intergration Services,SITA,Payment for licence,"R 957 935,52","R 2 05 509 474,02",R -,2024/04/30,2024/05/01,2025/04/30,Reported
64,Q1 2024/25,2024/05/16,South African Social Security Agency (SASSA),Support and Maintenance for the tRelational and DPS,SITA,Payment for licence,"R 2 555 866,86","R 1 1 085 352,00",R -,2024/04/30,2024/08/08,2024/08/07,Reported
65,Q1 2024/25,2024/05/21,National Regulator for Compulsory Specifications (NRCS),Hosting and Infrastructure Service,Vodacom,"We went out on tender two times and the bidders did not meet the requirements. This is an essential
service that the NRCS requires to avoid disruption of services.","R 2 858 898,44","R 5 881 720,76","R 8 740 619,20",2024/05/16,2024/05/17,2024/11/16,Reported
66,Q1 2024/25,2024/05/27,Community Schemes Ombud Service (CSOS),"Provision of an ESET license renewal and support for a period of
three (3) tears",Galeboe Professional Services (Pty) Ltd,"With the increased workforce due to our recent expansion of employees has led to a corresponding
rise in the number of endpoints that require protection against cybersecurity threats.
This increase would not have been foreseen at the time of contracting and is as a result of the","R 23 442,06","R 6 7 318 086,00",R -,2021/01/11,2021/01/11,31/10/2024,Reported
67,Q1 2024/25,2024/05/27,Community Schemes Ombud Service (CSOS),Procurement of Website services,Namosathi Group (Pty) Ltd,"The CSOS experienced a security breach on the website on 22 February 2024 and a call was
logged by CSOS to Nomasathi as the service provider responsible for maintaining the website with
a focus on the features of the application excluding servers and networks. The relevant hosting","R 43 470,00","R 3 49 200,00",R -,2022/11/04,26/05/2022,26/05/2025,Reported
68,Q1 2024/25,2024/05/22,National Home Builders Registration Council (NHBRC),"NHBRC East London Office extension of lease for 6 months
period",Investpro,Impractial/impossible,"R 544 405,38","R 1 379 390,18","R 1 81 468,46",2024/05/22,2024/06/01,2024/11/30,Reported
69,Q1 2024/25,2024/05/27,Legal Aid South Africa,Cleaning Services (Middelburg LO),Blose Engineering (Pty) Ltd,RFQ process not yet concluded,"R 14 800,00","R 1 77 600,00",R -,2024/04/09,2024/05/01,2024/05/31,Reported
70,Q1 2024/25,2024/05/27,Legal Aid South Africa,Cleaning Services (Johannesburg LO),Vogue Exchange,RFQ process not yet concluded,"R 28 750,00","R 1 72 500,00","R 1 4 375,00",2024/04/18,2024/05/01,2024/06/30,Reported
71,Q1 2024/25,2024/05/27,Legal Aid South Africa,Offsite Storage Services (Soshanguve LO),Metrofile,RFQ process not yet concluded,"R 1 757,09","R 2 5 863,40",R -,2024/04/16,2024/05/01,2024/06/30,Reported
72,Q1 2024/25,2024/05/27,Legal Aid South Africa,Cleaning Services (Piet Retief SO),Nkululeko Business Enterprise,Aligning contract with the leasse contract,"R 24 475,50","R 1 39 971,00","R 4 079,25",2024/04/23,2024/05/01,2024/10/31,Reported
73,Q1 2024/25,2024/05/27,Legal Aid South Africa,Bethlehem LO (Lease of office accommodation),Naudestraat 24 Bethlehem Trust,Tender process not yet concluded,"R 201 138,54","R 1 536 409,44","R 5 80 645,26",2024/04/29,2024/05/01,2024/10/31,Reported
74,Q1 2024/25,2024/05/27,Legal Aid South Africa,Greytown SO (Lease of office accommodation),NV Family Trust,Tender process not yet concluded,"R 72 450,00","R 1 38 000,00","R 2 89 800,00",2024/04/29,2024/05/01,2024/10/31,Reported
75,Q1 2024/25,2024/05/27,Legal Aid South Africa,Piet Retief SO (Lease of office accommodation),Joosub Ebrahim,Tender process not yet concluded,"R 57 960,00","R 1 10 400,00","R 2 41 040,00",2024/04/29,2024/05/01,2024/10/31,Reported
76,Q1 2024/25,2024/05/27,Legal Aid South Africa,Somerset SO (Lease of office accommodation),Christoffel Marais Van Der Vyver,Tender process not yet concluded,"R 109 112,64","R 4 59 621,96","R 1 54 404,72",2024/04/29,2024/05/01,2025/04/30,Reported
77,Q1 2024/25,2024/05/27,Legal Aid South Africa,Frankfort SO (Lease of office accommodation),Golden Bay Properties 192 cc,Tender process not yet concluded,"R 49 337,16","R 4 23 645,84","R 1 44 216,36",2024/04/29,2024/05/01,2024/10/31,Reported
78,Q1 2024/25,2024/05/27,Legal Aid South Africa,Musina SO (Lease of office accommodation),Musina Local Municipality,Tender process not yet concluded,"R 105 877,44","R 8 1 256,68","R 2 08 239,26",2024/04/30,2024/05/01,2025/04/30,Reported
79,Q1 2024/25,2024/05/27,Legal Aid South Africa,Personal Credentials Verification,Managed Integrity Evaluation,Tender process not yet concluded,"R 251 063,46","R 7 10 623,99",R -,2022/03/11,2022/06/01,2023/05/31,Reported
80,Q1 2024/25,2024/05/31,The Property Practitioners Regulatory Authority,Provision of Sap licenses,Simcura,There was a change in the scope of work for licenses,"R 286 966,80","R 8 75 935,05",R -,2024/03/20,2024/03/20,2024/03/20,Reported
81,Q1 2024/25,2024/05/31,Special Investigating Unit (SIU),Provision of Security Services,Bidvest Protea coin Pty Ltd,Extension of the Security nservices for a period of three months,"R 195 511,50","R 3 91 023,00","R 5 86 534,50",2024/05/28,2024/06/01,2024/08/31,Reported
82,Q1 2024/25,2024/05/31,Special Investigating Unit (SIU),Provision of close Protection security services,Prime African Security Services Pty Ltd,Variation of theclose protection contract,"R 1 000 000,00","R 1 000 000,00","R 1 000 000,00",2024/05/12,2024/05/17,2024/06/30,Reported
83,Q1 2024/25,2024/05/31,Special Investigating Unit (SIU),Travel Management Services,Hanba Nathi Travel Pty Ltd,Extension of travel Mnagement contract fora period of one 1 month,"R 790 350,00","R 6 168 275,00","R 7 884 402,00",2024/05/31,2024/06/01,2024/06/30,Reported
84,Q1 2024/25,2024/05/31,Special Investigating Unit (SIU),Provision of security services,Boo Sehuba Security SErvices,Extension of the 3x unarmed security services for a period of three months,"R 38 250,00","R 30 600,00","R 4 97 250,00",2024/05/31,2024/06/01,2024/08/31,Reported
85,Q1 2024/25,"Expo
2024/06/03",rt Credit Insurance Corporation of South Africa SOC Ltd (,"ECIC)
Security services","Selkirk Security Services (Pty) Ltd
(2014/019174/07)",To finalise the procurement processes,"R 209 418,80","R 782 874,00",R -,2024/04/30,2024/04/30,2024/07/31,Reported
86,Q1 2024/25,2024/06/05,Legal Aid South Africa,Cleaning and Hygiene Services National Office,OKS Investments 2009,Tender process not yet concluded,"R 709 593,38","R 2 902 518,00","R 641 044,22",2024/05/07,2024/06/01,2024/09/30,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
87,Q1 2024/25,2024/06/05,Legal Aid South Africa,Butterworth Local Office (Leasse of office accomodation),Eastern Cape Development Corporation,Tender process not yet concluded,"R 878 991,00","R 3 279 948,24","R 610 410,42",2024/04/30,2024/05/01,2025/04/30,Reported
88,Q1 2024/25,2024/06/05,Legal Aid South Africa,Ulundi Satellite Office (Leasse of office accomodation),Electrops 57 Share Block (Pty) Ltd,Tender process not yet concluded,"R 139 759,02","R 1 238 076,73","R 139 758,93",2024/04/30,2024/05/01,2024/10/31,Reported
89,Q1 2024/25,2024/06/05,Legal Aid South Africa,Gqeberha Local Office (Leasse of office accomodation),Alec Brett Property Trust,Finalilising removal of asbestos and installation of new roof on the owned building,"R 29 210,00",R -,"R 87 630,00",2024/05/27,2024/06/01,2024/06/30,Reported
90,Q1 2024/25,2024/06/05,Legal Aid South Africa,Groblersdal Satellite Office (Leasse of office accomodation),Eldoland cc,Tender process not yet concluded,"R 55 442,46","R 972 951,20","R 221 769,84",2024/05/27,2024/06/01,2024/08/31,Reported
91,Q1 2024/25,2024/06/05,Legal Aid South Africa,"Preventative maintenance and support services of air-
conditioners",Omega Fire and Security,RFQ process not yet concluded,"R 45 346,80","R 340 694,40","R 90 693,60",2024/05/27,2024/06/01,2024/07/31,Reported
92,Q1 2024/25,2024/06/05,Legal Aid South Africa,Delareyville Satellite Office (Leasse of office accomodation),CPJ Du Plessis cc,Tender process not yet concluded,"R 82 680,00","R 700 126,95","R 78 399,84",2024/05/27,2024/06/01,2024/11/30,Reported
93,Q1 2024/25,2024/06/05,Legal Aid South Africa,Victoria West Satellite Office (Leasse of office accomodation),Vansu Trust,RFQ process not yet concluded,"R 81 228,18","R 351 675,49",R -,2024/05/24,2024/06/01,2025/05/31,Reported
94,Q1 2024/25,2024/06/05,Legal Aid South Africa,Empangeni Local Office (Leasse of office accomodation),Mazule Properties cc,Tender process not yet concluded,"R 327 251,05","R 2 504 932,45",R -,2024/05/24,2024/06/01,2024/12/31,Reported
95,Q1 2024/25,2024/06/05,Legal Aid South Africa,Dundee Satellite Office (Leasse of office accomodation),Rafiq Khan Property Trust,RFQ process not yet concluded,"R 93 140,50","R 392 341,67",R -,2024/05/24,2024/06/01,2025/05/31,Reported
96,Q1 2024/25,2024/06/05,Legal Aid South Africa,Rusternburg Local Office (Leasse of office accomodation),HB Investment Trust,Tender process not yet concluded,"R 382 448,58","R 3 343 311,21","R 172 101,87",2024/05/27,2024/06/01,2024/11/30,Reported
