5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT- EXPANSIONS,,,,,,,,,,,
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
32,"Department of Environmental
Affairs",To transport 110 volunteers,Faith CP Projects,"The taxi area permits prevented the taxi
association from transporting the volunteers","9,490.00","15,800.00",0.00,2018/11/27,Noting,2018/09/15,2018/09/15
33,"Department of Higher Education
and Training",Extension of time and escalation shortfall,Rambros Construction CC,Extension of time and escalation shortfall,194019881,"15,971,560.00","58,932,168.32",2018/10/06,Closed,Not stated,Not stated
34,Department of Home Affairs,Support and Maintenance of IT infrastructure,EOH Mthombo Pty Ltd,Non Responsive bid,"162,083,334.68","15,547,209.13","6,218,883.64",2018/11/06,Noting,2018/11/01,2019/01/31
35,Department of Public Works,Complete the restoration of the old magistrate court in Pretoria,Yikusasa Buildings Contractors SA,Contract was ceded,"127,004,641.84","143,110,247.16",0.00,2018/10/10,Closed,2018/11/01,2021/04/30
36,Department of Public Works,Repairs to latent defects at the Gelvandale Magistrate Court,Trout Builders,"Variation is due to latent defects relating to water
leaks","420,955.16","156,723.69",0.00,2018/09/04,Not supported,Not stated,Not stated
37,Department of Public Works,Replacement of prison facility at Tzaneen Correctional Services,Musan Trading Enterprise,Additional requirements,"37,445,591.95","7,093,402.32","10,622,957.21",2018/07/31,Closed,Not stated,Not stated
38,Department of Public Works,Replacement of prison facility at Tzaneen Correctional Services,Musan Trading Enterprise,Additional requirements,"37,445,591.95","3,336,496.35","17,716,359.53",2018/08/16,Supported,Not stated,Not stated
39,Department of Tourism,Hosting the half a day conference on tourism transformation,Garden Court Kings Beach,"Increase in the number of participants from 70 to
83 participants","35,013.00","5,400.00",0.00,2018/12/11,Supported,Once off,Once off
40,Department of Tourism,Hosting of the half day conference on the tourism transformation,Emperors Palace,"Increase in the number of participants from 70 to
83 participants","3 7,843.75","1 5,531.25",0.00,2018/12/11,Supported,Once off,Once off
41,"Development Bank of Southern
Africa","Seconding built environment professionals to the Limpopo
Department of Public Works and Infrastructure Project Support
Unit",Various service providers,Continuity of service,"74,775,077.00","68,713,646.00",0.00,2018/09/25,Supported,2018/10/01,2020/09/30
42,"Development Bank of Southern
Africa","Implementation support services for the Fund Management Unit
for the SADC Regional Fund for Water Infrastructure and Basic
Sanitation Programme",Mr Harald Heidtmann,Continuity of service,"340,000.00","68,000.00",0.00,2018/10/01,Supported,2018/11/01,2019/04/30
43,ECIC,Legal Services,Cliffe Dekker Hofmeyr,Budget Depleted,"53,475.00","157,638,540.00",0.00,2018/12/07,Not supported,N/A,N/A
44,ECIC,Legal Services,Gelndenhuys Malatji A,Budget Depleted,"45,600.00","43,700.00",0.00,2018/12/07,Conditional support,N/A,N/A
45,ECIC,ICT Infrastructure Hosting,Internet Solutions,Acquisition of new premises cancelled,"6,430,152.69","3,373,456.64",0.00,2018/11/30,Conditional support,2019/03/01,2020/02/28
46,Eskom,"Technical supervision, UCG plant and operational assistance for
the Majuba UCG project",Ergo Exergy Technologies Inc,Competitive bid in progress,"49,971,836.00",-,"105,310.89",2018/10/19,Conditional Support,Not indicated,12 Months
47,Eskom,"Design, upgrade, refurbishment and optimisation of the rail yard
and coal offloading facility at Majuba Power Station",Aveng Africa (Pty) Ltd,Continuity of service,"590,122,566.28",0.00,0.00,2018/12/11,Conditional Support,Not indicated,7 Months
48,Eskom,Terrace Coal and ash system at the Medupi Power Station,ELB Engineering Services (Pty) Ltd,Access delays,"884,022,965.00","87,661,835.00","374,965,537.00",2018/12/12,Conditional support,Not indicated,5 Months
49,Eskom,Printing services,Motswako Office Solution,Continuity of service,"185,265,442.41","37,728,000.00","17,523,077.81",2018/11/11,Supported,2018/12/01,2019/02/28
50,Eskom,Procure new modules and repair the old modules,Siemens (Pty) Ltd,Continuity of service,"13,626,425.12","51,621,493.28",0.00,2018/10/22,Conditional support,Once off,Once off
51,Eskom,"Distributed Management Systems (DMS) software & licence
maintenance and the second contract is for support services",ABB South Africa (Pty) Ltd,Continuity of service,"45,623,063.29","10,631,716.36","84,878,258.46",2018/11/14,Conditional support,2018/11/24,2018/12/23
52,ESKOM,Statutory Audit Services,SizweNtsaluba Gobodo,Addiitonal scope of work,"388,387,601.00","134,852,801.52",0.00,2018/03/10,Conditional support,Not stated,Not stated
53,ESKOM,Site Cleaning Services at Kusile Power Station Project,"Bravo Gazubane Youth Co-Operative
Limited",Continuity of service,"10,245,214.80","4,311,833.76","8,189,906.92",2018/11/10,Conditional support,2018/10/29,2019/10/29
54,ESKOM,"Construction of the Ariadne Eros 132/400KV Multi Circuit Section
A",Jyoti Construction (Pty) Ltd,Continuity of service,"780,268,694.76",0.00,0.00,2018/10/25,Conditional support,2018/01/11,2019/10/31
55,ESKOM,"Construction of Kusile, Kendal and Zeus 400kv Tramsmission
Line Section B",Babcock International Group (Pty) Ltd,Continuity of service,"129,356,665.00",0.00,0.00,2018/10/22,Conditional support,2018/01/11,2019/04/30
56,ESKOM,"Manufacture, Tesing and Supply of Estimated Quanities of
CT/VT Metering Units",Instrument Transformer Technologies,Security of supply,"12,349,245.71","7,168,800.00",0.00,2018/10/22,Conditional support,2018/01/10,2019/03/31
57,ESKOM,"Construction of Ankerlig-Sterrekus 400KV Double Circuit
Overhead Transmission Line and its associated works",Mkhulu Distribution Projects Ltd,Continuity of service,"173,426,575.90",0.00,"20,319,156.44",2018/10/25,Conditional support,2019/01/02,2019/10/31
58,ESKOM,Infrastructure contract at Duvha Power Station,CCI AG,Continuity of service,"45,500,000.00","3,520,215.79",0.00,2018/01/10,Not supported,2016/01/04,2020/03/31
59,ESKOM,"Construction of Kusile, Kendal and Zeus 400kv Tramsmission
Line Section A, Including Duvha Bypass Underpass",Consolidated Projects (Pty) Ltd,Unavailability of outages,"205,655,021.17",0.00,0.00,2018/10/22,Conditional support,2018/01/11,2019/04/31
60,ESKOM,"Outside Plant and Water Treatment Plant Control and
Instrumentation Refurbishment Project at Tutuka Power Station",Yokogawa South Africa (Pty) Ltd,Continuity of service,"139,696,225.83",0.00,"195,623,858.61",2018/10/25,Not supported,2018/01/11,2018/12/31
61,ESKOM,Low Pressure Services (P04) at Medupi Power Station,"Low Pressure Consortium, Water
Cooling (Pty) Ltd, Lesedi Nuclear
Services and Wetback Contracts",New scope items,"1,074,445,009.00","153,030,554.00","681,350,508.00",2018/10/26,Conditional support,2018/10/26,2019/06/30
62,ESKOM,Ariadne Venus Line Construction,"Edison Power Group Ltd and Eurico
Ferreria South Africa Joint Venture",Increased demand,"394,968,861.76","106,563,378.00",0.00,2018/10/25,Conditional support,2018/11/13,2019/10/14
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
63,ESKOM,Electrification Programme in 9 Eskom Operating untis,Various Panels,Increased demand,"2,801,391,549.20","759,008,680.00",0.00,2018/10/28,Conditional support,2018/08/11,2019/03/31
64,ESKOM,"Temporary Employees Services/ Labour Brokers for Eskom
Rotek Industries SOC Limited (ERI)",Various Suppliers,Business continuity,"3,467,189,598.00",0.00,"1,837,600,311.00",2018/10/15,Not supported,2018/01/10,2019/01/31
65,ESKOM,"Renewal of Lease for Vacant Land, ERF1173 In Aliwal North",Transnet SOC Ltd,lease agreement,Not stated,"144,963.29",0.00,2018/10/29,Supported,2018/01/12,2021/11/30
66,ESKOM,"Monitoring, Maintenance and Refurbishment Services on Boiler
Feed Pumps and Spares",Sulzer Pumps (Pty) Ltd,Increased plant failure,"646,050,000.00","48,994,442.00",0.00,2018/10/25,Conditional support,2019/01/01,2019/06/30
67,ESKOM,"Renewal of Lease for Mthatha Walk In Centre Offices in Mthatha
Town",Mbambisa Family Trust,Lease agreement Renewal,"26,323.20","18,070,451.62",0.00,2018/10/29,Conditional support,2018/01/11,2023/10/31
68,ESKOM,"Renewal of Lease at Alice, ERF 1051, Eastern Cape for Alice
Customer Network Centre",TV Matikinca,Lease agreement Renewal,Not stated,"181,674.44",0.00,2018/10/29,Conditional support,2018/01/11,2022/10/31
69,ESKOM,"World Bank Funder Infrastructure Contract for Transmission
Power Delivery projects - Construction of the 400kv Medupi
Burotho Transmission Line - Section B",Consolidated Projects (Pty) Ltd,Addiitonal scope of work,"158,259,330.15","23,982,908.77",0.00,2018/10/19,Conditional support,2018/11/13,2019/04/13
70,ESKOM,"Partnership Agreement Consultation and Training at Kusile Power
Station",Intervention Advisors Barleda JV,Addiitonal scope of work,"18,075,712.00","13,503,108.00",0.00,2018/10/25,Conditional support,2017/08/02,2020/01/31
71,ESKOM,"Unit Transformer System and Earthening Equipment for Kusile
Power Station",Actom (Pty) Ltd,Construction delays,"215,192,778.28",0.00,0.00,2018/10/31,Conditional support,2018/11/11,2018/12/11
72,ESKOM,"Subscription Contract for Swift Licenses and Maintenance
Subscription",Trustlink (Pty) Ltd,Install new infrastructure,"881,800.92","775,641.91",0.00,2018/10/01,Conditional support,2019/01/01,31/10/2020
73,ESKOM,GSU Transformers for Kusile Power Station,Siemens (Pty) Ltd,Delays experienced during construction,"451,258,775.03",0.00,0.00,2018/11/13,Conditional support,2018/11/23,2020/12/23
74,ESKOM,Free Carrier Transporters,FCA Transporters,Delays with competitive bidding process,"7,102,000.00","80,000,000.00","1,608,901,000.00",2018/11/21,Conditional support,2018/12/01,2018/03/31
75,ESKOM,"Supply, Transportation, Erection and Dismantling of Scaffolding
and Insulation Material for Generation Power Stations Including
Group Capital","Southey Contracting (Pty) Ltd, Kaefer
Thermal Contracting Services, SGB-
Cape and TMS Group Industrial
Services (Pty) Ltd","Court interdict and pending review applications by
TMS and SGB-Cape","329,130,000.00","559,653,718.19","4,345,897,699.17",2018/11/23,Conditional support,2018/12/01,2018/11/30
76,ESKOM,"Panel Contract for Provision of Fuel Cards Facilities for Fuel, Oil,
Toll Fees, Repairs and Maintenance Facilities",Standard Bank SA (Stannic),Finalise the competitive bidding process,"7,217,841.84","5,916,920.25","29,464,998.69",2018/10/26,Conditional support,2018/12/09,2019/06/08
77,ESKOM,"Design, Manufacturing, Tesing and Supply of Estimated
Quantities for Composite Insulators","Pfisterer (Pty) Ltd, LAPP Insulators
GmbH and NGK insulators Ltd",Business continuity,"63,382,356.13","8,496,200.00",0.00,2018/11/19,Conditional support,2018/11/19,2018/12/04
78,ESKOM,"Provision of engineering and Project Management to Kusile
Power Station",Black & Veatch,Noting,N/A,N/A,N/A,2018/10/19,Noting,N/A,N/A
79,ESKOM,"Provision of engineering and Project Management to Medupi
Power Station",Parson Brinckerhoff Africa (Pty) Ltd,Noting,N/A,N/A,N/A,2018/10/19,Noting,N/A,N/A
80,ESKOM,"Lease Agreement for Premises at Alice, ERF 1050, Eastern Cape
for Alice Customer Network Centre (CNC)",ML Matikinca,Cost effectiveness to remainon the same building,Not stated,"114,051.60",-,2018/11/22,Conditional support,2018/12/01,2019/11/30
81,ESKOM,Raw water charges,Department of Water and Sanitation,Additional need,"3,394,000,000.00","6,400,196,139.00","314,934,632,341.00",2018/11/07,Conditional support,2019/04/01,2024/03/31
82,ESKOM,"Supply, Delivery and Installation of Kitchen Equipment",Vulcan Catering,Delays encountered due to change in scope,"4,547,586.45",0.00,0.00,2018/12/06,Conditional support,2018/01/01,2019/02/28
83,ESKOM,Installation of Fire Protection System at Hendrina,Tshepo Themba Engineering (Pty) Ltd,Continuity of service,"30,670,000.00",0.00,"2,863,051.64",2018/12/12,Conditional support,2019/01/01,2019/03/31
84,Film and Publication Board,Executive placement services,DAV,Delays in appointment of the CEO,"90,562.50","90,562.50","18,206.97",2018/12/03,Not supported,2018/12/01,2019/02/28
85,"Government Pensions
Administrators Agency",Work Area Recovery Services,Continuity South Africa,Continuity of service,"4,693,636.00","1,400,092.80",0.00,2018/10/28,Supported,2018/12/02,2019/12/03
86,"Government Technical Advisory
Centre",Provision of ICT technical support services,Exponant Pty Ltd,Competitive bidding process underway,"1,657,031.04","624,760.50","236,718.72",2018/09/28,Supported,2018/10/01,2019/06/30
87,Health,Warehousing and distribution services for national buffer stock,Imperial Health services (Pty) Ltd,"Continuity of service and alignment with Donore
Fund","5,363,486.00","1,275,039.00","6,150,760.00",2018/09/28,Supported,2018/10/01,2019/03/31
88,Health,"Leasing storage / warehouse for storage of critical health
information material and commodities.",Sadmon Projects and Consulting,Procurement process to be finalised,0.00,0.00,0.00,2018/11/08,Closed,Not stated,Not stated
89,"Human Sciences Research
Council",Lease for building,Roeland Trading (Pty) Ltd,Lease agreement expired,"4,472,273.00","10,434,670.00","446,349.00",2018/11/06,Supported,2018/12/01,2023/11/20
90,"Human Sciences Research
Council",Financial system support,Acctech System,To have open purshase order that is billed upfront,"646,841.00","156,400.00",0.00,2018/11/22,Supported,2018/12/01,2019/03/31
91,Human Settlements,Legal Services,Van Wyk Attorneys,Continuity of service,"100,000.00","345,000.00",0.00,2018/11/23,Conditional Support,Not stated,Not stated
92,Independent Electoral Commission,Lease of office accomodation - Nelson Mandela Bay Office,The Bluekap Trust,Continuity of service,"2,701,283.99","3,365,132.34",0.00,2018/09/26,Supported,2019/05/01,2022/04/30
93,Independent Electoral Commission,Provision of warehouse space- Bellville,Firmus 2 Investments,Continuity of service,"3,081,795.88","787,575.87",0.00,2018/10/26,Supported,2018/12/01,2019/09/30
94,"Inkomati Usuthu Catchment
Management Agency",Provision of a credit controller and executive secretary services,Adcorp Workforce Solution t/a Kelly,No reason provided,"133,666.52","30,841.38",0.00,2018/10/25,Not supported,2018/10/09,2018/10/31
95,Labour,"Umehluko support and maintenance contract at Compensation
Fund",Rand Mutual Assurance,Continuity of service,"11,310,750.00","73,655,765.76","90,840,874.50",2018/09/25,Supported,2018/11/01,2019/10/31
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","Not supported/Not
supported/Conditional
supported (Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
96,Legail Aid SA,Electronic Legal Aid Administration system,VisionIT (Pty) Ltd,Continuity of service,"14,594,251.00","750,000.00","2,180,428.00",2018/12/13,Not supported,Not stated,Not stated
97,Legal Aid SA,Printing services,Dalitso Business Equipment (Pty) Ltd,Continuity of service,"7,399,144.00","659,704.04","3,282,685.67",2018/11/26,Supported,2018/12/01,2019/01/31
98,Mining Qualifications Authority,To provide legal advice,Cheadle Thompson Hayson Inc,Variation of order,"299,000.00","149,500.00",0.00,2018/11/13,Supported,Not stated,Not stated
99,National Credit Regulator,Legal Services,C Kgope Attorneys,Not enough budget,"490,000.00","600,000.00","600,000.00",2018/11/09,Conditional support,N/A,N/A
100,"National Home Builders
Registration Council",SAP Hosting with Telkom,Telkom SA,Bid non-responsive,"10,958,779.00","5,997,876.24",0.00,2018/10/03,Conditional support,2018/10/12,2019/11/11
101,"National Home Builders
Registration Council",Office accomodation- Witbank,"De Bruyn Commercial Property
brokers",Relocation of office space,"715,790.00","64,097.00",0.00,2018/10/25,Noting,2018/11/01,2018/30/11
102,National School of Government,Provision of travel management services,Travel With Flair,Continuity of service,"10,564,154.32","1,584,623.15",0.00,2018/11/16,Supported,2018/12/01,2019/01/31
103,"National Student Financial Aid
Scheme",To provide services of a data analyst,Dimension Data,Variation of order,"493,637.50","328,440.00",0.00,2018/11/14,Supported,2018/12/01,2019/01/31
104,"National Student Financial Aid
Scheme",To make improvements on the disbursement process,Argility (Pty) Ltd,Variation of order,"491,410.00","119,151.50",0.00,2018/11/14,Supported,2018/11/21,2019/01/31
105,"National Student Financial Aid
Scheme",To provide a Senior software developer,Dimension Data,Variation of order,"495,420.00","215,280.00",0.00,2018/11/14,Supported,2018/12/08,2019/01/31
106,"National Student Financial Aid
Scheme",Provision of office accomodation,Proud Heritage Properties,"Non-Compliance to OHSA due to its age and frail
structure","21,746,021.87","2,669,234.31",0.00,2018/12/07,Supported,2017/03/01,2022/02/28
107,National Treasury,Maintenance of the emolument attachment order solution,Q Link Pty Ltd,Competitive bidding process underway,"59,000,000.00","8,100,000.00",0.00,2018/12/04,Supported,Not stated,2019/06/30
108,National Treasury,Renewal of subscription for BER MACRO services,University of Stellenbosch for BER,Continuity of service,"240,520.95","91,425.00",0.00,2018/11/27,Supported,2019/01/01,2019/12/31
109,National Treasury,Easydata subscription,Quantec Enterprises,Sole source,"438,819.30","146,273.10",0.00,2018/12/07,Supported,2019/01/01,2019/12/31
110,"National Youth Development
Agency",Additional Office Space,Investec Property Fund Limited,"Additional staff needee due to increased donor
funding","54,869,973.00","12,698,228.00",0.00,2018/11/05,Supported,2019/02/01,2021/01/31
111,NDA,Provision of litigation services,B.Xulu and Partners Incorporated,Continuity of service,"89,262.00","594,307.58","594,307.58",2018/10/08,Not supported,N/A,N/A
112,NRCS,Payroll and Human Resources Services,Ergonomix (Pty) Ltd,Cancellation of contract,Not stated,"237,762,500.00",Not indicated,2018/11/05,Conditional support,2018/11/06,2019/02/28
113,PetroSA,Managing contract for PetroSA’s 2017/2018 refinery shutdown.,Aveng Africa (Pty) Ltd,"Including Fa platform in the refinery shutdown
contract awarded.","81,064,190.00","14,514,000.00",0.00,2018/10/15,Supported,Not stated,Not stated
114,Public Service and Administration,"Professional and scientific investigation and management of
temporary and incapacity leave and ill-health retirement
appliactions",Panel of Health Risk Managers,Continuity of service,"399,139,305.66","100,000,000.00",0.00,2018/10/05,Supported,2019/01/01,2019/12/31
115,Public Service and Administration,"Provision and development of a tailor made job evaluation system
for the public service",NorthGateArinso Africa,Continuity of service,"15,848,280.00","5,081,025.75",0.00,2012/12/12,Supported,2018/12/19,2021/12/31
116,Railway Safety Regulator,Initiate employee hearing,MM Balloyi,Postponement of hearing,"355,680.00","500,000.00",0.00,2018/11/05,Conditional support,Not stated,Not stated
117,Railway Safety Regulator,Chairing of two hearings for employees,Pule Incorporated,Postponement of pre-scheduled hearing,"287,500.00","300,000.00",0.00,2018/11/06,Not supported,Not stated,Not stated
118,Rand Water,"Upgrading of the Sebokeng Waste Water Treatment Works
(WWTW): Model 6 and Sludge Handling Facility",CMC DI Ravenna – SA,"Delays caused by community unrest and late
payment by DWS.","328,436,824.85","118,450,000.00","70,135,132.09",2018/11/20,Conditional support,Not stated,Not stated
119,Road Accident Fund,Social and Digital media for Human Capital,Linked-In,Wider audience,"800,000.00","1,221,431.50","120,000.00",2018/10/10,Conditional support,Not stated,24 Months
120,Road Acciedent Fund,Professional Services for Job Evaluation,Deloitte Consultants,"Cost saving when remaining with the Task
Grading system","13,880,659.38","15,020,659.38",0.00,2018/09/18,Supported,Not stated,Not stated
121,"Road Traffic Management
Corporation",Additional Office space,JR 209 Investment,Increased staff,"51,689,160.00","1,434,816.00",0.00,2018/11/15,Supported,2019/04/01,2022/03/31
122,"Road Traffic Management
Corporation",Extension of lease agreement,JR 209 Investment,New building project in progress,"51,689,160.00","24,804,000.00",0.00,2018/11/15,Supported,2019/04/01,2022/03/31
123,"Road Traffic Management
Corporation",Extension of lease agreement,JHI Capital Profound,New building project in progress,"5,720,594.88","18,054,828.00",0.00,2018/11/15,Supported,2019/04/01,2022/03/31
124,"Road Traffic Management
Corporation",Extension of lease agreement- 220 M,Mowana Properties,New building project in progress,"911,856.24","1,005,840.00",0.00,2018/11/15,Supported,2019/04/01,2022/03/31
125,"Road Traffic Management
Corporation",Extension of lease agreement- 903 M,Mowana Properties,New building project in progress,"4,719,426.12","4,128,516.00",0.00,2018/11/15,Supported,2019/04/01,2022/03/31
126,"Rural Development and Land
Reform",Construction of 7 cabins at Zuurberg,Razzmatazz,"Costly to procure on a normal procurement
process","54,146,095.50","9,241,482.96",0.00,11/26/2018,Supported,Not stated,Not stated
127,"Safety and Security Sector
Education and Training Authority",Provision of Internal Audit Services,Nexia SAB and T,"Deficiencies were identified by the internal
auditors","1,076,432.00","2,200,000.00",0.00,2018/10/31,Supported,2018/12/01,2018/03/31
128,"Safety and Security Sector
Education and Training Authority",Annual general meeting for SASSETA,Gallagher Convention Centre,Increase in delegates from 100 to 172,"66,682.75","24,667.50",0.00,2018/10/23,Supported,2018/10/26,2018/10/26
129,SANAS,Payroll Administration Services,CPI Holding,Competitive bidding process required,Not stated,Not indicated,Not indicated,2018/11/19,Conditional support,2019/03/01,2020/02/28
130,Science and Technology,Building lease,Innovation Hub Management,Procurement process not finalised yet by DPW,Not stated,"1,034,488.00",0.00,2018/12/14,Not supported,2019/01/01,2019/12/31
