,,,,,,,,,,
SUPPLY CHAIN MANAGEMENT: GOVERNANCE MONITORING COMPLIANCE REPORT OF EXPANSIONS: 2020/21 (27 MARCH TO 15 JUNE 2020),,,,,,,,,,
,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Reason for extension,"Original Contract
Value",Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
11,Construction Education and Training Authority,Provision of office accommodation - Head Office,Slip Knot Investment 777,"Delays in the procurement process - national
lockdown","4,831,285.80","510,837.64","766,256.46",Supported,2020/07/01,2020/08/31
12,Cross-Border Road Transport Agency,Provision of office accommodation,Menlyn (Pty) Ltd,Lockdown,"1,065,156.00","1,031,481.00","2,062,962.00",Supported,2020/04/01,2020/04/30
13,Community Schemes Ombud Service,Provision of office accommodation,Aquasky Properties,Accessible to customers,Not stated,"10,237,883.04",Not stated,"Within AA/AO mandate
Noting",2020/08/01,2025/07/31
14,Community Schemes Ombud Service,Provision of office accommodation,Mawana Properties,Accessible to customers,Not stated,"5,240,260.18",Not stated,"Within AA/AO mandate
Noting",2020/08/01,2025/07/31
15,Department of Transport,Provision of security services,Maduna Protection Security Services,Competitive bidding in progress,"9,661,559.04","945,473.10","1,167,251.44",Supported,2020/01/06,Not stated
16,Development Bank of Southern Africa,Built Environment Professionals,M-Ploy Global Resourcing,To enhance institutional capacity,"691,325.61","455,453.98",0.00,Supported,Once off,Once off
17,"Department of Justice and Constitutional
Development","Extension of the Security Guarding and Special Services and Integrated
Justice System (IJS) Transversal Skills Resourcing services",Not stated,Continuity of service,Not stated,,,Supported,2020/04/01,2020/09/31
18,"Department of Justice and Constitutional
Development",Extension of Integrated Justice System (IJS) Transversal Skills resourcing s,eNrvoict esst aftoerd a three (3) months,Competitive bidding in progress,Not stated,Not stated,Not stated,Conditional support,2020/04/01,Not stated
19,Export Credit Insurance Corporation,Asset management,Argon Asset Management,"Avoidance to appoint a new supplier, only to be
replaced to align with the new investment
strategy",$1 600 087,$1 355 844,0.00,Not supported,2020/03/17,Not stated
20,Export Credit Insurance Corporation,Asset management,Investec Management,"Avoidance to appoint a new supplier, only to be
replaced to align with the new investment
strategy",$76 194 697,$948 418,0.00,Not supported,2020/03/17,Not stated
21,Education Training and Development Practices SETA,Cleaning Services (North West),Red Alert,"Delays in the procurement process - national
lockdown","229,614.49","52,766.82",0.00,Supported,2020/07/01,2020/12/31
22,Education Training and Development Practices SETA,Cleaning Services (Free State),LT Solutions,"Delays in the procurement process - national
lockdown","110,996.70","53,544.78",0.00,Supported,2020/07/01,2020/12/31
23,Education Training and Development Practices SETA,Cleaning Services (Limpopo),Cele Brothers,Delays in the procurement process - national,"199,800.00","48,321.36",0.00,Supported,2020/07/01,2020/12/31
24,Education Training and Development Practices SETA,Cleaning Services (KwaZulu Natal),Cele Brothers,Delays in the procurement process - national,"201,339.00","48,321.36",0.00,Supported,2020/07/01,2020/12/31
25,Education Training and Development Practices SETA,Cleaning Services (Gauteng),Cele Brothers,Delays in the procurement process - national,"201,339.00","48,321.36",0.00,Supported,2020/07/01,2020/12/31
26,Education Training and Development Practices SETA,Cleaning Services (Northern Cape),Ngqutura,"Delays in the procurement process - national
lockdown","218,880.00","57,815.10",0.00,Supported,2020/07/01,2020/12/31
27,Education Training and Development Practices SETA,Cleaning Services (Western Cape),Ngqutura,"Delays in the procurement process - national
lockdown","218,880.00","66,074.40",0.00,Supported,2020/07/01,2020/12/31
28,Education Training and Development Practices SETA,Cleaning Services (Eastern Cape),Ngqutura,"Delays in the procurement process - national
lockdown","191,520.00","66,074.40",0.00,Supported,2020/07/01,2020/12/31
29,Education Training and Development Practices SETA,Cleaning Services (Head Office-Gauteng),Walking Tall Trading & Projects 186,"Delays in the procurement process - national
lockdown","824,728.64","258,020.56","226,260.26",Supported,2020/07/01,2020/12/31
30,Education Training and Development Practices SETA,"Purified water and Rental of dispenser Coolers for Head and Provincial
Offices",Akibar Trading and Projects,"Delays in the procurement process - national
lockdown","677,280.72","233,447.70",0.00,Supported,2020/07/01,2020/12/31
31,Education Training and Development Practices SETA,"Head Office and Provincial Offices lease of multifunction photocopiers
service",Ricoh SA (Pty) Ltd,"Delays in the procurement process - national
lockdown","3,725,052.82","1,043,723.94",0.00,Supported,2020/07/01,2020/12/31
32,Education Training and Development Practices SETA,Provision of office accommodation (Mpumalanga),Road Hogg Tours,"Delays in the procurement process - national
lockdown","5,489,112.71","441,652.92",0.00,Supported,2020/07/01,2020/12/31
33,Education Training and Development Practices SETA,Provision of office accommodation (North West),Engel & Volkers,"Delays in the procurement process - national
lockdown","5,200,933.03","420,808.44",0.00,Supported,2020/07/01,2020/12/31
34,Education Training and Development Practices SETA,Provision of office accommodation (Eastern Cape),JHI Blue Bacon,"Delays in the procurement process - national
lockdown","4,157,575.44","505,055.70",0.00,Supported,2020/07/01,2020/12/31
35,Education Training and Development Practices SETA,Provision of office accommodation Space (Free State),The Micheal Family Trust,"Delays in the procurement process - national
lockdown","4,482,509.86","424,669.19",0.00,Supported,2020/07/01,2020/12/31
36,Education Training and Development Practices SETA,Provision of office accommodation Space (Limpopo),Frikkie Pienaar Properties,"Delays in the procurement process - national
lockdown","3,521,032.82","332,442.00",0.00,Supported,2020/07/01,2020/12/31
37,Education Training and Development Practices SETA,Provision of office accommodation (KwaZulu Natal),The Kaywood Trust,"Delays in the procurement process - national
lockdown","2,682,588.15","299,765.28",0.00,Supported,2020/07/01,2020/12/31
38,Education Training and Development Practices SETA,Provision of office accommodation (Northern Cape),AIDA,"Delays in the procurement process - national
lockdown","3,738,706.68","403,545.12",0.00,Supported,2020/07/01,2020/12/31
39,Education Training and Development Practices SETA,Provision of office accommodation (Western Cape),JHI Frederick Carter,"Delays in the procurement process - national
lockdown","4,420,912.97","293,638.86",0.00,Supported,2020/07/01,2020/12/31
40,Education Training and Development Practices SETA,Strategy Management Dashboard,"e-SEK Technology Solutions (Pty)
Ltd","Delays in the procurement process - national
lockdown","1,035,000.00","1,760,247.50","155,250.00",Not supported,2020/06/01,2021/06/30
41,Education Training and Development Practices SETA,Security Guarding Services of North West Provincial Service,Hlanganani Ezweni Trading,"Delays in the procurement process - national
lockdown","874,432.37","214,786.08",0.00,Supported,2020/07/01,2020/12/31
42,Education Training and Development Practices SETA,Records and Information Management,Document Warehouse,"Awaiting the newly developed and approved
Digital Transformation Strategy","2,231,595.69","1,698,831.57",0.00,Supported,2020/07/01,2021/06/30
,Department of Environmental Affairs,Operation Pakisa Marine Protected Areas (MPA) Governance Workshop,Holiday Inn,Variation of Order,"23,000.00","12,325.00",0.00,Conditional Support,2019/11/12,2019/11/13
44,Department of Environmental Affairs,"To investigate and initiate allegations of misconduct hearing against an
official",Tshiqi Zebediela Attorneys,Continuity of service,"200,000.00","200,000.00",0.00,Supported,Not Stated,Not Stated
45,Department of Environmental Affairs,Internal Audit services,BDO Advisory services,Continuity of service,"11,500,000.00","3,500,000.00",0.00,Not supported,Not Stated,Not Stated
46,Eskom,IT Services during Disengagement,T-System SA,Competitive bidding in progress,"2,936,231,859.00","90,000,000.00","4,944,786,345.00",Conditional support,2020/03/01,2020/04/31
47,Eskom,Provision of legal services,Mamatela Attorneys,Continuity of service,"402,500.00","517,500.00",0.00,Conditional support,Not stated,Not stated
48,Eskom,Application and maintenance support,Energy Trading System (ETS),Competitive bidding in progress,3 040 937.35.,"1,344,423.76",0.00,Conditional support,2020/06/27,2020/12/26
49,Eskom,Provision of Telco WAN (Data links),Dark Fibre Africa (Pty) Ltd,"Not feasible for other service providers to
provide the required dark fibre services","2,554,056.00","23,050,497.00",0.00,Not supported,2024/11/30,2025/02/28
50,Eskom,"Procurement of the investigation of the site geology, micro-seismic
monitoring and the execution of Senior Seismic Hazard Analyses
Committee (SSHAC) Level 3 Probabilistic",Council of Geoscience,"Change in contract conditions and scope
change","264,024,021.85","24,930,997.59",0.00,Conditional support,2021/03/31,2022/09/30
51,Eskom,"Provision of diesel storage and handling for Ankerlig Power Station in
Atlantis",Vesquin Trading (Pty) Ltd,Competitive bidding in progress,"113,850,000.00","5,369,750.00",0.00,Conditional support,2019/10/21,2024/10/20
52,Eskom,"Support and Maintenance of Eskom Finance Core Banking Systems and IT
Infrastructure",Ernst & Young,Allow transition process,0.00,0.00,0.00,Conditional support,2020/05/01,2020/08/31
53,Eskom,"The supply, delivery and offloading of lubricants to various
power station","BP Southern Africa (Pty)
Ltd, Alstron Energy (Pty) Ltd,",Competitive bidding in progress,56 259 591.66,63 185 124.99,0.00,Conditional support,2020/09/01,2021/03/31
54,Eskom,"Maintenance of Air Heaters and Draught Plant Fans and the supply of
spares for the same",Howden Africa,Additional scope of work,"1,307,263,650.00","212,996,854.40",0.00,Conditional support,2020/07/01,2021/06/30
55,Eskom,"plant,
Supply, delivery and Off-Loading of Sulphuric Acid to Eskom's Coal Fired
Stations",Maano Water (Pty) Ltd,Urgent procurement,"25,480,678.20","60,731,868.50",0.00,Conditional support,Not stated,8 months
56,Eskom,Supply and maintenance of support for the OPSX and CharterMax systems,Softmax Software Solution,Competitive bidding in progress,"351,816.00","48,769.20","42,408.00",Conditional support,2020/04/21,2020/08/20
57,Eskom,Provision of civil works at Merensky and Witkop substations,Machite Engineering CC,Stability at the site,"7,452,574.37","716,013.38","4,037,973.26",Supported,2020/04/22,2020/10/21
58,EWSETA,Placement Agency,EO Executive Placements,Placement of CFO,"499,999.00","559,872.00",0.00,Supported,2020/03/26,Not stated
59,Fibre Processing Manufacturing Sector ETA,Reporting: Audit services,"Audit and Risk Management
Services",Covid-19 disaster,"2,000,000.00",Not stated,0.00,Not supported,Not stated,Not stated
60,Fibre Processing Manufacturing Sector ETA,Storage rental services,3G Relocations,"Delays in the procurement process - national
lockdown","92,280.00","50,736.00",0.00,Not supported,2020/05/01,2020/10/30
61,Fibre Processing Manufacturing Sector ETA,Cleaning Services,Clean Spot,"Delays in the procurement process - national
lockdown","84,589.79","56,395.56",0.00,Not supported,2020/05/01,2020/10/30
62,Fibre Processing Manufacturing Sector ETA,Document storage,Iron Mountain,"Delays in the procurement process - national
lockdown","103,260.46","51,650.24",0.00,Not supported,2020/05/01,2020/10/30
63,Fibre Processing Manufacturing Sector ETA,Storage rental services,Stanley Removals,"Delays in the procurement process - national
lockdown","20,700.00","13,455.00",0.00,Not supported,2020/05/01,2020/10/30
64,Film and Publication Board,Data Bundles and Related Services,Vodacom,Covid-19 (Work from Home),"2,895,000.00","489,345.00",0.00,Supported,Once off,Once off
65,Financial and Fiscal Commission,ICT Services,Sizwe IT,Bid finalisation delayed by Covid - 19 lockdown,"2,345,061.13","756,402.00","354,099.34",Supported,2020/06/01,2020/11/30
66,Financial and Fiscal Commission,ICT Services,Cipherware,Bid finalisation delayed by Covid - 19 lockdown,"2,435,019.80","233,598.00","324,669.30",Supported,2020/06/01,2020/11/30
67,Food and Beverages Manufacturing Industries SETA,Security Services,Selkirk Security Services,"Delays in the procurement process - national
lockdown","726,367.20","108,955.08",0.00,Conditional Support,2020/07/19,2020/10/31
68,Food and Beverages Manufacturing Industries SETA,Printing Services,Nashua Kopano,"Delays in the procurement process - national
lockdown","666,197.86","114,919.13",0.00,Conditional Support,2020/07/19,2020/10/31
69,Food and Beverages Manufacturing Industry,Implementation of Management Information System,Solugrowth (Pty) Ltd,"6 months for a parallel run testing to ensure the
protection of data integrity","3,260,708.11","679,314.20","3,260,708.00",Supported,2020/11/01,2021/03/31
70,Government Pensions Administration Agency,Mailing Servives,Bidvest Data,"Competitive bidding in progress, however
application was after contract expiry","12,516,037.20","2,815,170.39","1,693,486.50",Not supported,2020/04/01,2020/08/31
71,Government Pensions Administration Agency,MTN Call Centre,MTN,Competitive bidding in progress,"14,388,114.53","1,272,990.50","4,308,742.95",Supported,2020/06/01,2020/10/31
72,Government Pensions Administration Agency,Printing Services,Ulutsha Communications,Bid finalisation delayed by Covid - 19 lockdown,"69,087,000.00","17,770,000.00","10,196,000.00",Not supported,2020/01/04,2020/08/31
73,Government Pensions Administration Agency,MTN Call Centre,MTN,Continuity of service,"14,388,114.53","505,196.20","3,803,546.75",Supported,Not provided,Not stated
74,Department of Health,"Risk assessment, clinical screening and medical support services at
quarantine sites for repatriated South Africans",Aurum Innova (Pty) Ltd,Emergency,Not indicated,"8,337,500.00","2,560,000.00",Supported,Not Stated,Not Stated
75,Human Sciences Research Council/ Africa Institute,Premium plan service,Mobenzi,Continuity of Service,"164,450.00","29,900.00",0.00,supported,2020/05/01,2020/06/30
76,International Relations and Cooperation,"Provision of storage, loading and transport services in Shanghai","Jiewen International Logistics Co.
Ltd to",Delayed by aircraft,374 94.00,"479,574.00",0.00,Not supported,2020/04/16,2020/04/20
77,Department of Labour and Employment,Actuarial Services,True South Actuaries,Covid-19 (Bid process delayed)),"2,485,528.80","929,860.73",0.00,Supported,2020/05/18,2021/05/17
78,Department of Labour and Employment,SAP Enterprise Support Agreement,SAP,Continuity of service,"383,500,000.00","200,755,500.00",0.00,Not supported,2020/05/01,2023/04/30
79,Legal Aid SA,Variation of the Benoni Building Alteration and Refurbishment,Nap Designes,Additional work required,"4,493,799.66","2,756,911.07",0.00,Not supported,Not stated,Not stated
80,Local Gov SETA,Provision of office accommodation (Western Cape),Growth Point Management Services,Continuity of Service,"3,406,415.00","400,000.00","2,070,000.00",Conditional Ssupport,2020/10/01,2021/03/31
81,Local Gov SETA,Provision of office accommodation (Kwazulu Natal),Delta Property Fund (Pty) Ltd,Continuity of Service,"1,999,455.75","450,000.00","2,343,605.00",Conditional Ssupport,2020/10/01,2021/03/31
82,Local Gov SETA,Office Acccommodation (Eastern Cape),Rock Property Trust,Continuity of Service,"1,535,999.00","300,000.00","2,737,524.15",Conditional Ssupport,2020/10/01,2021/03/31
83,Local Gov SETA,Provision of office accommodation (North West),Redefine Properties,Continuity of Service,"406,546.23","200,000.00","676,581.70",Conditional Ssupport,2020/10/01,2021/03/31
84,Local Gov SETA,Provision of office accommodation (Northern Cape),Thomas Family Trust,Continuity of Service,"1,188,382.64","450,000.00","1,220,480.00",Conditional Ssupport,2020/10/01,2021/03/31
85,Local Gov SETA,Provision of office accommodation (Gauteng),"Public Investment Corporation -
Mowana Properties",Continuity of Service,"15,317,700.00","2,400,000.00","9,115,805.00",Conditional Ssupport,2020/10/01,2021/03/31
86,Local Gov SETA,Provision of office accommodation (Limpopo),Delta Property Fund (Pty) Ltd,Continuity of Service,"730,957.96","380,000.00","1,454,581.00",Conditional Ssupport,2020/10/01,2021/03/31
87,Local Gov SETA,Office Acccommodation (Mpumalanga),"Columbia Falls - Maponya
Investment",Continuity of Service,"1,168,590.78","250,000.00","1,787,156.00",Conditional Ssupport,2020/10/01,2021/03/31
88,Local Gov SETA,Office Acccommodation (Free State),Excellerate Real Estate Services,Continuity of Service,"845,424.00","250,000.00","566,666.00",Conditional Ssupport,2020/10/01,2021/03/31
89,National Film and Video Foundation of SA,Appeal: PR Services,Instinctif Partners,"Delays in the procurement process - national
lockdown","1,256,605.00","503,495.00","209,434.16",Supported,2020/06/01,2020/09/30
90,National Research Foundation,Employee Wellness,Careways Wellness,Scope Expansion,"229,231.80","253,819.68",0.00,Not supported,2020/04/05,2021/04/04
91,National School of Government,Microsoft Licences,Vukani Technologies,Rate of Ecxhange variation,"2,583,302.08","573,683.45",0.00,Supported,Date of approval,36 months
92,National Treasury,"Maintenance and enhancements of the fraud detection and banking system
(Safetyweb)",UU Technologies,"NT is moving into the IFMS2, which is a
transversal system, all functionalities will be
provided by SafetyWeb","2,462,000.00","1,499,851.60","56,335,826.52",Conditional support,2020/07/01,2020/06/30
93,National Housing Finance Corporation,Disaster Recovery IT services,IBM,Competitive bidding in progress,"480,168.00","220,607.10","1,634,344.55",Not supported,Not stated,Not stated
94,National Prosecuting Authority of South Africa,"Contract Expansion of Value and Scope of work for FTI Consulting South
Africa (Pty) Ltd","FTI Consulting South Africa (PTY)
LTD",Continuity of service,Not stated,"4,524,010.00",0.00,Conditional support,Not stated,Not stated
,National Prosecuting Authority of South Africa,Unified Telephony services for the NPA,EOH Mthombo (PTY) LTD,Continuity of service,Not stated,"492,722.04",0.00,Conditional support,2020/05/01,Not stated
96,National Regulator for Compulsory Specifications,Financial management/accounting,Reliable Accountants,Continuity of service and additional scope,"493,250.00","246,675.00",Not stated,"Within AA/AO mandate
Noting",2020/07/10,2020/09/09
97,National Regulator for Compulsory Specifications,Lease agreement,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,Not supported,2020/02/14,Not stated
98,National Regulator for Compulsory Specifications,Lease agreement,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,Not supported,2020/02/14,Not stated
99,Office of Health Standards Compliance,Provision of security services,Rise Security Services,To finalise the tender award,"758,868.76","58,374.52","175,123.56",Supported,2020/07/01,2020/07/31
100,Office of the Pension Funds Adjudicator,Lease accomodation- Riverwalk,Broll Properties,"Increased number of personnel and operational
demands","35,480,186.00","9,676,561.00",0.00,Supported,2020/06/01,45 months
101,Perishable Products Export Control Board,Office rentals,Sky Services (Pty) (Ltd),Continuity of service,"1,085,273.78","197,053.65",0.00,Not supported,2020/04/01,2020/12/31
102,PetroSA,Inspection of the 8X90km condensate export pipeline,LTP Solutions (Pty) Ltd,Continuity of work,"14,743,236.70","6,125,272.50",0.00,Supported,Not Stated,Not Stated
103,Presidency,Additional branding of 11 departmental vehicles,Matena Trading & Projects 42,Additional work required,"17,697.35","7,590.00",,Conditional support,Not Stated,Not Stated
104,Public Service Sector Education & Training Authority,Office Accommodation,Gremgrow,Continuity of Service,6 283 389.00,"925,000.00",3 600 456.00,Conditional Support,Not stated,Not stated
105,Public Service Sector Education & Training Authority,Provision internet and voice services,Internet Solutions,Continuity of Service,"417,898.00","75,000.00",0.00,Conditional Support,Not stated,Not stated
106,Rand Water,Provision of water supply tankers,Vaxogyn (Pty) Ltd,Continuity of Service,"365,000.00","1,043,900.00","87,600.00",Conditional support,2020/06/06,2020/08/31
107,,,MSB Ultra Construction CC,,"485,000.00","1,387,100.00","116,400.00",,2020/06/06,
108,,,Phila Development Agency,,"1,455,000.00","4,161,300.00","349,200.00",,2020/11/06,
109,,,Pure White Trading & Projects,,"1,092,000.00","2,941,658.67","262,128.00",,2020/11/06,
110,,,Zero Com Construction &,,"960,500.00","2,586,946.67","230,520.00",,2020/11/06,
111,,,Rolling over Trading CC,,"364,996.40","885,724.60","87,599.14",,19/6/2020,
112,,,Qumanco Trading CC,,"437,000.00","1,030,543.33","104,880.00",,19/6/2020,
113,South African Bureau of Standards,Certification Management Systems,Asset Control,Additional scope of work,"3,410,215.19",7 336 033.60,0.00,Conditional support,,
114,"Safety and Security Education and Training Authority
(SASSETA)",Office Furniture,Bigily (Pty) Ltd,Continuity of Service,"500,000.00","263,509.00",0.00,Conditional Ssupport,2020/05/01,2020/06/30
115,"Safety and Security Education and Training Authority
(SASSETA)",Internet and Telecommunications,Liquid Telecommunications,Continuity of Service,"753,277.00","90,610.65","168,317.21",Conditional Ssupport,2020/06/01,2020/06/30
116,South African Local Government Association,"Develop and Implement a Municipal Leaders and Stakeholder Engagement
Learning Programme(MSEP)","Change Strategies Consulting
Services",Expansion of scope,"5,983,100.00","367,437.00","465,486.10",Conditional support,2020/03/31,2020/09/01
117,South African Local Government Association,"Provision of
internet, telecommunications and hosting services solutions to SALGA,",Internet Solutions,Continuity of Service,13 748 129.14,24 922 800.00,0.00,Conditional support,Not stated,36 months
118,South African Post Office Limited,Security Mangement,In2IT Technologies,Continuity of service,"26,566,566.00","16,539,215.00",0.00,Supported,Not provided,Not stated
119,South African Social Security Agency,Extension of Office Accommodation lease at Christiana local Office,Lekwa Teemane Local Municipality,Continuity of service,"459,355.99","532,265.32","153,522.00",Conditional support,2020/07/01,2023/06/30
120,South African Social Security Agency,Security Guard service for two months,Not stated,Continuity of service,Not stated,Not stated,Not stated,Conditional support,2020/08/01,2020/09/31
121,South African Social Security Agency,"Price variation of the South African post Office (SAPO) grants transactional
service fees of SASSA",South African Post Office,Continuity of service,Not stated,"1,399,000.00",0.00,Supported,Not stated,Not stated
122,South African Social Security Agency,Telkom Diginet Term-Discount Services,Telkom,Competitive bidding in progress,"131,485,175.00","9,000,000..00","41,785,206.20",Conditional support,2020/05/02,2020/07/19
123,Department of Science and Innovation,Renewal of Lease agreement (NACI),"Innovation Hub Management
Company",Continuity of Service,"2,676,732.00","552,877.08","1,989,109.90",supported,2020/07/01,2020/12/31
124,Department of Science and Innovation,Renewal of Lease agreement (NIPMO),"Innovation Hub Management
Company",Continuity of Service,"2,725,666.92","563,790.00","1,328,115.05",supported,2020/07/01,2020/12/31
125,Special Investigating Unit,Provision of Office Accommodation for SIU Head Office in Pretoria,City Property,Continuity of service,"17,072,312.37","6,371,908,516.00","151,230,997.50",Conditional support,2020/04/01,2025/03/31
126,Small Enterprise Development Agency (SEDA),Maintenance of security system,Kerberg Security services,Continuity of service,"270,976.00","203,232.00",0.00,Supported,2020/07/12,2021/01/12
127,"South Africa Diamond and Precious and Metals
Regulator",Short-term insurance,JAK Consulting,Competitive bidding in progress,"167,582.34","89,388.00","29,796.00",Supported,2020/05/01,2020/07/31
128,"South Africa Diamond and Precious and Metals
Regulator",legal liability cover,Ram International Insurance Brokers,Lockdown,"499,556.75","105,000.00",0.00,Supported,2020/06/01,2020/08/31
129,South African Broadcasting Corporation Ltd,Office Lease for Northern Cape,Sunglide 100 CC,Continuity of Service,"1,478,383.43","4,393,368.00","2,542,374.12",Supported,2020/07/01,2023/06/30
130,South African Civil Aviation,Civil Aviation Legislation updates and maintenance services,LexisNexis,Lockdown,"1,374,369.75","85,652.00","174,568.62",Supported,2020/06/01,2020/07/31
131,South African Civil Aviation,Security services,"Laphinda Cleaning & Security
Services",Lockdown,"4,256,214.00","4,206,701.00","97,980.00",Supported,2020/07/01,2021/06/30
132,South African Civil Aviation,Office rentals,Academy Bed & Breakfast,Continuity of Service,R536 234.92,"521,520.00","622,380.00",Conditional support,2020/07/01,2021/06/30
133,South African Health Products Regulatory Authority,Lease Accommodation,CSIR,To finalise tenant installations,"3,522,236.90","3,607,063.44","5,925,741.70",Supported,2020/07/01,2020/12/31
134,South African Maritime Safety Authority,Provision of employee benefits advisory and intermediary services,ASI Financial Services,Continuity of Service,"480,000.00","40,000.00","80,000.00",Supported,2020/09/30,2020/07/02
135,South African National Parks,Appeal:Provision of short-term insurance,Marsh & Indwe Risk Services,Continuity of Service,119 002 375.00,74 303 327.07,0.00,Not supported,2020/04/01,2020/04/01
136,South African National Parks,Appeal:Audit Services,Grant Thornton,Continuity of Service,8 972 000.00,213 892.77,0.00,Not supported,2020/04/01,2020/06/30
137,South African National Roads Agency,Engineering services,KBK Engineering (Pty),Continuity of Service,"8,260,664.39","1,725,000.00",0.00,Supported,2020/05/01,2020/07/31
138,South African National Roads Agency,Engineering services,MD Civils,Continuity of Service,"120,272,559.30","17,893,664.82",0.00,Supported,2020/05/01,2020/07/31
139,South African National Roads Agency,Operation and maintenance of Huguenot Toll Tunnel,Tolcon Group,Continuity of Service,"295,688,315.23","34,185,831.52","34,185,831.52",Not supported,2020/08/01,2021/01/31
140,South African National Roads Agency,Operation and maintenance of Huguenot Toll Tunnel,ITS/Nadeson JV,Continuity of Service,"18,221,212.00","7,288,485.12","7,288,485.12",Not supported,2020/08/01,2021/01/31
141,South African Post Office Limited,Information Technology - Passport Advantage Software,IBM,Continuity of Service,"78,857,603.88","36,149,806.06","100,029,441.21",Not supported,2020//04/01,2020/04/30
142,South African Revenue Service,Provision of office accommodation - Riverwalk ( Ashley Gardens),Mowana Properties,Current building meets requirements,"163,993,088.25","216,874,352.36",0.00,Supported,2020/06/01,2025/05/31
143,South African Revenue Service,Provision of office accommodation - Brooklyn Bridge,ATTACQ,No available properties in the vicinity,"222,404,129.95","117,108,268.88","59,657,825.96",Supported,2020/06/01,2025/05/31
144,South African Revenue Service,Services for reporting soft and hard fraud and corruption,Vuvuzela Hotline,"Enable commencement process to be issued
to the current Service Provider","298,335.60","110,492.59",0.00,Not supported,2020/06/01,2021/01/31
145,South African Revenue Service,Provision of office accommodation - Dube Trade Port,ACSA,Optimum operations of the Customs Division,"18,817,985.25","33,648,218.98",0.00,Supported,2020/05/01,2020/04/2030
146,South African Revenue Service,Provision of office accommodation - Mmabatho,Blue Dot Properties,Continuity of service,"12,799,071.96","26,002,564.59","12,579,492.85",Supported,2019/10/01,2023/09/30
147,South African Revenue Service,Provision of office accommodation - Prospecton,Tribeca Property Group,"Engagement with Service Provider on
settlement agreement and cancellation of
contract","4,872,929.00","5,372,404.27","10,448,979.76",Not supported,2021/01/01,Not stated
148,South African Tourism,Commercial Insurance,MiWay,Continuity of Service,"437,410.00","104,872.00",0.00,Conditional support,2020/02/25,Not stated
149,South African Weather Service,Accounting Services,Altimax Pty ltd,Continuity of Service,"496,200.00","175,080.00",0.00,Supported,2020/05/01,2020/11/30
150,State Information Technology Agency,Maintenance and support on SAPS PBX Infrastructure,Gijima,"Replacement bid cancelled -Appointed service
provider did not accept special conditions on
the bid","13,318,989.68","15,085,256.76",0.00,Supported,2021/06/20,2020/12/20
151,State Information Technology Agency,SAAF Intergrated command and control system,"Global Command and Control
Systems","Tender process could not be initiated due to
COVID - 19 Lockdown","86,607,529.00","24,174,453.09","10,720,906.13",Supported,2020/07/01,2021/03/31
