,,,,,,,,,,
"GOVERNANCE, MONITORING AND COMPLIANCE: 2019/2020 QUARTER 3 (OCTOBER - DECEMBER 2019) REPORT - EXPANSIONS",,,,,,,,,,
48,Eskom,"Rotor Pole Replacement with New Poles For Units 1 and 2 at Palmiet
Pumped Storage Scheme",Voith-FujiHydro KK,OEM,"62,016,888.04",0.00,0.00,Conditional support,2019/10/31,2021/03/31
49,Eskom,Legal Services for Medupi Borutho Line,Gildenhuys Malatji Inc.,Finalise the appeal process,"1,000,000.00",0.00,0.00,Conditional support,2019/10/17,2021/07/16
50,Eskom,"Supply, transportation, erection and dismantling of scaffolding and
insulation material for generation power stations including Group Capital","Southey Contracting (Pty) Ltd, Kaefer
Thermal Contracting Services, SGB-
Cape and TMS Group Industrial Services
(Pty) Ltd",Continuity of service,"286,200,000.00","1,654,850.00","559,653,718.19",Conditional support,2019/12/01,2021/06/30
51,Eskom,Legal Services for Medupi Borutho Line,Gildenhuys Malatji Inc,Continuity of service,"1,000,000.00",0.00,0.00,Conditional support,2019/10/17,2021/07/16
52,Eskom,Waste Water Treatment at Kusile Power Station,Mott McDonald,Continuity of service,"809,016,356.17","111,597,403.74","226,368,737.60",Conditional support,Not stated,Not stated
53,Eskom,"Construction of Ankerlig –Sterrekus 400kv double circuit overhead
transmission line and its associated works","Mkhulu Electro Distribution Project (Pty)
Ltd","Change of supplier and increased assets
value","173,426,575.90","16,838,213.48","20,319,156.44",Conditional support,Not stated,Not stated
54,Eskom,Coal supply,South32,Ensure Continuity supply,"11,416,000,000.00","1,238,832,900.00","28,080,800.00",Not supported,Not stated,Not stated
55,Eskom,"Supply, Overhaul, Maintenance, Repair, Inspection and Commissioning of
all Maintenance and Outage Actuators",Dhemo Africa (Pty) Ltd,Funds depleted,"21,780,574.64","6,777,293.45",0.00,Conditional support,2019/08/01,2020/07/31
56,Eskom,"Provision of Legal Services in the Arbitration Proceedings with Inyameko
Trading Trading 1577 (Pty) Ltd","Harkoo, Brijal. Reddy and Incorporated",Continuity of service,"990,000.00","750,000.00",0.00,Conditional support,2018/11/01,2021/10/31
57,Eskom,"Conversion and Editing of Portal Document Format (PDF) Software
Subscription",Adobe Ireland Limited,Continuity of service,"2,739,532.89",0.00,"563,299.89",Conditional support,2019/12/01,2020/05/31
58,Eskom,"Support and Maintenance of Eskom Finance Company Core Banking
Systems and Infrastructure",Ernest and Young,Continuity of service,"18,954,495.00","1,833,957.00","33,187,172.94",Conditional support,2019/11/01,2019/01/31
59,ETDP SETA,Extension of ETDP SETA Head Office Lease,Ghandi Square Holdings (Pty) Ltd,Continuity of service,"30,603,538.12","23,071,724.00","7,897,687.26",Supported,2020/07/01,2022/06/30
60,ETDP SETA,Management Information System (MIS),Solugrowth (Pty) Ltd,Continuity of service,0.00,"4 ,768,849.09",0.00,Supported,2020/04/01,2022/03/31
61,Financial Sector Conduct Authority,Provision of Audio-visual solution,AE Soft,Variation of order,"2 ,372,507.50","7 93,442.50",0.00,Supported,Date of approval,2023/11/25
62,FP&M SETA,Head Office Lease in Killarney,"Excellerate Real Estate Services (Pty)
Ltd",Continuity of service,"2,982,264.00","4 ,177,093.81",0.00,Supported,2020/04/01,2022/03/31
63,FP&M SETA,Regional office lease in Durban,Tupac Business Enterprise,Continuity of service,"782,184.00","2 ,305,251.19",0.00,Supported,2020/04/01,2022/03/31
64,FP&M SETA,Regional office lease in Cape Town,HCI-THE Palms (Pty) Ltd,Continuity of service,"1,858,073.09","1,347,831.78",0.00,Supported,2020/04/01,2022/03/31
65,FP&M SETA,Internal audit services,Audit Risk Management Solutions,Continuity of service,"2,000,000.00","2,000,000.00",0.00,Not supported,2020/04/01,2021/03/31
66,FSCA,Provision of disaster recovery and business continuity,Continuity SA,Continuity of service,"6,978,474.90","1,323,175.33","7,961,122.81",Not supported,2019/04/01,2020/03/31
67,FSCA,Provision of disaster recovery and business continuity,Continuity SA,Continuity of service,"6,978,474.90","1,323,175.33","7,961,122.81",Not supported,2019/04/01,2020/03/31
68,Government Printing works,Egazette Support and Maintance- website services,Intervate Solutions (Pty) Ltd,Competitive bid in progress,"5,712,060.00","3,090,783.36","856,736.00",Conditional support,2019/10/01,2019/03/30
69,GTAC,Printing of Annual report,ACM Communications,Continuity of service,"4 5,808.00","1 2,154.85",0.00,Supported,Not stated,Not stated
70,GTAC,"Provision of technical support to the Limpopo Provincial Treasury
Infrastructure Support Programme",Masebo Consulting,Expansion of scope,"3 ,096,000.00","1 ,785,078.76",0.00,Supported,Date of approval,290 days
71,GTAC,"Provision of technical support to the Limpopo Provincial Treasury
Infrastructure Support Programme",Break the Chain Development Services,Expansion of scope,"4 ,074,000.00","2 ,380,096.12",0.00,Supported,Date of approval,290 days
72,Health,Provision of oncology services for the Ethekwini District,Wits Health Consortium,To avoid service disruptions,"12,173,341.01","10,005,486.00","36,686,868.59",Not supported,2019/11/01,2020/04/30
73,Health and Welfare Sector ETA,Office Accommodation,Motif Props/ Aspire / tower property Fund,Continuity of service,"1,188,591","2 97,148.00","1,406,908.00",Supported,2020/04/01,2019/09/30
74,Health and Welfare Sector ETA,Office Accommodation,Broll Property Group (Pty) Ltd,Continuity of service,"1,197,248.00","2 99,310.00","1,082,682.00",Supported,2020/04/01,2019/09/30
75,Health and Welfare Sector ETA,Office Accommodation,Royal Yard Traders,Continuity of service,"869,201.00","2 17,300.00",0.00,Supported,2020/04/01,2019/09/30
76,Health and Welfare Sector ETA,Office Accommodation,Skyline Motors,Continuity of service,"572,959.00","1 72,673.00",0.00,Conditional support,2020/04/01,2019/09/30
77,Health and Welfare Sector ETA,Office Accommodation,JJL Trust,Continuity of service,"636,542.00","159,249.00",0.00,Supported,2020/04/01,2019/09/30
78,Health and Welfare Sector ETA,Office Accommodation,Francois & Louisa Pretorius Family Trust,Continuity of service,"818,892.00","204,723.00","700,351.00",Supported,2020/04/01,2019/09/30
79,Health and Welfare Sector ETA,Office Accommodation,Blue Beacon Investments,Continuity of service,"820,352.00","205,088.00","806,469.00",Supported,2020/04/01,2019/09/30
80,Health and Welfare Sector ETA,Office Accommodation,Blend property,Continuity of service,"562,496.00","140,624.00","571,949.00",Supported,2020/04/01,2019/09/30
81,Health and Welfare Sector ETA,Office Accommodation,Mitis Lex Investments,Continuity of service,"596,584.00","149,146.00",0.00,Supported,2020/04/01,2019/09/30
82,Health and Welfare Sector ETA,Office Accommodation,Blue Crest Property,Continuity of service,"11,143,788.00","2,785,947.00","17,733,810.00",Supported,2020/04/01,2019/09/30
83,Higher Education and Training,Construction of new Nkandla technical college,Rambros Construction CC,Extension of time and escalation shortfall,"194,019,881.00","15,971,560.00","58,932,168.32",Not supported,Not Stated,Not Stated
84,Home Affairs,IT Infrastructure support and maintenance,EOH Mthombo,Non responsive bid,"162,083,334.68","31,094,418.24","104,133,363.24",Conditional support,2019/12/01,2020/05/31
85,Home Affairs,Indirect services within the Gijima Definitive aggreement,"IBM, HP, Accenture, Interfile, Bytes,
EBooth, Infrasol, Optiflex and Edward
Nathan Sonnenbergs.",Out of court settlement,Not stated,"577,782,711.00",0.00,Conditional support,Not stated,Not stated
86,IEC,Lease of office accomodation- East London,Finishing Touch Trading 260,Continuity of service,"1 2,758,842.00","2 0,126,861.00","5,280,776.00",Supported,2020/01/01,2021/12/31
87,IEC,Lease agreement of office accomodation- Centurion,Redefine Properties Limited,Continuity of service,"4 10,069,356.00","1 41,542,881.00",0.00,Supported,2020/09/01,2025/08/31
88,"Justice and Constitutional
Development",Security Infrastructure,Not stated,Quality Review,0.00,0.00,0.00,Conditional support,Not stated,Not stated
89,"Justice and Constitutional
Development",Offsite Estate Records Storage for Selected Offices,Metrofile,Continuity of service,"15,053,405.85","3,203,153.17",0.00,Conditional support,2019/10/01,2020/03/20
90,Labour - UIF,Provision of accounts verification services,ABSA Bank,Expansion of scope,"2 ,152,955.70","3 ,600,000.00",0.00,Not supported,2019/10/01,2020/06/30
91,Legal Aid,Pretoria Local Office space,Chainprops (Pty) Ltd,Competitive bid in progress,"199,617.06","591,192.00",0.00,Conditional support,Not stated,Not stated
92,Legal Aid,Group Assurance Services,Wynsam Wealth,Competitive bid in progress,"3,111,050.88","548,575.60",0.00,Conditional support,2019/01/11,2019/12/31
93,Legal Aid,Group Life Assurance,Wynsam Wealth,Competitive bid in progress,"3,111,050.88","548,575.60",0.00,Supported,2019/11/01,2019/12/01
94,Legal Aid SA,Variation due verification process taking long,Beescore,Continuity of services,"60,233.80","11,500.00",0.00,Not supported,Not stated,Not stated
95,Lepelle Northern Water,Provision of telecommunication services,Telkom SA,Continuity of service,"5,803,791.56","405,744.00","780,123.05",Conditional support,2019/12/01,2020/02/28
96,Lepelle Northern Water,Physical security services,CS Security,Continuity of service,"11,365,059.30","1,271,867.51","1,138,778.82",Conditional support,2019/12/01,2020/02/31
97,Local Gov SETA,Office Accommodation,Growth Point Management Services,Continuity of service,"3,406,415.00","3 ,121,116.00","1,320,000.00",Conditional support,2020/04/01,2025/03/31
Number,"Entity/Department
(Use dropdown
List)",Project Description,Supplier,Reason for extension,Original Contract Value,Value of Contract Extension,"Value of previous
extensions","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
98,Local Gov SETA,Office Accommodation,Delta Property Fund,Continuity of service,"1 ,999,455.75","2 ,200,000.00","1,583,605.75",Conditional support,2020/04/01,2023/03/31
99,Local Gov SETA,Office Accommodation,Rock properties Trust,Continuity of service,"1 ,535,999.75","7 76,524.40","2,312,524.15",Conditional support,2020/04/01,2021/03/31
100,Local Gov SETA,Office Accommodation,Redefine Properties,Continuity of service,"407,546.23","8 00,000.00","426,581.70",Conditional support,2020/04/01,2023/03/31
101,Local Gov SETA,Office Accommodation,Thomas Family Trust,Continuity of service,"1,188,382.64","7 00,000.00","1,150,480.00",Conditional support,2020/04/01,2021/03/31
102,Local Gov SETA,Office Accommodation,"Public Investments Corporation -
Mowana Properties",Continuity of service,"15,317,700.18","5 ,615,805.00","5,615,805.00",Conditional support,2020/04/01,2021/03/31
103,Local Gov SETA,Office Accommodation,Delta Property Fund (Pty) Ltd,Continuity of service,"730,957.96","1 ,500,000.99","954,581.00",Conditional support,2020/04/01,2023/03/31
104,Local Gov SETA,Office Accommodation,Columbia Falls - Maponya Investment,Continuity of service,"1,168,590.78","1 ,437,156.00","1,437,156.00",Conditional support,2020/04/01,2021/03/31
105,Local Gov SETA,Office Accommodation,"Excellerate Real Estate Services (Pty)
Ltd",Continuity of service,"8 45,424.00","1,700,000.00",0.00,Conditional support,2020/04/01,2023/03/31
106,Local Gov SETA,Network Infrastructure,Vox Telecomms,Continuity of service,"1 ,849,879.22","1 ,579,735.50","4,079,400.00",Conditional support,2020/04/01,2021/03/31
107,Local Gov SETA,Management Information System,RemoteNet,Continuity of service,"6 ,134,822.36","4 ,633,560.00","6,097,235.76",Conditional support,2020/04/01,2022/03/31
108,Local Gov SETA,Training of stakeholders,Panel of accredited service providers,Continuity of service,0.00,0.00,0.00,"Within AA/AO mandate
Noting",2020/04/01,2021/03/31
109,Mango Flight,Ground Handling services,Bid Air services,Competitive bid in progress,0.00,"70,000,000.00","40,000,000.00",Conditional support,2019/11/01,2019/03/31
110,"Manufacturing, Engineering and
Relate for Q1d SETA",Internal Audit services,OMA Chartered Accountants,Continuity of service,"1 ,167,217.66","7 95,809.35","175,082.65",Not supported,Not Stated,Not Stated
111,MDDA,Lease agreement of office accomodation - Parktown,Growth Point,Continuity of service,"5 ,842,930.00","6 ,669,630.00",0.00,Supported,2020/03/01,2025/02/28
112,"Media, Information and
Communication Technologies
SETA",Provision of office accomodation,Euphoria (Pty) Ltd,Continuity of service,"11,745,678.29","908,480.65","8,798,929.24",Conditional Support,2019/10/01,2019/12/31
113,"Municipal Infrastructure Support
Agent (MISA)",Mentoring Services for Young Graduates,The Renaissance Network,Addiitonal graduates,"6,528,313.00","5,802,944.00",N/A,Conditional support,36 months,2021/04/24
114,National Credit Regulator,Legal Services,Mamokgalake Chuene Attorneys,Insufficient funds,"400,000.00","1,000,000.00","60,000.00",Conditional support,Not stated,Not stated
115,National Credit Regulator,Legal Services,VZLR Attorneys,Cost effective,0.00,"1,000,000.00",0.00,Conditional support,Not stated,Not stated
116,National School of Governement,Upgrade of Internet Bandwidth,SITA,Continuity of service,"1,170,964.37","2,327,846.19",0.00,Supported,2019/11/01,2023/03/31
117,National Treasury,Provision of additional supply of hand and paper towels,Nesoscope Holdings,Expansion of scope,"2 1,087,004.00","6 68,530.40",0.00,Within AA mandate,Date of approval,2021/11/30
118,National Treasury,Provision of IFMS Organisational Change Management,APEX Advisory Services,Continuity of service,"3 4,904,573.33","1 7,423,271.56",0.00,Supported,2019/11/13,2020/05/12
119,National Treasury,Recruitment services,Amargi Media,Continuity of service,"4 2,500.00","5 1,000.00",0.00,Supported,Not stated,Not stated
120,National Treasury,Rendering of Primary Health Care services,Momentum OCSA,Expansion of scope,"10,922.60 (per month)","18,408.08 (per month)",0.00,Supported,Not stated,Not stated
121,National Treasury,Online newspaper subscription and newspaper distribution,Calandria 159 t/a Newspaper Direct SA,Continuity of service,"2 82,445.00","312,900.00",0.00,Supported,2020/02/13,2021/10/12
122,National Treasury,Renewal of EconoStat,IHS INFORMATION & INSIGHTS,Sole supplier,"1 99,237.50","6 59,410.00",0.00,Within AA mandate,2020/02/01,2023/01/31
123,National Treasury,Renewal of the Easy Data Contract,Quantec,Sole supplier,"1 46,273.10","5 05,089.20",0.00,Within AA mandate,2020/02/01,2023/01/31
124,National Treasury,Professional Service SLA,Dimension Data,Expansion of scope,"1 5,918,000.00","2 8,341,016.99",0.00,Not supported,Not stated,Not stated
125,NDA,Provision of Office Accomodation,Bleand Prpertirs,Continuity of services,Not stated,0.00,0.00,Conditional support,2019/12/01,Not stated
126,NEMISA,Provision of temporary company secretarial services,Fluidrock Advisory,Continuity of service,"3 75,000.00","4 50,000.00",0.00,Supported,2020/01/01,2020/04/30
127,NHBRC,Short tern Insurance and Claims Management,Sankofa,"Change of supplier and increased assets
value","3,365,829.00","830,343.63",15/11/2019,Not supported,Not stated,Not stated
128,NTP Radioisotopes SOC Ltd,Appeal: Renovations and upgrades at C4 building,Microzone Projects,"Additional work was determined after opening
up plastered ceilings and trenches.","6,355,484.27","2,229,835.23","1,219,618.26",Supported,Not stated,Not stated
129,"Perishable Products Export
Control Board",ICT infrastructure services,Dimension Data,Negotiation with preferred bidder,"1,566,844.00","450,000.00","R 35,291.00",Not supported,Not stated,Not stated
130,PetroSA,Provision of maintenance and operation of aircrafts,Indwe Aviation (Pty) Ltd,PetroSA will save R51 million,"868,426,837.00","222,130,314.00",R 0.00,Supported,2020/03/01,2022/02/28
131,PetroSA,"Provision of high pressure water jetting, industrial vacuum cleaning,
catalyst handling and chemical cleaning services",Averda South Africa,Finalising a tender process,"18,143,091.75","3,515,652.00","20,581,069.31",Withdrawn,2019/10/01,2019/12/31
132,Public Works,Provision of performance based intergrated facilities management,Broll Property Group (Pty) Ltd,Continuity of service,"456,929,655.58","83,132,342.00",0.00,Supported,2019/10/01,2020/09/30
133,Public Works,Provision of performance based intergrated facilities management,AFMS (Pty) Ltd,Continuity of service,"492,418,113.13","73,658,359.00",0.00,Supported,2019/10/01,2020/09/30
134,Public Works,"Maintenance and Servicing of buildings at Ramatlabama, Kopfontein and
Derdepoort","Caledon River Properties/Magwa
Construction",Continuity of service,"37,328,167.98","3,951,963.50","5,380,160.00",Supported,2019/10/22,2020/03/22
135,Public Works,Electronic security installations at the Parliamentary complex in Cape Town,Nextec Industrial Technologies (Pty) Ltd,Continuity of service,"38,492,960.60","11,228,248.86","10,382,760.02",Conditional support,2019/11/01,2020/10/31
136,Public Works,"Repair, Maintenance and servicing of building,civil, mechanical and
electrical infrastructure and installations",Superway Construction,Continuity of service,"44,720,757.21","8,082,581.17",0.00,Supported,2019/11/23,2020/11/20
137,Public Works,"Maintenance and Servicing of buildings at Vioolsdrift & Alexxander Bay
Ports of Entry",Ruwacon (Pty) Ltd,Continuity of service,"42,972,940.10","5,995,845.69","5,170,600.22",Not supported,2019/12/13,2020/12/13
138,Public Works,"Repair, Maintenance and servicing of building in Makopong, McCarthy's
Rest & Middelputs",Ruwacon (Pty) Ltd,Continuity of service,"28,024,921.14","7,826,358.12","4,501,059.06",Not supported,2019/12/13,2020/12/13
139,Public Works,"Repair, Maintenance and servicing of building in Nakop & Onseepkans
Ports",Ruwacon (Pty) Ltd,Continuity of service,"19,993,684.09","3,785,855.60","2,084,111.42",Not supported,2019/12/13,2020/12/13
140,Public Works,"Repair, Maintenance and servicing of building in Gemsbok, Tweerivieren &
Rietfontein ports",Ruwacon (Pty) Ltd,Continuity of service,"22,738,898.78","3,369,952.66","2,918,137.03",Not supported,2019/12/14,2020/07/14
141,Road Accident Fund,Extension of a lease agreement for RAF Durban Regional Office,Delta Fund,Procurement process to be finalised,"4 5,027,977.99","12,050,083.82","5,821,235.76",Supported,2019/10/01,2020/09/30
142,Road Accident Fund,Extension of a lease agreement for RAF Head Office,Faerie Glen Waterpark (Pty) Ltd,Cost saving,"41,061,325.44","149,415,931.00","103,015,711.10",Supported,2019/11/01,2024/10/30
143,Road Accident Fund,Panel of Assessors/ Accident Investigators,Various suppliers,To finalise the procurement process,"537,847,920.00","60,000,000.00","15,000,000.00",Supported,2019/12/04,2020/02/03
144,Road Accident Fund,Lease contract at Kimberely Customer Service Centre,SKG Properties (Pty) Ltd,To conduct a feasibility study,"908,435.00","275,057.20","128,692.00",Supported,2019/12/01,2020/12/01
145,Road Accident Fund,Lease contract at Polokwane Customer Service Centre,TVR Beleggings CC,To conduct a feasibility study,"3,201,680.21","675,825.12","420,000.00",Supported,2019/12/01,2020/12/02
146,Road Accident Fund,Lease contract at Mafikeng Customer Service Centre,Columbia Falls Properties (Pty) Ltd,To conduct a feasibility study,"3,506,867.12","980,000.00","1,077,962.16",Supported,2020/05/01,2020/12/31
147,"Road Traffic Management
Corporation",Supply and installation of Park Homes,Kwickspace Modulor Building (Pty) Ltd,Continuity of Service,"22,857,181.99","40,677,182.34","7,095,907.34",Supported,Not stated,Not stated
148,SABC,SAP Software maintenance and support,SAP SOFTWARE,Continuity of service,"82,734,043.51","22,060,971.69",0.00,Supported,2020/01/01,2022/12/31
149,SABC,Provision of international news,British Broadcasting Corporation (BBC),Continuity of service,"5,133,800.00","12,000,000.00",0.00,Supported,2020/10/01,2025/09/30
150,SABC,Provision of international news,Thomson Reuters Corporation (Reuters),Continuity of service,"3 2,039,405.00","6 0,000,000.00",0.00,Supported,2020/10/01,2025/09/30
151,SABC,Provision of international news,Agence France-Presse,Continuity of service,"1 ,708,680.00","1 0,000,000.00",0.00,Supported,2020/10/01,2025/09/30
152,SABC,Provision of international news,Feature Story (FSN),Continuity of service,"1 2,000,000.00","2 4,000,000.00",0.00,Supported,2019/12/20,2024/12/19
153,SABC,Provision of international news,Associated Press (AP),Continuity of service,"3 1,500,000.00","7 5,000,000.00",0.00,Supported,2019/12/20,2024/12/19
