,,,Deviations Quarter 3: October - December 2017,,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date",
1,2017/11/08,Academy of Science of South Africa,Procurement of ICT goods and services,Not Stated,Not Stated,SITA failed to assist,2017/11/07,Not supported,Not Stated,Not Stated,
2,2017/11/28,Academy of Science of South Africa,Certification of journal,Caboverde Technologia E Service Eireli,800 000.00,Sole supplier,2017/11/28,Supported,Once off,Once off,
3,2017/10/09,"African Exploration Mining and Finance
Corporation SOC Ltd","Operation and maintenance of a mobile crushing and
screening plant","Commodity Logistix Managers (CLM) Africa (Pty)
Ltd",12 571 974.72,Single Source,2017/10/05,"Conditional
Supported",2017/11/01,2018/09/30,
4,2017/11/10,"African Exploration Mining and Finance
Corporation SOC Ltd",Provision of Consultants,Not Stated,Not stated,Finalisation of Eskom tender,2017/11/10,Not supported,Not Stated,Not Stated,
5,2017/12/14,Agrément South Africa,"Supply ICT and Telephony and move the existing ICT
infrastructure from CSIR to Agrément South Africa",Vox Telecom,0.00,"Vox Telecom will provide the service
for a shorter period as they are
CSIR service provider",2017/12/13,Not supported,Not stated,Not stated,
6,2017/10/09,"Agriculture, Forestry and Fisheries","Capacitate Nascent, Small and Medium Agro-processing
Agribusinesses on mandatory food manufacturing norms
and standards",SABS,20 000 000.00,Economies of scale,2017/09/11,"Conditional
Supported",2017/11/01,2022/10/31,
7,2017/10/09,"Agriculture, Forestry and Fisheries","Technical and specialised support services in relation to the
project conceptualisation, commercialisation and
commissioning of prospective Agro-processing
development initiative",CSIR,50 000 000.00,CSIR has better expertise,2017/10/09,Not supported,2017/11/01,2022/10/31,
47,2017/12/14,Eskom,"Design, manufacture, testing, development of user
documentation, supply, delivery, off-loading and erection of
Transmission shunt capacitor and filter bank protection and
control schemes","PowerTech System Integrators (Pty) Ltd,",8 273 162.50,Competitive bid in Progress,2017/12/11,"Conditional
support",2017/12/18,2018/12/17
48,2017/12/06,Eskom,Implementation of 21 load management projects,Seventy Thirty JV (Pty) Ltd,151 760 448.00,"Energy Services Companies
(ESCos) work",2017/12/05,"Conditional
support",2017/12/01,6 months
49,2017/11/10,Eskom,Composite Insultators for Transmission Group Capital,"LAPP, Speedcraft t/a Pfisterer and NGK",77 219 117.09,"Urgent need for these specific
composite insulators",2017/11/03,"Conditional
support",2017/11/01,6 months
50,2017/11/07,Eskom,Advertising tender on e-tender portal,None,None,"eTender Publication Portal
unavailable for publication",2017/11/07,Noting,Not applicable,Not applicable
51,2017/11/07,Eskom,"Closing of the heritage management project at Medupi
Power Station",Mbofho Consulting and Project Managers cc,2 964 848.16,Continuity of service,2017/11/07,"Conditional
support",2017/11/01,6 months
52,2017/11/02,Eskom,"Remedial work on cabling and stringing at Nieuwehoop
substation",High Voltage Southern Africa (Pty) Ltd (HVT),129 078.46,"Single source - contractor currently
in the area doing similar work",2017/11/01,Not supported,Not stated,2 months
,,,Deviations Quarter 3: October - December 2017,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date"
53,2017/10/17,Eskom,Productionalisation of Group IT result management,Deloitte Consulting (Pty) Ltd,22 388 997.60,"Skills and expertise required are not
readily available internally",2017/10/17,Not supported,Not applicable,Not applicable
54,2017/10/19,Eskom,"Standard for Infrastructure Procurement and Delivery
project - extension of validity period for bid process",Not applicable,Not applicable,Current tender validity expires,2017/10/19,Supported,Not applicable,Not applicable
55,2017/10/10,Eskom,Lodge card limited bidding process,Not applicable,Not applicable,"A decision was taken to terminate
the service",2017/10/05,"Conditional
support",Not applicable,Not applicable
56,2017/11/06,Eskom,"Launch of National Association of Municipal Public Account
Committee",Gallagher Convention Centre,903 185.77,Gallagher meet the requirements,2017/11/06,"Conditional
support",2017/11/27,Once off
57,2017/10/16,Eskom,"Monthly credit value adjustment, debit value adjustment
and credit derivative swaps valuation in financial statements",Deloitte,1 618 800.00,Continuity of service,2017/10/10,Not supported,Not stated,12 months
58,2017/10/18,Eskom,Monitoring of driver behaviour management systems,Drive Risk (Pty) Ltd,2 192 920.82,Continuity of service,2017/10/12,Not suppoted,Not stated,12 months
59,2017/09/27,Eskom,"Intelligent-automated system to optimise the water pumping
system",BBE Energy (Pty) Ltd,36 388 800.00,"Contractor currently in a list of
ESCO.",2017/09/19,"Conditional
Support",Not stated,43 months
60,2017/10/03,Eskom,"Reactor coolant system (RCP) level instrumentation
upgrade",Nuclear Consultants International (Pty) Ltd,10 000 000.00,"Single Source - Only approved
contractor.",2017/08/01,"Conditional
Support",Not stated,14 months
61,2017/10/04,ETDP SETA,Provisioning of a strategy management dashboard solution,Executive Business Solutions (EBS),718 092.84,Only supplier to respond to the bid,2017/10/03,"Conditional
support",Once-off,Once-off
62,2017/10/10,ETDP SETA,Repairs and maintenance services,Hewlet Packard (HP),0.00,"The IT environment has been
standardised to HP",2017/10/09,Not supported,Not stated,Not stated
63,2017/12/01,ETDP SETA,End User Computing Level 3,Maluti TVET College,900 000.00,"The college provides access to the
selected beneficiaries",2017/11/30,Supported,2018/01/01,2018/03/31
64,2017/12/01,ETDP SETA,Training in South African sign language,WITS Language School,403 200.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
65,2017/12/01,ETDP SETA,"Monitoring, Evaluation and impact assessment",University of KZN,9 634 337.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
66,2017/12/01,ETDP SETA,"Programme for TVET Lectures to master Assessment,
Mentoring and Facilitation in the working environment",UNISA,13 124 500.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
67,2017/12/01,ETDP SETA,"Undertake research on the piloting of the Community
College model",Durban University of Technology,1 300 000.00,"DUT has the expertise to undertake
the study",2017/11/30,Supported,2018/01/01,2018/03/31
68,2017/12/01,ETDP SETA,Training for AET practitioners,Independent Examination Board,1 560 650.00,"The programme is customised and
designed by IEB",2017/11/30,Supported,2018/01/01,2018/03/31
69,2017/12/01,ETDP SETA,Training in IC3,Durban University of Technology,999 950.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
70,2017/12/01,ETDP SETA,Woman in Leadership,WITS Business School,5 600 000.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
71,2017/12/01,ETDP SETA,Teacher development training,NECT,40 000 000.00,"NECT is the implementing agent of
the DoBE",2017/11/30,Supported,2018/01/01,2018/03/31
72,2017/12/01,ETDP SETA,Teacher development-Subject Content Knowledge,University of Free State,2 450 000.00,"Continuation of the 2016/17
programme",2017/11/30,Supported,2018/01/01,2018/03/31
73,2017/12/01,ETDP SETA,Diploma in Grade R teaching,North West University,7 500 000.00,"The Geographical location and
accessibility to the beneficiaries",2017/11/30,Supported,2018/01/01,2018/03/31
74,2017/12/01,ETDP SETA,Teacher development training,North West University,2 355 800.00,"The Geographical location and
accessibility to the beneficiaries",2017/11/30,Supported,2018/01/01,2018/03/31
75,2017/12/01,ETDP SETA,Certificate in Business Management,University of Venda,800 000.00,"The Geographical location and
accessibility to the beneficiaries",2017/11/30,Supported,2018/01/01,2018/03/31
76,2017/12/01,ETDP SETA,Training of Geography Teachers in Map Work,University of Johannesburg,600 000.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
77,2017/12/01,ETDP SETA,"Teacher Development in inclusive Education and Subject
Content Knowledge",Enterprise University of Pretoria,682 500.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
78,2017/12/01,ETDP SETA,Executive Management Programme,Enterprise University of Pretoria,5 100 000.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
79,2017/12/01,ETDP SETA,Training in Performance Management,Turfloop School of Leadership,1 000 000.00,Continuity of service,2017/11/30,Supported,2018/01/01,2018/03/31
80,2017/10/26,FASSET,Administration of the FASSET Bursary Scheme,"University of Western Cape Nelson Mandela
University University of Fort Hare",18 222 822.57,"Universities are selected based on
where the beneficiaries are studying",2017/10/24,Supported,Not stated,Not stated
,,,Deviations Quarter 3: October - December 2017,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date"
81,2017/12/20,FSB,Launch of a new FSCA Brand,Grid Worldwide,270 661.80,Additional scope of work,2018/12/18,Not supported,"Date of
approval",Once off
82,2017/11/09,Gauteng Growth and Development Agency,Provision of cellphone and connectivity services,Telkom Mobile,1 805 712.00,"State Owned Entities must report to
National Treasury if not participating
on the RT15-2016 contract",2017/10/18,"Conditional
Supported",Not Stated,Not Stated
83,2017/10/12,GCIS,Office lease,Sakhumnotho Group Holdings,206 345 628.00,"The contract was ceded to the
landlord from Isivumo Apex",2017/10/11,"ConditionalSup
ported",2017/11/01,2020/10/30
84,2017/09/28,Geoscience,Analysis of emerging organic contaminants in groundwater,Emerge Africa,92 340.00,Single Source,2017/09/26,"Within the
Authority of the
AA/AO",Once-off,Once-off
85,2017/10/09,Geoscience,Software Licences,ESRI Enterprise Licence,4 240 743.00,Sole Supplier,2017/10/06,Supported,2017/11/01,2020/10/30
86,2017/10/06,Geoscience,Job evaluation,Deloitte Consulting,369 000.00,"Only supplier to respond to the
invitation",2017/10/06,"Within the
Authority of the
AA/AO",Once off,Once off
87,2017/11/07,Geoscience,Analysis of samples,Beton-Lab CC,479 962.80,"Market was tested. Only one
supplier was found",2017/11/03,"Within the
Authority of the
AA/AO",2017/12/01,2020/11/30
88,2017/12/12,Geoscience,"Reporting: renewal of the annual subscription of the mining
Corporate Publications",SNL Financial Ltd,45 294.48,Sole Supplier,2017/12/12,Supported,Once off,Once off
89,2017/10/11,Government Printing Works,"Closed bid for once off purchase of the pink watermark for
printing of Z579 security forms.","Lithotech, Shave and Gibson and Shesha Media",5 000 000.00,"Current Machine unable to meet
demand",2017/10/11,Supported,Not stated,Not stated
90,2017/09/20,Government Printing Works,"Multi-colour stamps for the 217/2018 to 2019/2010 financial
years for the MTEF",Trodat Group,Not indicated,Sole Supplier,2017/09/20,Supported,Not stated,Not stated
91,2017/11/23,Government Printing Works,Legal services,Masondo Attorneys,844 800.00,Competitive bid in Progress,2017/11/23,Not supported,2017/01/12,2018/03/31
92,2017/11/30,Health,"Provision of temporal accommodation of students, staff and
student transport",Middelbro Property Company,809 400.00,Continuity of service,2017/11/30,Supported,Not stated,Not stated
93,2017/11/15,Higher Education and Training,Leasing of additional 110 parking bays,Karabo Parking Management (Pty) Ltd,181 650.00,"Competitive bidding process is
taking longer than expected",2017/09/24,"Conditional
support",Month-to-month,Month-to-month
94,2017/10/18,Human Settlements,Legal services,Nupen Molebatsi Attorneys,Not indicated,Continuity of service,2017/10/18,"Conditional
Support",Not stated,Not stated
95,2017/11/30,IDT,"Implementation of the Electronic Documents & Records
Management System (EDRMS)",Metrofile,9 747 580.00,"The supplier is within reach to both
the Midrand region and its head
office",2017/11/24,"Conditional
support",2017/12/01,2018/05/31
96,2017/12/15,"Inkomati-Usuthu Catchment Management
Agency","Siting, drilling and testing of boreholes for monitoring
purpose",Not Stated,79 448.75,"To avoid delays on initiating new
tender a new tender process",2017/12/15,Not supported,Not Stated,Not Stated
97,2017/10/02,Labour,Supply active laptop tags and HID prox 2 access cards,Servest,80 192.16,Single source,2017/09/05,Supported,Once off,Once off
98,2017/10/02,Labour,SADC conference,Hemingway Hotel,182 235.00,"Conference booked at
HemingwayHotel by SADC",2017/10/02,Supported,2017/10/16,2017/10/18
99,2017/10/30,Labour,Attend King IV report conference,TSK Training Skills & Knowledge,5 688.60,Single source,2017/10/28,"Within AO/AA
mandate",Once off,Once off
100,2017/10/25,Legal Aid,"Renewal of annual license of ERP finance software
solutions and services",Syspro (Pty) Ltd,1 394 001.23,Sole supplier,2017/10/19,Noting,Not stated,13 months
101,2017/10/13,Legal Aid,"Document exchange, daily delivery and collection of
overnight mail services countrywide",Docex (Pty) Ltd,3 303 758.54,Non-responsive bid,2017/10/02,Noting,Not stated,3 years
102,2017/11/06,Lepelle Northern Water,Era Proficiency testing,MicroSep,33 345.00,"There were two service providers in
the market MicroSep had been
identified as the new service
provider",2017/09/19,Not supported,Not Stated,Not Stated
103,2017/11/06,Magalies Water,Finance consultant,Miss N Sondlo,600 000.00,Single source,2017/11/01,Not supported,2017/11/01,2018/02/28
104,2017/11/17,Magalies Water,Provision of Finance services,N. Sondlo,600 000.00,Continuity of service,2017/11/17,Not supported,2017/11/01,2018/02/28
,,,Deviations Quarter 3: October - December 2017,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date"
105,2017/11/28,Medical Research Council of South Africa,Provision of international publication database,Elservier BV and EBSCO,16 893 300.00,Single source,2017/11/28,"Conditional
Supported",Not stated,Not stated
106,2017/07/04,MERSETA,Facilitation of funding at higher learning institutions,Thutuka Education Upliftment Fund,0 00,Unsolicited bids,2017/10/10,Not supported,Not stated,Not stated
107,2017/11/16,MERSETA,Provision of Project Consulting ICT,ANF Consulting,1 200 000.00,Urgency,2017/11/14,Not supported,2017/12/01,2018/05/31
108,2017/09/29,National Radioactive Waste Disposal Institute,Provision of training service,National School of Government,Not Stated,Single Source,2017/09/29,"Conditional
Supported",2017/10/01,2020/09/30
109,2017/10/02,National Research Foundation,"Manufacturing, integration and acceptance testing of servo
related spares parts",Vertex Antennen Technik GMBH,7 684 573.00,Sole supplier,2017/10/02,"Conditional
Supported",Once off,Once off
110,2017/10/24,National Research Foundation,Battery maintenance,Silicon Engineering,1 249 784.00,Sole supplier,2017/10/23,Supported,2017/11/01,2020/10/31
111,2017/10/24,National Research Foundation,Radiation protection personnel dosimetry services,SABS,2 372 552.00,Sole supplier,2017/10/23,Supported,2017/11/01,2022/10/31
112,2017/11/09,National Research Foundation,"Supply and delivery of e2v Analogue-to-digital Converters
and e2v DMUX integrated circuit",Arrow Altech Distribution (Pty) Ltd,1 338 847.00,Single Source,2017/11/02,Supported,Once off,Once off
113,2017/12/11,National Research Foundation,Provision of advisory service,Bernard Lewis Fanaroff,4 625 208.00,"No other person with the
background/institutional knowledge",2017/12/06,Not supported,Not stated,Not stated
114,2017/10/04,National Treasury,Procurement of security uniforms,"Imagemakers, Solomons & Woolworths",125 980.09,"Service providers on CSD were non
responsive",2017/10/11,"Within AO/AA
mandate",Once off,Once off
115,2017/11/02,National Treasury,Software support,Archibus Solutions Centres,Not stated,Sole source,2017/11/01,"Within AO/AA
mandate",Not stated,Not stated
116,2017/09/21,NRCS,Microbiological testing,"Aspirata Auditing Testing and Certification (Pty)
Ltd",None,"Bureau Veritas (Pty) Ltd and SGS
(Pty) Ltd are not able to conduct
tests within the required period and
have no testing facilities in those
regions.",2017/09/20,Not supported,N/A,N/A
117,2017/10/02,OPSC,"Provision of maintenance and support on the Integrated
Complaints and Grievances Management system",Boxfusion,444 000.00,"Service provider already familiar
with the project",2017/10/02,"Within AO/AA
mandate",2017/10/12,24 months
118,2017/11/09,PetroSA,"Provision of cross boarder documentary clearing and
forwarding service",Turners Shipping,1 140 000.00,"No suitable service provider in the
market.",2017/11/08,Not supported,2017/12/01,2018/11/30
119,2017/12/15,PetroSA,Development of an updated strategy for PetroSA,IHS Global SA,244 428.00,Single source,2017/12/15,Not supported,Not Stated,Not Stated
120,2017/12/08,PRASA,"Support services to Metrorail Interim Ticketing Solution
(ITIX) system",Biddcom Software,0 00,Continuity of service,2017/12/10,Not supported,2014/01/01,2017/02/28
121,2017/12/05,PRASA,Leasing 10 Locomotives,Premiefield,0 00,Emergency and sole provider,2017/12/11,"Conditional
Supported",2017/12/11,2019/12/11
122,2017/12/08,PRASA,"Design, install signalling crossover at Pienaarspoort and •
Re-conditioning and re-instate functionality of the signalling
system at De Wilt",Transnet,24 974 030.00,Continuity of service,Not stated,Not supported,Not stated,Not stated
123,2017/10/09,Public Works,Office Accommodation,Rennie Property Management,2 249 239.30,Negotiated procedure,2017/10/09,"Conditional
support",Not Stated,Not Stated
124,2017/11/22,Public Works,Repairs and maintenance of lifts,Sigma lifts and elevators,19 958 295.21,Negotiated procedure,2017/11/22,Supported,2017/09/11,2020/09/10
125,2017/11/27,Public Works,Extension of the Police Station,Telkom SA,160 000.00,"The services and functions within
the police station has increased",2017/11/27,"Conditional
support",Not Stated,Not Stated
126,2017/11/30,Public Works,Provision of interim maintenance at Limpopo High Court,Nu-line elevator,3 070 291.00,Negotiated procedure,2017/11/30,"Conditional
support",Not stated,Not stated
127,2017/11/30,Public Works,Provision of interim maintenance at Limpopo High Court,Continental Field Services,935 572.00,Negotiated procedure,2017/11/30,"Conditional
support",Not stated,Not stated
128,2017/11/30,Public Works,Provision of interim maintenance at Limpopo High Court,Firetech Projects,2 555 500.00,Negotiated procedure,2017/11/30,"Conditional
support",Not stated,Not stated
129,2017/11/30,Public Works,Provision of interim maintenance at Limpopo High Court,Blue Hemisphere,2 397 000.00,Negotiated procedure,2017/11/30,"Conditional
support",Not stated,Not stated
130,2017/12/11,Public Works,Office Accommodation,Anver family Property Holding Trust,7 431 544.63,Negotiated Procedure,2017/12/08,"Conditional
support",2017/12/14,2022/12/13
,,,Deviations Quarter 3: October - December 2017,,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award /
Recommendati
on Date",Support Status,"Contract Start
Date","Contract End
Date"
131,2017/12/11,Public Works,Office Accommodation,JHI Arrowhead,74 825.51,Negotiated Procedure,2017/12/08,"Conditional
support",2018/06/01,2022/04/30
132,2017/12/18,Public Works,Office Accommodation,Hemipac (Pty) Ltd,1 553 623.22,Negotiated Procedure,2017/12/18,Not verifiable,2018/09/01,2021/08/31
133,2017/10/05,RAF,Service and maintenance of generator,Barloworld,143 176.20,Original Equipment Manufacturer,2017/09/22,Supported.,2017/11/01,2022/10/31
134,2017/10/05,RAF,Service and maintenance of a lift,Otis (Pty) Ltd,90 000.00,Original Equipment Manufacturer,2017/10/04,Supported,Not stated,2 Years
135,2017/12/08,Railway Safety Regulator,Investigation services,Closed bid process,Not indicated,Single source due to urgency,2017/12/06,"Conditional
support",Not stated,6 Months
136,2017/10/03,Rural Development and Land Reform,"Supply, delivery and set up the digital doorway technology
(including Wi-Fi / Satellite connectivity) at 5 sites in the",The Council for Scientific and Industrial Research,10 771 339.00,Sole supplier,2017/09/22,Noted,Not Stated,Not Stated
