5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: Q1 - 2021/22 REPORT DEVIATIONS,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional
supported
(Use dropdown List)","""Award/recommended
by AO/ AA date
(yyyy/mm/dd)""","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
23,2021/04/16,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)","Finalizing outstanding deliverables of the National Red Meat
Development Programme (NRMDP)",National Agricultural Marketing Council,"26 226 472,72",Continuation of previous work,Conditional Support,2021/03/31,Not Stated,Not Stated
24,2021/06/08,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",Provision of parking space at 75 Plein Street,Truworths Limited,"778 250,00","The current parking space is 1 kilometre away
from the Office and is not safe for officials",Conditional Support,2021/06/08,Not Stated,Not Stated
25,2021/03/23,Department of Basic Education (DBE),"Gartner Information Technology (IT) management advisory
membership services",SITA,"2 856 824,25",Sole supplier,Noting,2021/03/23,2021/03/01,28/2/2023
26,2021/04/09,Department of Basic Education (DBE),"Brailling, large print, and audio- versioning of 149 question papers
for the June 2021 examinations",SA Braille Services and Pioneer Printer,"1 600 000,00",Urgency,Not Supported,2021/04/09,Not Stated,Not Stated
27,2021/05/21,Department of Basic Education (DBE),"Brailling, large print, and audio- versioning of question papers",SA Braille Services and Pioneer Printer,"7 600 000,00",Urgency,Not Supported,2021/05/20,2021/06/01,2023/11/30
28,2021/04/03,Department of Cooperative Governance (DCoG),Community work programme,NYDA,"763 042 100,62",Prefeered bidder,Not supported,Not stated,12 months,12 months
29,2021/04/07,Department of Employment and Labour (DEL),Parking space for departmental fleet for 8 cars,Fichart Gebou,"33 600,00",Single source,Supported,2021/04/08,Not Stated,Not Stated
30,2021/05/26,Department of Employment and Labour (DEL),Online survey tool,Alchemer,No Stated,Change of Name of Supplier,Supported,2021/03/09,Not Stated,Not Stated
31,"2021/06/11
2021/03/18",Department of Employment and Labour (DEL),Fund Manager of the Presidential Youth Employment Fund,Government Technical Advisory Centre (GTAC),"74 194 598,00",Cost effective,Supported,2021/06/11,Not Stated,Not Stated
32,,"Department of Environment, Forestry and Fisheries (DEFF)","Continued development and maintenance of the Marine
Information Management System (MIMS)",SAEON,"85 307 080,00",Single Source,Not Supported,2021/03/08,Not Stated,Not Stated
33,2021/03/23,"Department of Environment, Forestry and Fisheries (DEFF)","Procurement of caterpillar and challenger equipment,
maintenance, service and spare parts in Antarctica",Barloworld and Baywa,"14 500 000,00",Sole Source,Not Supported,2020/12/16,2021/04/01,2025/03/31
34,2021/03/26,"Department of Environment, Forestry and Fisheries (DEFF)","To develop drug residue testing laboratory capacity for the
National residue control programme for cultured fish (aquaculture
products)",ARC,"1 198 250,00",Single Source,Conditional Support,2021/03/26,Not Stated,Not Stated
35,2021/04/06,"Department of Environment, Forestry and Fisheries (DEFF)",Working on Fire programme,Working on Fire,"350 000 000,00",Single Source,Conditional Support,2021/04/06,2021/04/01,2021/09/30
36,2021/05/28,"Department of Environment, Forestry and Fisheries (DEFF)","To continue with the development of the National buffering
mechanism policy for world heritage sites in South Africa",Eco Africa Environmental Consultants (Pty) Ltd,"758 285,00",Single Source,Conditional Support,Not Stated,Not Stated,Not Stated
37,2021/03/24,Department of Health (DoH),"Professional services, support, maintenance and rental of the
existing ICT network infrastructure for the new building",Integral Network (Pty) Ltd,"2 521 138,50",Emergency,Supported,2021/03/24,2021/03/01,31/7/2021
38,2021/04/09,Department of Higher Education and Training (DHET),Heritage of career expo,Qoutation procurement method,"3 000 000,00",tender process has not bee concluded as yet,Supported,2021/04/09,Not Stated,Not Stated
39,2021/03/29,Department of Higher Education and Training (DHET),Office Accomodation,Periscopic propert management,"10 611 489,00",DPWI is not responding,Not Supported,2021/03/29,Not Stated,Not Stated
40,2021/05/06,Department of Higher Education and Training (DHET),Provision of office accommodation Head Office,CSIR,Not Stated,DPWI is not responding,Not Supported,2021/05/04,Not Stated,Not Stated
41,2021/05/04,Department of Higher Education and Training (DHET),Parking,Advance on Point,Not Stated,DPWI is not responding,Not Supported,2021/05/04,Not Stated,Not Stated
42,2021/04/06,Department of Home Affairs (DHA),ABIS Project,IDEMIA Holdings Proprietary Limited,No Stated,Single source,Noting,2021/03/31,Not Stated,Not Stated
43,2021/04/29,Department of Home Affairs (DHA),Forensic digital evidenceextraction and analysis services,Fact consulting SA,"4 098 600,00",Cost effective,Conditional Support,2021/04/26,Not Stated,Not Stated
44,2021/05/26,Department of Home Affairs (DHA),"Appointment of external legal cousel to assist ministerial
committee to review electoral syste",State Attorney's Office,"1 000 000,00",Preferred supplier,Not Supported,"2021/06/26
2021/05/25",Not Stated,Not Stated
45,2021/05/27,Department of Human Settlements (DHS),BAS system,Not Stated,"120 000 000,00",Closed bid,Not supported,,Not stated,Not stated
46,2021/03/30,"Department of International Relations and Cooperation
(DIRCO)",Provision of office accommodation,Not stated,Not stated,Covid 19 rules,Supported,2021/03/30,Not Stated,Not Stated
47,2021/05/14,"Department of International Relations and Cooperation
(DIRCO)",Transportation services,Woodford rental,"783 164,06",Impractical advertise a tender due to short notice,Not Supported,2021/05/14,2021/05/20,2021/06/04
48,2021/03/24,"Department of Justice and Constitutional Development
(DoJ&CD)",Documents management services,Metrofile,"2 178 344,46","To allow the department to go out on tender
process",Conditionaly Supported,2021/03/19,2021/01/02,2021/07/03
49,2021/05/14,"Department of Justice and Constitutional Development
(DoJ&CD)","Maintain and support the court recording technology CRT, SOS
and AVR at DOJ & CD and OCJ",SITA Transversal 1183 Suppliers,"17 500 000,00",Business continuity,Conditional supported,2021/05/11,6 months,6 months
50,2021/06/07,"Department of Justice and Constitutional Development
(DoJ&CD)","Forensic audit investigator to conduct and audit on allegation of
corruption and fraud in the function of the State Capture
Commission",FTI Consulting and Integrity Forensic Solutions,Not stated,Business Strategy,Conditional supported,2021/05/12,Not stated,Not stated
51,2021/04/27,Department of Public Enterprises (DPE),Advertisement using DBSA panel,Panel of Mergers and Acquisition Firms,"12 000 000,00",Urgency,Conditional supported,2021/04/26,8 months,8 months
52,2021/04/01,Department of Public Service and Administration (DPSA),Provision of application maintenance and server administration,SITA,"17 780 270,26",Single source,Conditional Support,2021/04/01,Not Stated,Not Stated
53,2021/03/25,Department of Public Works and Infrastructure (DPWI),Provision of Fleet vehicles,Avis Rent a Car,"76 401 542,48",Single Source,Not Supported,2021/03/24,Not Stated,Not Stated
54,2021/04/26,Department of Public Works and Infrastructure (DPWI),"Provision of Technical Assistance on the development of a
comprehensive proposal for the reconfiguration of the
Independent Development Trust (IDT)",GTAC,"1 374 912,00",Single Source,Conditional Support,2021/04/13,Not Stated,Not Stated
55,2021/05/20,Department of Public Works and Infrastructure (DPWI),"Implementing Agent and Programme Manager in Training and
developing of construction contractors",Construction Industry Development Board (CIDB),"4 076 000,00",Single Source,Conditional Support,2020/12/11,Not Stated,Not Stated
56,2021/05/26,Department of Public Works and Infrastructure (DPWI),"Provision of office accommodation in Kimberley-DOJ&CD -
Master of High Court Alternative",Not Stated,"5 746 258,80",Single Source,Conditional Support,2021/04/20,Not Stated,Not Stated
57,2021/05/28,Department of Public Works and Infrastructure (DPWI),DSBD Interim Provision of office accommodation for 24 months,Delta Property Fund,"7 885 085,12",Single Source,Supported,2021/05/26,2021/06/01,2023/05/31
58,2021/06/10,Department of Public Works and Infrastructure (DPWI),"Provision of office accommodation at the West Wing Prasa
Building for Department of Military Veteran",PRASA,"114 075 442,99",Single Source,Not Supported,2021/06/10,Not Stated,Not Stated
59,2021/06/11,Department of Public Works and Infrastructure (DPWI),"Provision of office accommodation for Department of Home
Affairs in Modimolle",Tirade Props 136 (Pty) Ltd,"3 813 443,42",Emergency Procurement,Not Supported,2021/06/10,2021/02/01,2024/01/31
60,2021/06/14,Department of Public Works and Infrastructure (DPWI),Decontamination services of 19 facilities/Magistrate Courts,Zulu Royal Civil Construction,"1 056 514,00",Emergency Procurement,Noting,2021/06/01,Not Stated,Not Stated
61,2021/06/14,Department of Public Works and Infrastructure (DPWI),"Decontamination of 15 Magistrate Courts (Pietermaritzburg
district)",Themihlase (Pty) Ltd,"1 244 399,66",Emergency Procurement,Noting,2021/05/18,Not Stated,Not Stated
62,2021/03/16,Department of Science and Innovation (DSI),"Capacity building Workshop in the National Recordal System
Initiatives",Ebukhosini Solutions,"700 000,00",Single Source,Not Supported,2021/03/16,Not Stated,Not Stated
63,2021/05/12,Department of Science and Innovation (DSI),Provision of Back-Up Water,Council for Scientific and Industrial Research (CSIR),"60 000,00",Single Source,Conditional Support,2021/05/06,Not Stated,Not Stated
64,2021/05/28,Department of Science and Innovation (DSI),Representation on labour matter,Puke Maserumule Attorneys,"500 000,00",Single Source,Conditional Support,2021/05/25,Not Stated,Not Stated
65,2021/04/21,Department of Small Business Development (DSBD),Provision of office accommodation in Pretoria,Prasa House Building,"23 900 000,00",Single Source,Not Supported,2021/04/21,2021/06/01,2023/05/30
66,2021/05/04,Department of Small Business Development (DSBD),Decontamination services,Not Stated,"400 000,00",Quotation Process,Not Supported,2021/05/04,Not Stated,Not Stated
67,2021/03/30,"Department of Trade, Industry and Competition (the dtic)",Migration of novel platform to microsoft,Gijima Holding (Pty) Ltd,"1 533 981,86",Complete the scope of work,Conditional supported,2021/03/29,Not stated,Not stated
68,2021/03/29,Department of Transport (DOT),Payment of R1.135 billion to the Taxi Industry,National Empowerment Fund,"40 000 000,00",Not Stated,Conditional Support,2021/03/29,Not Stated,Not Stated
69,2021/03/30,Department of Transport (DOT),"Publishing of proposed Road Accident Fund (RAF) legislative
amendments in the Government Gazette",Government Printing Works,"1 240 791,20",Sole supplier,Noting,2021/03/05,Not Stated,Not Stated
70,2021/05/19,Department of Transport (DOT),Update financial implications of a feasibility study,J Maynard SA (Pty) Ltd,"225 278,00",Continuation of service,Within AA/AO mandate Noting,2021/05/14,Not Stated,Not Stated
71,2021/06/11,Department of Transport (DOT),"Manage the project of the resettlement of households residing
within the Passenger Rail Agency of South Africa (PRASA) rail
networks within the City of Cape Town",Housing Develoment Agency,"The Housing Development Agency A
45 000 000,00","ct No. 23 of 2008, mandates the HDA to expedite t","he processes of housing develo
Conditional Support","pment
2021/06/11",Not Stated,Not Stated
72,2021/04/11,Department of Water and Sanitation (DWS),Chairing of the disciplinary hearings.,Judge Sandile Ngcobo and Professor Halton Cheadle,"848 000,00",Expertise in Labour Law.,Not Supported,2021/04/11,Not Stated,Not Stated
73,2021/05/13,Department of Water and Sanitation (DWS),"The completion of the construction of the Hazelmere Dam Project
request for additional amount.",Group Five (Pty),"101 306 983,67","Contingency of funds to cater for the damaged
anchors and shortfall on bill of quantities",Not Supported,2021/04/13,Not Stated,Not Stated
74,2021/05/13,Department of Water and Sanitation (DWS),"Ten service providers for plant and equipment hire - ERWAT to
DWS for the Emfuleni Local Municipality – Vaal River System
Intervention","Agattu Trading 186 (Pty) Ltd; Bokana Construction & Projects CC; Downtown
Spares Cc; Isintu Projects (Pty) Ltd; Makgotamishe Plant Hire (Pty) Ltd; Moreki
Distributors cc; Oxy Trading 541; Rafuni (p","396 000 000,00",Ceding of contracts from ERWAT,Conditional Support,2021/04/13,Not Stated,Not Stated
75,2021/05/13,Department of Water and Sanitation (DWS),"Eight contractors for collecting, transportation, distribution and
management of biosolids - ERWAT to DWS for the Emfuleni
Local Municipality – Vaal River System Intervention","Titanium Transport and Earthmoving Supplies cc; Africa Green Loo Technology
Sanitation (AGT); Agattu Trading 186 (Pty) Ltd; Bovu Fluid Holdings (Pty) Ltd;
Lekoa Construction and Transport Services; Moreki Distributors; Oxy Trading
541 and Rafuni (Pty) Ltd); Retrolex 195 (Pty); Titanium Transport and
Earthmoving Supplies cc","480 000 000,00",Ceding of contracts from ERWAT,Conditional Support,2021/04/13,Not Stated,Not Stated
76,2021/05/13,Department of Water and Sanitation (DWS),"One contractor for project management - ERWAT to DWS for the
Emfuleni Local Municipality – Vaal River System Intervention",Beyond Infradev (Pty) Ltd,"50 000 000,00",Ceding of contracts from ERWAT,Not Supported,2021/04/13,Not Stated,Not Stated
77,2021/05/13,Department of Water and Sanitation (DWS),"One contractor undertakes security services of the water services
infrastructure - ERWAT to DWS for the Emfuleni Local
Municipality – Vaal River System Intervention",Sakhile Ezweni Group (Pty) Ltd,"76 800 000,00",Ceding of contracts from ERWAT,Closed,2021/04/13,Not Stated,Not Stated
78,2021/03/17,Development Bank of Southern Africa (DBSA),"Appointment of a service provider to update the African
Environmental Assessment Legislation handbook",Bryony Walmsley & Associates,"552 230,00",Single Source,Supported,2021/03/16,Not Stated,Not Stated
79,2021/03/24,,,Ernst and Young (EY) Advisory,"4 452 000,00",Single source,,2021/03/23,Not Stated,Not Stated
80,2021/05/11,Development Bank of Southern Africa (DBSA),"Additional three (3) members to be appointed in the Infrastructure
Fund Strategic Advisory Committee (IFSAC)",SPi,"742 500,00",Business Continuity,Supported,2021/05/11,Not Stated,Not Stated
81,2021/04/28,Eastern Cape Provincial Treasury,Implementation of the Bhisho Office precinct,Various providers,Not stated,Closed bid,Conditional supported,2021/02/11,Not stated,Not stated
82,2021/03/16,Electoral Commission (IEC) of South Africa,Maintenance and repair services for ZIP-ZIP,Sizwe S A IT Group,"4 956 500,00",Sole supplier,Noting,2021/03/10,2021/03/15,2021/06/07
83,2021/06/03,Electoral Commission (IEC) of South Africa,Payement of software maintenance and Technical Support,Oracle SA,"917 158,49",Business Continuity,Noting,2021/06/03,Not Stated,Not Stated
84,2021/05/17,"Energy and Water Sector Education and Training Authority
(EWSETA)SETA","Provision of office accommodation in Wellington Road, Parktown,
Johannesburg",Azurawox (Pty) Ltd,"15 818 290,00",Preffered supplier,Conditional Support,2021/05/10,2021/07/01,2026/06/30
85,2021/04/21,Eskom Holdings SOC Ltd,critical technical resources to run the ERI training academy,Trans Africa Projects (PTY) LTD,"165 000 000,00",Additional need,Not supported,2021/04/21,36 months,36 months
86,2021/04/29,Eskom Holdings SOC Ltd,"Provision of Software End-User Usage and Maintenance and
Support",Omni Africa (Pty) Ltd,"1 865 241,81",Business continuity,Not supported,2021/04/27,36 months,36 months
87,2021/04/29,Eskom Holdings SOC Ltd,"Provision of Application Support and License Maintenance for
Feeder Balancing and Data Validation Modules",GenusSoft (Pty) Ltd,"27 752 197,51",Business continuity,Conditional supported,2021/04/27,1/6/2021,31/5/2026
88,2021/05/15,Eskom Holdings SOC Ltd,"Licensing, maintenance and support of the Bentley suite of
applications",Bentley Systems International Limited,"131 219 832,30","Cost effective option in terms of subscription
cost",Conditional supported,2021/05/13,48 months,48 months
89,2021/05/18,Eskom Holdings SOC Ltd,"Clarity for the procurement distribution Substation Protection
Schemes","Actom (Pty) Ltd, ABB South Africa (Pty) Ltd, Integrators of Systems Technologies
(Pty) Ltd and
CONCO Energy Solutions (Pty) Ltd","380 902 433,50",Negotiations with bidders,Noting,2021/05/18,18 months,18 months
90,2021/06/10,Eskom Holdings SOC Ltd,"Provision of legal services to assist Eskom in the planning phase
(Phase 1)",White and Case (W&C),"42 382 720,00",Business continuity,Conditional supported,2021/06/10,17/6/2021,23 months
91,2021/03/26,Financial Sector Conduct Authority (FSCA),Media and Marketing compaign,SABC,"2 795 745,00",Single source,Supported,2021/03/25,Not Stated,Not Stated
92,2021/05/25,Free State Provincial Treasury,Provision of legal services,Hill Mcarthy & Herbs attorneys,Not stated,Single Source,Conditional Support,2021/05/25,2021/05/26,2021/05/26
93,2021/04/06,Government Pensions Administration Agency (GPAA),"Provision of media for educational, marketing and advertising
purposes",Not indicated,"10 933 159,00",Single source,Conditional Support,2021/03/31,Not Stated,Not Stated
94,2021/04/23,Government Pensions Administration Agency (GPAA),Procurement of Cleaning services,Tiney Cleaning Services,"599 620,35",Tender process underway,Conditional Support,2021/04/22,1/5/2021,31/7/2021
95,2021/04/28,Government Pensions Administration Agency (GPAA),"Negotiation of new rates and renewal of leases for
accommodation",various,No Stated,Business Continuity,Closed,2021/04/26,Not Stated,Not Stated
96,2021/04/14,Government Printing Works (GPW),"Appointment of a consultant for for Alteration and additions to
GPW head office project",LDM Consulting Pty Ltd,"6 400 000,00",Single source,Not Supported,2021/04/14,Not Stated,Not Stated
97,2021/03/19,Housing Development Agency (HDA),Design services,V3 Consulting Services,"1 074 559,04",Contract still valid,Not supported,2021/03/19,Not stated,Not stated
98,2021/04/28,Housing Development Agency (HDA),Project milestone,Urban Dynamics,"1 511 732,64",Business continuity,Conditional supported,2021/04/28,Not stated,Not stated
99,2021/03/16,,,Lomaen Medical,"1 401 535,80",Recommended by Funder,,2021/02/16,2021/02/01,2023/12/31
100,2021/03/16,Human Sciences Research Council (HSRC),"Consultant Partner for Strenghthening the capacities of Science
Granting Councils in Gender and Inclusivity (SCGI) project",Gender at Work,"4 412 437,73",Recommended by Funder,Not Supported,2021/02/16,Not Stated,Not Stated
101,2021/03/16,Human Sciences Research Council (HSRC),"Publication of unique content available on the Science Direct
Platform",Elsevier,"1 000 000,00",Sole Source,Noting,2020/12/22,2021/01/01,2021/12/31
102,2021/03/16,Human Sciences Research Council (HSRC),Renewal of Custon Package subscription,EBSCO,"1 108 607,36",Sole Source,Not Supported,2020/12/22,2021/01/01,2021/12/31
103,2021/04/23,Industrial Development Corporation (IDC),Provision of office accommodation in Nelspruit regional office,Maxsa Properties pty ltd,"1 857 484,80",Business Continuity,Supported,2021/04/23,2021/06/01,31/12/2023
104,2021/04/23,Industrial Development Corporation (IDC),Provision of office accommodation in Mahikeng regional office,Antonios Silkas,"460 741,92",Business Continuity,Supported,2021/04/23,2021/06/01,31/12/2023
105,2021/04/19,"Land and Agricultural Development Bank of South Africa (Land
Bank)",Provision of legal services,Tim du toit inc,No Stated,Cost effective and business continuity,Supported,2021/03/12,Not Stated,Not Stated
106,2021/06/08,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Provision of office accommodation,Limited bidding,"4 260 995,00",Unsuccessful tender processes,Supported,2021/06/07,Not Stated,Not Stated
107,2021/04/13,Municipal Infrastructure Support Agent (MISA),Labour intensity research,Various providers,Not stated,Closed bid,Conditional supported,2021/10/02,Not stated,Not stated
108,2021/06/01,National Agricultural Marketing Council (NAMC),Provision of office accommodation,Columbia Falls Properties 80 (Pty),"3 779 180,51",it is not economical for NAMC to relocate,Supported,2021/06/01,2021/08/01,2024/07/31
109,2021/05/25,National Arts Council of South Africa (NAC),Appointment of Forensic Investigators,Not Stated,"1 584 331,54",Preffered supplier,Not Supported,2021/05/24,Not Stated,Not Stated
110,2021/04/06,National Credit Regulator (NCR),Provision of legal services,M Inc Attorneys,"2 000 000,00",Additional needs,Conditional supported,2021/04/06,Not stated,Not stated
111,2021/06/07,National Heritage Council South Africa (NHC),Provision of legal service,Moodie & Robertson Attorneys,"100 000,00",Single Source - Urgent labour court application,Supported,2021/03/26,Not Stated,Not Stated
112,2021/04/20,National Library of South Africa (NLSA),"Provide NLSA with Library Management System and renewal of
database licences for a period of 5 years",South African Bibliographic Network (SABINET),"20 549 030,00",Single Source,Not Supported,2021/04/16,Not Stated,Not Stated
113,2021/05/04,National Lotteries Commission (NLC),Panel of Researchers,Research Institutions,Not stated,Closed bid,Conditional supported,2021/05/21,Not stated,Not stated
114,2021/04/15,National Prosecuting Authority of South Africa (NPA),Expert witness in the matter the State vs Sylla Moussa,FACCT Forensics Charted Accountant,"929 347,20",Additional need,Conditionaly Supported,2021/03/19,5 months,5 months
115,2021/04/07,National Research Foundation (NRF),"Procurement of Intergrated Servo Drive and Peripheral
Components for MeerKAT Antenna Positioner Test Bench",Vertex Antennen Technik,"2 978 375,61",Sole Source,Not Supported,2021/02/19,Not Stated,Not Stated
116,2021/05/26,National Research Foundation (NRF),"Reporting: Maintenance Services, Pfeiffer Vacuum Spares Parts,
Service Kids and Consumables for the Vacuum Equipment for
iThemba LABS Cape Town and TAMS in Gauteng",Air and Vacuum Technologies (Pty) Ltd,"5 000 000,00",Sole Source,Not Supported,2021/03/09,Not Stated,Not Stated
117,2021/03/17,National Student Financial Aid Scheme (NSFAS),Assist with evaluation of student applications,A1 Financial Services,"3 977 825,00",Emerrgency,Noting,2021/03/17,Not Stated,Not Stated
118,2021/04/21,National Treasury,Provision of coaching services,Crucial Communication,"88 499,40",Continuation of service,Conditional Support,2021/04/21,Not Stated,Not Stated
119,2021/05/04,National Treasury,Delivery of 3 year internship programme,SAIPA,"6 000 000,00",Sole supplier,Conditional Support,2021/05/04,Not Stated,Not Stated
120,2021/05/12,National Treasury,An Administrator for the national intervention,Not indicated,"1 500 000,00",Business Continuity,Supported,2021/05/10,Not Stated,Not Stated
121,2021/03/31,National Treasury,Delayed procurement plan,Not Indicated,No Stated,Not Indicated,Supported,Not Indicated,Not Indicated,Not Indicated
122,2021/06/09,National Treasury,"Renewal of the software license for the GIS server and GIS
Desktop applications",ESRi South Africa,"527 239,07",Continuation of service,Within AA/AO mandate Noting,2021/06/09,Not Stated,Not Stated
123,2021/04/15,Nkangala District Municipality,"Refurbishment of street town roads in Emalahle Local
Municipality",Mphonyane Investments,"5 756 139,40",BAC recommendation,Noting,2021/04/11,Not Stated,Not Stated
124,2021/06/07,Onderstepoort Biological Products (OBP),Manufactures of Freeze Dreyer equipment,Not stated,Not stated,"confined tender to the manufactures of Freeze
Dreyer equipment.",Supported,2021/06/07,Not Stated,Not Stated
125,2021/05/19,Passenger Rail Agency of South Africa (PRASA),"Special panel of six legal firms on a close bidding process to
assist PRASA in processing the remedial actions",No Stated,No Stated,"Does not have the necessary internal capacity to
successfully implement consequence
management.",Not Supported,2021/05/19,Not Stated,Not Stated
126,2021/05/25,Passenger Rail Agency of South Africa (PRASA),Procurement of core and critical services through RFQ,No Stated,"110 000 000,00","While PRASA goes on open tender
for a three-year locomotive lease transaction.",Conditional Support,2021/05/25,2021/05/01,2022/03/30
127,2021/05/25,Passenger Rail Agency of South Africa (PRASA),"Leasing of seven diesel type locomotives for deployment between
Johannesburg and Eastern Cape corridor covering the top three
high-income
routes for Mainline",Premifield (Pty) Ltd,"78 086 800,00","While PRASA goes on open tender
for a three-year locomotive lease transaction.",Not Supported,,Not Stated,Not Stated
128,2021/04/28,Railway Safety Regulator (RSR),Provision of post contract legal services,Phukubje Pierce Masithela Attorneys Incorporated,"400 000,00",Continuation of service,Within AA/AO mandate Noting,2021/04/27,Not Stated,Not Stated
