14,2020/03/16,Boxing South Africa,Office Lease,Delta Property Management,Continuity of Service,"R 2,500,000.00","R 3,281,582.04",R 0.00,2020/03/11,Supported,2020/8/1,2025/7/31
15,2020/01/16,Brand SA,Promotion of Brand SA activities,"Brand Fusion, The Odd Number & Ebony and
Ivory",Continuity of service,"R 159,816,990.00","R 32,422,702.00","R 42,772,549.00",Not provided,Supported,2020/02/01,2020/05/31
16,2020/02/11,Broadband Infraco,Statutory Audit Services,Sizwe Ntsaluba Gobodo Grant Thornton Inc,Unsuccessful tender process,"R 2,781,517.92","R 1,052,250.00","R 276,365.00",Not provided,Supported,2020/03/01,2020/09/30
17,2020/01/24,CCMA,Provision of office accommodation - Mbombela Office,Broll Property,Continuity of service,"R 2,133,440.50","R 691,712.28","R 994,512.38",Not provided,Supported,2020/05/01,2021/04/31
18,2020/02/05,CCMA,Rental of Executive Pool Vehicles,Standard Bank,Competitive bidding in progress,"R 462,869.37","R 36,114.66","R 41,369.22",Not provided,Supported,2020/02/14,2020/08/31
19,2020/03/10,CCMA,Provision of office accommodation - Bloemfontein,Michael Family Trust,Continuity of service,"R 23,086,465.31","R 3,846,701.52","R 4,791,886.02",Not provided,Supported,2020/03/01,2020/02/28
20,2020/02/25,CETA,Investigations of CETA affairs,Ntumba & Associates,Continuity of Service,"R 2,736,000.00","R 383,633.59","R 215,054.00",2020/2/25,Not supported,2020/3/1,2020/6/30
21,2020/03/13,CETA,Provision of office accommodation - Head Office,Slip Knot Investment 777,Continuity of Service,"R 4,831,285.80","R 766,256.45","R 5,418,274.81",2020/3/13,Not supported,2020/4/1,2020/6/30
22,2020/03/13,CETA,Insurance Services,Kunene Makopo Risk Solutions,Continuity of Service,"R 622,099.92","R 146,168.79","R 183,256.87",2020/03/13,Not supported,2020/4/1,2020/6/30
23,2020/01/31,Council for Scientific and Industrial Research,Construction of Cofimvaba Science Centre,Helm Construction,Continuity of Service,"R 24,508,084.00","R 8,854,005.00","R 4,292,495.00",Not provided,Not supported,Not Stated,Not Stated
24,2020/01/31,Council for Scientific and Industrial Research,Construction of Cofimvaba Science Centre,Clarence Boble Inc,Continuity of Service,"R 530,350.00","R 194,783.00",R 0.00,Not provided,Not supported,Not Stated,Not Stated
25,2020/01/31,Council for Scientific and Industrial Research,Construction of Cofimvaba Science Centre,Element Consulting Engineers,Continuity of Service,"R 830,466.00","R 859,255.00",R 0.00,Not provided,Not supported,Not Stated,Not Stated
26,2020/01/31,Council for Scientific and Industrial Research,Construction of Cofimvaba Science Centre,Occumed Close Corporation,Continuity of Service,"R 133,696.00","R 199,196.00",R 0.00,Not provided,Not supported,Not Stated,Not Stated
27,2020/01/24,"Culture Arts Tourism Hospitality and Sports ETA
(CATHSETA)",Secretariat Services,"Imbokodvo Bethany Governance and
Statutory Compliance Pty Ltd",Continuity of Service,"R 825,000.00","R 450,000.00",R 0.00,2020/1/23,Supported,2020/3/1,2020/5/31
28,2020/01/24,"Culture Arts Tourism Hospitality and Sports ETA
(CATHSETA)",MTN MPLS & Telephony Services,MTN,Continuity of Service,"R 32,802.28","R 4,357,053.26",R 0.00,2020/1/23,Not supported,Not Stated,Not Stated
29,2020/01/24,"Culture Arts Tourism Hospitality and Sports ETA
(CATHSETA)",Enterprise Resource Planning (ERP),Dajo Technologies,Continuity of Service,"R 15,673,651.30","R 3,120,000.00",R 0.00,2020/1/23,Supported,2020/4/1,2022/3/31
30,2020/03/17,"Culture Arts Tourism Hospitality and Sports ETA
(CATHSETA)",Appeal -MTN MPLS & Telephony Services,MTN,Continuity of Service,"R 2,178,526.00","R 4,357,053.26",R 0.00,2020/3/17,Supported,2020/4/1,2022/3/31
31,2020/03/09,DCS,"Food items (perishable and non-perishable) for ration of
inmates",Various,Competitive bidding in progress,454 897 162.94,136 569 148.88,R 0.00,2020/03/09,Conditional support,2020/04/01,2020/10/31
32,2020/02/03,Denel,LMT Loan Investigation,PWC,Continuation of service,"R 1,788,007.00","R 595,664.00",R 0.00,2020/02/03,Conditional support,Date of approval,2020/11/30
33,2020/02/18,Denel,SAP Functional Support,Trinergy Business Solutions (Pty) Ltd,Continuation of service,Not stated,"R 4,095,920.00",R 0.00,2020/02/05,Conditional support,2020/02/17,2020/08/30
34,2020/03/26,Department of Arts and Culture,Venture Capital Fund Programme,National Empowerment Fund,Continuity of Service,"R 100,000,000.00",R 0.00,R 0.00,2020/03/26,Not supported,Not Stated,Not Stated
35,2020/03/17,ECIC,Asset management,Argon Asset Management,"Avoidance to appoint a new supplier,
only to be replaced to align with the
new investment strategy",$1 600 087,$1 355 844,0.00,2020/03/17,Not supported,Not stated,Not stated
36,2020/03/17,ECIC,Asset management,Investec Management,"Avoidance to appoint a new supplier,
only to be replaced to align with the
new investment strategy",$76 194 697,$948 418,0.00,2020/03/17,Not supported,Not stated,Not stated
37,2020/01/15,Environmental Affairs,Forensic services,Morar Incorporated,Additional scope,"R 4,976,500.00","R 4,000,000.00",R 0.00,2019/12/2,Supported,2020/04/01,2020/06/30
38,2020/02/21,Environmental Affairs,"Convention on international trade in endangered species of
wild Fauna and Flora conference",Fortis Hotel,Variation order,"R 18,250.00","R 9,750.00",R 0.00,2020/2/21,Supported,2019/06/11,2019/06/11
Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
39,2020/02/21,Environmental Affairs,The Natural capital accounting seminar,Manhattan Hotel,Variation order,"R 16,400.00","R 6,150.00",R 0.00,2020/2/21,Supported,2019/09/07,2019/09/07
40,2020/03/02,Environmental Affairs,"The South African State Environment 2025 visioning
workshop",Manhattan Hotel,Variation order,"R 82,000.00","R 14,350.00",R 0.00,2020/3/2,Supported,2019/10/17,2019/10/18
41,2019/12/17,Eskom,"Refurbishment of the Heat Ventilation and Air Conditioning
(HVAC) System on Units 1 to 6, Common Plant and Outside
Plant at Duvha Power Station",Enviroware Construction (Pty) Ltd,Time delays,"R 71,233,321.33","R 10,370,123.37","R 28,528,070.65",2019/12/12,Conditional support,2019/04/01,2023/03/31
42,2020/01/13,Eskom,"Legal services for defending referrals for the Medupi and
Kusile Boiler contracts to the Dispute Adjudication Board",Bowman Gilfillan Inc,Continuity of service,"R 35,801,418.71","R 45,362,973.12",R 0.00,2020/01/13,Conditional support,Not stated,Not stated
43,2019/12/17,Eskom,"Provision of fuel cards facilities for fuel, oil, toll fees, repairs
and maintenance facilities",Standard Bank,Continuity of service,"R 7,217,841.84","R 1,928,000.00","R 43,959,843.86",2019/12/12,Conditional support,2020/01/01,2020/03/31
44,2020/02/14,Eskom,"Provision of Fuel Cards Facilities for Fuel, Oil, Toll Fees,
Repairs and Managed Maintenance Facilities",Standard Bank SA,"Transition period for system
configuration","R 7,217,841.84","R 3,856,000.02","R 45,887,843.86",2020/02/13,Conditional support,2020/03/01,2020/03/30
45,2020/02/18,Eskom,"Supply, Transportation, Erection and Dismantling of
Scaffolding and Insulation Material for Generation Power
Stations including Group Capital (Refurbishment Projects)","Southey Contracting (Pty) Ltd, Kaefer Thermal
Consulting Services (Pty) Ltd, SGB-Cape a
division of WACO Africa & TMS Group
Industrial Services (Pty) Ltd",Competitive bidding in progress,"R 378,499,500.00","R 7,371,133,022.19","R 1,102,850,000.00",2020/02/17,Conditional support,2020/07/01,2021/06/30
46,2020/03/03,Eskom,"Supply, Delivery and Off-loading of sulphuric acid to Eskom's
Coal Fired Stations",Maano Waters (Pty) Ltd,Additional scope of work,"60,731,838.50","25,480,678.20",R 0.00,2020/03/03,Conditional support,2017/03/01,2020/02/23
47,2020/03/18,Eskom,"Physical Security Guarding Services for Ankerlig
Transmission Second Supply (ATKSS Project) Construction
Site, a National Key Point",Vusa-Isizwe Security (Pty) Ltd,"Continuation of service and to test
the market",1320926.74,"3,047,887.98",R 0.00,2020/03/18,Conditional support,2020/04/01,2021/03/31
48,2020/02/17,Eskom,"Replacement of Generator Current Transformers (CT's) and
Voltage Transformers (VT's) on Units 3 to 6 at Duvha Power
Station",Sasietha Transport and Dev (Pty) Ltd,Outage deferements,"1,653,949.36","155,176.82",R 0.00,2020/02/17,Conditional support,2020/02/17,2020/02/17
49,2020/02/19,Eskom,"Maintenance and outage repair services for boiler pressure
parts, and/or the maintenance and outage repair services for
high pressure pipework for generation power station","Steinmuller Africa (Pty) Ltd, Babcock Ntuthuko
Engineering (Pty) Ltd and Actom (Pty) Ltd","To allow for stability and no
disruption on the current
maintenance and outage work being
executed at power station","851,000,000.00",time extension,"R 15,610,026,394.67",2020/02/18,Conditional support,2020/01/06,2020/09/30
50,2019/12/24,Eskom,"Technical Support and Maintenance Services and the
Manufacture, Supply and Delivery of Air Heaters and Draught
Plant Fans and Spares for 15 Coal Fired Generation Power
Stations",Howden Africa,Funds depleted,"1,307,263,650.00","903,900,000.00",R 0.00,2020/02/17,Conditional support,2020/07/01,2021/06/30
51,2020/02/14,Eskom,Virtual Power Station (VPS) Aggregator Systems,NEXTEC Industrial Technologies (Pty) Ltd,Competitive bidding in progress,"20,781,018.50",time extension,"R 112,480,610.40",2020/03/09,Conditional support,2020/03/28,2021/03/28
52,2020/12/17,Eskom,"Replacement of Medium Voltage (MV) switchgear on Units 1
to 6, Outside and Common Plant at
Duvha Power Station,",Siemens (Pty) Ltd,Outage deferements,"210,032,399.00","43,515,200.45","R 19,269,395.73",2020/12/17,Conditional support,2020/04/01,2023/03/31
53,2020/03/06,Eskom,Provision of Telco WAN (Data links),Dark Fibre,Additional scope of work,2 554 056,23 050 497,R 0.00,2020/03/06,Not supported,2024/11/30,2025/02/28
54,2020/03/16,Eskom,"Procurement of strip, assess and repair CO2 analyser gas",Sick Automation Southern Africa (Pty) Ltd,Pay the supplier,R206 863.93,621 595.47.,R 0.00,2020/03/11,Not supported,Not stated,Not stated
55,2020/02/02,Eskom,Online Vending Agency Services Contractors,"A2L Corporation (Pty) Ltd; Anytime (Pty) Ltd;
CigiCell Contour; EasyPay (Pty) Ltd; Flash
Mobile (Pty) Lt; Lancaster Electric Solutions
(Pty) Ltd JV; Ontec Systems (Pty) Ltd;
Tukisha Prepaid (Pty) Ltd; Pamodzi Pasha
Sandulela (Pty) Ltd)",Competitive bidding in progress,"1,156,033,507.20","260,000,00.00","1, 002,530,562.00",2020/01/31,Conditional support,2020/03/01,2020/08/30
56,2020/01/29,Eskom,"Support and Maintenance of Eskom Finance Core Banking
Systems and IT Infrastructure",Ernest and Young,"Allow for a transition process from
current service provider to preffered","18,954,495.00","1, 833,957.00","R 35,021,129.94",2020/01/29,Conditional support,2020/02/01,2020/04/30
57,2020/02/24,Eskom,IT Services During Disengagement,T-System,"supplier
Competitive bidding in progress","2,936,231,859.00","180,000,000.00","R 8,212,038,203.00",2020/02/21,Conditional support,2020/03/01,2020/06/30
58,2020/02/07,Eskom,Auxilliary and Direct Content Board,Eaton Electric SA,Outage delays,"41,801,066,601.00",2 423 064 .20,56 218 284.84,2020/01/14,Conditional support,2020/04/01,2023/03/31
59,2020/01/11,Eskom,Energy metering,PowerTech IST (Pty) Ltd,Outage delays,"12,171,387.05",177 284.309,13 345 635.25,2020/01/11,"Within AA/AO mandate
Noting",2020/04/01,2023/03/31
60,2019/12/17,Eskom,Replacement of Control and Instrument System,Siemens (Pty) Ltd,Outage delays,475 149 589.64,145 098 241.92,156 439 316.80,,Conditional support,2020/04/01,2023/03/31
61,2020/02/07,Eskom,Auxilliary and Direct Content Board,Eaton Electric SA,Outage delays,"41,801,066,601.00",2 423 064 .20,56 218 284.84,2020/01/14,Conditional support,2020/04/01,2023/03/31
62,2019/12/17,Eskom,Replacement of Control and Instrument System,Siemens (Pty) Ltd,Outage delays,475 149 589.64,145 098 241.92,156 439 316.80,,Conditional support,2020/04/01,2023/03/31
63,2019/12/17,Eskom,"Upgrading of the main turbine, boiler feeed pump Turbine at
Duvha Power Station on Units 1 to 6",GE Oil,Outage delays,"31,943,326.00","6,560,330.18","R 3,184,737.00",2019/12/12,Conditional support,2020/04/01,2023/03/31
64,2020/03/26,EWSETA,Placement Agency,EO Executive Placements,Placement of CFO,"499,999.00","559,872.00",R 0.00,2020/03/26,Supported,2020/04/01,2020/09/30
65,2020/03/13,FP&MSETA,Management Information Systems,Solugrowth,Continuity of Service,"4,082,081.06","1,396,255.35",R 0.00,2020/03/13,Supported,2020/4/1,2020/10/31
66,2020/03/13,FP&MSETA,Internet Service,MTN,Continuity of Service,"1,871,999.93","320,000.00",R 0.00,2020/03/13,Supported,2020/4/1,2020/7/31
67,2020/02/06,GCIS,"Development, maintenance and enhancement of website
content",Burtronix CC,Competitive bidding in progress,"2,154,600.00","362,250.00","R 215,460.00",Not provided,Supported,2020/02/23,2020/08/22
68,2020/03/04,Government Printing Works,Support and maintenance of the e-gazette,Intervaye Solutions,SITA contracts not awarded,"5,712,060.00","3,206,246.40","R 3,947,519.36",2020/02/24,Conditional support,2020/04/01,2020/09/30
69,2020/02/19,GPAA,Infoslips Licence and Support,Perx Media,Competitive bidding in progress,"23,328,740.75",0.00,"R 5,071,091.66",Not provided,Supported,2020/04/01,2021/03/31
70,2020/0317,GPAA,MTN Call Centre,MTN,Continuity of service,"14,388,114.53","505,196.20","R 3,803,546.75",Not provided,Supported,2020/04/01,2020/05/31
71,2020/02/10,GTAC,Technical analysis on fair value analyses for IP,Mindworx,Scope expansion,"463,404.00","2,059,356.00",R 0.00,Not provided,Supported,2020/01/22,2020/02/26
72,2020/02/27,Health,"Establishment of National Health Insurance Fund (NHI)
implementation office and related activities",Dr. Nicholas Crisp,Continuation of service,"1,740,632.26","1,740,632.26",R 0.00,2020/02/26,Not supported,2020/03/01,2020/08/31
73,2020/02/21,Home Affairs,"Re-negotiation of the Gijima Definitive agreement for direct
services",Gijima,Cost value contract,"80,000,000.00",Not stated,Not stated,2020/01/22,Conditional support,Not stated,Not stated
74,2020/02/18,IEC,lease of office accomodation- Mpumalanga Provincial Office,Liberty Moon Investments,Continuity of service,"146,811,234.00","36,863,011.00","R 16,483,937.00",Not provided,Supported,2020/03/01,2024/09/30
75,2020/03/17,Inkomati-Usuthu Catchment Management Agency,Leasing of premises in Nelspruit,Maxsa Properties (Pty) Ltd,Continuity of service,"17,526,009.12","2,257,019.04","R 14,520,817.68",2020/03/17,Not supported,2020/06/01,2020/11/30
76,2020/02/18,IPID,Irregular appointment of an official,Adv. T. Ngcukaitobi,Continuity of service,Not stated,"500,000.00",Not stated,Not provided,Supported,Not stated,Not stated
77,2020/02/12,KZN Community Education and Training College,Office Accommodation,17 Kosi Place,Continuity of Service,"770,040.00","831,643.20",R 0.00,Not provided,"Within AA/AO mandate
Noting",2020/4/1,2021/3/31
78,2020/02/10,Labour,Travel services,Tourvest Travel,Competitive bidding in progress,"R 23,065,065.00",Demand Baed,"R 2,651,735.33",Not provided,Supported,2020/01/03,2020/05/31
Number,Date Received (yyyy/mm/dd),Entity/Department (Use dropdown List),Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/recommend
ed by AO/ AA","not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
79,2020/02/28,Lepelle Northern Water,Security service,CS Security,Finalisation of tender evaluation,"R 3,682,512.00","1,271,867.00","R 2,410,645.00",2020/02/28,Not supported,2020/03/01,2020/05/31
80,2020/01/10,Local Gov SETA,Appeal: Office Accommodation,Growth Point Management Services,Continuity of service,"R 3,406,415.00","R 750,000.00","R 1,320,000.00",Not provided,Conditional support,2020/04/01,2021/03/31
81,2020/01/11,Local Gov SETA,Appeal: Office Accommodation,Delta Property Fund,Continuity of service,"R 1,999,455.75","R 760,000.00","R 1,583,605.75",Not provided,Conditional support,2020/04/01,2021/03/31
82,2020/01/12,Local Gov SETA,Appeal: Office Accommodation,Rock properties Trust,Continuity of service,"R 1,535,999.75","R 420,000.00","R 2,312,524.15",Not provided,Conditional support,2020/04/01,2021/03/31
83,2020/01/13,Local Gov SETA,Appeal: Office Accommodation,Redefine Properties,Continuity of service,"R 407,546.23","R 250,000.00","R 426,581.70",Not provided,Conditional support,2020/04/01,2021/03/31
84,2020/01/14,Local Gov SETA,Appeal: Office Accommodation,Thomas Family Trust,Continuity of service,"R 1,188,382.64","R 700,000.00","R 1,150,480.00",Not provided,Conditional support,2020/04/01,2021/03/31
85,2020/01/15,Local Gov SETA,Appeal: Office Accommodation,"Public Investments Corporation - Mowana
Properties",Continuity of service,"R 15,317,700.18","R 3,500,000.00","R 5,615,805.00",Not provided,Conditional support,2020/04/01,2021/03/31
86,2020/01/16,Local Gov SETA,A[ppeal: Office Accommodation,Delta Property Fund (Pty) Ltd,Continuity of service,"R 730,957.96","R 500,000.00","R 954,581.00",Not provided,Conditional support,2020/04/01,2021/03/31
87,2020/01/17,Local Gov SETA,Appeal; Office Accommodation,Columbia Falls - Maponya Investment,Continuity of service,"R 1,168,590.78","R 350,000.00","R 1,437,156.00",Not provided,Conditional support,2020/04/01,2021/03/31
88,2020/01/18,Local Gov SETA,Appeal: Office Accommodation,Excellerate Real Estate Services (Pty) Ltd,Continuity of service,"R 845,424.00","R 566,666.00",R 0.00,Not provided,Conditional support,2020/04/01,2021/03/31
89,2019/12/23,Mango Airlines,Social Media Services,Flow Communications,Competitive bidding in progress,"R 4,320,000.00","R 900,000.00","R 360,000.00",2019/12/23,Conditional support,Not stated,Not stated
90,2020/02/03,"Manufacturing, Engineering and Relate for Q1d SETA",Appeal: Internal Audit Services,O.M.A Chartered Accountants Inc.,Continuity of Service,"R 1,167,217.66","R 795,809.35","R 175,082.65",2020/1/30,Not supported,2019/07/01,2019/12/31
91,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Genesis,Continuity of Service,"R 12,151,907.29","R 9,140,572.68","R 14,174,209.18",2020/2/6,Conditional support,2020/04/01,2021/03/31
92,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,AIDC,Continuity of Service,"R 357,048.00","R 618,555.12","R 7,207,577.59",2020/2/6,Conditional support,2020/04/01,2021/03/31
93,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Retcon,Continuity of Service,"R 1,020,000.00","R 1,551,936.12","R 5,686,960.00",2020/2/6,Conditional support,2020/04/01,2021/03/31
94,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Mauveine,Continuity of Service,"R 265,392.00","R 812,908.92","R 9,713,171.12",2020/2/6,Conditional support,2020/04/01,2021/03/31
95,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Koutoris Trust,Continuity of Service,"R 265,392.00","R 951,537.60","R 5,196,777.12",2020/2/6,Conditional support,2020/04/01,2021/03/31
96,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Klipdrift,Continuity of Service,"R 558,116.80","R 217,876.80","R 735,008.74",2020/2/6,Conditional support,2020/04/01,2021/03/31
97,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,De Bruyn,Continuity of Service,"R 1,421,577.92","R 882,681.60","R 983,141.04",2020/2/6,Conditional support,2020/04/01,2021/03/31
98,2020/02/13,"Manufacturing, Engineering and Relate for Q1d SETA",Provision of office accommodation,Capricon FET,Continuity of Service,"R 323,242.12","R 127,483.24",R 0.00,2020/2/6,Conditional support,2020/04/01,2021/03/31
99,2020/03/23,"Manufacturing, Engineering and Relate for Q1d SETA",Calculations of return on investments,Fidelity Security services,Expansion of scope,"R 128,800.00","R 687,462.12",R 0.00,2020/3/13,Not supported,Not Stated,Not Stated
100,2020/01/23,Mhlathuze Water,"Professional Fees (Design, monitor construction and
commissioning of New Weir Structure)",Bvi Consulting Engineers,Revision of construction cost,"R 3,441,831.00","R 996,297.45",,23/1/2020,Supported,Not Stated,Not Stated
101,2020/02/20,Mining Qualifications Authority,"Provision , support and manage MQA's Workplace Skills
Plan (WSP) / Annual Training Report (ATR) submission and",Naicker Consulting Services t/a IT Aware,"MQA will not have enough time to
ensure that the new system is","R 4,880,000.00","R 1,059,210.55","R 671,315.80",20/2/2020,Conditional support,2020/01/03,31/5/2020
102,2020/03/26,National Film and Video Foundation,"approval system.
Services for management of internal and external
communications",Instinctif Partners,"thoroughly tested and all system
Cancellation of the SAFTA's due to
COVID 19","R 1,256,605.00","R 209,434.16",R 0.00,2020/03/26,Supported,2020/04/01,2020/05/31
103,2020/01/13,National Treasury,Provision of printing service of Embargoed Information,ABC Printers,Additional Scope of service,"R 10,919,700.00","R 4,786,498.00",R 0.00,Not provided,Not supported,2020/01/27,3 Years
104,2020/01/09,National Treasury,Provision of consulting services,ORACLE,Additional scope of work,"R 756,200,000.00","R 147,763,300.00",R 0.00,Not provided,Not supported,Date of approval,2021/04/29
105,2020/02/07,National Treasury,Extension of security services,Rise Security Services,Competitive bidding in progress,"R 22,607,929.80","R 4,660,499.00",R 0.00,Not provided,Supported,2020/04/04,2020/09/30
106,2020/03/25,National Treasury,Variour RT Contracts,Various service providers,Competitive bidding in progress,Not stated,Not stated,Not stated,Not provided,Supported,Date of approval,4 months
107,2020/01/10,NPA,"Direct Leases for GP, LP, MP, FS, & NC offices",Different suppliers,Continuation of scope,"R 14,027,198.57","R 4,287,297.69","R 5,282,244.49",2019/12/19,Conditional support,2020/04/01,2021/03/31
108,2020/02/22,NRCS,Provision of office accommodation,Zaft Properties (Pty) Ltd,To start a new procurement process,Not stated,"R 2,183,060.00",Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
109,2020/02/22,NRCS,Provision of office accommodation,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,2020/02/14,Not supported,2020/03/01,
110,2020/02/22,NRCS,Provision of office accommodation,Zaft Properties (Pty) Ltd,To start a new procurement process,Not stated,"R 2,183,060.00",Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
111,2020/02/22,NRCS,Provision of office accommodation,Arvesco 100 (Pty) Ltd,To start a new procurement process,Not stated,Not stated,Not stated,2020/02/14,Not supported,2020/03/01,2021/02/28
112,2020/01/06,PSETA,Legal Services: Disciplinary Hearings,Modibedi Sebele Phetoe Attorneys,Continuity of Service,"R 273,000.00","R 900,000.00",R 0.00,2019/11/6,Supported,Not Stated,Not Stated
113,2020/02/13,PSETA,"Integrated Management Information System (MIS) and
Enterprise Resource Planning (ERP)",Solugrowth,Continuity of Service,"R 2,100,000.00","R 2,100,000.00","R 5,508,728.00",2020/2/18,Conditional support,2020/4/1,2021/3/31
114,2020/03/12,Road Accident Fund,"Lease contract for office lease accommodation at RAF East
London",Drury Lane Properties,Continuation of service,"R 34,603,216.04","R 9,161,131.52","R 8,078,583.52",13/3/2020,Supported,2020/04/02,2021/04/01
115,2020/03/05,Road Accident Fund,"Lease contract for office lease accommodation at RAF
Polokwane Customer Service Centre",TVR Beleggings CC,Annual lease escalation,"R 3,201,680.21","R 40,549.50","R 1,095,825.12",2020/05/03,Not supported,Not stated,2020/12/01
116,2020/01/17,Rural Development and Land Reform,Vary the telephone maintenance contract,Advanced Voice Systems (Pty) Ltd,"Additional work was not included in
the terms of reference (TORs) when","R 645,310.43","R 292,592.81",R 0.00,2019/12/19,Supported,Not Stated,Not Stated
117,2020/03/05,SABC,Off-site TV Licence inbound call centre,Transaction Capital recoveries (Pty) Ltd,"a tender was issued
Continuity of Service","R 8,073,000.00","R 8,508,942.00","R 1,083,127.50",2020/3/3,Conditional support,2020/4/15,2021/3/14
118,2020/03/11,SABC,Bulk SMS Licence inbound call centre services,Sizwe Africa IT,contract amount depleted,"R 4,687,484.00","R 2,100,000.00",R 0.00,2020/3/10,Supported,2020/4/1,2021/3/31
119,2020/02/13,SABC,Development of new sales incentive scheme,21st Century,Scope expansion,"R 409,500.00","R 86,956.52","R 60,890.43",Not provided,Not supported,not specified,Not specified
