5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2020/2021 QUARTER 4 (16 DECEMBER 2020 - 31 MARCH 2021) REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,2021/01/06,Department of Home Affairs (DHA),"Extension of contract for the facility management of the Lindela holding facility
for 12 months",Enviromongz Projects,To commence new bid process,"92 505 748,00","547 851 209,70","15 000 000,00",Not Supported,2021/01/06,2021/02/01,2022/01/31
2,2021/01/14,Sentech,Procurement of 36 MHZ of Ku-band satellite capacity for a period of 1 year,Intelstat,To commence new bid process,7 895 232 .00,4 346 784.00,"0,00",Conditional Support,2021/01/14,2021/04/01,2022/03/31
3,2021/01/13,"Department of Public Service and Administration
(DPSA)",Provision of the non-mandatory services (service management service),SITA,Business Continuity,"1 200 000,00","507 058,64","0,00",Conditional Support,2021/01/13,2021/04/01,2023/03/31
4,2021/01/15,South African Revenue Service (SARS),Provision of medical aid brokerage services,Assegai Strategic Investments (Pty) Ltd,"Tender process in progress to be finalised
by 31 March 2021",0.00`,No implication,"0,00",Supported,2021/01/15,2021/02/01,2021/04/30
5,2021/01/25,Development Bank of Southern Africa (DBSA),"Variation of the Cloud Essentials contract for the migration of the email archive
to Exchange",Galix Networking,Business strategy,"109 125,00","422 740,00","0,00",Conditional Support,2021/01/19,2020/07/01,2021/01/31
6,2021/01/25,"Department of Public Service and Administration
(DPSA)","Provision of dedicated internet services (Increase of dedicated lines from
27Mbps to 60Mbps)",SITA,Increased demand on bandwith,"965 130,78","1 582 710,54","308 511,39",Conditional Support,2021/01/25,2021/02/01,2023/03/31
7,2021/01/26,Electoral Commission (IEC) of South Africa,Renewal of panelists contract for the provision of internal audit services,"PricewaterhouseCoopers [PWC];
SizweNtsalubaGobodo [SNG] and Nexia-SABT
and NYZ AfriPeak Consortium [SABT]","Allow completion for a tender process and
handover process by end March 2023.","24 303 000,00","0,00","0,00",Not Supported,2021/01/25,Not stated,Not stated
8,2021/01/27,"Department of Communications and Digital
Technologies (DCDT)","SITA (RFB 2005 and RFB 2007) contract for the supply of ICT goods and
services to Government",SITA,Business Continuity,"0,00","0,00","0,00",Conditional Support,2021/01/06,2021/02/01,2021/04/30
9,2021/01/29,South African Revenue Service (SARS),Extension of lease agreement between SARS and DPWRI,"Dept of Public works, Roads and infrastructure","Lease rate/ market square meter of DPWRI
is cheaper and convinient","2652173,00","2023713,43","0,00",Supported,2021/01/28,2021/04/01,2026/03/31
10,2021/01/29,State Information Technology Agency (SITA),"Extension of RFB 1584/2017-Supply, installation and maintenance of strcuted
LAN cabling system, switching equipment and related electric HVAC solutions",Ubuntu Technologies,To minimize risks,"5232012,51","5780055,26","0,00",Supported,2021/01/26,Not stated,Not stated
11,2021/02/04,National Treasury,Supplier to render online newspaper subscription and newspaper distribution,"Calandria 159 t/a Newspaper Direct South
Africa",Sole Supplier,"309950,00","282445,00","312900,00",Supported,2021/02/03,2021/03/01,2022/02/28
12,2021/02/03,Development Bank of Southern Africa (DBSA),compensation event for professional service provider,SML Projects,Change of project scope and amount,1 629 157.25,3 615 248.26,"0,00",Conditional Support,2021/02/03,Not Supported,Not stated
13,2021/02/03,Development Bank of Southern Africa (DBSA),compensation event for professional service provider,Takgalang Consulting CC,Change of project scope and amount,905 391.10,2 716 131.83,"0,00",Conditional Support,2021/02/03,Not stated,Not stated
14,2021/02/04,South African Revenue Service (SARS),Various residential accommodation in Ladybrand for a period of five years,DRB Development Trust,Incorrect calculations,5 090 990.6,2 782 968.6,"0,00",Supported,2021/02/04,2020/10/01,2025/09/30
15,2021/02/10,National Treasury,"Extension of the supply of software licenses (products) and a limited number of
associated consulting services",Oracle Corporation (South Africa) (Pty) Ltd,Business Continuity,"343661187,00","756200000,00","0,00",Conditional Support,2021/02/09,2021/04/30,2026/04/29
16,2021/02/10,Industrial Development Corporation (IDC),East London regional office accommodation,Chesswood Holdings 55 (Pty) Ltd,Business Continuity,"1395459,76","5 773 774,32","210 140,00",Conditional Support,2021/02/10,2021/06/01,2023/12/31
17,2021/02/10,Industrial Development Corporation (IDC),Durban regional office accommodation,Delta Property Fund Limited,Business Continuity,"3907571,20","2 435 990,64","236 031,00",Conditional Support,2021/02/10,2021/06/01,2026/01/31
18,2021/02/10,Industrial Development Corporation (IDC),Upington regional office accommodation,Edidor 111 (Pty) Ltd,Business Continuity,"1276183,92","907 245,57","0,00",Conditional Support,2021/02/10,2021/03/01,2024/02/28
19,2021/02/11,South African Revenue Service (SARS),Feedback on market analysis for lease renewal of the Newcastle tps office,Victorian Trust,Insufficient market,Not indicated,Not indicated,Not indicated,Noting,11/2/2021,Not indicated,Not indicated
20,2021/02/11,South African Revenue Service (SARS),Lease extension for Bethlehem Maluti Square Branch office,Platoon Trade Invest 76 Pty (Ltd),"The building is strategically located in city
central and cost effective","12114033,64","5 607 992,79",8 266 010.42,Conditional Support,11/2/2021,1/4/2021,31/3/2026
21,2021/02/18,State Information Technology Agency (SITA),Contract variation request for the implementation of the Broadband services,Liquid Telecom,Cost effective,"165960170,39","4820669714,55","0,00",Conditional Support,16/2/2021,1/6/2019,30/5/2029
22,"G
2021/02/18",overnment Pensions Administration Agency (GPA,"A)
Feedback on the extension request for MPLS and Call Centre services",MTN,Feedback,"0,00","0,00","0,00",Noting,16/2/2021,Not indicated,Not indicated
23,2021/02/09,Unemployment Insurance Fund (UIF),Increase scope and supply ICT resources to develop and support systems,Vindhya Systems,"Covid19 and delays in SAP implemantation
plan","11215800,00","45203445,30","0,00",Not Supported,9/2/2021,24/7/2021,24/1/2022
24,2021/02/24,Electoral Commission (IEC) of South Africa,Lease for Mpumalanga warehouse,Silvercore Trading 10 CC,Business Continuity due to failed tender,"1269258,22","593108,00","889666,98",Supported,25/1/2021,1/5/2021,31/12/2021
,2021/02/18,"Construction Industry Development Board
(CIDB)","Implementation and Support for Dynamics 365 AX and Azure Migration and
Office",MMT Inland (Pty) Ltd,Additional Scope and period,"5 537 250,00","28 922 500,00","4 246 567,03",Conditional Support,2021/02/16,2021/07/16,2022/01/15
,2021/02/18,Independent Development Trust (IDT),Leasing of Office Space-KZN,Tupac Business Enterprise CC,Extension of contract,"1 727 256,66","6 805 458,00","0,00",Not Supported,2021/02/18,2021/04/01,2022/03/31
,2021/02/23,Small Enterprise Development Agency (SEDA),Provision of Wide Area Network,Vodacom,Continuation of service,5 896 047.24,17 372 566.86,3 147 882.96,Conditional Support,2021/02/23,2021/04/01,2022/03/31
,2021/02/23,"South African National Biodiversity Institute
(SANBI)",Provision of Security and Cashier Services,G4S Secure Solutions,Variation of order,0.00,0.00,0.00,Not Supported,2021/02/22,Not Stated,Not Stated
2021/01/26,Agrément South Africa,Leasing of Office Space,CSIR,Extension of contract,"7 471 123,85",0.00,0.00,,2021/02/27,2021/03/01,2024/02/28
2021/02/25,"South African National Biodiversity Institute
(SANBI)",provision of telephone services to National Zoological Garden,Kinetix Connect,Extension of contract,199 920.00.,521 424.00,77 050.00,Not Supported,2021/02/25,Not Stated,Not Stated
2021/02/25,Small Enterprise Development Agency (SEDA),Office accommodation in Mossel Bay,Bestmade 137 Pty Ltd,Continuation of service,265 657.44,338 612.64,"0,00",Conditional Support,2021/02/24,2021/07/01,2023/06/30
2021/02/15,"Energy and Water Sector Education and
Training Authority (EWSETA)SETA",Security Services,Imvula Quality Prptection Africa,Continuation of service,389 912.94,491 230.66,"0,00",Conditional Support,2021/02/15,2021/03/01,2021/03/01
2021/03/03,"Department of Public Works and Infrastructure
(DPWI)",Additional Office Space for National Depatment of Social Development,Human Science Research Council,"Office Space for DSD Comprehensive
Social Security Unit at DSD Head Office","15 552 542,72","74 000 005,80","0,00",Conditional Support,2021/02/01,Date of approval,2023/03/31
2021/03/03,Small Enterprise Development Agency (SEDA),Provision of cleaning services,Staza Cleaning Services Pty Ltd,Continuation of service,"433 203,59","2 505 186,86","0,00",Conditional Support,2021/03/03,2021/08/01,2021/12/31
2021/03/04,"Department of Public Works and Infrastructure
(DPWI)",Replacement of asbestos roof with fibre cement in Seshego Magistrate office,Macho Construction Group,Variation of scope,"478 430,91","6 772 410,95","966 391,45",Not Supported,2020/11/09,Not Stated,Not Stated
2021/03/09,"Department of Public Works and Infrastructure
(DPWI)",Construction of Sarah Baartman Heritage Centre project,Transtrust (Pty) Ltd,Variation of order,"25 411 908,45","164 386 247,30","31 260 306,77",Not Supported,2021/03/08,Not Stated,Not Stated
2021/03/04,"Food and Beverage Manufacturing Industry
Sector Education and Training Authority
(FoodBev SETA)SETA",Management Information System (MIS),Solugrowth (Pty) Ltd,Extension of contract,815 177.04,"3 260 708,00","3 940 022,31",Conditional Support,2021/03/04,2021/04/01,2021/09/30
2021/03/10,"Finance and Accounting Services Sector
Education and Training Authority (Fasset)SETA",Management Information System (MIS),Solugrowth (Pty) Ltd,Extension of contract,"3 044 206,56",14 220 840.00,"3 414 386,78",Conditional Support,2021/03/09,2021/06/01,2021/11/30
2021/03/12,Small Enterprise Development Agency (SEDA),ICT Disaster Recovery & Business Continuity Services,Continuity SA (Pty) Ltd,Continuation of service,"1 963 188,00","8 439 133,00","1 414 914,48",Not Supported,2021/03/12,2021/05/01,2022/01/31
2020/12/23,"Department of Agriculture, Land Reform and
Rural Development (DALRRD)",Leasing of 28 document scanners,Hyperdata Technologies (Pty) Ltd,"Additional scanners required since the daily
operational scaners contract expired","4 937 094,72","16 951 464,71","0,00",Conditional Support,2020/12/23,Not Stated,Not Stated
2020/01/15,Rand Water,Wastewater Treatment Works in Namahadi/Frankfort,FLAGG Consulting Engineers,"Adjustment Professional fees adjustment
for Phase 1 and Phase 2","11 822 548,92","5 570 975,00","0,00",Conditional Support,2020/01/07,Not Stated,Not Stated
2020/12/18,"South African Health Products Regulatory
Authority (SAPHRA)","Provision and maintenance of Access Point Network ( APN) services through
mobile data",MTN,Continuation of service,"1 244 310,00","319 959,00","580 041,00",Conditional Support,2020/12/18,2021/01/01,2021/03/31
2020/12/24,Trans-Caledon Tunnel Authority (TCTA),Legal Services,Gwina Attorneys Incorporated,Continuation of service,"800 000,00","546 350,00","0,00",Supported,2020/12/15,Not Stated,Not Stated
2020/11/27,Department of Health (DoH),Alternative chronic medication access programme for the public sector patients,"Pharmacy Direct (Pty) Ltd and DSV Healthcare
(Pty) Ltd",Continuation of service,"562 493 514,24","1 543 597 628,46","0,00",Supported,2020/11/25,2021/04/01,2022/03/31
2020/12/16,Department of Basic Education (DBE),Dedicated Internet Acess Services,State Information Technology Agency (SITA),"To increase the current bandwidth from
70mbps to 100mbps","2 782 654,98","12 407 477,45","0,00",Supported,2020/12/16,Not Stated,2023/03/31
2021/01/25,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Repair of annulus leak,Experwell AS,Purchase require more funds,"136 000,00","454 290,00","0,00",,2021/01/25,Not Stated,Not Stated
2021/01/26,Agricultural Research Council (ARC),animal blood sterilization,Labex,mistake made in the quotation,"5601,39","5800,00","0,00",Supported,2021/01/12,Not Stated,Not Stated
2021/01/14,National Agricultural Marketing Council (NAMC),hosting strategic plan and annual performance plan,"PurpleGrowth Training and Executive Coaching
(Pty) Ltd","NAMC’s management committee requested
the appointed service provider to perform
additional work","15 000,00","44 000,00","0,00",Not Supported,2021/01/14,Not Stated,Not Stated
2021/01/19,"South African Diamond and Precious Metals
Regulator",office accommodation,Redefine Property Limited,"waiting for completion of the new landlord
building","2 832 293,56","3 312 000,00","1 520 217,57",Not Supported,2021/01/14,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)",leases of laptop,Ngikufisela Inhlanhla Trading,extended lockdown,"144 000,00","207 000,00","288 000,00",Supported,2021/01/14,2021/01/16,2021/04/15
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","provision of engineering service (design and supervision) of the upgrade of
national route 3 from Mariannhill toll plaza (section 1, km 25.0) to key ridge
(section 2, km 2.8)",SMEC SA,Continuation of services,"109 033 411,02","109 033 411,02","3 580 938,62",Supported,2020/12/17,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","Detailed Design and Construction Monitoring of the Upgrade of National Route
3, Section 2, from Hammarsdale (km 8.825) to Cato Ridge (km 20.2)",HHO Consulting Engineering,Continuation of services,"165 636 553,66","147 939 367,50","0,00",Supported,2020/12/17,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","Detailed Design and Construction Monitoring of the Upgrade of realignment of
the n3, section 2, from key ridge (km 2,8) to Hammarsdale (km 8,1)","BVI Consulting Engineers Western Cape (Pty)
Ltd",Continuation of services,"147 365 339,87","138 436 049,34","0,00",Supported,2020/12/17,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","Detailed Design and Construction Monitoring of the Upgrade of national route
3, section 2, from Cato ridge (km 20,2) to Dardanelles (km 26,6)",Nyeleti Consulting (Pty) Ltd,Continuation of services,"117 714 094,11","126 654 148,20","3 273 233,01",Supported,2020/12/17,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","Detailed Design and Construction Monitoring of the Upgrade of national route
3, section 2 and section 3, from Iynnfield park (n3/2-km 30.6) to Ashburton
(n3/3-km 0.80)",Nathoo Mbhenyani Engineers / Leporogo JV,Continuation of services,"82 476 890,02","106 932 056,02","0,00",Supported,2020/12/17,Not Stated,Not Stated
2021/01/14,"The South African National Roads Agency SOC
Ltd (SANRAL)","consulting engineering services for the detailed design and construction
monitoring of the upgrade of national route 3, section 3, between Ashburton
interchange (km 1.5) and Murray road (km 6.0)",Naidu Consulting,Continuation of services,"132 336 392,50","100 250 114,64","0,00",Supported,2020/12/17,Not Stated,Not Stated
2020/12/18,"Public Service Sector Education and Training
Authority (PSETA)SETA",Legal service,Maenetja Attorneys,Continuation of services,"427 000,00","402 500,00",0..0,Conditional Support,2020/12/18,Not Stated,Not Stated
2021/01/29,"Manufacturing, Engineering and Related
Services Sector Education and Training
Authority (merSETA)SETA",Office Accmmodation,Bridgecon Properties,Continuation of services,"372 666,78","354 292,40","1 399 501,52",,2021/01/29,2021/04/01,2021/09/30
2021/01/30,"Manufacturing, Engineering and Related
Services Sector Education and Training
Authority (merSETA)SETA",Office Accmmodation,Capricon FET,Continuation of services,"59 272,25","323 242,12","118 545,00",Not Supported,2021/01/30,2021/04/02,2021/10/01
2021/01/31,"Manufacturing, Engineering and Related
Services Sector Education and Training
Authority (merSETA)SETA",Office Accmmodation,De Bryn,Continuation of services,"463 407,90","1 421 577,92","1 866 822,76",Not Supported,2021/01/31,2021/04/03,2021/10/02
2021/02/01,"Manufacturing, Engineering and Related
Services Sector Education and Training
Authority (merSETA)SETA",Office Accmmodation,Ikoutoris Trust,Continuation of services,"575 518,96","512 400,00","1 518 964,10",Not Supported,2021/02/01,2021/04/04,2021/10/03
