2020/08/03,"Department of International Relations
and Cooperation",Repatriation,South African Airways,"12 800 000,00","Closure of airspaces
during the COVID lockdown",Supported,2020/08/03,Not Stated,Not stated
2020/06/18,Department of Labour & Employment,"Extension of licensing of the existing
SmartGov",VODACOM,Not stated,"Replace applications to be
performed by one supplier",Not supported,Not Stated,Not Stated,Not Stated
2020/08/24,Department of Transport,"Appointment of KPMG as a single source
to testify during a disciplinary hearing for
project Imbeko and Africa Summit
investigation",KPMG,"1 73 848,00",Continuation of service,Supported,2020/08/19,Not stated,Not stated
2020/07/14,Development Bank of Southern Africa,"Off-grid Project ""The Project""",CSIR,10 086 788,"Services were terminated in April
2020 due to poor performance",Supported,Not Stated,Not Stated,Not Stated
2020/07/12,Development Bank of Southern Africa,"Supply of PPE to SADC and 25
Municipalities",various suppliers,25 208 854.20,Emergency Procurement,Noting,Not Stated,Not stated,Not stated
2020/09/08,"Provision of advisory a
Driving License Card Account",nd related services as part of the new drivi,"ng licence card project
CSIR","5 331 584,00","CSIR is the only service provider with
practical experiance",Supported,2020/09/08,Not stated,Not stated
2020/06/23,Environmental Affairs,"Management of Addo elephant National
Park",Sanparks,"5 400 000,00",Single Source procurement,Not Supported,2020/6/11,Not Stated,Not Stated
2020/06/23,Environmental Affairs,"Managemnt of National environmental
monitors programmes",Sanparks,"2 900 000,00",Single Source procurement,Not Supported,2020/6/29,Not Stated,Not Stated
2020/06/23,Environmental Affairs,"Managemnt of National environmental
monitors programmes",Isimangaliso Wetlands Park,1 100 000.00,Single Source procurement,Not Supported,2020/6/29,Not Stated,Not Stated
2020/07/07,Environmental Affairs,Appeal: Rental of trailers,Kungomusa Training and Projects,"1 171 115,40",Single Source procurement,Not Supported,2020/7/7,2020/6/9,2020/12/9
2020/07/10,Environmental Affairs,"Appeal: Establishment ans maintenance
of the National Pollution Laboratory",Walter Sisulu University,"75 000 000,00",Single Source procurement,Not Supported,2020/7/9,2020/4/1,2025/3/31
2020/09/10,Environmental Affairs,"To develop a Strategic Environmental
Assessment (SEA)for coal mining in the
Mpumalanga Highveld",CSIR,"11 500 000,00",Single source procurement,Not Supported,2020/7/22,Not Stated,Not Stated
2020/07/23,Eskom,"Renegotiation of Coal supply agreement
for Procurement of Coal",South32,"66 976 000 000,00",Cost plus agreement,Not supported,2020/07/14,not stated,not stated
2020/07/23,Eskom,"Boiler Defects dispute resolution for
Medupi Power Station","Mitsubishi Hitachi Power Systems Europe
GmbH & Mitsubishi Hitachi Power Systems
Africa (Pty) Ltd","909 555 712,89",Original Equipment Manufacturer,Conditional support,2020/07/23,not stated,not stated
2020/07/06,Eskom,Contract Claims Service,HKA Global (Pty) Ltd,"314 990 728,09",Business continuity,Conditional Support,2020/07/13,not stated,18 months
2020/08/13,,,,"253 000 000,00",,,2020/08/12,2021/07/01,2023/06/30
2020/07/29,Eskom,"Provision of Financial Risk Management
Analytics Software Maintenance and
Support",Fincard Europe Ltd,"978 309,60",Business continuity,Conditional Support,2020/08/28,24 months,24 months
2020/07/29,ESKOM,"Transfer of all generator and transformer
protection functions to a new digital
protection system -project",ABB South Africa (Pty) Ltd,"72 790 515,00","Sole Supplier and/or Single Source –
e.g. OEM",Not Supported,2020/07/27,not stated,50 months
2020/07/28,ESKOM,"Design, Supply, Install Commission and
Optimize High Frequency Power Supply
Units at Matla Power Station for
Particulate emission reduction purposes",Castel SA,"240 000 000,00",Expansion of scope (time & material),Conditional Support,2020/07/27,not stated,60 months
2020/07/27,Estate Agency Affairs Board,Legal services,"AB Scarrott Attorneys
Edward Nathan Sonnenberg
Ngidi Business Advisory Services
Raphela Attorneys","1 921 006,97",Business continuity,Not Supported,2020/08/26,not stated,not stated
2020/06/28,Film and Publication Board,Renewal of Microsoft Licence,First Technology,"754 618,08",Changes with Microsoft licenses,Not supported,Not Stated,Not Stated,Not Stated
2020/07/27,Film and Publication Board,Appeal: Software Licenses,First Technology,754 618.08,Software Adjustment,Not supported,Not Stated,Not stated,Not stated
2020/09/07,Financial Sector conduct authority,"Senior Management Development
Programme",Henley Business School,6 493 642.00,Single Source,Supported,Not Stated,Not stated,Not stated
2020/07/14,Free State Provincial Treasury,"Reporting: Covid 19 -Procurement of
PPE's",Various Service Providers,"170 323 762,49",Emergency Procurement,Noting,2020/7/9,Not Stated,Not Stated
2020/07/09,"Government Pensions Administration
Agency",Marketing and Advertising,Vaious Radio Stations & Print Media,"9 000 000,00","Member education and awareness
around services and benefits",Supported,Not Stated,2020/07/01,2021/06/30
2020/07/03,Government Printing Works,Labour law specialist services,Puke Maserumule Inc.,"Director at R3500
per hour; Senior
Associate at R3000
per hour and
Associate at R2000
per hour",Urgency due to Covid19 Litigations,Conditional support,2020/07/03,not stated,not stated
2020/07/07,Health,"Appeal:provision of technical support for
the District Health Information System
(DHIS)","Health Information System Program South
Africa","5 1 359 600,00",Sole Supplier,Not Supported,2020/06/22,Not Stated,Not Stated
2020/07/06,Health,"Provision of technical assistance in
support of Covid-19 activities",Wallace Wellness,"1 438 200,00",Emergency,Noting,2020/06/15,2020/06/22,2020/08/21
2020/07/14,Health,"Undertake emergency repairs, upgrades
and installation for Covid-19 surge
capacity in hotspot hospitals",Sakhiwo Health Solutions,Not Stated,Emergency,Not Supported,2020/06/06,Not Stated,Not Stated
2020/08/11,Health,"Provision of technical expertise on Health
System Research",Health Systems Trust,"41 889 600,00",Single Source,Not Supported,2020/08/04,2020/04/01,2023/03/31
2020/07/14,Higher Education and Training,"Print, Pack, and Deliver all examination
stationery and national diplomas",Government Printing Works,"13 007 065,55",Single Source procurement,Conditional Support,2020/3/18,2020/7/31,2022/12/31
2020/07/14,,,,"4 000 000,00",,,2020/07/13,not stated,not stated
2020/07/10,Home Affairs,"Annual maintenance and support of
assure-id licenses",Thales( Gemalto),"3 474 742,34",Sole supplier,Supported,2020/06/23,not stated,not stated
2020/08/11,Housing Development Agency,"Completion of outstanding project
milestone for the rectification of title
deeds and the transfer of title deeds and
transfer of properties for the historical
projects in the Western Cape Province
for a period of eighteen months",Kets Attorneys,"706 004,28",Business continuity,Conditional Support,2020/07/30,not stated,not stated
2020/07/22,Independent Development Trust,"Appointment of consultant to perform
CFO duties",Tatiso Consulting,"464 572,80",Single Source procurement,Conditional Support,2020/7/22,2020/8/1,2020/10/31
2020/06/30,Independent Electoral Commission,Office Accomodation,uMfolozi Local Office,"1 859 327,00","IEC requested to vacate current
accomodation",Supported,Not Stated,1-Sep-2020,31-Aug-2020
2020/08/21,Independent Electoral Commission,Office Accomodation,Redefine Properties (Pty) Ltd,9 774 659.68,Municipal rates and taxes,Supported,Not Stated,1-Sep-2020,31-Aug-2025
2020/06/29,Information Regulator South Africa,"Participate in a joint bid process to
procure office accommodation for the
information regulator with South African of
human rights Commission (SAHRC).",SAHRC,not stated,Business continuity,Conditional Support,2020/05/15,not stated,not stated
2020/09/15,"Inkomati-Usuthu Catchment
Management Agency","Establish a Disaster Early Warning
Management",GeoMaji (Pty) Ltd,"833 940,00",Sole provider,Within AA/AO mandate Noting,2020/09/15,Not stated,Not stated
2020/06/23,"Justice and Constitutional
Development","Appointment of Government Technical
Advisory Centre (GTAC) for the provision
of advisory and consulting services for
the development and design of the
Department macro organisational
structure",GTAC,not stated,Service Delivery Urgency,Conditional Support,2020/05/28,not stated,not stated
2020/09/04,"Justice and Constitutional
Development","The provision of security support, control
room operators services and
maintenance in 104 offices for a period of
twelve (12) months",Not Stated,84 788 219.94,Business continuity,Conditional Support,2020/09/04,not stated,not stated
2020/09/04,"Justice and Constitutional
Development","Provision security guarding, and special
services for Department of Justice and
Constitutional Development, National
Prosecuting Authority (NPA), and Office
of the Chief Justice.",Not Stated,798 327 960.36,Business continuity,Conditional Support,2020/09/04,not stated,not stated
2020/06/30,Labour and Employment,"Procurement of Textiles & Blankets from
DTI Approved suppliers",Various suppliers,"60 000 000,00","MoU with NDoH for Covid -19 linen &
garments requirements",Supported,Not Stated,Not Stated,Not Stated
2020/07/30,Labour and Employment,Leagalisation contract,Cheadle Thompson & Hyson Legal,2 695 140.00,"CTH firm has the required knowledge
in labour law",Not supported,Not Stated,Not stated,Not stated
2020/08/24,Labour and Employment,Leagalisation contract,Appeal: Cheadle Thompson & Hyson Legal,"139 879 567,00","CTH firm has the required knowledge
in labour law",Supported,Not Stated,Not stated,Not stated
2020/07/23,Lepelle Northern Water,Provision of legal services,"Mkhabela
Hutley Attorneys Inc","5 150 000,00",Urgent court application,Not Supported,2020/07/23,Not stated,Not stated
2020/07/23,"Manufacturing, Engineering and
Related Services SETA","Forensic investigation on tracing funds
and verification of bank accounts",Strauss Daly Attorneys,"910 800,00",Single Source procurement,Conditional Support,2020/7/20,Not Stated,Not Stated
2020/08/05,,,,"100 000,00",,,2020/7/21,Not Stated,Not Stated
2020/06/30,"Medical Research Council of South
Supply
Africa",of 4 Hamilton RNA extraction and PCR pla,"tforms.
Separations","2 4 486 545,66",Sole Supplier,Noting,2020/06/29,Not stated,Not stated
2020/08/03,"Medical Research Council of South
Africa","Supply and delivery of equipment and
reagents",LTC Tech SA,"7 000 000,00",Sole Supplier,Noting,2020/07/22,Not stated,Not stated
2020/07/21,"Medical Research Council of South
Africa",Supply of Monkey Cages,Carfil Belgium,"1 869 099,04",Urgency,Supported,2020/07/01,Not stated,Not stated
2020/07/01,Mhlathuze Water,"Conduct a detailed investigation of the
commitment register and adjust the
financial statement for the 2020 financial
year",Morar Incorporated,"1 304 430,00",Emergency,Noting,2020/07/01,Not Stated,Not Stated
2020/06/30,National Agricultural Marketing Council,Office leasing,Columbial Falls Properties,"3 192 354,00","Not economical to move to another
office",Supported,2020/06/30,2020/08/01,2021/07/31
2020/07/22,"National Film and Video Foundation of
SA",Audience Numbers Research Study,Nielsen South Africa,Not Stated,Urgent requirement,Not Supported,2020/7/22,Not Stated,Not Stated
2020/08/20,"National Film and Video Foundation of
SA","Update the online judging system for the
South African Film and Television Awards
(SAFTAs)",Prospero Digital Studios,316 940.00,Single Source procurement,Supported,2020/08/07,once off,once off
2020/07/21,National Health Laboratory Service,Procurement of PPE's for Covid 19,Varios suppliers,"5 95 202 741,00",Emergency,Noting,2020/07/21,Not stated,Not stated
2020/07/23,"National Home Builders Registration
Council",Office parking for the Durban office,Excellerate Services Smartpark,"938 302,11","Sole Supplier and/or Single Source –
e.g. OEM",Conditional Support,2020/07/22,not stated,not stated
2020/07/20,National Prosecuting Authority (NPA),"Procure service of ENS Forensics (Pty)
Ltd to finalize their draft report and give
evidence in support of the criminal
prosecution of charges relating to the
Vrede Dairy Project (Estina Matter).",ENS Forensics (Pty) Ltd,1 260 660.00,Business continuity,Conditional Support,2020/07/20,not stated,not stated
2020/06/30,National School of Government,MOU with TIPS,TIPS,Not stated,"TIPS supports the DTI with targeted
studies to strengthen policy
development.",Supported,Not Stated,Not Stated,Not Stated
2020/08/05,National Student Financial Aid Scheme,"Provision of services of an independent
private investigator",Bokang Consulting Services (Pty) Ltd,"588 440,00","Previous successful investigation of
fraud involving NSFAS",Not Supported,2020/7/13,Not Stated,Not Stated
2020/09/09,National Student Financial Aid Scheme,Private Investigator,Appeal: Bokang Consulting,6 383 880.00,Single Source procurement,Not Supported,2020/09/09,Not Stated,Not Stated
2020/08/31,National Treasury,"Hosting and maintaining the Vulekamali
data",Openup (UP),121 000.00,Openup is the sole provider,Supported,Not Stated,Not stated,Not stated
2020/09/10,National Treasury,Forensic Investigating Firms to support,Various suppliers,20 500 000.00.,Case to case services,Supported,Not Stated,Not stated,Not stated
2020/09/11,,,,Not stated,,,Not Stated,Not stated,Not stated
2020/07/13,"Perishable Products Export Control
Board",Office rental,Trendy Time Investment,"1 691 124,00","Not economical to move to another
office",Conditional Support,2020/07/13,2020/08/01,2025/07/31
2020/07/15,"Perishable Products Export Control
Board","Provision of Sum Total Learning
Management System (license)",LR Management Group (Pty) Ltd,"986 000,00",Subscription,Supported,2020/07/15,2020/08/01,2021/07/31
2020/07/24,Public Enterprise,Transactional Advisory,Rand Merchant Bank (RMB),"12 000 000,00","Urgency that emanates from
business rescue",Conditional support,2020/07/22,not stated,not stated
2020/07/13,Public Investment Corporation Limited,Advisory Services,Ligwa,"Not Stated- Under
investigation","a possibility of fraud / misconduct
regarding a transaction",Supported,Not Stated,"Not Stated- Under
investigation",Not Stated- Under investigation
2020/08/11,Public Works,Office Accomodation,Municipality of Ekurhuleni,"849 793,29","Readiness of the office and the
expenditure incurred by DHA",Supported,2020/3/10,Not Stated,Not Stated
2020/08/11,Public Works,"Reporting: Procivision of water and
wastewater treatment at 7 ports of entry",Ruwacon (Pty) Ltd,"1 112 165,00",Emergency procurement,Noting,2020/8/7,Not Stated,Not Stated
2020/08/11,Public Works,"Reporting: repair of roof structure at
Tswelopele prison",Shebang Construction (Pty) Ltd,"2 189 586,56",Emergency procurement,Noting,2020/7/29,Not Stated,Not Stated
2020/07/28,Road Traffic Management Corporation,"Closed bid for Online banking Gateway
Platform",Various Banks,"0,00","Approved banks by National
Treasury",Conditional Support,2020/07/28,Not stated,Not stated
2020/07/07,"Request to advertise bids on t
Rural Development and Land Reform",he National Treasury’s e-tender portal and,"the Departmental website only
Not Stated",Not Stated,No response from GPW,Supported,2020/07/07,Not Stated,Not Stated
2020/07/20,Science and Innovation,"Reporting: To continue with the economic
case for Space Science and Technology
project phase II","The Council of Scientific and Industrial
Research (CSIR)","2 462 828,99",Not Stated,Noting,2020/1/31,Not Stated,Not Stated
2020/09/01,Science and Innovation,Perimeter Security Services,"Council for Scientific and Industrial
Research","4 247 578,60",Single Source,Not Supported,2020/08/28,Date of approval,2025/12/31
2020/08/12,Sentech Limited,"Supply and Maintenance of High Power
FM",High Power FM,18 708 867.70,Maintence and Support,Not Supported,Not Stated,Not stated,Not stated
2020/06/17,"Small Enterprise Development Agency
(SEDA)",Office accommodation in Khayelithsa,"Violence Prevention Through Urban
Upgrading","547 754 ,45",Single Source procurement,Supported,2020/6/17,2020/9/1,2023/8/31
2020/06/30,"Small Enterprise Development Agency
(SEDA)","Lease of Office space for Western Cape
Provincial Office and Cape Town Central
Business District Branch",Metamorphic Properties (Pty) Ltd,"9 726 109,85",Single Source procurement,Supported,2020/6/30,2020/10/01,2025/09/30
2020/07/31,Social Development,"Appointment of Special Investigations
Unit (SIU) to administer the social
assistance debtors previously referred to
SIU for investigation and collection",SIU,not stated,Business continuity,Conditional Support,2020/07/08,not stated,not stated
2020/07/13,,"Approval for deviation from normal
procurement process to appoint Wolter
Kluwer Tax and Accounting Southern
Africa (PTY) LTD for the procurement of
Teammate Audit Software","Kluwer Tax and Accounting Southern Africa
(PTY) LTD",974 688.00,"Sole Supplier and/or Single Source –
e.g. OEM",Not Supported,2020/07/13,not stated,not stated
2020/06/19,"South African Broadcasting
Corporation Ltd","Software support and Maintenance of
Radio Playout and Production System
(DIRA)",CGI Deutschland B.V & Co. KG,"24 106 242,80",Single Source procurement,Not Supported,2020/6/19,Not Stated,Not Stated
2020/06/19,"South African Broadcasting
Corporation Ltd",Media Hosting Services,EBSCO International Incorporated,"2 718 489,68",Continuity of Service,Supported,2020/6/19,Not Stated,Not Stated
2020/06/23,"South African Broadcasting
Corporation Ltd","Appeal: Metro Ethernet (ME)
infrastructure for Wide Area Network",Telkom SA (Pty) Ltd,"7 590 754,40",Continuity of Service,Not Supported,2020/6/23,2020/07/01,2020/06/30
2020/07/21,"South African Broadcasting
Corporation Ltd","Appeal: Software support and
Maintenance of Radio Playout and
Production System (DIRA)",CGI Deutschland B.V & Co. KG,"24 106 242,80",Single Source procurement,Supported,2020/6/19,Not Stated,Not Stated
2020/07/30,"South African Health Products
Regulatory Authority",Evaluation of medicines registration,Not Stated,Not stated,Urgency,Supported,2020/07/30,Not stated,Not stated
2020/07/14,"South African Maritime Safety
Authority","Renewal of software licences of Microsoft
Dynamic Great Plains",Braintree by Vox Telkom (Pty) Ltd,"588 951,78",Continuation of service,Not Supported,2020/07/14,2020/03/24,2021/03/24
2020/08/04,"South African Maritime Safety
Authority","License Renewal for OpenText:
Maintenance and Support",Not Stated,"6 100 000,00",Close bidding process,Conditional Support,2020/08/04,Not stated,Not stated
2020/08/03,"South African Maritime Safety
Authority","License Renewal for Veeam Backup and
Replication: Maintenance and Support",Not Stated,"5 796 827,37",Close bidding process,Conditional Support,2020/08/03,Not stated,Not stated
2020/07/06,South African National Parks,"Reporting :Business Intelligence support
for Panorama Necto and Profitbass",Khasani Business Enterprise,"8 050 000,00",Sole Source procurement,Noting,2020/7/2,2020/9/1,2024/8/31
2020/07/06,South African National Parks,"Reporting:Human resources
management audit for Sanparks",SABPP,"1 154 115,75",Sole Source procurement,Noting,2020/7/2,2019/11/01,2020/3/31
2020/07/06,South African National Parks,"Reporting :Safran Helicopter Engines
South Africa",Safran,"5 000 000,00",Sole Source procurement,Noting,2020/7/2,2020/3/1,2020/2/28
2020/07/06,South African National Parks,"Reporting :Specialised maintenance and
supply of new parts & components to
SANParks helicopter fleet",Airbus Helicopters South Africa,"5 000 000,00",Sole Source procurement,Noting,2020/7/2,2020/3/1,2021/2/28
2020/07/06,South African National Parks,"Reporting :Testing of Controlled animal
diseases",ARC (OVC),"3 506 040,00",Sole Source procurement,Noting,2020/7/2,2019/11/1,2024/10/31
2020/07/06,South African National Parks,Reporting:Genetics testing services,The National Zoological Garden,"1 350 000,00",Sole Source procurement,Noting,2020/7/2,2019/11/1,2024/10/31
2020/07/06,South African National Parks,"Reporting:Provision of hand soaps and
sanitizers",Supercare Hygiene (Pty) Ltd,8 800 00.00,Emergency procurement,Noting,2020/7/2,Once Off,Once Off
2020/07/06,,Reporting:Provision of hand sanitizers,Murwa Group,"1 792 850,00",Emergency procurement,Noting,2020/7/2,Once Off,Once Off
2020/07/06,South African National Parks,"Reporting :Supply and delivery of of food
parcels",Trustem Solution,"5 940 000,00",Emergency procurement,Noting,2020/7/2,Once Off,Once Off
2020/07/21,South African National Parks,Rental of mobile housing and ablution unit,"Kwikspace
Modular Buildings (Pty) Ltd","766 454,90",Single Source procurement,Not Supported,2020/7/21,Not Stated,Not Stated
2020/08/21,South African National Parks,Panel of Universities,Various Service Providers,Not Stated,Single Source procurement,Not Supported,2020/08/21,Not Stated,Not Stated
2020/08/04,South African National Roads Agency,Consulting engineering,"BVI Consulting Engineers Western Cape
(Pty) Ltd","165 163 110,52","Bidder whoc scored the highest oit
did not have capacity",Not Supported,2020/08/04,Not stated,Not stated
2020/08/04,South African National Roads Agency,Consulting engineering,Nyeleti Consulting,"123 298 069,52","Bidder whoc scored the highest oit
did not have capacity",Not Supported,2020/08/04,Not stated,Not stated
2020/08/04,South African National Roads Agency,Consulting engineering,Nyeleti Consulting,"129 979 685,64","Bidder whoc scored the highest oit
did not have capacity",Not Supported,2020/08/04,Not stated,Not stated
2020/08/04,South African National Roads Agency,Consulting engineering,Ilifa Engineers,"132 067 039,00","Bidder whoc scored the highest oit
did not have capacity",Not Supported,2020/08/04,Not stated,Not stated
2020/07/01,South African National Roads Agency,"OpenText Electronic Document
Management System",Closed bidding (No supplier),"0,00","Only accredited partners can render
the service",Supported,2020/07/01,Not stated,Not stated
2020/08/05,South African National Roads Agency,"Freeway Management System,
Advanced Traffic Management System
and Advanced Management Traveller
Information System",IBI Group Professional Services,"149 008 660,00",Sole source,Not Supported,2020/08/05,Not stated,Not stated
2020/06/23,South African Police Service,"Repair of horizontal trim defects SAPS
BRB 240BB,",Absolute Service Centre,1 291 720.48,Sole Source procurement,Noting,2020/06/10,Once Off,Once Off
2020/06/23,South African Police Service,Inspection and change of components,Absolute Service Centre,1 588 927.40,Sole Source procurement,Noting,2020/06/10,Once Off,Once Off
2020/06/23,South African Police Service,"The annual inspection of South African
Police Service aircraft (BPS325B),",Pilatus PC12 Centre Southern Africa,590 761.33,Sole Source procurement,Noting,2020/06/10,Once Off,Once Off
2020/06/23,South African Police Service,"Annual inspection of South African Police
Service aircraft (127414N),",Pilatus PC12 Centre Southern Africa,604 018.96,Sole Source procurement,Noting,2020/06/10,Once Off,Once Off
2020/06/23,South African Police Service,"Supply of new engine monitoring display
on aircraft ZS-RPB and BRR425B,",Airbus Helicopters Southern Africa,1 414 995.32,Sole Source procurement,Noting,2020/06/10,Once Off,Once Off
2020/07/16,South African Police Service,"Reporting: Covid 19 -Procurement of
Examination gloves",Duduza Hospitality,5 300 000.00,Emergency procurement,Noting,2020/7/15,Not Stated,Not Stated
,,,,1 308 212.00,Emergency procurement,,,Not Stated,Not Stated
2020/07/24,South African Police Service,"Procurement of manual and semi-
automated DNA processing system, in
the Eastern Cape Province",Not stated,"263 000 000,00",Limited bidding,Not Supported,2020/7/21,Not Stated,Not Stated
2020/07/09,South African Post Office Limited,"Appeal: Upgrade of Postbank's Banking
System",Oracle - FCUBS,"139 879 567,00",Maintence and Support,Supported,Not Stated,Not stated,Not stated
2020/08/27,South African Post Office Limited,ULA License,Oracle,317 800 149.56,Oracle is the sole provider,Supported,Not Stated,Not stated,Not stated
