25,DAFF,Provision of McAfee anti-virus software,Dynamic Recovery Services,"4,281,400.00",Urgent,2017/06/21,Supported,2017/06/07,2020/06/06
26,DAFF,Provision of McAfee anti-virus software,Dynamic Recovery Services,"4,281,400.00",Service urgent - Renewal of contract via SITA failed.,2017/06/21,Supported,2017/06/07,2020/06/06
27,DAFF,Customised Information Technology support,Data World (Pty) Ltd,"1,440,000.00",Sole source,2017/06/13,Conditional support,2017/07/01,2018/06/30
28,DAFF,Opearation Phakisa,AASA,"4,000,000.00",AASA is the only umbrella registered body,2017/09/26,Not supported,2017/11/01,2021/03/31
29,DBSA,"Implementation support services to the Fund Management
Unit (FMU) for the SADC Regional Fund for Water",Mr Harald Heidtmann,"340,000.00",Single source due specialisation of the service provider,2017/08/15,Conditional support,2017/08/21,12 months
30,Defence,Supply of wet and dry rations,"10 various service providers in
different regions to be
appointed","1,066,154,496.00",Competitive bid process in progress,2017/09/13,Conditional support,Not stated,3 months
31,Defence,Chartered aircraft to transport DOD members to Cuba,Simang Aviation,"15,000,000.00","The SA Airforce, SAA and RT61 cannot satisfy the
requirements",2017/07/12,Application withdrwan,Once off,Once off
32,Defence,Chartered aircraft to transport DOD members to Cuba,Y & P Logistic Ltd,"7,550,600.00","The previous prefered service provider increased price due
to short confirmation of travel",2017/07/13,Application withdrwan,Once off,Once off
33,Defence,Consultacy services for perimeter fencing and walls,"Abaziyo Consulting
Engineering","4,899,891.00",Continuity of service,2017/06/20,Conditional Support,Not stated,3 Years
34,Defence,Air charter services,South African Aitrways,"13,501,635.60",Unavailability of SA Air Force aircraft,2017/08/17,Conditional Support,Once off,Once off
35,"Department of Military
Veterans",Provision of conference facility,Birchwood Hotel,"6,058,190.00",Not enough time to source for other service providers.,2017/06/07,Not supported,Not applicable,Not applicable
36,Department of Transport,"Development of an integrated public transport network plan in
ORT District Municipality",Smec South Africa,"1,963,650.00",Delays due to insufficent information on project plans,2017/06/13,Conditional Support,Once off,Once off
37,DPME,"Roll out of Implementation Programmes to provide
government officials with an opportunity to use various
methodologies in planning","National School of
Governance","600,000.00",Government training programmes to be transferred to NSG,2017/09/26,Conditional support,2017/11/01,2018/03/30
38,DRDLR,"Comprehensive testing of close circuit television and biometric
system by SITA at ten Deeds Office.",SITA,"169,393.00","SITA assisted on drafting the specification for the security
system.",2017/07/05,Conditional Support,2017/08/15,Not stated
39,DRDLR,Renewal of the Munsys software,Open Spatial Africa,"1,758,153.00",Sole supplier,2017/07/11,Conditional Support,2017/10/04,2020/10/03
40,DRDLR,Provision of 174 parking bays on rental for 12 months,"Karabo Parking Management
(Pty) Ltd and the State Theatre","2,700,720.00","Contract expired but service still required while finalising PPP
project",2017/07/31,Conditional Support,2017/08/01,2018/07/31
41,"Driving Licence Card
Account",Provide Advisory and related services,"Scientific and Industrial
Research (CSIR)","6,533,858.00",Specialised service,2017/06/02,Not supported,Not applicable,Not applicable
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
42,"Driving License Card
Account","Maintenance of production hardware and systems used in the
card production.",Thales,"6,717,300.10",Sole source,2017/04/26,Conditional Support,Not stated,12 Months
43,DST,Appointment of International Service Provider,"Institute for Statistical Studies
and Economics of Knowledge","1,000,000.00",Collaboration with international experts to improve the quality,2017/07/24,Conditional support,Not stated,Not stated
44,DST,Foresight exercise,Non-Zero-Sum Development,"560,400.00",Contract expired but service was still required.,2017/07/06,Supported,2017/10/01,2018/09/30
45,DST,Portal Provision,University of Pretoria,"62,700.00",Sole source,2017/05/18,Conditional support,Not stated,Not stated
46,DTPS,"Design and construction of an exhibition stand at the
International Telecommunication Union Telecom World",Bexco,"1,957,915.00",Sharing of cost and risk with international suppliers,2017/09/19,Conditional support,2017/09/07,Once off
47,DTPS,"Conduct study on spectrum requirements for the Wireless
Open Access Network (WOAN)",CSIR,"1,197,022.80","Single source as institution has relevant skills and research
and is viewed as an independent body",2017/09/08,Not supported,Once off,Once off
48,Environmental Affairs,"Upgrading theSouth African Air Quality Information System
(SAAQIS)",Envitech Ltd,"4,109,170.00",Sole source,2017/03/24,Noting,2017/05/01,2018/04/30
49,Environmental Affairs,Appeal: Tidal pool and related coastal infrastructure,"Prestedge Retief Dresner
Wijnberg","9,500,000.00",Single source,2017/07/27,Supported,Not stated,Not stated
50,Environmental Affairs,Management of waste tyres in the country,closed tender,"252,751,498.00","The REDISA is the only approved plan currently in
implemantation.",2017/09/04,Conditional support,2017/11/01,2018/11/30
51,Environmental Affairs,Payment of Suppliers who provide waste services,Post Bank,"252,751,498.00",Single source,2017/09/14,Conditional support,2017/10/01,2018/09/30
52,Eskom,Provisioning of Engineering Design services,VIP Consulting Engineers,"364,435.00",Delays in finalising bid process,2017/06/09,Conditional support,2016/07/18,2016/09/19
53,Eskom,"Provision of construction supervision, inspections and build
drawings for the refurbishment of Petrusville CNC",Zitholele JV,"1,928,348.00",Single source due to initial work rendered,2017/07/12,Not supported,Not applicable,Not applicable
54,Eskom,Eskom Contractor Academy Training Programme,EduPark,"50,962,000.00",Single source - unresponsive bids from the bid process,2017/07/20,Supported,2017/09/01,2019/08/31
55,Eskom,Procurement of spare parts,Simens Pty( Ltd),"16,075,778.43",Original manufacture of equipment,2017/07/03,Conditional Support,Once off,Once off
56,Eskom,Archarving of tendering documents,Metrofile Holding Limited,"850,000.00","Single source - Current supplier and no space within the
office for document storage",2017/06/22,Conditional Support,Not stated,12 Months
57,Eskom,"Closed bid to current suppliers for screening of coal required
at Arnot, Camden and Grootvlei Power Stations",Ten (10) Current supliers,"44,000,000.00",Cost effective to approach current suppliers,2017/07/13,Conditional Support,Ad-hoc basis,Ad-hoc basis
58,Eskom,Additional Coal for Tutuka Power Station,Exarro,"35,051,800.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
59,Eskom,Additional Coal for Tutuka Power Station,Keaton,"101,454,000.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
60,Eskom,Additional Coal for Tutuka Power Station,Tshedza,"371,908,800.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
61,Eskom,Additional Coal for Tutuka Power Station,"Glencore Operations South
Africa","370,989,800.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
62,Eskom,Additional Coal for Majuba Power Station,Overlooked Colliery,"201,234,000.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
63,Eskom,Additional Coal for Majuba Power Station,"Glencore Operations South
Africa","721,565,000.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
64,Eskom,Additional Coal for Majuba Power Station,Universal Coal Development,"240,433,200.00",Shortfall of coal,2017/07/21,supported,Not stated,12 Months
65,ESKOM,Provisioning of Smart Grid Solution,Huawei Technologies,"60,000,000.00",Continuity of service,2017/04/29,Conditional support,2017/08/18,2017/10/01
66,Eskom,"2 x Mega-Drive-LCI Convertor 12 Pulse Load Commutated
Inverters Type: W1212-303R452 and 2 x Dry-Type
RESIBLOC VSD, Rectifier & Excitation Transformer for Kendal
Power Station’s Boiler Feed Pump Electrical Plant
Replacement and Refurbishment Project",ABB South Africa (Pty) Ltd,"88,604,675.00",Original Equipment Manufacturer,2017/08/30,Conditional Support,2017/09/27,2019/03/31
67,Eskom,Publising on E-Tender Portal,Deviation from the process,0.00,"Challenges experienced with the National Treasury e-Tender
Portal on 14 February 2017.",2017/09/01,Noting,Not applicable,Not applicable
68,Eskom,Provision of Fuel Handling services,Lesedi Nuclear Services,"10,747,114.00",Eskom's only registered South African fuel handler,2017/09/20,Conditional Support,2017/09/26,2018/12/23
69,Eskom,"Supply and delivery of Enterprise Digital Assistant (EDA) and
accessories","Powertech System Integrators
(Pty) Ltd",21 660 000.00,Renewal of license,2017/08/30,Not supported,Not stated,Not stated
70,Eskom,"Provision of psychometric reports, assessment materials and
training",PsyTech,1 850 500.00,Sole license holder,2017/09/19,Not supported,Not stated,Not stated
71,Eskom,Additional survey work at Ingula Pumped Storage Scheme,"Barnard & Schneider Land
Surveyors & Town Planning
Consultants",342 000.00,Single source - bidder conducted initial field work,2017/09/13,Conditional Support,Not indicated,Not stated
72,Eskom,Reactor coolant system (RCP) level instrumentation upgrade,"Nuclear Consultants
International (Pty) Ltd",10 000 000.00,Single source due to intellectual property rights,2017/08/01,Not supported,Not stated,Not stated
73,ETDP SETA,Maths and Natural Science content and methodology training,MASTEC Institute,"20,000,000.00",Mastec provides specific training programmes to teachers,2017/08/24,Conditional support,10/1/2017,9/30/2020
74,ETDP SETA,Finance for Non-Financial Managers,North West University,"2,500,000.00","It is the only training provider which has a programme
endorsed by SACE",2017/08/24,Conditional support,10/1/2017,9/30/2020
75,ETDP SETA,Grade R Qualification,North West University,"7,650,000.00","The NWU is the only University that offers this qualification
part time",2017/08/24,Conditional support,10/1/2017,9/30/2020
76,ETDP SETA,ACE-School Leadership and Development Diploma,University of Venda,"2,860,000.00","University of Venda is accredited to offer the programme in
Limpopo province. The University will be easily accessible by
the beneficiaries.",2017/08/24,Conditional support,10/1/2017,9/30/2020
77,ETDP SETA,Interppretation of Braille and SASL,University of Venda,"600,000.00","same programme was implemented with the University of
Venda for the past three (3) years to ensure continuity",2017/08/24,Conditional support,10/1/2017,9/30/2020
78,ETDP SETA,Environmental Practice Learnership training,University of Venda,"4,680,000.00","University of Venda is the only accredited public training for
the qualification in Limpopo",2017/08/24,Conditional support,10/1/2017,9/30/2020
79,ETDP SETA,ICT Integratin in Education,WITS University,"11,000,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
80,ETDP SETA,Professional Development for Language Practitioners,WITS University,"880,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
81,ETDP SETA,Fundamentals of Business Project Management,WITS University,"350,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
82,ETDP SETA,Manager Leadership Development HEI Managers,WITS University,"821,500.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
83,ETDP SETA,Skills Programme - ESSS Training for deaf people,WITS University,"1,000,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
84,ETDP SETA,MEC-Project -Part qualification for Disabled and unemployed,WITS University,"500,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
85,ETDP SETA,Professional Development for Language Practitioners,WITS University,"800,000.00","WITS University is the only service provider with a
programme that is SACE endorsed.",2017/08/24,Conditional support,10/1/2017,9/30/2020
86,ETDP SETA,End User computing level 3,Flavious Mareka College,"990,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
87,ETDP SETA,Augmetative Alternative Communication,University of Pretoria,"600,000.00",This will ensure continuity and standardisation in the training,2017/08/24,Conditional support,10/1/2017,9/30/2020
88,ETDP SETA,Management development programme,University of KZN,"4,656,520.00","University of Johannesburg is the only accredited university
to offer the programme in Gauteng",2017/08/24,Conditional support,10/1/2017,9/30/2020
89,ETDP SETA,Diversity and Harrasment,University of KZN,"114,000.00","University of Johannesburg is the only accredited university
to offer the programme in Gauteng",2017/08/24,Conditional support,10/1/2017,9/30/2020
90,ETDP SETA,ICT Intergration short course,University of Cape Town,"1,000,000.00","The beneficiaries were trained in 2016/17 and the
progression will enable them to complete the post graduate
diploma",2017/08/24,Conditional support,10/1/2017,9/30/2020
91,ETDP SETA,Advance Diploma in Education,Stellenbosch University,"2,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
92,ETDP SETA,University Leadership Development Programme (ULDP),Stellenbosch University,"700,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
93,ETDP SETA,English Professional Development,WITS Language School,"750,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
94,ETDP SETA,Cerificate programme in Inclusive Education,University of Limpopo,"1,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
95,ETDP SETA,"Management development programme for TVET College
Managers",University of Limpopo,"1,886,500.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
96,ETDP SETA,Advance Course in Executive Leadership,UNISA,"723,200.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
97,ETDP SETA,Diversity Inclusion training,University of Free State,"325,600.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
98,ETDP SETA,Personality Assessment for 2 learners,MBTI Training,"40,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
99,ETDP SETA,Effective Coaching and Mentoring,"Durban University of
Technology","150,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
100,ETDP SETA,"Leadership, Conflict and Labour Training for Management","Educational Development Unit
(EDU)","1,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
101,ETDP SETA,ICT Programme/Part qualification for Educators,"National Education
Collaboration Trust (NECT)","5,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
102,ETDP SETA,Skills Programme Teacher Development on reading strategy,Nalibali,"4,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
103,ETDP SETA,Advance Certificate in Foundation Phase Teaching,University of Fort Hare,"1,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
104,ETDP SETA,Mentoring and Coaching-Skills Programme,University of Fort Hare,"872,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
105,ETDP SETA,Business Skills Programme,University of Fort Hare,"872,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
106,ETDP SETA,"Public Administration and Management Development
Programmes","National School of
Government","6,900,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
107,ETDP SETA,Management and Leadership for HEIs Rhodes University,Rhodes Business School,"200,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
108,ETDP SETA,Unemployed (ECD Level 5),"East Cape Midlands TVET
College","2,600,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
109,ETDP SETA,Higher Certificate in ECD,Northlink College,"1,040,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
110,ETDP SETA,Geography Teachers Training,University of JHB,"2,496,150.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
111,ETDP SETA,End User computing level 3,Maluti TVET College,"1,099,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
112,ETDP SETA,English Professional Development,WITS Language School,"1,266,710.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
113,ETDP SETA,ICT Integratin in Education,WITS University,"1,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
114,ETDP SETA,End User computing level 3,KZN Blind and Deaf Society,"387,500.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
115,ETDP SETA,EUV Learnership,Ehlazeni TVET College,"4,000,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
116,ETDP SETA,ECD L4 Learnership,NC Urban TVET College,"780,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
117,ETDP SETA,Project Management Training,Northern Cape TVET College,"1,100,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
118,ETDP SETA,Higher Certificate in ECD,College of CPT,"1,040,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
119,ETDP SETA,Higher Certificate in ECD,Boland College,"1,040,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
120,ETDP SETA,Community Development Level 4,West Coast TVET College,"1,560,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
121,ETDP SETA,Supervision Development,Rhodes Business School,"70,000.00",Single source,2017/08/24,Conditional support,10/1/2017,9/30/2020
122,FIC,Improvements to the current corporate video,Salt Advertising,"103,076.00",Single source,2017/07/27,Within AO / AA mandate,2017/08/14,Once off
123,GCIS,Media Relation Services,Humming Bird Media,"475,000.00",Preffered supplier,2017/08/25,Supported,2017/09/01,2018/02/28
124,Geoscience,Satellite monitoring,Swift Geospatial Solutions,"349,583.00",Sole source,2017/07/11,Conditional support,Not stated,Not stated
125,Geoscience,The rental of Lemi Equipment,CJS Fourie,81 000.00,Sole source,2017/07/11,Conditional support,2017/08/01,2017/08/30
126,Geoscience,"Upgrade silverton PABX System and provide support and
maintenance",Gijima,"629,036.00",Single source,2017/06/22,Conditional support,Not stated,Not stated
127,Geoscience,To render services of Gas sampling equipment,"Soth African Nuclear Energy
Corporation (NECSA)","29,880.00",Sole source,2017/06/22,Conditional support,Not stated,Not stated
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
128,Geoscience,Provision of Analytical and Calibration services,NECSA,"3,145,780.00",Sole source,2017/06/22,Conditional support,Not stated,Not stated
129,Geoscience,"Procure seismometer equpment tomeasure each movement
in Kosh around the gold mining KOSH region",Kinemetrics,"1,272,980.00",Continuity of services,2017/02/17,Conditional support,Not stated,Not stated
130,Geoscience,Advertsing services,Mining Publications,"200,000.00",Advertise in mining publications,2017/07/21,Conditional support,Once off,Once off
131,Geoscience,Job evaluation,Deloitte,375000.00,Single source,2017/08/22,Supported,Once off,Once off
132,Geoscience,Benchmarking of salary increments,"21st Century Pay Solutions
Group (Pty) Ltd",19200.00,Continuity of service,2017/08/19,Not supported,Once off,Once off
133,Geoscience,Maintenance service of Airbus,"Airbus Helicopters Southern
Africa","3,364,121.12",Sole source,2017/08/24,Supported,2017/10/01,2020/09/30
134,Geoscience,Electron Microbe analysis,University of JHB,"157,080.00",Single source,2017/08/30,Supported,Once off,Once off
135,"Government Printing
Works","Security consumables, i.e. spine tape and banding strip of the
Uno machine used for printing of passports",Marubeni Corporation,Not stated,Sole source,2017/08/04,Conditional Support,Not stated,Not stated
136,"Government Printing
Works",Procurement of A4 AND A5 Paper,Sappi and Mondi,Not stated,Procure in bulk from manufacturer,2017/08/04,Conditional Support,Not stated,Not stated
137,"Government Printing
Works",Printing of security paper,"Corruseal Group (Enstra
Paper)",Not stated,Sole source,2017/08/15,Conditional Support,Not stated,Not stated
138,"Government Printing
Works","deviate and appoint Enstra Paper (Pty) Ltd for the provision of
various papers RSA Watermark pink 95 gsm reels, GP
Watermark Cheque gsm reels, Passport Visa Paper 95 gsm
sheets etc.",Enstra Paper (Pty) Ltd,Not stated,Sole source,2017/08/23,Conditional support,Not stated,Not stated
139,"Government Printing
Works","deviate and appoint Foilmakers Australia for the provision of
the security gold hot stamping oil",Foilmakers Australia,Not stated,Sole source,2017/08/23,Conditional support,Not stated,Not stated
140,"Government Printing
Works","deviate and appoint Neenah Red Bridge for the provision of
passport cover material",Neenah Red Bridge,Not stated,Sole source,2017/08/23,Conditional support,Not stated,Not stated
141,GPAA,"Procurement of 200 prepaid SLA hours for SAGE ACCTECH
ERP 300 support",Sage Business Partner,"331,001.57",Single source,2017/09/28,Supported,2017/10/01,17 months
142,GTAC,Statistical data analysis software,Quantec,"88,295.28",Sole source,2017/09/04,Supported,2017/09/08,Once off
143,Health,"Supply and delivery of Oncrology Equipment at Addington
Hospital","Varian Medical Systems Africa
(Pty) Ltd","27,570,153.00",Sole Supplier,2017/09/11,Conditional support,Once-Off,Once-Off
144,"Higher Education and
Training",Skills Development and Training interventions,"National School of
Government and Enterprises
University of Pretoria",0.00,"Private Institution courses are not responsive to public sector
needs",7/28/2017,Conditional support,Not stated,Not stated
145,"Higher Education and
Training",NICHE/ZAF/040 (BMS) and NICHE/ZAF/022 (NCV),CINOP Global,"10,910,000.00",Continuity of services,2017/06/22,Conditional support,Not stated,Not stated
146,"Higher Education and
Training","Provide live broadcast at the launch of TVET month at
Ehlanzeni TVET College",SABC,"114,000.00","The selected medium will reach the targeted audience and
deliver on the live braodcast objectives",2017/07/28,Conditional support,Not stated,Not stated
147,"Higher Education and
Training","Training on Asset Management on the newly upgraded
software","DocQnet Asset Management
Solution (Pty) Ltd","57,000.00",Expansion of scope,2017/09/06,"Within the authority of
the AA/AO",Once off,Once off
148,Home Affairs,Catering Services for Training,Intelligence Academy,"669,300.00",Vetted supplier by SIU,2017/07/06,Conditional Support,2017/07/10,2017/09/01
149,Home Affairs,"Request to participate in Department of Justice Security
Contract",Not stated,Not indicated,Bid process cancelled,2017/07/13,Conditional Support,Not stated,6 months
150,Home Affairs,Extension of IP-Granite Solutions,"Foursight IT Business
Solutions","49,681,367.32",Sole source,2017/06/30,supported,Not stated,3 years
151,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Eastern Guard,"5,435,336.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
152,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Jackcliffy Trading,"1,768,808.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
153,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Mabotwane Security Services,"3,679,922.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
154,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Mafoko Security Patrols,"9,556,218.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
155,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Raite Security Services,"8,595,512.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
156,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Reshebile,"13,258,319.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
157,Home Affairs,"Participation in physical security contracts arranged by the
SASSA for a period not exceeding 12 months",Xhobani Security,"7,943,111.00",Cancelled bid process,2017/08/03,Conditional Support,Not stated,Not stated
158,HSRC,"support and maintenance of the R&D Survey Management
System",CSIR,"843,520.00",R&D system was developed by CSIR,2017/06/27,Conditional support,2017/07/01,2019/06/30
159,IEC,Travel management services,Not stated,Not stated,Competitive bid process not finalised,2017/08/18,Supported,10/1/2017,12/31/2017
160,IEC,Lease agreement,Gemgrow Properties,"11,611,673.00",Competitive bid process not succesful,2017/09/18,Conditional support,2017/11/01,2023/10/31
161,INSETA,"To render support services to the 89 actuarial science
students.",SAADP,"497,555.70",Continuity of services,2017/08/23,Not supported,2017/11/30,2018/12/31
162,Labour,"Purchase the updates to and maintenance of the Situation
Specific Evaluation Expert electronic psychometric
assessment system",Assessment World Pty Ltd,"5,459,627.70",Sole source,2017/09/05,Supported,10/9/2017,2020/03/31
163,"Labour- Compensation
Fund",Procurement of office furniture,"Sheltered Employment
Factories","6,551,540.50",Single source due to promotion of emplyment equity,2017/08/16,Conditional support,2017/08/22,Once off
,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
164,"Labour- Compensation
Fund",Pest control and hygiene services,Kusile Hygiene n industrial,"436,591.08",Single source due to cost containment,2017/08/18,Conditional support,8/25/2017,11/30/2017
165,"Labour- Compensation
Fund",Witness fees in arbitration process of Ms R Kwinda,Grant Thornton,"110,124.00",Continuity of service for investigation,2017/09/19,Conditional support,2017/09/29,Once off
166,Lepelle Northern Water,"Replacement of Filter Lateral Drainage System and Filter
Media at Burgersfort Portable Plant",No Supplier,0.00,Competitive bidding was non-responsive,2017/07/12,Not supported,once-off,once-off
