8,Q4 2023/24,2023/12/22,,Public Protector South Africa,Leasing of office accommodation,Eris Property Group Pty Ltd,"R 2 728 204,73","Emergency procurement due to late notification of non-renewal
of the lease agreement",2023/11/24,2023/12/01,2025/11/30,Reported
9,Q4 2023/24,2023/12/22,,Public Protector South Africa,Transportation for relocation of Gauteng office,Nomi Projects Pty Ltd,"R 211 852,89","Emergency procurement due to non-availability of the service
provider originally appointed",2023/11/30,Once-off,Once-off,Reported
10,Q4 2023/24,2023/12/22,,Public Protector South Africa,"Re-installation and configuration of the Gauteng office IP
telephone system telephones",Innovo Networks,"R 9 312,70",Sole supplier (OEM),2023/12/13,Once-off,Once-off,Reported
11,Q4 2023/24,2023/12/22,,Public Protector South Africa,Payments of call charges,Innovo Networks,"R 347 873,92",Sole supplier (OEM),2023/12/04,2024/01/01,2024/08/30,Reported
12,Q4 2023/24,2023/12/22,,Public Protector South Africa,"Upgrading of Bloemfontein office network line from
6Mbps to 16Mbps",State Information Technology Agency (SITA),"R 154 526,49",Sole Supplier,2023/12/18,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of training,State Security Services (SSA),"R 19 621,00",Sole Supplier,2023/12/08,Not stated,Not stated,Reported
14,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Strauss Daly Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
15,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Phatsoane Henney Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
16,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Seanego Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
17,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,M B Mabunda incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
18,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Nompumelelo Hadebe,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
19,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,H M Chaane Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
20,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Gildenhuys Malatji,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
21,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Motsoeneng Bill Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
22,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Mogaswa And Associates,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
23,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Hughes-Madondo Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
24,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Lucky Thekisho incorporated attorneys,R-,Contract expansion due to delay in finalisation of procurement,2023/11/30,2023/12/01,2024/03/31,Reported
25,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Govindasamy Ndzingi & Govender inc,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
26,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Pather and Pather attorneys inc,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
27,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Gray Moodliar inc attorneys,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
28,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,"Dwarika, Naidoo and company",R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
29,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Mamatela Attorneys inc,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
30,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Sigama Attorneys inc,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
31,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Madiba Motsai Masitenyane and Githiri attorneys inc,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
32,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Gwabeni incorporated attorneys,R-,"process
Contract expansion due to delay in finalisation of procurement",2023/11/30,2023/12/01,2024/03/31,Reported
33,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Maguga attorneys inc,R-,"process
Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
34,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,NN Mahumani INC,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
35,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Bafana Ncube Incorporated attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
36,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Nkosi Sabelo incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
37,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Moeti Kanyane,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
38,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Mncedisi Ndlovu and Sedumedi attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
39,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Borman Dumazitha Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
40,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Mkhabela Huntley attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
41,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Popela Maake incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
42,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Phoswa Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
43,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Livingston Leandy Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
44,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Mphaphuli Mudzunga Tshinetise Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
45,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Sithole Mokomane Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
46,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Taleni Godi Kupiso Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
47,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Saljee Govender Van der Merwe Incorporated,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
48,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,Macrobert Incorporated Attorneys,R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
49,Q4 2023/24,2023/12/22,,Public Protector South Africa,Provision of legal services,"Mathopo Moshimane Mulangaphuma Incorporated Practising as DM5
Incorporated",R-,"Contract expansion due to delay in finalisation of procurement
process",2023/11/30,2023/12/01,2024/03/31,Reported
50,Q4 2023/24,2024/01/10,,South African Social Security Agency (SASSA),UPS,infrastructure services,"R 10 957 644,07",limmited bidding through resseler,2023/12/27,2023/12/28,2024/03/15,Reported
51,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Relocation of printers in the KwaZulu-Natal (Durban)
provincial office","Konica Minolta, a division of Bidvest Office (Pty) Ltd","R 1 074,28","Konica Minolta is the current service provider from whom the
printing equipment is leased. They possess the necessary
expertise and knowledge of the equipment.",2023/11/30,2023/12/01,2023/12/31,Reported
52,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Relocation of Uninterruptible Power Supply (UPS)
equipment in the KwaZulu-Natal (Durban) provincial
office",Selemagae Trading,"R 4 806,00","Selemagae is the supplier of the UPS and therefore possess
the necessary expertise and knowledge of the equipment.",2023/11/30,2023/12/01,2023/12/31,Reported
53,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Waterproofing,Viggen Trading & Logistics (Pty) Ltd,"R 269 675,00",Emergency,2023/11/29,2023/12/01,2023/12/31,Reported
54,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Broken side glass windows,Daviston Trading,"R 28 900,00",Emergency,2023/11/24,2023/11/24,2023/11/24,Reported
55,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Colesberg Local Office (Lease of office accomodation),N/A,R-,Limited bidding process,2023/11/21,2023/12/01,2024/03/01,Reported
56,Q4 2023/24,2024/01/19,,South African Bureau of Standards (SABS),Repair work on industrial tumbledryer,Lead laundry and Catering,"R 1 130,00",Sole supplier,2023/12/13,2023/12/12,2024/12/12,Reported
57,Q4 2023/24,2024/01/19,,South African Bureau of Standards (SABS),CNH and Leco Test Equipment,Leco Africa,"R 27 174,00",Sole supplier,2023/12/11,2023/11/10,2024/12/10,Reported
58,Q4 2023/24,2024/01/19,,South African Bureau of Standards (SABS),Approval of Profciency testing participation,DRRR and GmbH and PT South Quality SAS,"R 11 310,00",Sole supplier,2023/12/13,2023/12/13,2024/12/12,Reported
59,Q4 2023/24,2024/01/24,,South African National Accreditation System (SANAS),PTS and CAL Standards,SABS Commercial,"R 29 730,31",Sole Source,2024/01/09,2024/01/09,2024/01/09,Reported
60,Q4 2023/24,2024/01/30,,National Consumer Commission (NCC),Caseware License,Adapt IT,"R 105 095,12",Sole supplier,2024/01/23,2024/04/01,2025/03/31,Reported
61,Q4 2023/24,2024/01/30,,National Consumer Commission (NCC),IDDSA Membership,Institute of Directors in Southern Africa,"R 3 950,00",Sole supplier,2024/01/26,Not stated,Not stated,Reported
62,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),"Electrical failure pressure test and repairs at Groenkloof
Office",Amantle Consulting,"R 6 400,00",Emergency,2023/09/21,Not stated,Not stated,Reported
63,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Electrical failure repairs at East London Office,Amantle Consulting,"R 6 640,00",Emergency,2023/09/22,Not stated,Not stated,Reported
64,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),"Electrical failure pressure test and repairs at Groenkloof
Office",Amantle Consulting,"R 6 400,00",Emergency,2023/10/16,Not stated,Not stated,Reported
65,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),"Annual service and maintenance of the Alpha II FT- IR
equipment",Bruker SA (Pty) Ltd,"R 11 301,00",Sole Source,2023/10/23,2023/10/23,2024/10/22,Reported
66,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Supply of Spare parts for the Plant Room,Marshal Fowler (Pty) Ltd,"R 252 051,20",Sole Source,2023/10/30,2023/10/30,2024/10/19,Reported
67,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Calibration of X-Rite Spectrometer,African Colour Systems cc,"R 10 375,00",Sole Source,2023/10/25,2023/10/25,2024/10/24,Reported
68,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Faulty Generator Inspections & repairs,Marthinusen & Coutts Cleveland,"R 483 330,00",Single source,2023/11/17,2023/11/17,2024/01/31,Reported
69,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Repair work on an Industrial Tumble Dryer,Lead Laundry and Catering (Pty) Ltd,"R 1 130,00",Sole Source,2023/12/13,2023/12/13,2024/12/12,Reported
70,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),"Supply and delivery of various parts for Sulphur
machines. CNH and Leco Test Equipment",Leco Africa (Pty) Ltd,"R 27 174,00",Sole Source,2023/12/11,2023/12/11,2024/12/10,Reported
71,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Approval of proficiency testing participation,DRRR GmbH and PT South Quality SAS,"R 11 310,00",Multiple source,2023/12/13,2023/12/13,2024/12/12,Reported
72,Q4 2023/24,2024/01/30,,South African Bureau of Standards (SABS),Calibration and service of Skalar equipment,AE Solutions (Pty) Ltd,"R 1 782,50",Sole Source,2023/11/17,2023/11/17,2024/01/31,Reported
73,Q4 2023/24,2024/01/30,,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Legal service,Norton Rose Fulbroght SA Inc,"R 5 000 000,00",Single source,2024/01/25,2024/01/25,Not stated,Reported
74,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Hasselblad frankling machine cartridge,Hasler Business System (Pty) Ltd,"R 3 890,00","Hasler Business System (Pty) Ltd are the sole suppliers of the
Neopost/Quadient range of office automation products and all
associated consumables for Southern Africa.",2024/01/12,2024/01/12,2024/02/16,Reported
75,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","The calibration service of Sea-Bird Scientific SBE 19P
CTD and Auxiliary sensors",Sea Technology Services (Pty) Ltd,"R 9 522 000,00","Sea Technology Services (Pty) Ltd holds the exclusive
authorisation as the representative as well as technical
services for Sea-Bird Scientific, Inc. across South Africa",2024/01/18,2024/01/18,2024/04/12,Reported
76,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Characterization of the samples for BET surface area
technique",CSIR,"R 12 075,00","A collaboration with CSIR was initiated to use their equipment
in order to produce polymer films as well as characterize the
samples using different specialized techniques to assess their
various properties.",2024/01/22,2024/01/22,2024/02/29,Reported
77,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Procurement of international standards and online
applications for research purposes",SABS (Pty) Ltd,"R 21 728,00",Standards are only available from ISO and SABS (sole Source),2023/01/18,2023/01/18,2023/01/18,Reported
78,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","To conduct engineering simulation and analysis work
with the ANSYS software on the submarine emergency
ballast blow system",Qfinsoft (Pty) Ltd,"R 130 080,00","Qfinsoft (Pty) Ltd is the only Channel Partner for ANSYS
software products and technical support in South Africa",2024/01/24,2024/01/24,2024/03/08,Reported
79,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","ESRI Server software maintenance renewals for a period
of 3 years",ESRI South Africa (Pty) Ltd,"R 828 970,89","ESRI South Africa (Pty) Ltd is the sole distributor of the ESRI
family of products",2024/01/25,2024/01/25,2026/12/31,Reported
80,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","To conduct UBRD V5 RX field hardware and firmware
enhancement",IOSYS CC,"R 844 000,00","IOSYS CC has developed the UBRD software / firmware, and
is the only entity that can conduct modifications, upgrades, new
developments and problem solving involving the firmware",2024/01/25,2024/01/25,2024/12/31,Reported
81,Q4 2023/24,2024/01/30,,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","To conduct UBRD server hardware and software
enhancement",TLC Engineering Solutions (Pty) Ltd,"R 826 460,00","TLC Engineering Solutions (Pty) Ltd is the sole supplier in
South Africa of the alarm terminal and communication
gateways",2024/01/25,2024/01/25,2024/06/28,Reported
82,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Removal of Mist eliminators from U2 to use on U4,Thapo Industrial Rope Access,"R 368 577,98",Urgent Procurement,2023/12/27,2023/12/28,2024/01/31,Reported
83,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,DHP Maintenance unit 1-4,CBZ Solutions,"R 12 187 143,95",Urgent Procurement,2023/12/22,2023/12/22,2023/12/22,Reported
84,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,K4 IN C&I Sow,Sisu Somhambi Electrical Construction,"R 8 274 444,30",Urgent Procurement,2023/12/27,2023/12/28,2024/04/30,Reported
85,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Filter Bag:Fabric;DIA 160 X LG 8280 MM,Beier Envirotec,"R 35 000 000,00",Urgent Procurement,2023/12/22,2023/12/22,2024/01/31,Reported
86,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,K3 SSC Dipper Plate Manufacture & Supply,Rula Bulk Materials Handling,"R 1 360 249,42",Urgent Procurement,2023/12/23,2023/12/23,2024/03/22,Reported
87,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,"Switch, Pressure",NS Projects,"R 1 587 932,14",Urgent Procurement,2024/01/02,2024/01/31,2024/02/01,Reported
88,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Repair Mechanical Seals,Eagle Burgmann Seals SA,"R 2 192 312,57",Sole source,2024/01/02,2024/01/02,2024/04/30,Reported
89,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Repair Ball Mill 13 clutch,Mangoato Trading Enterprise,"R 1 810 423,00",Urgent Procurement,2024/01/02,2024/01/02,2024/03/22,Reported
90,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Lubrication services at Kusile Power Station,BNP Industrial Solutions,"R 14 948 510,00",Urgent Procurement,2024/01/02,2024/01/02,2024/10/02,Reported
91,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,"Palmiet 2 Generator stripping, assessment to determine
the extent of the repair/rehabilitation, and testing.",Voith Hydro GMBH & Co,"R 7 533 826,55",Urgent Procurement,2023/12/23,2023/12/07,2024/02/29,Reported
92,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Provision of Milling Plant Recovery,Enflotech,"R 43 726 136,78",Urgent Procurement,2023/12/12,2023/12/22,2024/12/21,Reported
93,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Rotork Maintenance Services for maintenance,Rotork Africa (Pty) Ltd,"R 10 374 760,53",Sole Source,2024/01/02,2024/01/02,2028/01/02,Reported
94,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Refurbishment of Rotork actuators,Rotork Africa (Pty) Ltd,"R 36 733 708,09",Sole Source,2024/01/02,2024/01/02,2028/01/02,Reported
95,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,"Iso Kinetic PF sampling test from unit 1-6 sieving, bulk
density, raw coal and report",EF Sampling Solutions (Pty) Ltd,"R 936 798,00",Urgent Procurement,2023/12/11,2024/01/08,2024/03/08,Reported
96,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,H2 Skid -U1,Gas Concepts,"R 214 848,75",Urgent Procurement,2023/01/03,2023/12/29,2023/12/29,Reported
97,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Repairs for Water plant,Bravoplex 115,"R 7 829 283,00",Urgent Procurement,2024/01/03,2024/01/04,2024/06/04,Reported
98,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,"Boiler Aux Cooling Refurbishment services at Duvha
Power Station during Unit 1 outage",Cumdla Trading Enterprises,"R 2 529 234,00",Urgent Procurement,2024/01/04,2024/01/05,2024/02/05,Reported
99,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Fuel Oil Supply (Grade 3),FFS Refiners (Pty) Ltd,"R 14 964 300,00",Urgent Procurement,2024/01/05,2024/01/05,2024/03/05,Reported
100,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,"The recovery and maintenance of unit 1-6 mills, mill
bunkers, mill auxiliaries and PF pipework during running
maintenance and outages.",Steinmuller Africa and Babcock (BNE),"R 220 000 000,00",Urgent Procurement,2024/01/03,2024/01/08,2025/01/08,Reported
101,Q4 2023/24,2024/01/08,,Eskom Holdings SOC Ltd,Supply and Delivery of BFPT FRF Pumps,Hytec South Africa,"R 965 093,58",Sole source,2024/01/05,2024/01/05,Once-off,Reported
102,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Milling Services,Enflotech,"R 39 034 288,40",Urgent Procurement,2024/01/05,2024/01/10,2024/10/31,Reported
103,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Repair top and bottom cooler,Atlas Copco Industrial SA,"R 64 783,72",Urgent Procurement,2024/01/08,2024/01/12,2024/01/12,Reported
104,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Supply and delivery of the bucket elevator conveyor belts,Dunlop Belting Products (Pty) Ltd,"R 4 402 834,10",Urgent Procurement,2024/01/09,2024/01/09,2024/04/02,Reported
105,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Acid cleaning of unit 4 and 5 main condensers,Gra-Tech,"R 10 145 664,00",Urgent Procurement,2024/01/09,2024/01/09,2024/01/29,Reported
106,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Installation of Electrical Power Supply,BT Projects,"R 14 404 260,00",Urgent Procurement,2024/01/09,2024/01/03,2025/01/02,Reported
107,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Supply and delivery of buffalo feeders,FLSMIDTH SOUTH AFRICA (PTY) LTD,"R 983 454,00",Sole Source,2024/01/10,2024/01/15,2024/02/26,Reported
108,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Unit 5 - Field 42 Repairs,J and C Engineering,"R 26 413 490,34",Urgent Procurement,2024/01/11,2024/01/15,Once-off,Reported
109,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,U4 & U5 cooling tower cleaning,Padish Holdings (Pty) Ltd,"R 2 923 307,00",Urgent Procurement,2024/01/08,2023/12/18,2024/02/29,Reported
110,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Brush Elect: Generator Brush Gear; WD 32,Morganite South Africa,"R 6 319 989,76",Sole Source,2024/01/11,2024/01/11,2024/02/22,Reported
111,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,In-situ machining of Reheat Safety Valve,Hiselela Engineering Services,"R 2 851 900,00",Urgent Procurement,2024/01/09,Not stated,Not stated,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
112,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,Refurbishment of boiler Torsion Bar Valve,Kira Valves & Engineering,"R 1 978 914,25",Urgent Procurement,2024/01/15,2024/01/19,2024/01/31,Reported
113,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,"The provision of on board weighbridge in motion
monitoring services to Primary Energy on 50 coal trucks
for a period of 6 months",Nuthook (Pty) Ltd,"R 13 500 000,00",Urgent Procurement,2023/09/01,2023/10/01,2024/03/31,Reported
114,Q4 2023/24,2024/01/18,,Eskom Holdings SOC Ltd,ABB Support EDS & PGIM Emergency Repair,ABB South Africa (Pty) Ltd,"R 48 459,00",Sole Source,2024/01/11,2024/01/16,2024/03/31,Reported
