5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Pevious Expansion
[]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
51,Q3 2022/23,New,2022/11/14,Government Printing Works,105 000 Kg of 80gsm 880mm Bond White paper reels,Mondi,Reels only come in one size and cannot be cut,"R 18 464,00",R -,R -,"Within AA/AO mandate
Noting",2022/09/14,Not stated,Not stated
52,Q3 2022/23,New,2022/11/14,Government Printing Works,12 000 KG of Sentinel Honey 160gsm white security 45mm certificate paper for Namibia,Enstra,Reels only come in one size and cannot be cut,"R 78 793,33",R -,R -,"Within AA/AO mandate
Noting",2022/09/27,Not stated,Not stated
53,Q3 2022/23,New,2022/11/23,Home Affairs,"Extension of contract for the provision of legal assistance in Litigation, Negotiating,
Drafting and concluding agreements relating to the Gijima Settlement and ABIS / Hanis
matters",Edward Nathan Sonnenberg Africa (ENS),"To provide continuity for complex legal matters
relating to the Gijima Settlement and ABIS / Hanis
matters",R -,R -,R -,"Within AA/AO mandate
Noting",2022/08/29,2022/09/01,2024/08/31
54,Q3 2022/23,New,2022/12/14,Home Affairs,"Extension of contract for the provisioning of Biometric Access control management
system licences as well as support and maintenance for Twelve (12) Months (1 Year).",Datacentrix-Lawtrust Consortium,"To allow for a new tender process that will replace
the current BACM solution","R 56 996 232,00","R 189 101 961,30",R -,"Within AA/AO mandate
Noting",2022/11/30,2022/12/01,2023/11/30
55,Q3 2022/23,New,2022/12/14,Home Affairs,Extenstion of contract for Provision of security gaurding services in Free State,Mafoko Patrols,To allow for a new open tender process to be finalised,"R 548 268,44","R 18 851 637,24",R -,"Within AA/AO mandate
Noting",2022/10/31,2022/11/01,2022/11/30
56,Q3 2022/23,New,2022/12/14,Home Affairs,Extenstion of contract for Provision of security gaurding services in Northern Cape,Bamogale,To allow for a new open tender process to be finalised,"R 389 403,10","R 13 382 827,05",R -,"Within AA/AO mandate
Noting",2022/10/31,2022/11/01,2022/11/30
57,Q3 2022/23,New,2022/11/23,Home Affairs,"Extention of contract to manage Front Office processing of Visa and Permit applications
in South Africa and abroad",VFS Global,"To allow for the completion of a Public Private
Partnership process",R -,R -,R -,"Within AA/AO mandate
Noting",2022/10/25,2023/01/01,2025/12/31
58,Q3 2022/23,New,2022/10/19,Home Affais,"epositioning Pogamme Management Office (PMO) scope vaiation and esoucing fo the
Digitisation poject",SMEC,"esoucing of the epositioning PMO team to
accommodate the Digitisation poject",R -,"R 14 513 816,00",R -,"Within AA/AO mandate
Noting",2021/09/30,2021/11/01,2024/10/31
59,Q3 2022/23,New,2022/10/19,Home Affais,HANIS and integated Justice System (IJS) suppot and maintenance,XON Systems,"Extension to include Oacle licences suppot and
maintenance","R 4 181 298,70","R 298 945 522,72","R 4 074 298,81","Within AA/AO mandate
Noting",2019/03/31,2019/04/01,2023/03/31
60,Q3 2022/23,New,2022/10/19,Home Affais,Maintenance and suppot NIIS and CMS,Dimension Data,"To allow the continuation fo maitenance and suppot of
NIIS and CMS up until a new system has been put in
place","R 31 531 816,74","R 105 947 302,00","R 124 149 236,06","Within AA/AO mandate
Noting",2019/03/31,2019/04/01,2023/03/31
61,Q3 2022/23,New,2022/10/19,Home Affais,"Tansaction Adviso fo the poposed Public Pivate Patneship (PPP) fo the development of
Home Affais consolidated Head Office",Utho Capital,To allow fo the completion of the PPP pocess,R -,"R 7 550 000,00",R -,"Within AA/AO mandate
Noting",2019/04/15,2019/05/15,2025/05/14
62,Q3 2022/23,New,2022/12/01,Independent Regulatory Board for Auditors,Catering,The Catering Lark,Variation of Contract,"R 2 737,00","R 10 651,00","10 651,00","Within AA/AO mandate
Noting",2022/10/31,2022/11/02,Once Off
63,Q3 2022/23,New,2022/10/31,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)",Bushbuckride office lease,Sheerprops 100 (pty) Ltd,Continuiity of service,"R 77 326,12","R 258 743,52",R -,Noting,2022/10/31,2021/11/01,2022/10/31
64,Q3 2022/23,New,2022/12/13,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)",extension of office space for two months,Marxsa properties Pty Ltd,"COntinuityof service. the bid has been awarded
however pertitioning has not been complated","R 1 147 302,04","R 5 661 002,40","R 3 453 966,60",Noting,30/11/2022,2022/12/01,2023/01/31
65,Q3 2022/23,New,2022/10/14,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)","External audit services for three financial years, i.e., 2019/20, 2020/21 and 2021/22",Price Waterhouse Coopers (Pty) Ltd,Extended SCM reviews (Review of Bids over R5mil),"R 103 400,00","R 951 895,99","R 126 500,00",Noting,2022/09/30,2020/07/01,2022/08/31
66,Q3 2022/23,New,"Insur
2022/12/07",ance Sector Education and Training Authority (Inseta),"SETA
MICT SETA website hosting, support, and maintenance services.",Cyberfox CC,"The service of hosting of the website is crucial as the
website is a critical communication tool with the
Stakeholders. The procurement processes through
RFQ was at the final stage during the extended","R 36 846,00","R 59 074,35","R14 838,58",Noting,2021/09/01,2022/12/01,2023/02/28
67,Q3 2022/23,New,"Insur
2022/12/07",ance Sector Education and Training Authority (Inseta),"SETA
Recruitment services",Mastech General Trading Pty Ltd,"period. However, inline with the maximisation of
The services of temporary finance administarors is
crucial for the organisation due to increasing volume
of payment requests processed by the organisation
leading to incapacitation of the Finance Division.","R 207 000,00","R 414 000,00",R -,Noting,2022/06/01,2022/11/01,2021/02/28
68,Q3 2022/23,New,2022/10/07,"Insurance Sector Education and Training Authority
(Inseta)SETA",Security Services,"S.K. SeseGolo Security Service (Pty) Ltd-
Maaa0207409",Not proided,"R 115 996,67","R 187 450,00",R -,Noting,2022/06/14,2022/06/15,2022/11/30
69,Q3 2022/23,New,"Insur
2022/12/07",ance Sector Education and Training Authority (Inseta),"SETA
Website hosting, maintenance and support services.",Cyberfox CC,"The service of hosting of the website is crucial as the
website is a critical communication tool with the
Stakeholders. , this is to afford the MICT SETA
adequate time to conclude the transition process.","R 4 992,86","R 59 074,35","R 9 845,72",Noting,2021/09/01,2022/10/01,2022/11/30
70,Q3 2022/23,New,2022/12/15,Lepelle Northern Water,Countinuation of service,AECI Water and Indlela Conultants,Continuity of Service,"R 976 888,05","R 35 167 969,91",R -,Noting,2022/12/15,Not stated,Not stated
71,Q3 2022/23,New,2022/12/15,Lepelle Northern Water,Countinuation of service,Ndulamiso Auqa Solutions,Continuity of Service,"R 244 061,94","R 35 167 969,91",R -,Noting,2022/12/15,Not stated,Not stated
72,Q3 2022/23,New,2022/09/23,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Forensic Investigation (Whistle Blower Report),Khumalo and Mabuya,Continuity of Service,"R 923 600,00",R -,R -,Noting,2022/08/01,Not stated,Not Stated
73,Q3 2022/23,New,2022/11/17,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation: Eastern Cape,Mauveine Investments,No successful bidder after several advertisements,"R 135 484,84","R 1 049 040,00","R 406 454,06",Noting,2022/10/31,2022/10/01,2022/11/30
74,Q3 2022/23,New,2022/11/17,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Office Accommodation: Mpumalanga,De Bryn Commercial Property,No succeful bidder after several advertisement,"R 486 578,34","R 449 315,56","R 486 578,34",Noting,2022/10/31,2022/10/01,2023/03/31
75,Q3 2022/23,New,2022/10/18,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Website hosting, maintenance and support services.",Cyberfox CC,"The service of hosting of the website is crucial as the
website is a critical communication tool with the
Stakeholders. It is important for MICT SETA to extend
the current contact with Cyberfox to afford the MICT","R 9 845,72","R 59 074,35",R -,Noting,2022/09/01,2022/09/01,2022/10/31
76,Q3 2022/23,New,2022/11/04,National Research Foundation (NRF),Hiring of off-site research equipment,University of Cape Town,"SETA adequate time to process and conclude the
Between July and August 2022, iThemba LABS sent
much more samples than anticipated, due to
increases of research and the total charges for the
Hiring exceeded the remaining value left under the","R 18 486,00","R 100 000,00",R -,"Within AA/AO mandate
Noting",2022/10/01,2021/09/21,2022/09/20
77,Q3 2022/23,New,2022/10/24,National Research Foundation (NRF),"Procurement of an Occupational and Environmental Radiation Protection Dosimetry
Service for NRF iThemba Labs in Faure, Western Cape, South Africa",SABS Commercial,"contract.
The compilation and finalisation of the specification
took longer than anticipated and to mitigate any
possible delays during the period of evaluation and
the process of recommending a bidder, within the last",R -,"R 237 255,30",R -,"Within AA/AO mandate
Noting",2022/10/17,2022/11/01,2023/01/31
78,Q3 2022/23,New,2022/09/20,National Research Foundation (NRF),"Provision of front-end software development services to complete the implementation of
the NRF Connect system",Devson Software Pty Ltd,"active period of the contract, the End-User is
An expansion on the original contract is requested
based on the list of outstanding scope of work in the
development inventory. SAWS expanded the scope of
the contract to include cross connect services","R 293 250,00","R 488 750,00",R -,"Within AA/AO mandate
Noting",2022/09/13,2022/07/05,2023/07/31
79,Q3 2022/23,New,2022/10/24,National Research Foundation (NRF),"Provision of Payroll Management for incumbents of contracted programmes for three
years",Foundation for Professional Development,"The proposed contract extension will enable the
current service provider to run the tax year end
reports. Moving to a new Service Provider at the
start of the tax calendar year is the ideal time to","R 128 986,00","R 1 086 899,00",R -,"Within AA/AO mandate
Noting",2022/10/14,2022/11/01,2023/02/28
80,Q3 2022/23,New,2022/12/05,National Research Foundation (NRF),Transpaco Cores & Tubes,Telescope Tubes,"transition
SAAO uses these tubes together with lenses when we
do the telescope workshops with learners and
Educators, to teach them about optics and astronomy
awareness curriculum purposes. The original approval","R 72,60","R 8 320,00",R -,"Within AA/AO mandate
Noting",2022/11/30,Once off,Once off
81,Q3 2022/23,New,2022/10/04,National School of Government,IIC Panel,various suppliers,"was expanded/ varied in accordance with National
reconfigaration of organisation structure",R -,R -,R -,"Within AA/AO mandate
Noting",Not Stated,2022/11/01,2023/06/30
82,Q3 2022/23,New,18/11/2022,National Treasury,"Approval to increase first year license maintenance fee of the BMC Control M Job
Scheduling tool",Blue Turtle Technologies (Pty) Ltd,To increase first year license maintenance fee,"R 75 169,80","R 841 911,76",R -,"Within AA/AO mandate
Noting",2022/07/28,2022/07/31,2025/07/30
83,Q3 2022/23,New,2022/12/01,National Treasury,"Request that the acting Director-General grant approval to deviate from the normal
procurement process for the renewal of the Stata version upgrade and maintenance of
licenses, effective from (1 Nov 22 - 31 Oct 25)",Quantec Enterprises (Pty) Ltd STATA,"Quantec is the sole provider of STATA in South Afriac
appointed by the original software manufacturers
(OSMs)","R 538 044,75","R 629 595,10",R -,"Within AA/AO mandate
Noting",2019/10/10,2019/10/31,2025/10/31
