5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
34,DENEL (Pty) Ltd,"The Turn Key Suppliers For Manufacturing of PCB’s (Limited to Kamas & UAVS & PCB
Deliverables)",OMNIGO and ETION,"12,647,265.45.",Suppliers were intially enggaged in open tender process,Conditional support,Not stated,Not stated
35,DENEL (Pty) Ltd,"Categorisation of Suppliers - The Overlay with Backlight Assembly (CD-10017 and
CDUA-10017) For the Control and Display Unit",Electronic Touch Systems,"93,407.60",Supplier holds IP,Conditional support,Not stated,3 years
36,Department of Mineral Resources,To conduct phase two (2) of the forensic investigation,Mrwebi Charterd Accountants,"6 57,663.84","A competitive bidding process will require a new service
provider to be taken through the entire process to
understand the Department’s concerns",Not supported,Not Stated,Not Stated
37,Department of Transport,Rental of 121 luxury vehicles for the World Economic Forum usage.,BMW SA,"3 ,678,677.03","The Department will realize a cost saving of
approximately 50%",Conditional support,Not Stated,Not Stated
38,Department of Transport,Leasing of 260 busses for the North West Transport Investment,Close bid,Not Stated,"Urgency and dire situation on bus service provided at
Attridgeville, Mabopane and Hammanskraal",Supported,Not Stated,Not Stated
39,DTPS,Business case of the digital development fund for phase 1 and 2,GTAC,"1,004,659.20",Single source,Not supported,2019/08/19,2019/12/14
40,Environmental Affairs,Renewal of the enterprise license agreement,Esri South Africa Pty Ltd,31 500 000.00,Sole source procurement,Noting,2019/6/21,2019/6/21
41,Environmental Affairs,Management of three BO 105 Helicopters,Working -on fire,975 444.00 per annum,Single source procurement method,Not supported,Not Stated,Not Stated
42,Environmental Affairs,Hosting of the 10th women in environment climate change dialogue,Birchwood Hotel,1 950 350.00,Single source procurement method,Supported,2019/8/27,2019/8/29
43,Environmental Affairs,"Hosting of the 8th enforcement Lekgotla, and waste Khoro 2019: asbestos and land
remediation summit.",Mittha Seperepere Convention Centre,1 552 500.00,Single source procurement method,Supported,2019/9/9,2019/9/12
44,Environmental Affairs,"Withdrawal: Hosting of the 8th enforcement Lekgotla, and waste Khoro 2019: asbestos
and land remediation summit.",Mittha Seperepere Convention Centre,"1,552,500.00",Single source procurement method,Supported,2019/9/9,2019/9/12
45,Environmental Affairs/ Basic Education,Building of Toilets in the Eastern Cape,Working -on fire,0.00,Use of Implementing agents,Closed,Not Stated,Not Stated
46,ESKOM,Recruitment of Eskom Chief Executive - HR Executive Search Registered,Not applicable,Not stated,Amount exceed more than R1 million,Conditional support,Not stated,Not stated
47,ESKOM,"The Supply, Delivery and Off-Loading of Lubricants to Various Power Station","BP Southern Africa (Pty), Engen Petroleum
(Pty) Ltd & Astron (Chevron) South (Pty)
Ltd","287,828,816.58",RFP process failed,Conditional support,Not stated,3 years
48,ESKOM,Installation of Oil Flame Scanners,ABB South Africa (Pty) Ltd,"38,573,172.00",Viable solution,Conditional support,Not stated,3 years
49,ESKOM,e-Tender Portal,Not applicable,Not applicable,e-Tender portal was down,Noting,Not applicable,Not applicable
50,ESKOM,"Replacment of the exisitng blowdown air compressors at Palmiet Pumped Storage
Scheme",Lesedi Nuclear Services (Pty) Ltd,"8,139,347.90",Continuity of service,Conditional support,Not stated,18 months
51,ESKOM,"Shot Peenign of GEC Design (Duvha, Majuba & Tutuka) LP Rotors’ Last Stage
Steepels",GEC Power Services (Pty) Ltd,"68,985,016.80",OEM,Conditional support,Not stated,3 years
52,FSCA,2019 Expanded Comparative Financial Literacy Survey,HSRC,"7,000,000.00",Single source,Supported,2019/10/01,2019/12/31
53,GPAA,"Storage, Collection, retrievals and delivery of GPAA documents",Iron Mountain,"494,537.22",Single source,Within AA mandate,Date of approval,6 months
54,Health,Communication Strategist in relation to the NHI,Digital Vibes (Pty) Ltd,"1 33,000,000.00",Preferred supplier,Not supported,Not Stated,Not Stated
55,Health,Preparation of the NHI Fund Implementation Office,Dr. Crisp,"1,826.00",Preferred supplier,Supported,2019/08/01,2020/01/31
56,Health,"Provision of offsite storage and file management for the MBOD/CCOD for a period of 03
months",Metrofile (Pty) Ltd,"7 53,800.37",To allow time to finalise the tender process,Supported,2019/08/01,2019/10/31
57,Health,Closed bid for the NHI Communication service provider,Various,Not Stated,Urgency,Conditional support,Not Stated,Not Stated
58,Health,Hosting and maintaining the South African Clinical Trial Register (SANCTR),South African Medical Research Council,"5 ,255,470.00",SAMRC has capacity to provide the service,Not supported,Not Stated,Not Stated
59,Higher Education and Training,"To print, pack, consolidate and dispatch technical and vocational education and training
question papers",Government Printing Works,0.00,Longstanding relationship,Supported,Not Stated,Not Stated
60,Home Affairs,Private Security Services on Quotation for Northern Cape and Free State Province,Quotation process,"500,000.00",Continuity of service,Conditional support,Not stated,Not stated
61,Interfront,"Office accomodation - St Andrews, Somerset Links Office Park",Midnight Moon Trading,"9,068,648.00",Single source,Supported,2019/07/01,2024/06/30
62,International Relations and Cooperation,Procurement of a chartered flightfor Minister LN Sisulu,Closed tender,Not Stated,Urgency,Conditional support,Not Stated,Not Stated
63,International Relations and Cooperation,"Accommodation of South African delegates attending BRICKS Summit in Brasilia in
November 2019",Windsor Plaza Hotel,Not Stated,"Brazilian Government has allocated the Windsor Hotel to
the South African delegation",Supported,Not Stated,Not Stated
64,International Relations and Cooperation,Expert legal adviser,Adv De Jager,"1,309.00 per hour",Lack of capacity,Not supported,Not Stated,Not Stated
65,Justice and Constitutional Development,"Mass Viewing screens for the Public Hearing scheduled for the former President of the
Republic of South Africa (Mr. JG Zuma) and other high-profile persons",Various service providers,"1,817,199.50",Close bid,Conditional support,Once off,Not stated
,Justice and Constitutional Development,Legal publications,"LexisNexis, Juta & Sabinet","30,000,000.00","Only service providers providing legal publications for
Judiciary",Not supported,2019/08/01,2019/09/30
5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
67,Labour,Mandatory Operations Management Training,University of Free State,"435,200.00",Single source,Within AA mandate,Not stated,Not stated
68,Labour,Roll out hosted business telephony,Telkom SA,"500,000.00",Single source,Within AA mandate,2019/06/25,2021/06/24
69,Labour,Conduct Baseline Research on silicosis,CSIR,"2,000,000.00",Single source,Not supported,Not stated,Not stated
70,Labour - UIF,SAP system handover,Accenture,"621,541.00",Single source,Supported,Not stated,Not stated
71,Lepelle Northern Water,"Social facilitation service provider of Mopani District Municipality for Water and
Sanitation Revitalisation Programme",Tuli HR & Projects,"3 ,120,000.00",Continuity of Service,Not supported,2019/08/01,2020/09/01
72,Local Gov SETA,Procurement of HP and Lenovo products,Hewlett-Packard & Lenovo,"994,800.00",Standardisation within the entity,Conditional Support,Not Stated,Not Stated
73,Local Gov SETA,Procurement of microsoft dynamics,Closed bid to Microsoft accredited suppliers,"1,500,000.00",Closed bid process to accredited suppliers,Conditional Support,Not Stated,Not Stated
74,Local Gov SETA,Capacity Building Training to municipal human resource development personnel,"School of Public Leadership (Stellenbosch
University)","4,020,000.00",Continuation of service,Conditional Support,2019/9/1,2019/3/30
75,Medical Research Council of South Africa,"rd nd
conduct the 3 Female and Child Homicide and 2 Injury Mortality Survey for a period
of two (2) years",GeoSpace International,"4 ,400,000.00",Urgency,Conditional support,Not Stated,Not Stated
76,Mining Heallth and Safety Council,"Provision of accommodation and conference venue to host Women in Mining Indaba
from 21-22 August 2019.",Lakes Hotel,"1,036,440.00","There were delays in finalising a new TMC contract to
cater for the service.",Noting,2019/08/21,2019/08/22
77,Mining Qualifications Authority,Printing of certificates,CSX Customer Services,"235,000.00",Correction of financial year,Noting,2019/06/07,2020/03/31
78,National Health Laboratory Service,"Supply of re-agents and consumables for laboratory analysers at Inkosi Albert Lithuli
Central Hospital",Siemens,"1 00,000,000.00",Sole Supplier,Noting,Not stated,Not Stated
79,National Student Financial Aid Scheme,To assist NSFAS with state debor collection,Q-link,"10,000.00 per month",Sole supplier procurement method,Noting,2019/07/23,Not Stated
80,NHBRC,Women empowerment programme,Various suppliers,"10,000,000.00",Non responsive bid,Not supported,Not stated,Not stated
81,NHBRC,Renew lease agreement,Colombia Falls,"3,883,833.04",Renewal of lease agreement,Conditional support,Not stated,Not stated
82,NHBRC,Lease agreement for Bellville Office,Growthpoint Properties,"11,188,048.00",Renewal of lease agreement,Conditional support,Not stated,Not stated
83,NHBRC,Maintenance services of the Pandora software,Prinintergration,"725,861.03",Sole supplier,"Within AA/AO mandate
Noting",Not stated,Not stated
84,NHBRC,Additional licenses for SAP licenses,SAP SA,"80,000.00",Sole supplier,"Within AA/AO mandate
Noting",Not stated,Not stated
85,NPA,Library subscription for NPA,LexisNexis Pty Ltd,"3,628,381.00","Continuation of an existing services for library
subscription for NPA",Noting,Not stated,Not stated
86,NPA,"TAT i-Chain Techonologies, for the renewal of the licence",TAT i-Chain Technologies and Acc Tech.,"1,406,077.63",Continuity of service,Noting,2019/06/01,2022/05/31
87,NPA,Maintenance and support of Fortigate equipment,Various service providers,Not Stated,Close bid,Conditional support,Not stated,two yers
88,NPA,Legal services,Various service providers,Not Stated,Single source,Conditional support,Once off,Not stated
89,Office of the Valuer General,Supply of a vehicle on a lease basis,G-Fleet,"3 89,819.06","OVG does not have a unit specializing in vehicle
maintenance an management",Not supported,Not Stated,Not Stated
90,Passenger Rail Agency of South Africa,"Refurbishment, Repair and Supply of Mission Critical Components, Maintenance
Significant Items, Wheels and to render Maintenance Support Services of Rolling Stock
Fleet",Not Stated,"6 04,520,000.00",To finalise procurement process,Conditional support,Not Stated,Not Stated
91,Passenger Rail Agency of South Africa,Appointment of DBSA as an Implementing Agent,DBSA,"5,446,261,053.00",Role played by DBSA infrastructure delivery space,Not supported,Not Stated,Not Stated
92,Passenger Rail Agency of South Africa,"Leasing of locomotives for Main Line Passenger Services (MLPS) and for a period of six
(6) months",Closed tender,Not Stated,Finalising the tender process,Conditional support,Not Stated,Not Stated
93,Passenger Rail Agency of South Africa,"Supply, delivery and installation of Over Head Track Equipment (OHTE) on the up main
line between Fountains and Olifantsfontein in the Gauteng Region",Request for Quotation,"5,000,000.00",Urgency,Conditional support,No Stated,Not Stated
94,Passenger Rail Agency of South Africa,"National rehabilitation of railway track with on track ballast screener and rail grinding
machines",Request for Quotation,"5,000,000.00",Urgency,Conditional support,Not Stated,Not Stated
95,PetroSA,Provision of scaffolding equipment on rental basis,Siyakhona Scaffolding Services (Pty) Ltd,1 300 000 p.m,Cancellation of a new tender award,Conditional support,2019/07/01,2019/08/31
96,Presidency,Provision of Denial of Service (DoS) protection services,Absol Internet Business Solutions,"1 ,212,445.00","Data Centre service provider cannot allow any other
service provider providing them with DoS tools.",Conditional support,Not Stated,Not Stated
97,Presidency,Capacity development interventions,National School of Government,"3 ,096,590.00",Single source supplier,Conditional support,Not Stated,Not Stated
98,Presidency,Funeral undertaker and a catering service provider,Not stated,"2 ,000,000.00",Undertaker and a catering service provider,Conditional support,Not Stated,Not Stated
99,Public Enterprises,Advise the Minister on all matters related to Public Protector,Malatji Kanyane Attorneys,Not stated,Continuity of service,Conditional support,Not stated,Not stated
100,Public Enterprises,Develop and implement Department’s Enterprise Architecture,Matsei Technologies & Consulting,"933,285.00",Continuity of service,Conditional support,Not stated,Not stated
101,Public Works,Train the remaining 84 officials on Public Service Property Programme and mentorship,SAPOA,"3,209,855.00",Single source procurement method,Not supported,2019/09/01,2020/08/31
102,Public Works,"Reporting: Boilers number 2, the ignition arch is damaged and is dengerous",Boiler & Industrial Plant (Pty) Ltd,"2,000,032.90",Emergency procurement method,Noting,Not Stated,Not Stated
103,Public Works,Renegotiate and renew leases : Kwa Zulu Natal Province,Various Landlords,0.00,Based on previous NT approvals,Closed,Not Stated,Not Stated
104,Public Works,Renegotiate and renew leases : Limpopo Province,Various Landlords,0.00,Based on previous NT approvals,Closed,Not Stated,Not Stated
105,Public Works,Renegotiate and renew leases : Northern Cape Province,Various Landlords,0.00,Based on previous NT approvals,Closed,Not Stated,Not Stated
,Public Works,Acquisition of office accommodation for the department of Home Affairs in Siyabuswa,Provicnial Department of Public Works,"4,058,246.93",Scarcity of office accommodation in the area,Supported,2019/10/01,2024/09/30
5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
107,Public Works,Event related equipment and infrastructure for the funeral of General Maphoto,"Closed bid to NVT Communications, Crocia
Events and C-Squared","1,800,000.00",Single source procurement method,Conditional Support,Not Stated,Not Stated
108,Public Works,Venue for the funeral of the late Deputy Minister Ms Bavelile Hlongwa,Durban International Convention Centre,0.00,Urgency procurement method,Supported,2019/9/21,2019/9/21
109,Public Works,Additional accommodation for Department of Rural Development,Columbia Falls 80 Pty Ltd,"2 95,488.00",Negotiated Procedure,Supported,Not stated,Not stated
110,Railway Safety Regulator,"Provide legal services including recovering monies related to the financial misconduct
of the CEO and finalise the CEO's disciplinary hearing.",Werkmans Attorneys,"2,000,000.00","The legal strategy adopted by Werkmans is a unique
approach solely accredited to them",Supported,Not stated,Not Stated
111,Road Accident Fund,Subscription to Hello Peter social media platform,Hello Peter,"2 18,475.28",Preferred supplier,"Within AA/AO mandate
Noting",Not Stated,Not Stated
112,Road Accident Fund,"Limited bidding for the acquisition of OpenScapeservers, Voice V9 Dynamic User
licence , replacement of existing RG87 including support and maintenance",Various,"7 ,850,735.22",UNIFY accredited distributors,Supported,Not Stated,Not Stated
113,Road Traffic Management Corporation,"Comnferences, seminars, trainings and workshops",Not stated,Not Stated,It is impractical to get three quotations,"Within AA/AO mandate
Noting",Not Stated,Not Stated
114,Road Traffic Management Corporation,Oracle database maintenance Software Licenses,Oracle SA,"5 ,473,842.38",Sole supplier,Noting,Not Stated,Not Stated
115,Rural Development and Land Reform,To conduct further claimant verification of Nomlacu Community,Sisitha Development Consultants,"180,137.59",Continuity of work,"Within AA/AO mandate
Noting",Not Stated,Not Stated
116,Rural Development and Land Reform,"Supply portable air-conditioners, mist fans and oil heaters",Minimapu Trading Enterprise (Pty) Ltd,"1 ,734,653.00",The HVAC system was not functioning,Not supported,Not stated,Not stated
117,SABC,"Process of analyzing, selecting and directing the path of Outbond and Inbound
communication",Nashua ECN,"3,913,557.00",Single source,Supported,Date of approval,12 months
118,SABC,"Maintenance, Support and upgrade CURA system",CURA Software System,"348,987.38",Single source,Within AA mandate,Date of approval,12 months
119,SABC,"Renewal of licence, software support and maintenance",Fikon Treasury & IT Limited,"5,163,500.00",Single source,Within AA mandate,Date of approval,2022/03/31
120,SABC,Maintenance and support for Harmonic playout,Inala Broadcast,"5,192,521.20",Single source,Within AA mandate,2019/08/01,2022/07/31
121,SABC,Avid Isis support,Jasco ICT Solutions,"8 ,657,598.77",Continuity of service,Pending,Date of approval,2022/06/30
122,SABS,Multi-disciplinary engineering,Royal Haskoning DVH,"1,000,000.00",Funds depleted,Conditional support,2019/08/01,2019/09/31
123,SAPO,Installing and Commissioning of lift equipment to various SAPO Offices,Closed bid,Not stated,Closed bid,Supported,Not stated,Not stated
124,SASSA,Office accommodation Corless Road Local Office,Condeed (Pty) Ltd,"107,793.33",Continuity of service,,2019/07/01,2024/06/30
125,SASSA,Office accommodation Idutywa local,Masranet (Pty) Ltd,"464,731.00",Continuity of service,Supported,2019/05/01,2022/06/30
126,SASSA,Office accommodation Kuruman district office,Argmar Beleggings,"2,864,030.64",Continuity of service,Not supported,2019/06/01,2019/05/31
127,SASSA,Office accommodation Nieuwoudville local office,Ndlovu Trust,"3,175,297.32",Continuity of service,Supported,2019/07/01,2022/06/30
128,SASSA,Office accommodation Nieuwoudville,Verenigende Gereformeerde Kerk (VGK),"167,571.95",Continuity of service,"Within AA/AO mandate
Noting",2019/07/01,2022/06/30
129,SASSA,Office accommodation Upington local office,Trifecta Trading 434 Property 5 (Pty) Ltd,"6,704,661.60",Continuity of service,Not supported,2019/07/01,2022/06/30
130,SASSA,Office accommodation for Sedibeng local office,Rebosis Property Fund Limited,16 329 703.90,Continuity of service,Not supported,2019/08/01,2021/07/31
131,SASSA,Additional parking for Ghandi Square office,Servest Multi Service Group,3 376 156.00,Continuity of service,Supported,2019/08/01,2021/07/31
132,SASSA,Media buyer,GCIS,2 875 000.00,Sole source government media buyer,Conditional support,2019/10/21,2019/10/26
133,Science and Technology,Review of DSI,Panel of service providers,"1 ,500,000.00",Existing MOU,Not supported,Not Stated,Not Stated
134,Science and Technology,Hiring of venue,Lord Charles Hotel,"3 4,086.00",Memeorundum of understanding,"Within AA/AO mandate
Noting",Not Stated,Not Stated
135,SITA,Provision of office space to SITA,RBIDZ,Not stated,Multiple source,Supported,Not stated,5 years
136,SITA,ICT research subscription services,Gartner,"7,128,800.00",Single source,Not supported,2019/07/01,2022/06/30
137,SITA,Provision of ECN services for the SA connect,Broadband Infraco,"35,254,981.00",Single source,Supported,2019/10/01,2020/09/30
138,Small Business and Development,To host the Startup Nations Summit 2019,Durban International Convention Centre,1 300 000.00,Single source procurement method,Supported,2019/11/21,2019/11/23
139,Small Enterprise Development Agency (SEDA),Provision of office accommodation in Knysna,Nobe Spectatus Fund 4 (Pty) Ltd,"2,990,003.21",Quotation procurement method,Supported,2019/12/1,2024/11/30
140,Small Enterprise Development Agency (SEDA),Provision of office accommodation in Kroonstad,Las Properties CC,2 232 846.12,Quotation procurement method,Supported,2019/9/1,2024/8/31
141,Small Enterprise Development Agency (SEDA),Provision of office accomodation in Newcastle,Victoria Trust,3 602 736.12,Single source procurement method,Supported,2019/10/1,2024/9/30
142,Social Development,Catering services in PE,EMEs and QSEs,3 091 000.00,To target SMEs and QSEs in PE,Not supported,2019/10/21,2019/10/26
143,Social Development,Venue and accommodation in PE,Departmental Agency,2 188 800.00,"Different establishments will have a negative impact on
other logistics",Conditional support,2019/10/16,2019/10/26
144,South African Airways Limited,Global Onboard Catering,Gate Group,"889,000,000.00",Cost reduction,Not supported,Not stated,3 years
145,South African Maritime Safety Authority,Procurement of vessel maintenance services and spare parts for three (3) months,Request for Quotation,Not Stated,Finalising the tender process,Conditional support,Not Stated,Not Stated
146,South African National Parks,Training on Higher Certificate in Hospitality,Not Stated,Not Stated,Closed Tender,Supported,2019/07/23,2022/07/22
147,South African National Parks,Skills development programme,Not Stated,Not Stated,Closed Tender,Supported,2019/07/29,2022/07/28
148,South African National Parks,Procurement of the room-seeker system,RTTS,28 829 550.62,Continuity of service,Closed,Not Stated,Not Stated
149,South African National Space Agency,Secretariat duties for the 2020 SpaceOps conference,International Astronautical Federation,"2 ,139,556.00",Agreement between SpaceOps organisation and IAF,Supported,Not Stated,Not Stated
150,South African National Space Agency,Secretariat activities,RCMRD,"6 ,000,000.00",Impractical to invite competitive bidding process,,Not stated,Not stated
,South African Police Service,To conduct investigations into alleged procurement irregularities,Traros (Pty) Ltd,"782,000.00",Quotations procurement method,Not supported,Not Stated,Not Stated
5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2019/2020 QUARTER 2 (JULY 2019 - SEPTEMBER 2019) REPORT- DEVIATIONS,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
152,South African Police Service,"Transportation of deployed officials over the government elections held on the 8 May
2019.",Various Transport companies,"5,173,275.00",Urgency procurement method,Noted,Not Stated,Not Stated
153,South African Police Service,Deviation from the BEC recommendation,Acino Forensic (Pty) Ltd,"497,679,306.82",Differing opinions of the bid committee,Closed,Not Stated,Not Stated
154,South African Police Service,Supply of DNA Quantification Kits,LTC Tech SA,"4,359,075.00",Quotation procurement method,Not supported,Not Stated,Not Stated
155,South African Post Office,Address clean-out services,Various suppliers,Not Stated,Closed Tender,Not supported,2016/07/03,Not Stated
156,South African Tourism,Coordinating an industry roadshow to take place in the USA,Destination Consellors International,3 125 830.00,Single source procurement method,Supported,2019/7/27,2019/8/10
157,South African Tourism,Collaboration with Universal Music Group (Cassper),Universal Music Group (Cassper),1 466 400.00,Single source procurement method,Not supported,Not Stated,Not Stated
158,South African Tourism,To refresh the existing model with additional features and functionalities,Grail Insights,1 820 000.00,Single source procurement method,Not supported,2019/8/1,2019/12/31
159,South African Tourism,Execution of the Lilizela awards,FCB Africa,4 000 000.00,Single source procurement method,Not supported,Not Stated,Not Stated
160,South African Tourism,Marketing services,Weber Shandwick,"9,384,000.00",Single source procurement method,Not Supported,Not Stated,Not Stated
161,South African Tourism,Marketing services,LS Communications,"15,045,042.00",Single source procurement method,Not Supported,Not Stated,Not Stated
162,South African Tourism,Marketing services,Media Shop,"152,500,000.00",Single source procurement method,Not Supported,Not Stated,Not Stated
163,Stats SA,Forensic investigation on Consultancy Services,Not stated,"1,000,000.00",Obtain price quotations,Supported,Not stated,3 months
164,Tourism,"To provide technical and advisory support services on approved Tourism infrastructure
procurement, planning, management and monitoring approach",GTAC,4 908 992.00,Single source procurement method,Supported,Not Stated,Not Stated
165,Trans-Caledon Tunnel Authority,"Professional support to TCTA to prepare and finalise Annual Financial Statements
(AFS) for the Financial Year 2018/19",SNG Grant Thornton,"2 ,000,000.00",Capacity constraints,Not supported,Not Stated,Not Stated
