GOVERNANCE MONITORING AND COMPLIANCE: 2021/2022 QUARTER 2 (16 June 2021 - 15 September 2021) REPORT DEVIATIONS,,,,,,,,,
Number,"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)",Contract start date (yyyy/mm/dd),"Contract expiry
(yyyy/mm/dd)"
21,2021/6/18,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Supply of four legislations and revision updates,Juta and Company (Pty) Ltd,"1 268 423,04",Sole Supplier,Noting,Not Stated,Not Stated
22,2021/6/24,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Support and maintain Oracle hardware equipment,Oracle Corporation South Africa (Pty) Ltd,"17 553 862,92",Sole Supplier,Noting,2021/4/1,2022/3/31
23,2021/6/30,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Renewal of McAfee software for 12 months,Cyberlinx Security JV Aves Cyber Security,"24 003 169,55",Emergency Procurement,Noting,Not Stated,Not Stated
24,2021/7/13,"Department of Agriculture, Land Reform and Rural Development (DALRRD)","Support and maintain the existing ICT network infrastructure which
includes data and voice lines",Telkom,"125 000 000,00",Sole Supplier,Not Supported,2022/4/1,2027/3/31
25,2021/7/22,"Department of Agriculture, Land Reform and Rural Development (DALRRD)","Annual renewal of Oracle software update license and support from
o1 June 2021-31 May 2022",Oracle Corporation South Africa (Pty) Ltd,"14 659 406,76",Sole Supplier,Noting,2022/6/21,2021/05/31
26,2021/08/31,"Department of Agriculture, Land Reform and Rural Development (DALRRD)",Training of 75 unemployed graduates,PPECB,"1 847 000,00",Only PPECB provide this specialized training,Noting,2021/4/1,2024/03/31
27,2021/8/4,Department of Basic Education (DBE),Provision of LAN/Desktop Support Services,SITA,"7 268 573,59",DBE does not have its own resources,Supported,Not stated,Not stated
28,2021/08/02,Department of Communications and Digital Technologies (DCDT),Electronic Performance Management System (e-OPMS),Instituate of Performance of Management,"2 622 261,20",single source,Supported,Not Stated,Not Stated
29,2021/08/19,Department of Communications and Digital Technologies (DCDT),CyberSecurity Hub,CSIR,Not Stated,single source,Noting,Not Stated,Not Stated
30,2021/07/30,Department of Cooperative Governance (DCoG),"Implementing agent for the CWP in Mpumalanga and Limpopo
provinces","National Youth Development Agency
(NYDA)",763 042 100.62,Preferred service provider,Not Supported,12 months,12 months
31,2021/08/18,Department of Cooperative Governance (DCoG),"Implementing agent for the CWP in Mpumalanga and Limpopo
provinces","National Youth Development Agency
(NYDA)",763 042 100.62,Preferred service provider,Not Supported,12 months,12 months
32,2021/05/18,Department of Correctional Services (DCS),Cleaning services,NPOs,Not stated,Impracticality,Not supported,Not stated,Not stated
33,2021/09/15,Department of Employment and Labour (DEL),"Provisioning of SAP Enterprise Support, UDD Agreement, SAP
Premium Services and SAP Certification Training",SAP South Africa,"390 718 411,00",Single source,Conditional Support,Not Stated,Not Stated
34,2021/06/23,"Department of Environment, Forestry and Fisheries (DEFF)",Deviation from the Travel Policy Framework,Not Stated,Not Stated,To accommodate Ms Hani's special needs,Not Supported,Not Stated,Not Stated
35,2021/06/30,"Department of Environment, Forestry and Fisheries (DEFF)",Provision of software solution,Microfocus SA,"7 837 801,72",Single Source,Not Supported,Not Stated,Not Stated
36,2021/07/07,"Department of Environment, Forestry and Fisheries (DEFF)","Continued development and maintenance of the ocean and coast
information management system(OCIMS)",CSIR,"10 413 710,00",Single Source,Not Supported,Not Stated,Not Stated
37,2021/07/07,"Department of Environment, Forestry and Fisheries (DEFF)","Continued development and maintenance of the Marine Information
Management System (MIMS) for period of five years",SEAON,"2 723 112,00",Single Source,Not Supported,Not Stated,Not Stated
38,2021/07/14,"Department of Environment, Forestry and Fisheries (DEFF)","To assist with finalisation of maximum fee to be set up by the
Minister",GTAC,"2 593 096,00",Single Source,Not Supported,Not Stated,Not Stated
39,2021/08/16,"Department of Environment, Forestry and Fisheries (DEFF)","Provision of Caterpillar and Challenger equipment, maintenance,
services and spare parts required for use in Antarctica",Barloworld South Africa (Pty) Ltd,"14 500 000,00",Single Source,Not Supported,Not Stated,Not Stated
40,2021/08/17,"Department of Environment, Forestry and Fisheries (DEFF)","Procurement of eight (8) OrgPlus Desktop 11.2 licenses for eight (8)
officials",LRMG,936 923.13,Single Source,Supported,Not Stated,Not Stated
41,2021/08/18,"Department of Environment, Forestry and Fisheries (DEFF)","Management Authority for the management of Isimangaliso
Expansion Marine Protected Area",Isimangaliso,"2 400 000,00",Single Source,Not Supported,Not Stated,Not Stated
42,2021/08/19,"Department of Environment, Forestry and Fisheries (DEFF)","Management of Addo Elephant Park, Robben Island and
Namaqualand National Park Marine Protected Areas",SANPArks,"5 400 000,00",Single Source,Not Supported,Not Stated,Not Stated
43,2021/09/03,"Department of Environment, Forestry and Fisheries (DEFF)","To utilize the SANPARKS Airbus AS 350 helicopter support service
for the upcoming Gough Island Voyage Scheduled from 14
September to 19 October 2021","African Marine Solution Group Pty Ltd
(AMSOL).","2 500 000,00",Single Source,Not Supported,2021/9/14,2021/10/19
44,2021/09/06,"Department of Environment, Forestry and Fisheries (DEFF)","To manage, plan, control, execute and monitor the working on fire
programme that will contribute to maintaining ecologically acceptable
fire regimes within fire-prone biomes of the country and protecting
the country’s economy from the damages caused from veld & forest",Working on Fire,350 000 000.00,Single Source,Noting,Not Stated,Not Stated
45,2021/07/14,Department of Health (DoH),Legal Counsel,"Adv Budlnders,Adv Makola, Adv Seroto,
Adv Peer","0,00",urgent services,Supported,Not stated,Not stated
46,2021/09/10,Department of Health (DoH),"Hosting, maintenance of Internship and Community Service Program
(ICSP) online solution and management of a Help Desk for ICSP
onlin","Health Information Systems program
South Africa (HISP-SA)","47 477 303,00",Continuation of Service,Not Supported,Not Stated,Not Stated
47,2021/07/15,Department of Higher Education and Training (DHET),Printing and Delivery of examination certificates and Diplomas,Government Printing Works,12 298 100.00,secured printing,Supported,Not stated,Not stated
48,2021/07/20,Department of Home Affairs (DHA),Transfer of an existing contract from the City of Cape Town,Inter-Departmental transfer,Not Stated,Cost efficient,Supported,Not Stated,Not Stated
49,2021/07/07,Department of International Relations and Cooperation (DIRCO),provision of vehicle leasing and fleet management services,G-Fleet,"1 066 826,51",DIRCO needs three months to conclude a contract with G-Fleet,Supported,Not Stated,Not Stated
50,2021/07/30,Department of International Relations and Cooperation (DIRCO),provision of occupational health care services,Gauteng Department of Health,"6 458 400,00",GDOH does not charge an administration fee for a contract,Supported,Not Stated,Not Stated
51,2021/07/23,Department of International Relations and Cooperation (DIRCO),"Provision of supply chain management course and workshop for 44
officials",National School of Government,"303 040,00","AGSA has identified gaps in the areas of assets management, financial
management as well as supply chain management",Within AA/AO mandate Noting,Not Stated,Not Stated
52,2021/08/12,Department of Military Veterans (DMV),"provision for the review of 2019 institutional option analyses for an
independent Military Ombud and the development of an associated
business case",GTAC,1 800 000 000.00,Preferred service provider,Conditional Support,Not stated,Not stated
53,2021/08/16,Department of Public Enterprises (DPE),"Provide technical and advisory assistance and support to the
Department for Presedential State-Owned Enterprises Council
(PSEC) Governance Workstream",GTAC,"11 000 000,00",Preferred service provider,Conditional Support,2021/9/1,2023/06/30
54,2021/06/29,Department of Public Service and Administration (DPSA),Hosting and Maintenance of eDisclosure system,SITA,"18 134 418,94",single source,Noting,Not Stated,Not Stated
55,2021/08/04,Department of Public Service and Administration (DPSA),"Professional, productive and responsive public service and
adminstrative","South Africa Accreditation Authority
(SAAA) & Advanced Electronic Signature
Solutions",Not Stated,single source,Within AA/AO mandate Noting,Not Stated,Not Stated
56,2021/07/06,Department of Public Works and Infrastructure (DPWI),Office Accomodation for Department of Home Affairs in Modimolle,Tirade Props 136 (Pty) Ltd,"3 813 443,42",Emergency Procurement,Noting,2021/2/1,2024/01/31
57,2021/08/05,Department of Public Works and Infrastructure (DPWI),Provision of 402 sedan vehicles,"Barloworld South Africa (Pty) Ltd t/a Avis
Rent a Car","35 998 461,00",To allow time for conclusion of the open procurement process,Noting,2021/6/1,2022/02/28
58,2021/08/24,Department of Tourism (DT),Implementation of the National Youth Chef Training Programme,South African Chef Association,"15 827 671,00",Single Source,Not Supported,Not Stated,Not Stated
59,2021/7/27,Department of Transport (DOT),Provision of mediation service,SAAM,Not Stated,SAAM acts as a professional regulator body for its members,Not Supported,Not stated,Not stated
60,2021/07/02,Department of Water and Sanitation (DWS),"Emergency Work: repair and service infrastructure Usutu Vaal
Government Water Scheme and any other mechanical and electrical
work",Madina Engineering,"13 502 886,00",Emergency Procurement,Within AA/AO mandate Noting,Not stated,Not stated
61,2021/07/02,Department of Water and Sanitation (DWS),"Emergency Work: repair and service infrastructure Usutu Vaal
Government Water Scheme and any other mechanical and electrical
work",Mulbert Pump Repairs,"25 300 000,00",Emergency Procurement,Within AA/AO mandate Noting,Not stated,Not stated
62,2021/07/05,Department of Water and Sanitation (DWS),"Emergency work contractor to the get Groblersdal Area Office
Schemes into a functional condition",Limphota Housing CC,24 739 864.00,Emergency Procurement,Within AA/AO mandate Noting,Not stated,Not stated
63,2021/07/05,Department of Water and Sanitation (DWS),"Emergency work supply and install the 35mm2 XL PE22kv New
Cable (Lavumisa Pump Station)",Godide Engineerin Services,"19 561 743,80",Emergency Procurement,Within AA/AO mandate Noting,Not stated,Not stated
64,2021/07/07,Department of Water and Sanitation (DWS),"Emergency work contractor to get Tzaneen Area Office into a
functional condition",Ukwakhana Electrical Services,"14 348 768,50",Emergency Procurement,Within AA/AO mandate Noting,Not stated,Not stated
65,2021/07/13,Department of Water and Sanitation (DWS),"Provide external legal professional
support and assistance to the Minister at the official capacity as and
when required",Zola Majavu,Not Stated,Preference,Not Supported,Not stated,Not stated
66,2021/08/27,Department of Water and Sanitation (DWS),"Tienfontein Pump Station for the repair of one pump (pump number
6) installed at Tienfontein Pump Station in the Free State Province
under the project P/0980: Upgrade 10FTN pump,",Sulzer Pumps (South Africa),"4 770 880,65",Original Equipment Manufacturer (OEM) and sole supplier of pumps installed,Conditional Support,Not Stated,Not Stated
67,2021/09/06,Department of Water and Sanitation (DWS),Disciplinary hearing initiator,Exbritybe (Pty) Ltd,"272 550,00",Continuation of service,Not Supported,Not Stated,Not Stated
68,2021/08/17,Department of Water and Sanitation (DWS),Conduct investigation at Amatola Water,Makhubela Attorneys,"983 250,00",Contuinity of services,Noting,Not Stated,Not Stated
69,2021/07/01,Development Bank of Southern Africa (DBSA),Coaching services for the Finance Division,Nabantu Partners,"60 375,00",Single source,Supported,Not Stated,Not Stated
70,2021/06/25,Eskom Holdings SOC Ltd,Response for the procurement of Electronic Signature Solution,LawTrusted Third Party Services (Pty) Ltd,"9 554 128,14",Preferred bidder,Not supported,12 months,12 months
71,2021/08/23,Eskom Holdings SOC Ltd,"Installation of SEC Rubber Lined Replacedment Piping at Koeberg
PS Reference FY21/22-KOEBE6",NECSA,"36 389 388,00",Preferred service provider,Conditional Support,19 months,19 months
72,2021/08/10,Eskom Holdings SOC Ltd,"Site Preparation and Pre-Works, to comply with a Ministerial &
Intergovermental Delegation to Komati Power Station",Eskom Rotek Industries (ERI),"849 293,06",Preferred service provider,Not Supported,3 weeks,3 weeks
73,2021/09/08,Financial Intelligence Centre (FIC),renewal of the license and maintenance,Casewise South Africa,"1 076 249,37",Sole supplier,Noting,2021/9/1,31/8/2024
74,2021/09/09,Financial Intelligence Centre (FIC),"Placement of compliance related advertisements, editorials,
advertorials and articles",Not Stated,"3 243 922,50",single source,Supported,Not Stated,Not Stated
75,2021/07/14,Financial Sector Conduct Authority (FSCA),Consultant to support the Regulatory Policy Division (RPD),Leanne Jackson,"475 000,00",single source,Supported,Not Stated,Not Stated
76,2021/09/08,Financial Sector Conduct Authority (FSCA),"Provision of ERP modules, licensing and completing outstanding
modules (from OEM service providers)",various suppliers,Not Stated,Single source,Not Supported,Not Stated,Not Stated
77,2021/07/05,"Food and Beverage Manufacturing Industry Sector Education and Training
Authority (FoodBev SETA)SETA",Training to FoodBev SETA Board members,Institute of Directors South Africa (IODSA),"200 000,00",Single Source,Supported,Not Stated,Not Stated
78,2021/08/16,Government Printing Works (GPW),Project Managment for data recovery and System restoration,Industrial Computer Engineering (Pty) Ltd,"1 696 480,00",Single source,Conditional Support,Not Stated,Not Stated
79,2021/07/16,Government Technical Advisory Centre (GTAC),Legal Services,Lawtons Africa Inc,Not Stated,Cost efficient,Supported,Not Stated,Not Stated
80,2021/08/04,Government Technical Advisory Centre (GTAC),Coaching services,Not Stated,400000,single source,Conditional Support,Not Stated,Not Stated
81,2021/07/08,Housing Development Agency (HDA),Request for office accommodation,Growthpoint,1 438 025.12,Business Strategy,Conditional Support,Not stated,Not stated
82,2021/08/23,Housing Development Agency (HDA),"Provision of a Dolomitic Stability Study for the portion of the
remainder ERF 1 Gasegonyana Local Municipality",Council for Geoscience,4 8910 576.00,Preferred service provider,Not Supported,Not stated,Not stated
83,2021/08/13,Human Sciences Research Council (HSRC),Implementation of School's out project in Botswana,Men's health Gender Justice (MHGJ),"1 000 000,00",Single Source,Closed,2020/5/1,Feb-21
84,2021/08/13,Human Sciences Research Council (HSRC),Research partner for the imprint,University of Witwatersrand,"1 012 481,85",Single Source,Closed,Not Stated,Not Stated
85,2021/09/09,Human Sciences Research Council (HSRC),Technical Advisory Services,"Council for Scientific and Industrial
Research (CSIR)","260 360,00",Single Source,Conditional Support,Not Stated,Not Stated
86,2021/09/09,Human Sciences Research Council (HSRC),Consultancy extension for the HSRC School's Out Project,Wits Centre for Diversity Study,"192 500,00",Single Source,Not Supported,2021/9/15,2021/09/30
87,2021/09/10,Human Sciences Research Council (HSRC),,"Council for Scientific and Industrial
Research (CSIR)","971 750,00",Single Source,Conditional Support,Not Stated,Not Stated
88,2021/06/21,Independent Development Trust (IDT),Great Plains Dynamics Systems Automation,DynaWorks,"632 730,00",Urgent requirement,Conditional Support,Not Stated,Not Stated
89,2021/06/30,Independent Development Trust (IDT),Virtualization of Six (6) Physical Server's,Business Connexion (BCX),"2 006 019,18",Security of Financial and Human Resource data,Conditional Support,Not Stated,Not Stated
90,2021/06/21,Independent Regulatory Board for Auditors (IRBA),"Appointment of an external Investigator to resume and finalise the
Tongaat Hulett investigation",Louise Jordaan,"1 724 828,00",Historical knowledge and continuation of service,Supported,Not Stated,Not Stated
91,2021/8/6,Inkomati-Usuthu Catchment Management Agency (IUCMA),VOIP System,Protel Business (Pty) Ltd,"1 088 441,25",Already installed infrastructure,Not Supported,Not stated,Not stated
92,2021/07/22,Land and Agricultural Development Bank of South Africa (Land Bank),Provision of binder functions,"Agriseker Onderskrywingsbestuurder
(Pty)",49300000,single source,Supported,Not Stated,Not Stated
93,2021/08/26,Land and Agricultural Development Bank of South Africa (Land Bank),Annual provisional support services hours,True North Partners,"864 000,00",single source,Conditional Support,Not Stated,Not Stated
94,2021/07/02,Legal Aid South Africa,"Deviate and enter into five (5) lease agreements for in various
arears under the jurisdiction of Gauteng, Free State/North West and
Western Cape/ Northern Cape Provinces",Multiple sevice providers,9 234 953.91,Sourcing Strategy,Conditional Support,Not stated,Not stated
95,2021/07/23,Legal Aid South Africa,"withdrawal of single source deviation appointment of the landlords
for entering into a lease agreement for a period of five (5) years upon
the termination of the interim 12 months’ lease agreement in various
areas",Various Service providers,Not stated,Preferred service provider,Conditional Support,Not stated,Not stated
96,2021/07/21,Legal Aid South Africa,Office accommodation for Umzinto Satellite Office,Not stated,135 075.79,Preferred service provider,Conditional Support,Not stated,Not stated
97,2021/07/23,Legal Aid South Africa,Appointment of the landlords for entering into a lease agreement,Multiple service providers,4 321 011.18,Sourcing Strategy,Conditional Support,Not stated,Not stated
98,2021/06/23,Lepelle Northern Water,"Maintenance and support service for complete portfolio of sulzer
pumps",Sulzer Pump (Pty) Ltd,"3 732 817,64",Business countinuity,Supported,Not stated,Not stated
99,2021/08/30,Lepelle Northern Water,Provision of waste management,Tshenolo Waste Management (Pty) Ltd,Rates,"there is a court judgement, case number 7611/2018, compelling LNW to appoint
Tshenolo Waste Management (Pty) Ltd",Supported,Not Stated,Not Stated
100,2021/07/14,Lepelle Northern Water,"Conduct a once off trial of chemical based innovation to repair a 0.2
m/d concrete reservoir at Origstad","Visionary Project Management and Civils
(Pty) Ltd","456 371,05","The market research was done to avoid overspending when the end user is not
aware that there is cheaper and more efficient product somewhere. Supplier
research was also done to enable Lepelle Northern Water to identify key suppliers
in the market leading to improved procurement outcomes such as better value for
money, reduced prices or achieving better quality. The search could not identify
any product with similar properties in the commercial market.",Within AA/AO mandate Noting,Not Stated,Not Stated
101,2021/07/22,Local Government Sector Education and Training Authority (LGSETA)SETA,Investigation into Maladministration.,Vusela Risk Services,"0,00","Services cannot be sourced through normal procurement process due to the fact
that the investigation will inlvove SCM officals",Not Supported,Not stated,Not stated
102,2021/07/08,Municipal Infrastructure Support Agent (MISA),Caseware software licenses,CaseWare Africa,"110 845,05",Sole distributor,Conditional Support,Not stated,Not stated
103,2021/07/09,National Agricultural Marketing Council (NAMC),Legal Services,Sanqela Attorneys,"207 000,00",Finalising a tender process,Within AA/AO mandate Noting,Not stated,Not stated
104,2021/09/10,National Development Agency (NDA),"Two (2) lease agreements office accommodation in the Limpopo
and North West provinces","Winter Castle and Kakapa Skills
Developmen",392 339.58,Preferred service provider,Conditional Support,2021/10/1,2021/11/30
105,2021/08/25,National Empowerment Fund (NEF),Office accommodation,Prostart Investment 40cc,"210 970,00",Sourcing Strategy,Conditional Support,2021/9/1,2022/07/30
106,2021/7/9,National Energy Regulator of South Africa (NERSA),Supply of Microsoft software licenses and software assurance,Microsoft Ireland Operations Limited,"8 150 739,00",Sole Supplier,Noting,2024/6/30,2021/07/08
107,2021/07/29,National Energy Regulator of South Africa (NERSA),Acquisition and subscription of PLEXOS software,Energy Examplar,"1034522,75",Sole service provider,Supported,Not Stated,Not Stated
108,2021/08/02,National Heritage Council South Africa (NHC),Appointment of the Acting Chief Financial Officer.,Not Stated,"1 643 000,00",Preffered Supplier,Not Supported,Not Stated,Not Stated
109,2021/07/01,,,,1 374 800.00,Business Strategy,,2021/8/1,2026/07/31
110,2021/06/26,National Housing Finance Corporation SOC Ltd (NHFC),Development of SMME contractors,Not stated,Not stated,Shortened tender period,Conditional Support,Not stated,Not stated
111,2021/06/18,National Library of South Africa (NLSA),Library Management System and renewal of database licences,SABINET,"20 549 030,00",Single Source,Supported,Not Stated,Not Stated
112,2021/07/26,National Prosecuting Authority of South Africa (NPA),"To procure office accommodation from South African Receiver of
Revenue (SARS) for the investigative directorate within the NPA","South African Receiver of Revenue
(SARS)",Not stated,Preferred service provider,Conditional Support,2021/8/1,2025/05/31
113,2021/08/31,National Prosecuting Authority of South Africa (NPA),"Provision of access to credit and background information of
individuals, companies, fixed properties",Multiple service providers,553 130.43,Preferred service provider,Not Supported,Not stated,Not stated
114,2021/07/30,National School of Government (NSG)National Department,Memorandum of Understanding,Wits University,Not Stated,Cost efficient,Supported,Not Stated,Not Stated
115,2021/07/30,National Student Financial Aid Scheme (NSFAS),CFO resource,Intergritas Consulting Services (Pry) Ltd,252 800,Continuity of Service,Within AA/AO mandate Noting,2021/8/1,2021/08/31
116,2021/07/30,National Treasury,Lead the delivery of PFM Leadership Innovation,University College of London,"3 787 200,00",Cost efficient,Conditional Support,Not Stated,Not Stated
117,2021/08/02,National Treasury,"Municipal Finance Professional for the national intervention in Lekwa
Local Municipality",Municipal Finance Professional,"1 000 000,00",Single source,Supported,Not Stated,Not Stated
118,2021/08/12,National Treasury,Purchase of mobile communication devices,Vodacom,Not Stated,Single source,Supported,Not Stated,Not Stated
119,2021/08/12,National Treasury,"Facilitate access to radio for the roll-out of a campaign targeted at all
current and potential suppliers doing business with government",GCIS,4000000,Single source,Supported,Not Stated,Not Stated
120,2021/08/13,National Treasury,Panel of forensic investigating firms,Not Stated,Not Stated,Single source,Not Supported,Not Stated,Not Stated
121,2021/08/25,National Treasury,To provide liscence and support,Diligent Software (Pty) Ltd,"258158,72",Single source,Supported,Not Stated,Not Stated
122,2021/04/13,North West Department of Health,"Purchase of linear accelerator and treatement planning systems for
radiation",Unicore holdings ltd,"52000000,00",Single Source due to insufficient time for tender,Within AA/AO mandate Noting,Not Stated,Not Stated
123,2021/09/01,Office of the Ombud for Financial Services Providers (FAIS Ombud),Appointment of an attorney firm,Ramashu Mashile Twala Attorney,Not Stated,Single source,Not Supported,Not Stated,Not Stated
124,2021/6/26,Passenger Rail Agency of South Africa (PRASA),Private Security (Gauteng and Western Cape),Not Stated,"137 000 000,00",Closed- bidding while finalising competitive bid,Conditional Support,Not Stated,Not Stated
125,2021/8/6,Passenger Rail Agency of South Africa (PRASA),Provision of cleaning service at PRASA facilities,Not Stated,"495 000 000,00",Procure services of cooperatives,Not Supported,Not stated,Not stated
126,2021/05/19,Passenger Rail Agency of South Africa (PRASA),"Special panel of six legal firms on a close bidding process to assist
PRASA in processing the remedial actions",No Stated,No Stated,"Does not have the necessary internal capacity to successfully implement
consequence management.",Not Supported,Not Stated,Not Stated
127,2021/08/04,Pelchem,Supply of sulphuric acid,Integrated Chemical Solution,"4 008 000,00",finalising a tender process,Noting,Not stated,Not stated
128,2021/07/02,Perishable Products Export Control Board (PPECB),Office Accomodation,Van Eeden Geboue,"1 382 811,36",Compliance with PPECB requirements,Supported,2021/8/1,2021/7/31
129,2021/08/10,Railway Safety Regulator (RSR),"Provision of PABX-LAN/WAN, Cloud Hosting, SQL and Disaster
Recovery services",Vodacom,"6 042 039,12",Continuation of service,Not Supported,Not stated,Not stated
130,2021/07/16,Rand Water,"Additional security to assist with the protection of Rand Water
infrastructure",Calvin & Sons Security,"432 000,00",Emergency Procurement,Within AA/AO mandate Noting,2021/7/15,2021/07/31
131,2021/09/09,Rand Water,,Air Products South Africa (Pty) Ltd.,"73 749 093,00",Single Sourcing,Conditional Support,2022/2/28,2027/01/31
132,2021/07/08,Road Accident Fund (RAF),"Provision of Office Space for the RAF Cape Town Regional Office for
a period of five (5) year",Brickfield Properties,"82 034 781,96",Total cost- savings derived from the process,Not Supported,Not stated,Not stated
133,2021/07/21,Road Accident Fund (RAF),"Provision of Office Space for the RAF Cape Town Regional Office for
a period of five (5) year",Brickfield Properties,"82 034 781,96",Total cost- savings derived from the process,Not Supported,Not stated,Not stated
134,2021/08/26,Road Accident Fund (RAF),Provision of brokerage services,Marsh (Pty),"959 158,68",Continuation of work,Not Supported,Not Stated,Not Stated
135,2021/7/2,Road Traffic Infringement Agency (RTIA),Legal Services,Cliffe Dekker Hofmeyr (CDH),"500 000,00",Urgent continiuty of service,Conditional Support,Not Stated,Not Stated
136,2021/08/11,Road Traffic Management Corporation (RTMC),Provision of hardware support,HP Enterprise,"2 257 058,18",Sole Supplier,Noting,2021/8/10,2022/06/30
137,2021/04/08,Road Traffic Management Corporation (RTMC),Insurance,AON,3 294 687.49,Emergency,Noting,Not Stated,Not Stated
138,2021/06/29,Sentech,Provision of CBand satelite services,Intelsat,"118584000,00",single source,Noting,Not Stated,Not Stated
139,2021/07/01,Small Enterprise Development Agency (SEDA),"Cisco cybersecurity software, hardware and installation services for
recovery and defence against cybersecurity incidents",Sizwe IT Group,"5 980 442,75",Emergency,Noting,Not Stated,Not Stated
