year,quarter,dev_exp,department,supplier,value,original_value,file_name
2023,q4,deviation,Legal Aid South Africa,Daviston Trading,2890000,"R 28 900,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Lead laundry and Catering,113000,"R 1 130,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Leco Africa,2717400,"R 27 174,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),DRRR and GmbH and PT South Quality SAS,1131000,"R 11 310,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African National Accreditation System (SANAS),SABS Commercial,2973031,"R 29 730,31",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Consumer Commission (NCC),Adapt IT,10509512,"R 105 095,12",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,National Consumer Commission (NCC),Institute of Directors in Southern Africa,395000,"R 3 950,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Amantle Consulting,640000,"R 6 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Amantle Consulting,664000,"R 6 640,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Amantle Consulting,640000,"R 6 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Bruker SA (Pty) Ltd,1130100,"R 11 301,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Marshal Fowler (Pty) Ltd,25205120,"R 252 051,20",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),African Colour Systems cc,1037500,"R 10 375,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Marthinusen & Coutts Cleveland,48333000,"R 483 330,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Lead Laundry and Catering (Pty) Ltd,113000,"R 1 130,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),Leco Africa (Pty) Ltd,2717400,"R 27 174,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),DRRR GmbH and PT South Quality SAS,1131000,"R 11 310,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,South African Bureau of Standards (SABS),AE Solutions (Pty) Ltd,178250,"R 1 782,50",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Norton Rose Fulbroght SA Inc,500000000,"R 5 000 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Hasler Business System (Pty) Ltd,389000,"R 3 890,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Sea Technology Services (Pty) Ltd,952200000,"R 9 522 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",CSIR,1207500,"R 12 075,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",SABS (Pty) Ltd,2172800,"R 21 728,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Qfinsoft (Pty) Ltd,13008000,"R 130 080,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",ESRI South Africa (Pty) Ltd,82897089,"R 828 970,89",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",IOSYS CC,84400000,"R 844 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",TLC Engineering Solutions (Pty) Ltd,82646000,"R 826 460,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Thapo Industrial Rope Access,36857798,"R 368 577,98",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,CBZ Solutions,1218714395,"R 12 187 143,95",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Sisu Somhambi Electrical Construction,827444430,"R 8 274 444,30",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Beier Envirotec,3500000000,"R 35 000 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Rula Bulk Materials Handling,136024942,"R 1 360 249,42",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,NS Projects,158793214,"R 1 587 932,14",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Eagle Burgmann Seals SA,219231257,"R 2 192 312,57",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Mangoato Trading Enterprise,181042300,"R 1 810 423,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,BNP Industrial Solutions,1494851000,"R 14 948 510,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Voith Hydro GMBH & Co,753382655,"R 7 533 826,55",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Enflotech,4372613678,"R 43 726 136,78",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Rotork Africa (Pty) Ltd,1037476053,"R 10 374 760,53",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Rotork Africa (Pty) Ltd,3673370809,"R 36 733 708,09",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,EF Sampling Solutions (Pty) Ltd,93679800,"R 936 798,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Gas Concepts,21484875,"R 214 848,75",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Bravoplex 115,782928300,"R 7 829 283,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Cumdla Trading Enterprises,252923400,"R 2 529 234,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,FFS Refiners (Pty) Ltd,1496430000,"R 14 964 300,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Steinmuller Africa and Babcock (BNE),22000000000,"R 220 000 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Hytec South Africa,96509358,"R 965 093,58",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Enflotech,3903428840,"R 39 034 288,40",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Atlas Copco Industrial SA,6478372,"R 64 783,72",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Dunlop Belting Products (Pty) Ltd,440283410,"R 4 402 834,10",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Gra-Tech,1014566400,"R 10 145 664,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,BT Projects,1440426000,"R 14 404 260,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,FLSMIDTH SOUTH AFRICA (PTY) LTD,98345400,"R 983 454,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,J and C Engineering,2641349034,"R 26 413 490,34",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Padish Holdings (Pty) Ltd,292330700,"R 2 923 307,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Morganite South Africa,631998976,"R 6 319 989,76",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Hiselela Engineering Services,285190000,"R 2 851 900,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Kira Valves & Engineering,197891425,"R 1 978 914,25",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Nuthook (Pty) Ltd,1350000000,"R 13 500 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,ABB South Africa (Pty) Ltd,4845900,"R 48 459,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Mitsubishi Power Africa,612600400,"R 6 126 004,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Mpumalanga Valve Services,1415765652,"R 14 157 656,52",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Kaeser Compressors SA (Pty) Ltd,106673835,"R 1 066 738,35",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Lingomso Business Enterprise & Projects ( Pty) Ltd,146500000,"R 1 465 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,3rd Alternative Solutions,952700000,"R 9 527 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Zest Weg Electric,21804695,"R 218 046,95",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,MiTech Technologies,28888200,"R 288 882,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,TVN Industries,89509400,"R 895 094,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,BMS Environmentals,323410000,"R 3 234 100,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Howden Power,3354970509,"R 33 549 705,09",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Forestwood CC,14932500,"R 149 325,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Eskom Holdings SOC Ltd,Marule Attorneys,150000,"R 1 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Community Schemes Ombud Service (CSOS),Adapt IT,18994294,"R 189 942,94",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"National Housing Finance Corporation SOC Ltd
(NHFC)",Corrie Campbell's Corporate Communications Company (PTY) LTD,37611075,"R 376 110,75",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"National Housing Finance Corporation SOC Ltd
(NHFC)",SAICA,847835,"R 8 478,35",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"National Housing Finance Corporation SOC Ltd
(NHFC)",SAGE,9809385,"R 98 093,85",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,"National Housing Finance Corporation SOC Ltd
(NHFC)",Werkmans,1850000,"R 18 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),skhulile mbali trading and projects,18135000,"R 181 350,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),skhulile mbali trading and projects,6604000,"R 66 040,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),ouboet ans sons (pty) ltd,27880000,"R 278 800,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),ouboet ans sons (pty) ltd,26880000,"R 268 800,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),under the sun,3534300,"R 35 343,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),tshedza solutions,5864400,"R 58 644,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),under the sun,10410400,"R 104 104,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bidela & lwandle coastal,80374000,"R 803 740,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),raymo holdings (pty) ltd,59162700,"R 591 627,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Chelsea Commodities,88711000,"R 887 110,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Adelco Trading Pty Ltd,12350000,"R 123 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Hawsson Pty Ltd,54600000,"R 546 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Blue Sands Trading 5 CC,14658700,"R 146 587,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Carbon Sense,32900000,"R 329 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Krooz,16412500,"R 164 125,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Krooz,34159890,"R 341 598,90",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Olweba,6900000,"R 69 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Cantz Trade,33750000,"R 337 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Anga Sales,9000000,"R 90 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Yologa,1800000,"R 18 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Selton Enterprises,3360000,"R 33 600,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Fizzjen,1950000,"R 19 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Splitco,2085000,"R 20 850,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Carbon Sense,4975000,"R 49 750,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Fluffdog Pty Ltd,56007000,"R 560 070,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Solucare,12337992,"R 123 379,92",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),LBC Multiserve,4538150,"R 45 381,50",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Legal Aid South Africa,"790 Govan Mbeki Avenue, Gqeberha",5842000,"R 58 420,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Legal Aid South Africa,SYSPRO (Pty) Ltd,382146129,"R 3 821 461,29",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Bienie Boy,8500000,"R 85 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Sehume Supply & Projects,90645000,"R 906 450,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Spenny Services,6250000,"R 62 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Olweba,35280000,"R 352 800,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Holgate Fruit & Veg,6672000,"R 66 720,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Fig Jaza,85129000,"R 851 290,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Winfred General Contracting & Trading,56095000,"R 560 950,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),Alro Food Supplies,16660500,"R 166 605,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nikita multi services,86202500,"R 862 025,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),babomke 2708 trading,76682400,"R 766 824,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bacarac foods,42640000,"R 426 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nikita multi services,86202500,"R 862 025,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),babomke 2708 trading,76682400,"R 766 824,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),coach commune,62122065,"R 621 220,65",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zenemali projects,3800000,"R 38 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bz business management,2800000,"R 28 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nthatise projects and agric,2800000,"R 28 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),yes i can enterprise,2350300,"R 23 503,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),emihle imizamo trading enterprise,2999700,"R 29 997,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),ufefe lwakhe distributors,1604000,"R 16 040,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),benladys new enterprise,23400000,"R 234 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),lumile investments,32577000,"R 325 770,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),tkk trading enterprise,72458000,"R 724 580,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),miami trading,2970000,"R 29 700,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),kuve trading,2970000,"R 29 700,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),lake victoria trading,2668000,"R 26 680,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),cekwana,2480000,"R 24 800,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),gcobani,2240000,"R 22 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),lqamu,2690000,"R 26 900,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nosizozo,2236000,"R 22 360,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nakhane,2560000,"R 25 600,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),odikela duppliers,17360000,"R 173 600,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),odikela duppliers,14626500,"R 146 265,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),odikela duppliers,1260000,"R 12 600,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),odikela duppliers,21728000,"R 217 280,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),odikela duppliers,5488000,"R 54 880,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bacarac nutritionalfoods,19520000,"R 195 200,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bacarac nutritionalfoods,20720000,"R 207 200,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),bacarac nutritionalfoods,19520000,"R 195 200,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),pro flo trading,46690000,"R 466 900,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),funnie innovations,33600000,"R 336 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,6590500,"R 65 905,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,10230500,"R 102 305,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,3736740,"R 37 367,40",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,175000,"R 1 750,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,2625000,"R 26 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,11035500,"R 110 355,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zc consulting & suppliers,2625000,"R 26 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),sandri fresh produce,2625000,"R 26 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),sandri fresh produce,37100000,"R 371 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),sue-ita trading and projects,25506200,"R 255 062,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),winfred general contracting and trading,1256850,"R 12 568,50",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),winfred general contracting and trading,7840000,"R 78 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),pikani distributors,13250000,"R 132 500,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),shisa coal services cc,98325000,"R 983 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),shisa coal services cc,98325000,"R 983 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nass africa trading,79020000,"R 790 200,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),winnie distributors (pty) ltd.,99495000,"R 994 950,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),delfina trading (pty) ltd.,98923000,"R 989 230,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),nembathe trading (pty) ltd.,97485000,"R 974 850,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),parez marketing & solutions (pty) ltd.,99940000,"R 999 400,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),kannigen enterprises (pty) ltd.,46000000,"R 460 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),majesty trading (pty) ltd.,22000000,"R 220 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),sirog (pty) ltd.,99475000,"R 994 750,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),tima marketing (pty) ltd.,94500000,"R 945 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),emaligold investments 9 cc.,99875000,"R 998 750,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCnSo)n-peri,ns & rice] muzukhona business enterprise cc.,11890900,"R 118 909,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),luyanda cop (pty) ltd.,98600000,"R 986 000,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),md food suppliers (pty) ltd.,99568000,"R 995 680,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),zwedekalanga enterprise (pty) ltd.,98325000,"R 983 250,00",Deviations - Quarter 4 2023-2024.csv
2023,q4,deviation,Department of Correctional Services (DCS),tshelimnyama marketing cc.,93702000,"R 937 020,00",Deviations - Quarter 4 2023-2024.csv
