,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
31,Q4 2023/24,2024/01/30,South African Bureau of Standards (SABS),IT Infrastructure renewal,BCX,Good and services required for ICT seucirty environment,"R 509 536,32","R 48 288 804,56",R-,2023/11/18,2022/04/01,2025/03/01,Reported
32,Q4 2023/24,2024/01/31,Special Investigating Unit (SIU),Property Leases,"East and West Investment (Pty) Ltd represented by
Moolman Group (Pty) Ltd",Extension of lease for Limpopo Provincial Office,"R 8 932 763,81","R 11 867 504,95",R-,2023/12/19,2024/01/01,2026/12/31,Reported
33,Q4 2023/24,2024/01/31,National Home Builders Registration Council (NHBRC),"Filling and converting the existing fishpond into planter bed at
NHBRC Head Office.",FSG Landscaping Services Pty (Ltd),Health and safety of employees,"R 9 472,84","R 541 626,67",R-,2024/01/22,Not stated,Not stated,Reported
34,Q4 2023/24,2024/01/24,South African Forestry Company SOC Limited (SAFCOL),Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 371 651,25","R 371 651,25",R-,2023/12/12,2024/01/08,2024/04/08,Reported
35,Q4 2023/24,2024/01/24,South African Forestry Company SOC Limited (SAFCOL),Security Services at various plantations,Teleios,To Ensure Business Continuity,"R 436 999,97","R 436 999,00",R-,2023/12/12,2024/01/10,2024/04/10,Reported
36,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 213 210,00","R 284 280,00",R-,2023/12/12,2024/01/07,2024/04/08,Reported
37,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 203 550,00","R 135 700,00",R-,2023/12/12,2024/01/07,2024/04/08,Reported
38,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To Ensure Business Continuity,"R 340 860,00","R 227 240,00",R-,2023/12/12,2024/01/05,2024/04/06,Reported
39,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Teleios,To Ensure Business Continuity,"R 407 100,00","R 407 100,00",R-,2023/12/12,2024/01/05,2024/04/05,Reported
40,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To Ensure Business Continuity,"R 294 285,00","R 294 285,00",R-,2023/12/12,2024/01/08,2024/03/08,Reported
41,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Xilota Security Services,To Ensure Business Continuity,"R 330 510,00","R 330 510,00",R-,2023/12/12,2024/01/19,2024/04/19,Reported
42,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 30 705,00","R 30 705,00",R-,2023/12/12,2024/01/06,2024/04/06,Reported
43,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 384 575,00","R 299 994,75",R-,2023/12/12,2024/01/09,2024/04/09,Reported
44,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 150 972,00","R 150 972,00",R-,2023/12/12,2024/01/09,2024/04/08,Reported
45,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Hlaj Secuirity,To Ensure Business Continuity,"R 352 641,00","R 352 641,00",R-,2023/12/12,2024/01/01,2024/03/31,Reported
46,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Hlaj Secuirity,To Ensure Business Continuity,"R 309 600,00","R 309 600,00",R-,2023/12/12,2024/01/20,2024/04/19,Reported
47,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To Ensure Business Continuity,"R 356 730,00","R 356 730,00",R-,2023/12/12,2023/12/13,2024/03/12,Reported
48,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 371 651,25","R 340 946,25",R-,2023/12/12,2024/01/19,2024/04/18,Reported
49,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To Ensure Business Continuity,"R 262 545,00","R 262 545,00",R-,2023/12/12,2024/01/19,2024/03/02,Reported
50,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To Ensure Business Continuity,"R 384 157,50","R 384 157,50",R-,2023/12/12,2024/01/15,2024/04/14,Reported
51,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To Ensure Business Continuity,"R 268 582,50","R 268 582,50",R-,2023/12/12,2024/01/10,2024/04/10,Reported
52,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Mmampheng Construction and Security Services,To Ensure Business Continuity,"R 300 000,00","R 300 000,00",R-,2023/12/12,2024/01/14,2024/04/14,Reported
53,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Mmampheng Construction and Security Services,To Ensure Business Continuity,"R 172 625,76","R 244 553,16",R-,2023/12/12,2024/03/01,2024/06/01,Reported
54,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,EBL,To Ensure Business Continuity,"R 499 905,00","R 358 570,00",R-,2023/12/12,2024/01/01,2024/03/01,Reported
55,Q4 2023/24,2024/01/24,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Sabela Ngamandla,To Ensure Business Continuity,"R 499 991,25","R 347 327,72",R-,2023/12/12,2024/01/01,2024/03/01,Reported
56,Q4 2023/24,2024/01/23,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Xilota,To Ensure Business Continuity,"R 309 103,44","R 246 500,84",R-,2023/12/12,2024/01/01,2024/04/01,Reported
57,Q4 2023/24,2024/01/23,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To Ensure Business Continuity,"R 187 421,25","R 187 421,25",R-,2023/12/12,2024/01/04,2024/04/04,Reported
58,Q4 2023/24,2024/01/23,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Sabela Ngamandla,To Ensure Business Continuity,"R 221 166,39","R 221 166,39",R-,2023/12/12,2024/01/21,2024/04/20,Reported
59,Q4 2023/24,2024/01/23,"South African Forestry Company SOC Limited
(SAFCOL)","Request for Furniture Making Learnership Provider for Graskop
Cluster",Masakhane Training and Consultant PTY LTD,To Ensure Business Continuity,"R 92 500,00","R 370 000,00",R-,2024/01/06,Not stated,Not stated,Reported
60,Q4 2023/24,2024/02/01,"Department of Justice and Constitutional Development
(DoJ&CD)","procurement of subscription services for a legal library comprising of:
local online, electronic and printed for the department of justice and
constitutional development, the office of the chief justice (ocj), legal
aid south africa, national prosecuting authority (npa), special","1. LexisNexis (Pty) Ltd 2. Juta & Company (Pty) Ltd 3.
Sabinet Online (Pty) Ltd",Business continuity to allows for the finalisation of the replacement procurement process.,"R 10 192 099,60","R 100 000 000,00","R 30 193 291,88",2023/12/18,2024/01/01,2024/03/31,Reported
61,Q4 2023/24,2024/02/01,"Department of Justice and Constitutional Development
(DoJ&CD)","investigating unit (siu) and the public protector
appointment of an oem accredited kofax service provider for the
implementation, maintenance and support of kofax scanning solution
on a month to month basis not exceeding six (6) months",Highbury Solutions (Pty) Ltd,Business continuity to allows for the finalisation of the replacement procurement process.,"R 1 296 868,80","R 11 949 638,00","R 1 006 512,00",2023/12/21,2024/01/01,Not stated,Reported
62,Q4 2023/24,2024/02/02,Legal Aid South Africa,Board Gifts,Ilitha Projects and cleaning services (Pty) Ltd,Additional of 4 more to the quantity,"R 14 176,00","R 88 600,00",R-,2023/12/12,Not stated,Not stated,Reported
63,Q4 2023/24,2024/02/02,Legal Aid South Africa,Durban Local Office ( Lease of office accomodation),Delta Property Fund (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 311 278,71","R 5 242 181,76","R 1 272 432,46",2023/12/19,2024/01/01,2024/03/31,Reported
64,Q4 2023/24,2024/02/02,Legal Aid South Africa,Gauteng Provincial Office ( Lease of office accomodation),Jadico (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 236 107,84","R 3 220 003,92",R-,2023/11/30,2023/12/01,2024/03/31,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
65,Q4 2023/24,2024/02/02,Legal Aid South Africa,Lephalale Satellite Office ( Lease of office accomodation),Marseilles Ontwikkeling BK,New tender process to appoint service provider not yet concluded,"R 113 534,56","R 760 415,65",R-,2023/12/19,2024/02/01,2024/09/30,Reported
66,Q4 2023/24,2024/02/02,Legal Aid South Africa,Prieska Satellite Office ( Lease of office accomodation),Temdale Boerdery (EDMS) BPK,New procurement process to appoint service provider not yet concluded,"R 43 272,64","R 117 753,60","R 195 274,72",2023/10/26,2023/11/01,2024/02/29,Reported
67,Q4 2023/24,2024/02/02,Legal Aid South Africa,"King Williams Town (QONCE) Local Office ( Lease of office
accomodation)",West South (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 394 789,98","R 3 589 391,16",R-,2023/12/12,2024/01/01,2024/06/30,Reported
68,Q4 2023/24,2024/02/02,Legal Aid South Africa,Motor Vehicle Tracking Services,Netstar (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 119 427,50","R 4 171 050,00","R 1 303 171,43",2024/01/11,2024/02/01,2024/02/29,Reported
69,Q4 2023/24,2024/02/02,Legal Aid South Africa,Preventative maintenance and support services of Air-conditioners,Omega Fire and security,New RFQ process to appoint service provider not yet concluded,"R 45 346,80","R 340 694,40",R-,2024/01/15,2024/02/01,2024/03/31,Reported
70,Q4 2023/24,2024/02/02,Legal Aid South Africa,Butterworth Local Office - Cleaning Contract,Bright Future 1283 Trading (Pty) Ltd,Non-responsive RFQ process,"R 34 287,00","R 44 000,00",R-,2024/01/19,2024/02/01,2024/04/30,Reported
71,Q4 2023/24,2024/02/07,South African Social Security Agency (SASSA),preventative maintenance and support services of air-conditioners,omega fire and security,"Contract is expired on the 30 of November 2023 and an extension was approved with an expiry
date of 28 February 2024. An additional extension has been approved with an expiry date 31
March 2024.","R 863 543,10","R 28 800 000,00","R 2 590 629,30",2024/02/05,2024/03/01,2024/03/31,Reported
72,Q4 2023/24,2024/02/07,South African Social Security Agency (SASSA),"To extend the current contract with Diversity Turbine Hall Building
(Pty) Ltd for the leasing of 70 parking bays at sterland complex",Diversity,"SASSA management took a decision to procure Head Office building through the National
Department of public Works and Infrastructure to avoid further court interdicts by the landlord of
of the current building",R-,"R 917 700,00","R 229 425,00",2024/01/31,2024/02/01,Not stated,Reported
73,Q4 2023/24,2024/03/11,"Department of Justice and Constitutional Development
(DoJ&CD)","Provision of Travel Management services to the Department of Justice
& Constitutional development and the National Prosecuting Authority","1. Travel With Flair 2. Gemini Moon Trading 6
t/a XL Nexus",Business continuity to allows for the finalisation of the replacement procurement process.,"R 538 243 447,70","R 1 016 122 580,94","R 195 000 000,00",2024/02/26,2024/03/01,2024/03/31,Reported
74,Q4 2023/24,2024/03/11,"Department of Justice and Constitutional Development
(DoJ&CD)","Provision of Regional Support Services to the Department of Justice
and Constitutional Development",Tee Que Trading t/a Time Quantum JV Purple Blue,Business continuity to allows for the finalisation of the replacement procurement process.,"R 34 631 299,59","R 128 994 677,03",R-,2024/02/21,2024/02/24,2024/02/23,Reported
75,Q4 2023/24,2024/03/11,"Department of Justice and Constitutional Development
(DoJ&CD)","Provision of maintenance and support of Court Recording Technology
(CRT) inclusive of Sexual Offences System (SOS) for the Department
of Justice and Consitututional Development",Datacentrix (Pty) Ltd,Business continuity to allows for the finalisation of the replacement procurement process.,"R 48 146 663,60","R 26 220 000,00","R 67 701 662,60",2024/02/21,2024/02/26,2024/10/25,Reported
76,Q4 2023/24,2024/03/12,South African Social Security Agency (SASSA),66.67% contract value extension for Dannhauser Local Office,Kismet Property (Sole Prop AHS Vawda),Awaiting for the new landlord to finalise tenant installation and network connectivity,"R 174 200,00","R 261 300,00",R-,2024/02/28,2024/03/01,2024/06/30,Reported
77,Q4 2023/24,2024/03/14,South African National Accreditation System (SANAS),Temp finance administrator,Only Recruitment (Pty) Ltd,contract was issued on a wrong salary rate,"R 5 187,89","R 45 074,14",Not applicable,2024/02/05,2024/02/05,2025/01/04,Reported
78,Q4 2023/24,2024/02/07,"South African Forestry Company SOC Limited
(SAFCOL)","Business Continuity while awaiting implementation of SAFCOL's ERP
system",4D Treasury,Provision of treasury management system,"R 2 033 464,46","R 491 333,26","R 1 542 131,20",2024/01/31,2024/01/31,2024/09/30,Reported
79,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 371 651,25","R 371 651,25",R-,2023/12/12,2024/01/08,2024/04/08,Reported
80,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Teleios,To ensure Business Continuity,"R 436 999,97","R 436 999,00",R-,2023/12/12,2024/01/10,2024/04/10,Reported
81,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 213 210,00","R 284 280,00",R-,2023/12/12,2024/01/07,2024/04/08,Reported
82,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Waganae Trading Enterprises,To ensure Business Continuity,"R 203 550,00","R 135 700,00",R-,2023/12/12,2024/01/07,2024/04/08,Reported
83,Q4 2023/24,2024/01/31,"South African Forestry Company SOC Limited
(SAFCOL)",Security Services at various plantations,Phepha MV Security,To ensure Business Continuity,"R 340 860,00","R 227 240,00",R-,2023/12/12,2024/01/05,2024/04/06,Reported
