3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
EXPANSIONS REPORT","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
12,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Office Lease- East London,SKG Africa,Contract varied due additional TI costs- East London,"R 6 086 605,00","R 1 488 664,00","R 3 068 808,00",2023/10/03,2023/11/01,2028/10/31
13,Q3 2023/24,2023/12/08,"Commission for Conciliation, Mediation and Arbitration (CCMA)",Renewal of Oracle Technical support services,Risc Technology Integration,Contract extended pending finalisation of procurement for a longer period,"R 9 789 550,78","R 3 069 530,01",R -,2023/11/16,2023/11/20,2024/11/30
14,Q3 2023/24,2023/10/12,Council for the Built Environment (CBE),"Approval sought to extend the MS Office 365 license contract to supply
and implement fifteen additional licenses",Dynafrica Information Technology Solutions cc,"Additional licenses were required to accommodate the additional new
employees who recently commenced work at the CBE.","R 165 349,87","R 616 973,85",R -,2023/09/27,2023/04/20,2025/04/20
15,Q3 2023/24,2023/10/12,Council for the Built Environment (CBE),"Approval sought to extend the Fibre Connectivity Contract in order to
configure the Network Access Points to resolve the unstable Internet
connection at the CBE",AIEQ Systems (Pty) Ltd,"Additional network access points had to be configured in order to
accommodate the increase in employee numbers and prevent the unstable
Internet connection as a result.","R 52 152,50","R 601 450,00",R -,2023/09/29,2023/11/28,2024/11/27
16,Q3 2023/24,2023/10/23,Council for the Built Environment (CBE),"Approval sought to extend the contract with Gauge Architecture from the
Panel of Research Experts.",Gauge Architecture,"The Minister of Public Works issued a directive for a draft strategy on the
development of a Sector Strategy - Built Environment Professionalisation and
Skills Development to be presented to the technical MinMEC on 27 October
2023. Gauge Architecture was the only service provider identified as a
research specialist in sustainable built environment and therefore suitable to
conduct the assignment as requested by the Minister.","R 83 137,50","R 124 000,00",R -,2023/10/10,2021/12/01,2024/11/30
17,Q3 2023/24,2023/10/04,"Department of Agriculture, Land Reform and Rural Development
(DALRRD)",Control of quelea outbreaks,GIWN Civils and blasting,To be able ot control quelea outbreaks,"R 3 000 000,00","R 8 000 000,00",R -,Not Stated,Not Stated,2023/12/14
18,Q3 2023/24,2023/10/04,"Department of Agriculture, Land Reform and Rural Development
(DALRRD)",Internet Services,Vox,"Non-award of a tender and the tender for internet services has ben re-
advertised","R 812 007,96","R 10 553 923,39","R 1 550 000,00",2023/09/19,2023/10/01,2023/10/31
19,Q3 2023/24,2023/10/18,"Department of Agriculture, Land Reform and Rural Development
(DALRRD)",travel managment services,Travel with Flair,Continuity of service,R -,R -,R -,2022/01/01,2022/01/01,2024/12/31
20,Q3 2023/24,2023/12/07,Department of Employment and Labour (DEL),"Request for noting the extension of Tourvest travel Service (TTS)
contract Lab 04/2019 with an additional period of three (3) months from
1st December 2023 to 29 February 2024.",Tourvest Travel Services (TTS),"With the anticipation that procurement process will be finalised, however due
no responsive of bid, the process could not be finalised as anticipated","R 26 510 431,38",R -,"R 8 205 765,29",2023/11/31,2023/12/01,2024/02/29
21,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement processes
to extent the contract entered into between the Unemployment Insurance
Fund and ABSA Bank in respect of account verification services (avs) for
a period of eighteen (18) months.",ABSA Bank,"In terms of the PFMA, internal control measures should be implemented in the
payment of benefits process to avoid paying the incorrect clients. As a result,
the Fund entered into a Service Level Agreement with ABSA to verify all
clients banking details. The existing contract with ABSA commenced on 23
June 2020. The AVS contract was awarded to the ABSA for a period of three
(3) years and will come to an end on 22 June 2023.
In the event where the contract with the service provider comes to an end in
June 2023 and a new service provider is appointed, there should be extensive
system developments which includes amongst others the interface between
the potential service provider and the Computron system. This may be a
serious hindrance to the verification process as currently, due to the existing
terms of the Computron system contract, no developments may be made on
the system. Consultation has been done with ICT and the advice provided
was that there may not be any other alternative but to extend the contract
with ABSA until the “go live” with SAP. The Fund will not be able to process
benefit payments without the verification of the bank accounts of beneficiaries
when a different service provider is approved.","R 2 924 949,00","R 2 154 600,00",R -,2020/06/20,2020/06/20,2024/12/19
22,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement processes
and extend the contract entered into between the Unemployment
Insurance Fund and Powerful Cleaning and Projects (PTY) ltd to render
day to day cleaning services for a period not exceeding one (1) month.",Powerful Cleaning Projects,"The extension of the contract with Powerful Cleaning and Projects (PTY) LTD
will be for a further period of one (1) month to allow for the quotation process
and appointment of a service provider to render day to day cleaning services
for the period of six (6) month on the basis that the tender process is still to
be finalized in order to appoint a new service provider on long term contract.
The BSC recommended the approval of the specification on 6 July 2023. The
specification was referred to the Probity team for review on 7 July 2023. The
extension period will become effective from 10 August 2023 and come to an
end on 11 September 2023.
The remaining tender administrative process inclusive of advertising,
evaluation, adjudication, contracting and appointment of the successful bidder
will take up to six (6) calendar months owing to Legal Services and Account
Officer’s approval timelines. However, due to the fact that the current contract
of day to cleaning services period will expire before finalization of the
contracting and appointment process, it is imperative that continuation of
services runs uninterrupted due to the nature of the services required. The
Fund does not have the necessary capacity to carry out this function internally
meanwhile the tender process is still unfolding.
According to Facilities regulations made under the repeal machinery and
Occupational Health and Safety Act of 1983 and now applicable under the
occupational health and safety act of 1993, section 9 state that every
employer shall maintain all rooms and facilities which are prescribed or
provided for in terms of the provision of these regulations in a clean, hygienic,
safe, whole free and leak free condition and in good state of repair. Day to
Day cleaning of Absa Towers Building is therefore mandatory to ensure","R 2 879 673,60","R 261 274,11",R -,2022/08/11,2022/01/06,2023/12/10
23,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for Approval to deviate from the normanl procurement
processes and extend the contract entered into between the
Unemployemnt Insurance Fund and Powerful cleaning and projects
(PTY) Ltd to render day to day cleaning services for a period not
exceeding three (03) months",Powerful Cleaning Projects,"The Fund entered into a contract with Powerful Cleaning and Projects (Pty)
Ltd to render day to day cleaning services for a period of twelve (12) months.
The contract commenced on 10 August 2022 and had expired on 9 August
2023.
The Accounting officer through the Bid Adjudication Committee (BAC) has
already approved one (01) month extension of the current contract to the
value of R 261 275.11. The addendum one (01) to this effect is valid until the
09 September 2023. Given the current status of tender administrative
process, the specification is yet to be approved by the BAC, and it is not
anticipated that the entire tender administrative process could be concluded
before expiry of the one (01) month extension hence a request for the BAC to
consider a further 3 months’ extension.
However, due to the fact that the current contract of day to cleaning services
period will expire before finalization of the contracting and appointment
process, it is imperative that continuation of services runs uninterrupted due to
the nature of the services required. The Fund does not have the necessary
capacity to carry out this function internally meanwhile the tender process is
still unfolding.
According to Facilities regulations made under the repeal machinery and
Occupational Health and Safety Act of 1983 and now applicable under the
occupational health and safety act of 1993, section 9 state that every
employer shall maintain all rooms and facilities which are prescribed or
provided for in terms of the provision of these regulations in a clean, hygienic,
safe, whole free and leak free condition and in good state of repair. Day to","R 2 879 673,60","R 4 987 158,00",R -,2022/08/11,2022/01/06,2023/12/10
24,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",Leolo and Partners Charted Accountants,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2022/10/10,2022/10/10,2024/03/31
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
25,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",NKSChartered Accountants,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2022/10/13,2022/10/13,2024/03/31
26,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",Ndemex Business Enterprise,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2022/10/11,2022/10/11,2024/03/31
27,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",Inqaba Kadiya Consulting,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2022/10/10,2022/10/10,2024/03/31
28,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",Morobi Chartered Accountants,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2022/10/10,2022/10/10,2024/03/31
29,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",The Accounting Village,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2023/10/10,2023/10/10,2024/03/31
30,Q3 2023/24,2023/12/08,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement process
and the expansion of the contract in the Covidters Verification and
Support Services which will require the extension in the period of the
contract and increase in the scope of work.",Ligwa Advisory Services,"The request for expansion of the scope of work and extension in the duration
period of the contract is done in order to allow the normal procurement
process to unfold and to ensure business continuity on the COVIDTERS
validation project. Normally, the tender process within UIF takes about 3 to 5
months to complete with possible litigations from unsuccessful bidders. This
process is usually lengthy and complex and sometimes take longer than
expected.","R 163 115 896,00","R 24 467 384,40",R -,2023/11/23,2023/11/23,2024/03/31
31,Q3 2023/24,2023/09/21,"Department of Environment, Forestry and Fisheries (DEFF)","Extension of the existing crewing and ship management between African
Marine Solutions (PTY) LTD and the Department of Forestry,Fisheries
and Environment for the period of twelve months",African Marine Solutions (Pty) Ltd,"The branch: Oceans and Coasts undertakes regular surveys and studies as
well as logistical operations that are fully dependent on coastal research and
polar science and supply vessels, namely RV Algoa and SA Agulhas II. The
request to extend is required to allow the new bid process to be completed
while ensuring the continuity of services provided by the said contract","R 225 000 000,00","R 952 673 627,94",R -,2023/07/01,2023/07/01,2024/06/30
32,Q3 2023/24,2023/10/04,Department of Higher Education and Training (DHET),"Fund manager to accomodate the financial management service for
National Skills Authority",Duja Consulting,"The terms of reference for advertising for a new fund manager have been
approved and SCM will issue the tender. The extension to March 2024 will
ensure proper hand over to new service provider and enough time to finalise
the procurement process to appoint a new fund manager for both HRDC and
NSA","R 543 753,00","R 2 566 118,00",R -,2023/09/26,2023/09/26,2024/03/25
33,Q3 2023/24,2023/11/28,Department of Higher Education and Training (DHET),"Variation of contract with additional scope of work for the installation of a
standby generator to a mini sub-station at indlela.",Mbonakhulu LC Trading Enterprise,"Generator should be connected to mini sub-station and thus could not be
connected where they are currenly placed.Therefore the contractor must
perform additional services such as uninstallation,removal and reinstallation of
the equipment.","R 141 900,00","R 719 700,00",R -,2023/11/21,2023/11/21,2023/11/21
34,Q3 2023/24,2023/10/02,Department of Home Affairs (DHA),Maintenance and support of NIIS and ICMS,Dimension Data,"The current system was old and no longer supported Oracle Database
version. a new platform using latest tech was developed to cater for other
modules","R 33 230 023,37","R 105 947 302,00","R 169 192 786,79",2023/09/29,2023/10/01,2024/03/31
35,Q3 2023/24,2023/11/02,Department of Home Affairs (DHA),"Extension of scope for the additional number of cleaners in the current
service cleaning contract to cover the Digitization project.",SBAPA (Pty) Ltd,To cover for the Digitization project,"R 12 052 800,00","R 2 353 567,92","R 562 378,30",2023/10/23,2023/11/01,2024/04/31
36,Q3 2023/24,2023/11/02,Department of Home Affairs (DHA),"Extension of contract for the advance passenger processing system and
services (APP) contract.",SITA BV,"APP is needed for business continuity to manage the risk related to illegal
movement to the country.","R 120 384 000,00","R 1 500 000 000,00",R -,2023/10/26,2023/12/01,2024/08/31
37,Q3 2023/24,2023/11/02,Department of Home Affairs (DHA),"Extension of contract for the provisioning of Biometric Access Control
Management system licences as well as support and maintenance.",Datacentix (Pty) Ltd,"Due to the critical need of the licence in order for the Department to retain the
Biometric Access Control Management system licences.","R 189 101 961,30","R 61 609 934,12","R 56 996 232,00",2023/10/26,2023/12/01,2024/11/30
"38
39",Q3 2023/24,2023/11/09,Department of Home Affairs (DHA),"For the provision of facility management services to cover the rest of
Lindela Facility including the DHA College",Enviromongz (Pty) Ltd,To cover the rest of Lindela Facility including the DHA College,"R 51 886 730,83","R 64 866 513,07",R -,2022/01/14,2022/02/01,2027/01/31
40,"Q3 2023/24
Q3 2023/24","2023/10/20
2023/12/05","Department of Human Settlements (DHS)
Department of Justice and Constitutional Development (DoJ&CD)","Teams rooms Professional Licenses
Provision of Maintanance and support of the Court Recording
Technology (CRT) inclusive of sexual offenses system (SOS)","Microsoft
Datacentrix","Sole Supplier
Business continuity to allows for the finalisation of the procurement process.","R 46 014,98
R 18 054 998,85","R 771 154,53
R 26 220 000,00","R -
R 49 646 663,75","2023/10/06
2023/11/23","2023/02/21
2023/11/25","2023/02/24
2024/02/25"
41,Q3 2023/24,2023/12/05,Department of Justice and Constitutional Development (DoJ&CD),"Provision of Travel management services to the Department of Justice
and Constitutional Development and the National Prosecuting Authority","1) Travel with Flair
2) Gemini moon trading t/a XL Nexus",Business continuity to allows for the finalisation of the procurement process.,"R 100 000 000,00","R 538 243 447,77","R 175 000 000,00",2023/11/23,2023/12/01,2024/01/31
42,Q3 2023/24,2023/09/29,Development Bank of Southern Africa (DBSA),"Variation Order For The Existing REIPPPP Bid Window 7 Legal
Transaction Advisors To Extend Their Scope Of Work In Order To
Ensure The Completion Of The Drafting Of The Rfp Documentation",ENS Africa,Variation order for the extension in the scope,"R 2 332 366,00","R 680 000,00",R -,2023/09/21,Not indicated,Not indicated
43,Q3 2023/24,2023/09/29,Development Bank of Southern Africa (DBSA),Extension of Recruitment Panel for 2 months,Recruitment Panel,"To request a two-month extension, on a monthto-month basis, to conclude on
contracting and appointing the new Generic Recruitment Panel",R -,R -,R -,2023/09/21,Not indicated,Not indicated
44,Q3 2023/24,2023/10/13,Financial and Fiscal Commission (FFC),Procurement of Microsoft licenses,Dynafica Solutions,"Due to limited resources at SCM unit, the evaluation process could not be
concluded","R 113 656,80","R 596 706,35","R 61 604,35",2023/09/30,2023/10/01,2023/11/30
45,Q3 2023/24,2023/11/01,Financial Intelligence Centre,"Variation of the Altron Karabina Business Intelligence (BI) project
contract due to additional multiple search and marriage information
inclusion to the DETSEL (Detection and Selection) report to be delivered
as part of the existing contract",Altron Karabina,"The DETSEL report which forms part of the current contract needs to be
enhanced to allow for multiple search capability that will enable the FIC to dig
deeper into suspecious activities without having to wait for a third party to run
addtional quiries.","R 9 938 704,00","R 484 150,00","R 1 543 541,00",2021/12/03,2022/03/08,2024/02/29
46,Q3 2023/24,2023/10/12,Government Pensions Administration Agency (GPAA),"Mainframe technical support, data replication and failover services",Gijima,"To ensure that CIVPEN system is available, while the replacement project is
underway","R 13 858 646,55","R 49 450 000,00","R 40 093 115,28",2023/11/10,2018/01/08,2024/03/31
47,Q3 2023/24,2023/10/30,Government Pensions Administration Agency (GPAA),SMS services (WASP) Wireless Application Service Provide,SITA,"To allow for sufficient time to procure an SMS service throught SITA ,
minimising the risk of possible service disruptions.","R 1 508 800,00","R 4 409 899,40",R -,2023/10/30,2021/01/08,2024/07/31
48,Q3 2023/24,2023/11/22,Government Pensions Administration Agency (GPAA),"Request for Proposal For Leasing of Mobile Buses Including
Maintenance and Support Services for a Period of Five (5) Years.",African Mobility Solutions,Expand the scope to include Solar Panels & Connectivity Services.,"R 148 005 000,00","R 20 493 000,00",R -,2023/07/17,,2028/01/09
49,Q3 2023/24,2023/12/07,Government Pensions Administration Agency (GPAA),EDMS Maintenance and Support Services,Elikhulu Software Engineering,"To continue with EDMS maintenance and support to ensure that the dailty
uploads complete successfully","R 2 521 260,00","R 1 717 939,58",R -,Awarded by SITA,2023/01/10,2025/09/30
50,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and Training Authority
(HWSETA)SETA",Printing of exam papers for HPO NQF L3 EISA,Kemesamo Printing,There was a misprint of the total number that was needed,"R 26 001,00","R 173 345,25",R -,2023/03/05,2023/05/05,2023/05/05
51,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and Training Authority
(HWSETA)SETA",Extension of scope for website maintenance,Madrush,"The contract for the maintenance of the career portal for the amount of R486
488 endes in August 2023. For efficiency and intergration of the HWSETA
sites, and to ensure the design is consistent. The extention of scope is within
the 15% allowance of the original order amount.","R 72 973,20","R 486 488,00",R -,2023/03/08,2023/01/09,2024/08/30
52,Q3 2023/24,2023/10/13,Housing Development Agency (HDA),"Extension of lease on the 25th floor of the embassy building for the HDA
KZN office",Delta Property Fund,"The medium term operational plan agreement not yet finalised with the
Kwazulu Natal provincial Human Settlements for the next three years","R 325 646,50","R 1 900 959,99","R 260 517,18",2023/10/13,2023/09/01,2024/01/31
"53
54","Q3 2023/24
Q3 2023/24","2023/10/06
2023/10/06","Human Sciences Research Council (HSRC)
Human Sciences Research Council (HSRC)","Job evaluation and construct a best suited remuneration structure
Annonynous Tip-off services","Emergency Growth SA
Vuvuzela Hotline","Re-evaluation of old and evaluation of new identified posts
Conduct an investigation requested by HSRC Board","R 69 287,50
R 947 363,10","R 975 487,50
R 265 822,50","R 110 563,00
R -","2023/09/11
2023/09/20","2023/10/01
2023/10/02","2023/12/31
2023/10/31"
"55
56","Q3 2023/24
Q3 2023/24","2023/10/31
2023/10/31","Human Sciences Research Council (HSRC)
Independent Communications Authority of South Africa (ICASA)","To facilitate storage handling and removal
Provide Security Systems Maintenance at ICASA Head Office on a
quarterly basis for Thirty-Six (36) Months","Biddulphs
TMZ Communications and Business Solutions
(Pty) Ltd","To finalize assets disposal
TMZ Communications maintains all the security systems at the Head Office.
Two (2) controllers at finance entrance and asset storeroom were faulty and
needed to be replaced","R 295 665,00
R 19 120,00","R 999 739,87
R 128 030,00","R 284 400,00
R -","2023/10/19
2023/06/15","2023/10/19
Not indicated","2023/10/31
Not indicated"
57,Q3 2023/24,2023/10/31,Independent Communications Authority of South Africa (ICASA),Provision of Media monitoring Services for a period of 36 months,KTM Knowledge Solutions,"KTM registered as a VAT vendor and will now be charging Vat for all
remaining invoices on the contract","R 18 708,70","R 448 999,92",R -,2023/10/19,Not indicated,Not indicated
58,Q3 2023/24,2023/10/31,Independent Communications Authority of South Africa (ICASA),"Provision of Cleaning, Pest Control & Hygiene Services at Head office",Impact Cleaning CC,"The contract extension for hygiene and cleaning servises while the new
procurement process is being finalised","R 669 205,08","R 5 204 991,00","R 277 934,77",2023/10/25,2023/11/01,2024/04/30
59,Q3 2023/24,2023/11/16,Independent Communications Authority of South Africa (ICASA),"Provide off-set document storage facilities and render document
management
service for the period of thirty-six (36) months",The Document Warehouse,"Contract variation for records offsite storage contract to include the
additional/incidental off-site storage services that could be required during the
term of the contract.","R 260 764,80",R -,R -,2023/08/24,2023/11/08,2026/04/05
60,Q3 2023/24,2023/11/29,Independent Police Investigative Directorate (IPID),Contract: Cleaning and Hygiene Services,SSG Cleaning (Pty) Ltd,"orthern Cape Provincial Office relocated to new premises, the newly acquired
offices measures 675 square meters in terms of total floor space which is
considerably larger than the previous office. The previous office was only
cleaned by one cleaner and it was manageable. Taking into account the size
of the new office, it became difficult for only one cleaner to clean the entire
office space.","R 92 892,51","R 9 751 094,16",R -,2023/11/02,2023/11/02,2024/07/31
61,Q3 2023/24,2023/10/31,Insurance Sector Education and Training Authority (Inseta)SETA,Panel of recruitment agencies,Mastech Pty Ltd and Affirmative Portfolio,"The purpose is to request from the CEO approval for the contract variation
and expansion of scope of the panel of recruitment services contract for the
rendering of recruitment services.","R 972 000,00","R 1 000 000,00",R -,2023/03/22,2023/03/22,2023/09/30
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
62,Q3 2023/24,2023/09/21,Insurance Sector Education and Training Authority (Inseta)SETA,"Request for contract expansion by increasing the resource and the hours
to cover additional components for annual financial statements and
performance information",Rain Chartered Accounatants,"Rain Chartered Accountants were appointed to provide three resource to
assist with the financial year end processes and AFS preparation process,
additional compliance and quality review of annual financial statements,
addressing of prior year audit queries, assist with the compilation of current
year audit working file among others.","R 311 328,00","R 645 680,00",R -,2023/04/19,2023/04/24,2023/07/31
63,Q3 2023/24,2023/10/31,International Frontier Technologies SOC Ltd (Interfront),Internet links contract expansion and variation,Adept Internet (Pty) Ltd,Business continuity,"R 221 720,00","R 532 128,00",R -,2023/10/03,2022/11/18,2024/03/31
64,Q3 2023/24,2023/09/19,Legal Aid South Africa,"Koffiefontein Agency
Agreement",R.C Ishmail Attorneys,Tender process not yet complete,"R 125 874,00","R 877 344,00","R 251 748,00",2023/08/29,2023/09/01,2023/11/30
65,Q3 2023/24,2023/09/19,Legal Aid South Africa,"Jagersfontein Agency
Agreement",R.C Ishmail Attorneys,Tender process not yet complete,"R 97 155,00","R 726 480,00",R -,2023/08/29,2023/09/01,2023/11/30
