row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
34,Q4 2022/23,2023/01/16,"Department of Sports, Arts and Culture
(DSAC)","Request for approval single source
Requfoers dt ifgoirta el msiegrngaetnuceys psroolucutiorenm ent",Altron Security,"R752 006,00","Altron Security is the only service provider that
provides unique solutionin South Africa",2022/10/16,2022/11/01,2023/10/31,,2022/10/16,2022/11/01,2023/10/31,,Within AA/AO mandate Noting,New
35,Q4 2022/23,2023/01/16,"Department of Sports, Arts and Culture
(DSAC)","for unblocking the pipes and cleaning
of sewage spilage at the Old library
building",Keole Trading Enterprice 14,"R79 379,00","Emergency procurement for unblocking the pipes and
cleaning of sewage spillage at the Old Library building,
239 Madiba Street, Pretoria",2022/12/14,Not Stated,Not Stated,,2022/12/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
36,Q4 2022/23,2023/01/16,"Department of Sports, Arts and Culture
(DSAC)","Request for approval of deviation
from the normal procurement process
to appoint service provider to supply
sport equipment and attire for the
school sport summer championships.",XCO Group,"R2 485 296,00",It is not possible to go out on tender.,2022/12/04,Not Stated,Not Stated,,2022/12/04,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
37,Q4 2022/23,2023/01/31,Agrément South Africa,"Annual Subscription of SABS
Standard",South African Bureau of Standard,"R40 147,83","A year's subscription (annual renewal) of standards
from South African Bureau of Standards",2022/05/09,2022/05/09,2022/06/07,,2022/05/09,2022/05/09,2022/06/07,,Within AA/AO mandate Noting,New
38,Q4 2022/23,2023/01/31,Agrément South Africa,MIE Screening for CFO Position,Managed Intergrated Evaluation,"R2 613,70",Screening of candidates,2022/07/02,2022/07/21,2022/09/29,,2022/07/02,2022/07/21,2022/09/29,,Within AA/AO mandate Noting,New
39,Q4 2022/23,2023/01/31,Agrément South Africa,"The Big 5 Construct Southern Africa
MIE ScreeEnXinPgO f o2r0 I2n2te rnal Audit",DMG Exhibition Management Services,"R36 742,50",To participate in the exhibition for marketing purpose,2022/05/16,2022/05/16,2022/06/15,,2022/05/16,2022/05/16,2022/06/15,,Within AA/AO mandate Noting,New
40,Q4 2022/23,2023/01/31,Agrément South Africa,MIE ScreenSinpge cfioarl iEstc o-Labelling,Managed Integrated Evaluation,"R2 415,10",Screening of candidates,2022/07/21,2022/07/21,2022/08/12,,2022/07/21,2022/07/21,2022/08/12,,Within AA/AO mandate Noting,New
41,Q4 2022/23,2023/01/31,Agrément South Africa,"Manager & Admin and Technical
Officer",Managed Intergrated Evaluation,"R3 882,90",To run a medSiac rceaemnipnagi gonf coann SdAidBatCe sfor Marketing,2022/07/21,2022/07/21,2022/08/12,,2022/07/21,2022/07/21,2022/08/12,,Within AA/AO mandate Noting,New
42,Q4 2022/23,2023/01/31,Agrément South Africa,SABC Media Campaign,SABC,"R78 494,40",purposes,2022/06/10,2022/06/10,2022/10/14,,2022/06/10,2022/06/10,2022/10/14,,Within AA/AO mandate Noting,New
43,Q4 2022/23,2023/01/31,Agrément South Africa,Catering for DPWI Ministers,Lavan Services,"R12 000,00","To cater for DPWI Minister from Department of Public
Works and Infrastructure",2022/04/05,2022/04/05,2022/04/14,,2022/04/05,2022/04/05,2022/04/14,,Within AA/AO mandate Noting,New
44,Q4 2022/23,2023/01/31,Agrément South Africa,"MIE Screeening for QA Specialist,
FM, QA Intern & Group Asstant",Managed Intergrated Evaluation,"R6 085,08",Screening of Candidates,2022/08/12,2022/08/12,2022/09/29,,2022/08/12,2022/08/12,2022/09/29,,Within AA/AO mandate Noting,New
45,Q4 2022/23,2023/01/31,Agrément South Africa,ecoASA Trade Marks,Adams & Adams,"R55 097,20",Trademark registration,2022/09/02,2022/09/02,2023/03/31,,2022/09/02,2022/09/02,2023/03/31,,Within AA/AO mandate Noting,New
46,Q4 2022/23,2023/01/31,Agrément South Africa,Grammarly,Grammarly,"R220 000,00",Grammarly software,2022/09/06,2022/09/06,2022/10/19,,2022/09/06,2022/09/06,2022/10/19,,Within AA/AO mandate Noting,New
47,Q4 2022/23,2023/01/31,Agrément South Africa,"Purchase of Marketing Collateral for
ecoASA Launch",Tapadi Solutions,"R86 250,00",Marketing collateral - Less than 3 qoutes,2022/09/21,2022/09/21,2022/10/14,,2022/09/21,2022/09/21,2022/10/14,,Within AA/AO mandate Noting,New
48,Q4 2022/23,2023/01/31,Agrément South Africa,Live Reads on Capricorn FM,MSG Group Sales,"R60 720,00",Regional radio campaign,2022/10/03,2022/10/03,2022/11/11,,2022/10/03,2022/10/03,2022/11/11,,Within AA/AO mandate Noting,New
49,Q4 2022/23,2023/01/31,Agrément South Africa,Mental Health Awareness,ICAS,"R4 324,00",Employee wellness,2022/10/18,2022/10/18,2022/11/24,,2022/10/18,2022/10/18,2022/11/24,,Within AA/AO mandate Noting,New
50,Q4 2022/23,2023/01/31,Agrément South Africa,"Project Management Professional
(Mihloti Mahlaule)",Global Headquarters,"R25 000,00",International accreditation - employee training,2022/11/22,2022/11/22,2023/01/31,,2022/11/22,2022/11/22,2023/01/31,,Within AA/AO mandate Noting,New
51,Q4 2022/23,2023/01/31,Agrément South Africa,Board and Committee Evaluation,IODSA,"R178 882,50",Board evaluations,2022/11/17,2022/11/17,2023/03/31,,2022/11/17,2022/11/17,2023/03/31,,Within AA/AO mandate Noting,New
52,Q4 2022/23,2023/01/31,Agrément South Africa,Pr TocEuCrOem Meantte orfia Sl t(rPuocltyumraelr E) xEpxepretsrt to,"Tenmud Investments and Scientific Testing
and Consulting Services","R13 998,00",Technical Expert,2022/11/30,2022/11/30,2023/03/31,,2022/11/30,2022/11/30,2023/03/31,,Within AA/AO mandate Noting,New
53,Q4 2022/23,2023/01/31,Agrément South Africa,"review and provide their opinion on
eco-labelling specifications at
technical committee",AMA Consulting and Structural Engineers,"R6 999,00",Technical Expert,2022/12/08,2022/12/08,2023/03/31,,2022/12/08,2022/12/08,2023/03/31,,Within AA/AO mandate Noting,New
54,Q4 2022/23,2023/01/31,Agrément South Africa,"Procurement of an environment or
eco-labelling expert to review and
provide eco-labelling specifications at
the technical committee","One33 Sea Vista and Scientific Testing and
Consulting","R13 998,00",Technical Expert,2022/12/08,2022/12/08,2023/03/31,,2022/12/08,2022/12/08,2023/03/31,,Within AA/AO mandate Noting,New
55,Q4 2022/23,2023/01/26,"South African National Space Agency
(SANSA)",40x Elite batteries,Stadby systems,"R60 893,19","Standby systems is the Authorized service provider to
perform work on all Riello products with qualified
techicians to do the installation and commissioning.",2023/01/17,Once Off,Once Off,,2023/01/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
56,Q4 2022/23,2023/01/24,"Department of Public Works and
Infrastructure (DPWI)","KIMBERLEY JUSTICE: NORTHERN
CAPE. Repairs and maintenance of
various lifts",Sigma .Lifts,"R20 610 276,50","Each manufacturer has a highly specialised, unique
and very complex maintenance plan which is copatible
to the type of lift equipment it has procuded. Therefor
the matrial parts and maintenance accessories on
each lift is only known by its sole manufacturer.",2022/12/12,2022/12/12,2025/12/12,,2022/12/12,2022/12/12,2025/12/12,,Within AA/AO mandate Noting,New
57,Q4 2022/23,2023/01/18,"Human Sciences Research Council
(HSRC)",Publication and Printing of Books,African Minds,"R181 377,28",Sole Supplier,2022/12/20,2022/12/20,2022/12/20,,2022/12/20,2022/12/20,2022/12/20,,Within AA/AO mandate Noting,New
58,Q4 2022/23,2023/01/18,"Human Sciences Research Council
(HSRC)","Appointment of 4 Agencies to
implement the rapid version of IVC",Grazia Business Solutions,"R200 321,88",Funder Specific,2022/12/14,2022/12/14,2022/12/14,,2022/12/14,2022/12/14,2022/12/14,,Within AA/AO mandate Noting,New
59,Q4 2022/23,2023/01/23,National Research Foundation (NRF),Coord 3 Metrology Machine,Cylometric,"R22 367,50","Sole Source :Cylometric are the OEM supplier of the
equipment and are the only agents in South Africa for
Cylometric machines",2023/01/17,Once Off,Once Off,,2023/01/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
60,Q4 2022/23,2023/01/23,National Research Foundation (NRF),Coord 3 Metrology Machine,Cylometric,"R29 349,84","Sole Source :Cylometric are the sole supplier of the
equipment and are the only agents in South Africa for
Sole Source: HCAyAloSm SeAtr iacr em tahceh sinoeles supplier of the",2023/01/17,Once Off,Once Off,,2023/01/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
61,Q4 2022/23,2023/01/23,National Research Foundation (NRF),Haas ST30 lathe Machine,Hass SA,"R3 450,00","equipment and are the only agents in South Africa for
HAAS machines",2023/01/18,Once Off,Once Off,,2023/01/18,Once Off,Once Off,,Within AA/AO mandate Noting,New
62,Q4 2022/23,2023/01/31,National Research Foundation (NRF),Coord 3 Metrology Machine,Cylometric,"R22 367,50","Sole Source :Cylometric are the OEM supplier of the
equipment and are the only agents in South Africa for
Cylometric machines.",2023/01/17,Once Off,Once Off,,2023/01/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
63,Q4 2022/23,2023/01/31,National Research Foundation (NRF),Supply of Sterifix Paed Filters,B Braun Pty Ltd,"R25 785,00","Sole Source: The Sterifix Paed filter is required for
Radioisotopes production",2023/01/19,Once Off,Once Off,,2023/01/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
64,Q4 2022/23,2023/01/31,National Research Foundation (NRF),"Payments for Customs Delay
Service an(Gd eVremriafincya)tion of the",Tswalanang Logistics,"R4 218,75","Single Source: Tswalanang Logistics was appointed to
transport household items to Germany",2023/01/20,Once Off,Once Off,,2023/01/20,Once Off,Once Off,,Within AA/AO mandate Noting,New
65,Q4 2022/23,2023/01/31,National Research Foundation (NRF),"Shimadzu HPLC system consisting of
LC10A Pump, RID10A Detector and
manual injector",Advanced African Technology,"R29 983,95","Sole Source: Advanced African Technology is the
sole service provider and supplier of this
equipment (Shimadzu brand)",2023/01/24,Once Off,Once Off,,2023/01/24,Once Off,Once Off,,Within AA/AO mandate Noting,New
66,Q4 2022/23,2023/01/31,National Research Foundation (NRF),"Sourcing Emergency vertical
multistage pump complete with motor",WM Spilhaus Hexvallei BK,"R48 229,48","Emergency: This is an emergency procurement as
the current pump are now pumping at less than
25% efficiency and can therefore not fill the main
Sole sroeusrecrev: oHirA, AwSh iSleA w aarete trh eis sboelein sgu pupsleiedr. of the",2023/01/26,Once Off,Once Off,,2023/01/26,Once Off,Once Off,,Within AA/AO mandate Noting,New
67,Q4 2022/23,2023/01/31,National Research Foundation (NRF),Haas VF8 Milling Machine,Hass SA,"R21 189,56","equipment and are the only agents in South Africa for
HAAS machines – letter attached.Repairs to the VF8
Single Source:AlTphhrao uHgyhd rcaouolilca nStervices were the",2023/01/19,Once Off,Once Off,,2023/01/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
68,Q4 2022/23,2023/01/31,National Research Foundation (NRF),"Repairs service and load Test needed
to be done on the Crane Truck",Alpha Hydraulic Lifting,"R50 666,00","supplier of the Isuzu cherry picker, they were the
people who did all the services, repairs, load tests and
certifications on this cherry picker and do have a full
service history",2023/01/26,Once Off,Once Off,,2023/01/26,Once Off,Once Off,,Within AA/AO mandate Noting,New
69,Q4 2022/23,2023/01/31,National Research Foundation (NRF),Edgecam software,Stillam Services,"R69 000,00","Sole source: Stillam Services are the Sole Agent for
the Edgecam Software Suite in South Africa",2023/01/20,Once Off,Once Off,,2023/01/20,Once Off,Once Off,,Within AA/AO mandate Noting,New
70,Q4 2022/23,2023/02/09,"Human Sciences Research Council
(HSRC)",OMA Licence Mainteance,Choice Sourcing,"R124 200,00",Sole Supplier,2022/10/04,2022/10/04,2023/09/30,,2022/10/04,2022/10/04,2023/09/30,,Within AA/AO mandate Noting,New
71,Q4 2022/23,2023/02/09,"Human Sciences Research Council
(HSRC)",DesigSnA aSn Sd ocfotwnaveren eL idcieanlosgeuses in,SAS Institute (Pty) Ltd,"R253 826,85",Licence Renewal,2022/10/04,2022/10/05,2023/09/30,,2022/10/04,2022/10/05,2023/09/30,,Within AA/AO mandate Noting,New
72,Q4 2022/23,2023/02/09,"Human Sciences Research Council
(HSRC)","South
africa",MIET AFRICA TRUST,"R62 000,00",Deviation by other means,2022/10/26,2022/10/26,Not Stated,,2022/10/26,2022/10/26,Not Stated,,Within AA/AO mandate Noting,New
73,Q4 2022/23,2023/02/14,"Human Sciences Research Council
(HSRC)","Purchase 20 copies of Covid and
Custom book",C. HURST & CO.,"R5 800,00",Sole Supplier,2023/02/01,2023/02/01,Not Stated,,2023/02/01,2023/02/01,Not Stated,,Within AA/AO mandate Noting,New
74,Q4 2022/23,2023/02/14,"Human Sciences Research Council
(HSRC)",Women Rise project,University of KwaZulu Natal,"R300 000,00",Funder's Specific,2023/02/06,2023/02/06,Not Stated,,2023/02/06,2023/02/06,Not Stated,,Within AA/AO mandate Noting,New
75,Q4 2022/23,2023/02/14,"Human Sciences Research Council
(HSRC)","Subscription to Turnitin and
iThenticate",Eiffel Corp (Pty) Ltd,"R251 735,00",Sole Supplier,2023/02/06,2023/03/01,2024/02/01,,2023/02/06,2023/03/01,2024/02/01,,Within AA/AO mandate Noting,New
76,Q3 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Support for cloud based library,Worldshare,"R105 755,80",Sole Supplier,2023/01/27,Not Stated,Not Stated,,2023/01/27,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
77,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Remove damaged carpets,Mabena & Associates,"R132 491,50",Emergency,2023/01/27,Not Stated,Not Stated,,2023/01/27,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
78,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Profiling of Gardens,Travel Ideas,"R13 800,00",Sole Supplier,2023/01/06,Not Stated,Not Stated,,2023/01/06,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
79,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Profiling of Gardens,Johannesburg in your pocket,"R62 100,00",Sole Supplier,2023/01/06,Not Stated,Not Stated,,2023/01/06,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
80,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Removal of a stump,Bramland,"R45 080,00",Emergency,2023/01/06,Not Stated,Not Stated,,2023/01/06,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
81,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Supply of regeants consumables,LTC,"R953 350,00",Sole Supplier,2023/02/02,Not Stated,Not Stated,,2023/02/02,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
82,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Renewal of software,Raymond Rott,"R538 536,95",Sole Supplier,2023/02/07,Not Stated,Not Stated,,2023/02/07,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
83,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Training,The Proteus Initiative,"R36 000,00",Single,2022/07/12,Not Stated,Not Stated,,2022/07/12,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
84,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Alarm system repairs,AET,"R12 168,76",Emergency,2023/01/31,Not Stated,Not Stated,,2023/01/31,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
85,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",NVR camera surveilance system,supplier not appointed,"R300 000,00",Urgent,2023/01/27,Not Stated,Not Stated,,2023/01/27,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
86,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Lawnmower repairs,Lawnmower shop,"R3 538,26",Emergency,2023/02/14,Not Stated,Not Stated,,2023/02/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
87,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Supply of construction material,Shayimpi,"R16 779,07",Emergency,2023/02/14,Not Stated,Not Stated,,2023/02/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
88,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Repair Airconditioning unit,Airetronic,"R126 477,00",Emergency,2023/02/14,Not Stated,Not Stated,,2023/02/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
89,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Security guard,Sun Rise security,"R16 107,73",Emergency,2023/02/14,Not Stated,Not Stated,,2023/02/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
90,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Bioshere digitization,Bioshere digitization,"R3 316 964,00",Sole Supplier,2022/09/09,Not Stated,Not Stated,,2022/09/09,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
91,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Servicig of lifts,Schindler,"R500 000,00",Single supplier,2022/09/07,Not Stated,Not Stated,,2022/09/07,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
92,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Servicig of lifts,Otis,"R184 522,60",Single supplier,2022/09/05,Not Stated,Not Stated,,2022/09/05,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
93,Q4 2022/23,2023/02/16,"South African National Biodiversity
Institute (SANBI)",Servicig of lifts,Kone,"R521 948,89",Single supplier,2022/11/23,Not Stated,Not Stated,,2022/11/23,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
94,Q4 2022/23,2023/02/07,South African Weather Service,"Servicing and supply of spares for
TEKRAN,Teledyne, PCF Electronica
and Opsis air quality moniyoring
instrumnts for a period of three years",C&M consulting Engineers,"R4 200 000,00","SAWS is required to enter into a service contract with
a service provider who can repair and provide spares
for Tekran, Teledyne, PCF electronica and Opsis
instruments. These instruments are imported and
distributed exclusively in South Africa by C&M
Consulting Engineers, the sole distribitor of Tekran",2023/01/24,Not Stated,Not Stated,,2023/01/24,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
95,Q4 2022/23,2023/02/02,"South African National Parks
(SANParks)",Replace six batteries,ATM Auto Elektries (EDMS) BPK,"R28 572,90",Urgent,2023/01/05,Once Off,Once Off,,2023/01/05,Once Off,Once Off,,Within AA/AO mandate Noting,New
