row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
12,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Service & maintenance of Hazmat carbon impregnation,TF Design (Pty) Ltd,"R 389 646,44","TF Design (Pty) Ltd is the developer (Original Equipment Manufacturer) of Hazmat's
carbon impregnation system.",2023/10/16,2023/10/02,2023/11/30,,
13,"Q3
2023
/24","2023
/10/
16","Armaments Corporation
of South Africa SOC Ltd
(ARMSCOR)",To participate in ILC 23-106,Inspec International,"R 691,20","INSPEC International Ltd periodically provides a Proficiency
Test service for various tests of different respiratory protection
equipment. From an Internet search analysis, it was
established that INSPEC International Ltd is the only facility
in the world that currently provides this service.",2023/10/16,"2023/10
/06",2023/10/30,,
14,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",To programme the high voltage unit integrating to Labview.,X-Link CC,"R 10 870,00","X-Link Systems CC supplied Protechnik Laboratory with customized make equipment
as per national and international test specification, this also includes automation of
equipment and interfacing various equipment to create a sustainable scientific
systems.",2023/10/16,2023/10/09,2023/11/17,,
15,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Tax Practitioner services,Erifin FMS (Pty) Ltd,"R 1 000 000,00","The handover of the Armscor SARS profile to finance is at an advanced stage which
requires a tax practioner with Armscor tax matters to finanlise the handover and
requires face to face adhoc interaction with SARS. Ceiling amount of R1 000 000.00",2023/10/16,2023/10/05,2023/10/04,,
16,Q3 2023/24,2023/10/16,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",To programme the high voltage unit integrating to Labview.,Capotex Construction,"R 10 870,00","X-Link Systems CC supplied Protechnik Laboratory with customized make equipment
as per national and international test specification, this also includes automation of
equipment and interfacing various equipment to create a sustainable scientific
systems.",2023/10/16,2023/10/09,2023/11/17,,
17,Q3 2023/24,2023/09/25,Border Management Agency,Training of 400 Junior boarder guard trainees & the onboarding of 50 coast guards for a period of two hundred and five (205) days,Road Traffic Management Corporation (RTMC),"R 38 159 010,00","Due to the South African Police Service and the Department of correctional Services
inability to accommodate the Border Guards as they have learners that are currently
training",2023/09/11,2023/09/12,2024/03/31,,
18,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Asset Auditor Licenses & Professional Services,Digital Matter (Pty) Ltd,"R 64 319,50","Procurement of Asset Auditor licenses, training & professional services",2023/10/03,2023/10/01,2024/09/30,,
19,Q3 2023/24,2023/11/07,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",BUSA Webtool,Tenaka's Tribe Production,"R 363 975,00","Maintenance & Support including the faciliation of transfer for the hosting of the
CCMA/BUSA Webtool & mobile APP to reside within the CCMA Cloud Tenant",2023/10/03,Not indicated,Not indicated,,
20,Q3 2023/24,2023/12/08,"Commission for Conciliation, Mediation and
Arbitration (CCMA)",Annual Payment to (IODSA) for membership fees,Institute of Directors South Africa (IoDSA,"R 13 990,00",Single source,2023/11/24,Once off,Not indicated,,
21,Q3 2023/24,2023/10/14,Council for Geoscience (CGS),Appointment of a service provider for the supply of Picarro equipment to support geoenvironmental baseline Investigations on the CCUS project,Elemental Analytics (Pty) Ltd,"R 2 354 613,50",Prefered Supplier,2023/10/13,Not Stated,Not Stated,,
22,Q3 2023/24,2023/12/05,Council for Geoscience (CGS),Appointment of Environment al Officer for Implimentation of social and environment plan,Nemai Consulting,"R 1 040 543,00",Continuity of service,Not indicated,Not indicated,Not indicated,,
23,Q3 2023/24,2023/09/14,Council for Geoscience (CGS),"supply, deliver, and install an additional fence adjacent to the CCS pilot project site",Spec Africa Holdings (Pty) Ltd,"R 3 951 036,69",Single source,2023/09/13,Not stated,Not stated,,
24,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Procurement of booth space for exhibition at AI Africa Expo,AI Media (Pty) Ltd,"R 115 000,00",Sole supplier,2023/08/21,2023/08/21,2023/08/21,,
25,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Annual Subscription for One [1] STAR-CCM+ Power Session (unlimited Cores),Aerotherm Computational Dynamics CC,"R 1 672 675,00",Sole supplier,2023/08/17,2023/09/29,2024/09/28,,
26,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Procurement of 25 paid annual subscriptions for the GitLab,GitLab Inc,"R 191 318,40",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
27,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",CSIR participation at the Smarter Mobility Africa summit 1 - 3 October 2023,Spintelligent (Pty) Ltd,"R 159 079,50",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
28,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal of Quantec EasyData Annual Subscription (01 September 2023 – 31 August 2024),Quantec Enterprises,"R 472 469,45",Sole supplier,2023/09/28,2023/09/28,2024/08/31,,
29,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Repair / Calibration of Equipment,Protea Electronics (Pty) Ltd,"R 106 791,82",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
30,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",LCO2 back up and UPS for ultra-freezer,ESCO Technologies (Pty) Ltd,"R 76 523,30",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
31,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",CSIR participation at the AI Expo Africa 2023,AI Media (Pty) Ltd,"R 115 000,00",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
32,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Procast software license renewal,ESI Group,"R 827 596,00",Sole supplier,2023/09/18,2023/09/18,2024/08/15,,
33,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Annual maintenance and Support for Flownex software,M-Tech Industrial (Pty) Ltd,"R 158 029,83",Sole supplier,2023/09/22,2023/09/22,2024/07/31,,
34,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",9m camera cable (total cable length with head connected 10m) Part No.: MH6-CBL-9M,ECM Technologies (Pty) Ltd,"R 74 317,60",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
35,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)","Procurement of Acetone, 1-propanol, toluene, ethanol, methanol, xylene and benzene gas cylinders",National Metrology Institute of South Africa - NMISA,"R 72 874,21",Sole supplier,2023/09/27,2023/09/27,2023/09/27,,
36,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Repairs of the Aeroswift scanner,SCANLAB GmbH,"R 226 020,34",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
37,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Assessment & Technical report,Novatech (Pty) Ltd,"R 610 665,88",Sole supplier,2023/10/03,2023/10/03,2023/10/03,,
38,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Talkwalker platform for open-source intelligence in the National Policy Data Observatory,Talkwalker SARL,"R 955 962,00",Sole supplier,2023/09/15,2023/10/11,2023/10/10,,
39,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",He CD Laser,Marktec Corporation,"R 296 359,02",Sole supplier,2023/10/02,2023/10/02,2023/10/02,,
40,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Analog module faulty channel,Siemens (Pty) Ltd,"R 32 908,00",Sole supplier,2023/10/13,2023/10/13,2023/10/13,,
41,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)","MSO24 2-BW-200 TEKTRONIX Installed Option; 200MHz Bandwidth, 4 Channel",Tamashi Technology Investment (Pty) Ltd,"R 85 627,05",Sole supplier,2023/09/18,2023/09/18,2023/09/18,,
42,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",HEPA exhaust filters for biosafety cabinet,Vacutec (Pty) Ltd,"R 65 074,74",Sole supplier,2023/09/27,2023/09/27,2023/09/27,,
43,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",3 Year licence lease for MADYMO,Siemens Industry Software SA (Pty) Ltd,"R 1 294 992,00",Sole supplier,2023/09/26,2023/09/26,2023/09/26,,
44,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",CSIR participation at the Manufacturing Indaba,Manufacturing Indaba (Pty) Ltd,"R 267 616,50",Sole supplier,2023/09/22,2023/09/22,2023/09/22,,
45,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)","LLO-QSYNTH_1ms 2U VME Quad Frequency Synthesiser - Metronome Upgrade ,Metronome QS - 100MHz-20GHz",Lochtron (Pty) Ltd,"R 450 455,00",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
46,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Joint purchase of a Waters Synapt G2 XS Mass Spectrometer with the University of Johannesburg,MicroSep (Pty) Ltd,"R 3 000 000,00",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
47,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",CDS 7550S Thermal Desorption Autosampler,CHROMSPEC cc,"R 933 800,00",Sole supplier,2023/09/28,2023/09/28,2023/09/28,,
48,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Exhibiting on a 6 x 3 m stand and there will be speakers’ opportunities for NCPC-SA on the programme.,Professional Exhibition Solutions cc,"R 98 440,00",Sole supplier,2023/10/05,2023/10/05,2023/10/05,,
49,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Ibind flex starter kit,LTC Tech South Africa (Pty) Ltd,"R 63 113,73",Sole supplier,2023/10/16,2023/10/16,2023/10/16,,
50,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Replacement and install plates and gaskets in existing frame,Compact Cool Cooling Unit Manufacturers (Pty) Ltd,"R 147 200,00",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
51,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Evotips (desalting C18 trap columns) for operation of Evosep One liquid chromatography (LC) system,PROMOLAB (Pty) Ltd,"R 82 239,26",Sole supplier,2023/10/05,2023/10/05,2023/10/05,,
52,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",405 nm diode laser,Oxxius SA,"R 150 945,97",Sole supplier,2023/10/10,2023/10/10,2023/10/10,,
53,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)","HBDI Assessments, Reports, Training Manuals and Platform",HED Hermann International Africa Holdings (Pty) Ltd,"R 186 300,00",Sole supplier,2023/10/03,2023/11/01,2024/10/31,,
54,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Tyr testing and parametrisation in accordance with RSA-MIL-HDBK-62,Armaments Corporation of South Africa,"R 125 280,00",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
55,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Oracle Agreement Renewal 3844378 (2 Years),Oracle Corporation (South Africa) (Pty) Ltd,"R 1 559 553,58",Sole supplier,2023/10/03,2023/10/03,2025/09/29,,
56,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal of Presto Annual Subscription,Mindex Stelsels cc,"R 200 364,50",Sole supplier,2023/10/04,2023/11/01,2024/10/31,,
57,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Request for Emme Software maintenance renewal,Bentley Systems International Limited,"R 51 537,94",Sole supplier,2023/10/13,2023/10/13,2024/09/30,,
58,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Global hot press research report,Maia Research CO Limited,"R 61 847,50",Sole supplier,2023/10/04,2023/10/04,2023/10/04,,
59,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",SSAB EMEA Sweden / Finland,SSAB SA,"R 341 791,34",Sole supplier,2023/10/09,2023/10/09,2023/10/09,,
60,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",S6 Nova High Speed Cameras,ECM Technologies (Pty) Ltd,"R 1 717 824,00",Sole supplier,2023/10/12,2023/10/12,2023/10/12,,
61,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal of SuperPro Designer license.,INTELLIGEN Inc.,"R 370 942,00",Sole supplier,2023/10/06,2023/10/06,2024/10/05,,
62,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal of IEEE Annual Subscription (2023 – 2024),EBSCO International Inc,"R 2 134 748,81",Sole supplier,2023/10/12,2023/11/30,2024/11/29,,
63,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Stand furniture for Seoul ADEX Exhibition,Zero Design and Communication,"R 104 725,65",Sole supplier,2023/10/12,2023/10/12,2023/10/12,,
64,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",3D printing of Aluminium metal parts,Metal Heart (Pty) Ltd,"R 85 703,75",Sole supplier,2023/10/11,2023/10/11,2023/10/11,,
65,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Replace circuit breaker at Builiding 9,Buwesi Generator Cc,"R 145 364,90",Emergency procurement,2023/10/02,2023/10/02,2023/10/02,,
66,Q3 2023/24,2023/10/20,"Council for Scientific and Industrial Research
(CSIR)",Bulk Argon Gas,Air Product SA (Pty) Ltd,"R 3 744 126,58",Single Source,2023/08/15,2023/08/15,2024/08/14,,
67,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",The development of micro-heater platform,Incomar Aerospace and Defence Systems (Pty) Ltd,"R 777 400,00",Sole supplier,2023/10/23,2023/10/23,2023/10/23,,
68,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Mass spectrometer upgrade and extended warranty,Bruker South Africa (Pty) Ltd,"R 4 036 889,10",Sole supplier,2023/10/25,2023/10/25,2023/10/25,,
69,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Procurement of Inertial Navigation Systems (INS).,Underwater Surveys,"R 10 946 332,50",Sole supplier,2023/10/23,2023/10/23,2023/10/23,,
70,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)","Consumables, Safety equipment and small laser",Changchun New Industries Tech. Co. Ltd,"R 186 113,40",Sole supplier,2023/10/25,2023/10/25,2023/10/25,,
71,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Lab reagents (antibodies),Creative Biolabs Inc,"R 177 862,50",Sole supplier,2023/10/31,2023/10/31,2023/10/31,,
72,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Renewal of iThenticate Annual Subscription,Eiffel Corp (Pty) Ltd,"R 209 920,23",Sole supplier,2023/10/10,2023/11/08,2024/11/07,,
73,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)","Precitec YC52 150Q300 CAM OD laser cladding head and accessories, including off-axis nozzle, camera module, CAM GigE camera and software and crossjet and exhaust module",Precitec GmbH & Co. KG,"R 589 460,95",Sole supplier,2023/10/25,2023/10/25,2023/10/25,,
74,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Ion trapping,Toptica Photonics AG,"R 161 213,22",Sole supplier,2023/11/03,2023/11/03,2023/11/03,,
75,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Update of OLYMPUS Stream Essentials Version 1.8,Wirsam Scientific and Precision Equipment (Pty) Ltd,"R 43 662,05",Sole supplier,2023/10/20,2023/10/20,2023/10/20,,
76,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",DCAM Service,SKM Informatik GmbH,"R 71 753,76",Sole supplier,2023/10/20,2023/10/20,2023/10/20,,
77,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Laser Power supply,Gala Star CC,"R 151 277,90",Sole supplier,2023/11/06,2023/11/06,2023/11/06,,
78,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",The supply of critical spares for the CHPC TRANE Chillers,Service First Cape (Pty) Ltd,"R 52 224,95",Sole supplier,2023/10/23,2023/10/23,2023/10/23,,
79,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Combat boots for men and women,Dick Whittington Shoes (Pty) Ltd,"R 632 730,00",Sole supplier,2023/11/02,2023/11/02,2023/11/02,,
80,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Auriga Tip for Zeiss SEM,Carl Zeiss (Pty) Ltd,"R 127 208,40",Sole supplier,2023/10/23,2023/10/23,2023/10/23,,
81,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Service and maintenance of Catalytic Debinding furnace,Elnik Systems GmbH,"R 264 047,83",Sole supplier,2023/11/03,2023/11/03,2023/11/03,,
82,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)","20x Single-Board Computers: Production setup, and delivery of 20 units of DFI GHF51-EN-46R16 1.8-inch SBC’s",Centurion Micro Electronics (Pty) Ltd,"R 195 960,00",Sole supplier,2023/10/31,2023/10/31,2023/10/31,,
83,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",WIPL-D Software License and related equipmnet,WIPL-D DOO,"R 159 333,20",Sole supplier,2023/10/31,2023/10/31,2023/10/31,,
84,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",3D printing of components for testing validation by an industrial stakeholder,Metal Heart (Pty) Ltd,"R 63 825,00",Sole supplier,2023/10/25,2023/10/25,2023/10/25,,
85,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Carmenta Mapping Tools,Carmenta Geospatial Technologies AB,"R 100 481,87",Sole supplier,2023/11/02,2023/11/02,2023/11/02,,
86,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",RAPDASA Exhibition,"Rapid product Development Association of South African
NPC","R 203 300,00",Sole supplier,2023/10/30,2023/10/30,2023/10/30,,
87,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",The A-IoT Research Group (RG) wishes to procure a custom manufactured Computer Numerical Control (CNC) machine to augment the group’s infrastructure at Building 43,Angra Electric cc,"R 288 627,00",Sole supplier,2023/11/06,2023/11/06,2023/11/06,,
88,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Super Varia tunable filter,NKT photonics A/S,"R 199 710,00",Sole supplier,2023/11/02,2023/11/02,2023/11/02,,
89,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",YLS-2000-SM feeding fiber,Olicasize (Pty) Ltd,"R 3 369 409,46",Sole supplier,2023/10/31,2023/10/31,2023/10/31,,
90,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",TradeFair Space,Synergy Business Events (Pty) Ltd,"R 52 457,53",Sole supplier,2023/10/31,2023/10/31,2023/10/31,,
91,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",American Chemical Society (ACS) - Subscription Renewal (2023),"South African National Library and information Consortium
NPC","R 206 977,08",Sole supplier,2023/11/02,2023/11/02,2024/11/01,,
92,Q3 2023/24,2023/11/08,"Council for Scientific and Industrial Research
(CSIR)",Vector Network Analyser restored to extend useful life,Protea Electronics (Pty) Ltd,"R 789 175,10",Single supplier,2023/11/06,2023/11/06,2023/11/06,,
93,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",ADVA equipment fault,NEC XON Systems (Pty) Ltd,"R 91 867,51",Sole Source Supplier,2023/07/19,2023/07/19,2023/07/19,,
94,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Maintenance of evacuation chairs,Edwards & Buckley Systems (Pty) Ltd,"R 127 026,13",Sole Source Supplier,2023/08/30,2023/08/30,2023/08/30,,
95,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Microsoft 0365 E1 Sub Per User,Microsoft Ireland Operations limited,"R 59 051,00",Sole Source Supplier,2023/07/07,2023/07/07,2023/07/07,,
96,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)","The provision of laboratory services for the analysis of water/wastewater and sediment samples for the CSIR Durban Outfalls Monitoring project 2023/24: Sappi Dive Survey 2 and Sappi Dive
Survey 3",Eurofins Analytico B.V,"R 110 691,39",Sole Source Supplier,2023/04/07,2023/04/07,2023/04/07,,
97,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Direct Water Purification system service and repair,Merck Life Science (Pty) Ltd,"R 34 765,68",Sole Source Supplier,2023/09/12,2023/09/12,2023/09/12,,
98,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",CSIR participation in the annual Transport Evolution Africa Forum & Expo 20-22 September 2023,DMG Exhibition Management Services (Pty) Ltd,"R 161 000,00",Sole Source Supplier,2023/08/31,2023/08/31,2023/08/31,,
99,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal Of Oracle Agreement 18677417,Oracle Corporation (South Africa) (Pty) Ltd,"R 1 464 543,65",Sole Source Supplier,2023/11/09,2023/11/09,2025/08/24,,
100,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal Of Oracle Agreement 1954192,Oracle Corporation (South Africa) (Pty) Ltd,"R 2 006 281,85",Sole Source Supplier,2023/07/09,2023/07/09,2025/08/31,,
101,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal Of Oracle Agreement 3010252,Oracle Corporation (South Africa) (Pty) Ltd,"R 2 069 578,18",Sole Source Supplier,2023/07/09,2023/07/09,2025/08/31,,
102,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal Of Oracle Agreement 4381905,Oracle Corporation (South Africa) (Pty) Ltd,"R 1 154 067,57",Sole Source Supplier,2023/07/09,2023/07/09,2024/08/26,,
103,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Laser cladding nozzle,Fraunhofer Institute Lasertechnik,"R 161 443,10",Sole Source Supplier,2023/12/09,2023/12/09,2023/12/09,,
104,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",A new ultra high performance liquid chromatography (UHPLC) system (including maintenance plan) to be included onto current computer/software,Anatech Instruments (Pty) Ltd,"R 1 551 918,45",Sole Source Supplier,2023/04/09,2023/04/09,2023/04/09,,
105,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",The supply of the quarterly Opportunity Magazine to the CSIR,Global Africa Network Media (Pty) Ltd,"R 117 442,51",Sole Source Supplier,2023/01/09,2023/01/09,2023/01/09,,
106,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)","Ballistic glass processing to cut holes for OEM gunports, as well as the installation of the gunports",Special Vehicle Innovation (Pty) Ltd,"R 404 800,00",Sole Source Supplier,2023/08/29,2023/08/29,2023/08/29,,
107,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Dynamic and Static Shear Modulus tests on Aseismic bearing samples,Investmech (Pty) Ltd,"R 601 013,00",Sole Source Supplier,2023/09/11,2023/09/11,2023/09/11,,
108,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Coefficient of Friction Fixture for Tensile Instrument,ADI Scientific (Pty) Ltd,"R 61 518,22",Sole Source Supplier,2023/08/18,2023/08/18,2023/08/18,,
109,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Once off servicing of the Millipore and MilliQ used in the bioprocessing department to purify the water,Merck Life Science (Pty) Ltd,"R 33 169,89",Sole Source Supplier,2023/09/08,2023/09/08,2023/09/08,,
110,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)",Single photon detector,Laser Components GMBH,"R 132 904,96",Sole Source Supplier,2023/08/30,2023/08/30,2023/08/30,,
111,Q3 2023/24,2023/09/20,"Council for Scientific and Industrial Research
(CSIR)","Annual renewal of SAS Software Licenses for the period, 01 Sep 2023 - 31 Aug 2024",SAS Institute (Pty) Ltd,"R 133 773,52",Sole Source Supplier,2023/07/09,2023/07/09,2024/08/31,,
