row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
11,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of Access Control Software, Maintenance of Equipment, Spares and Consumable at
Medupi PS","Honeywell Automation and Control Solution South
Africa Pty Ltd","R3 387 503,25",Sole Source,2024/05/21,2024/06/01,2025/08/31,Reported,2024/05/21,2024/06/01,2025/08/31,Reported,,
12,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision of Station Cleaning Services,Hlaba4 Industrial (Pty) Ltd,"R6 162 073,66",Urgent Procurement,2024/05/24,2024/05/24,2024/09/24,Reported,2024/05/24,2024/05/24,2024/09/24,Reported,,
13,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Calibration of CEMS equipment,Elemental Analytics,"R1 033 160,00",Urgent Procurement,2024/06/04,2024/06/05,2025/02/28,Reported,2024/06/04,2024/06/05,2025/02/28,Reported,,
14,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Installation of the cooling water recovery system at the back of the Matla coal staithe to pump
uncontaminated water back to the cooling water system",Brimis Engineering,"R8 264 268,52",Urgent Procurement,2024/06/07,2024/06/10,2024/10/31,Reported,2024/06/07,2024/06/10,2024/10/31,Reported,,
15,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Supply HP bypass oil purifiers, electrical extension cords, pipe work, all fittings, including filters",Inkanyezi Mining and Industrial Supply,"R5 434 900,05",Urgent Procurement,2024/05/13,2024/06/07,2025/05/31,Reported,2024/05/13,2024/06/07,2025/05/31,Reported,,
16,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Refurbishment, supply, delivery of dome valves and SSC spares on as and when required basis at
Kusile Power Station for period of five 5 years",Rula Bulk Materials Handling,"R378 360 891,51",Sole Source,2023/07/11,2024/06/05,2029/06/04,Reported,2023/07/11,2024/06/05,2029/06/04,Reported,,
17,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Unit 2D and 4D Mill coal Feed box Removal, Repair, Install and alignment",John Thompson a Division of Actom,"R1 048 412,89",Urgent Procurement,2024/06/06,2024/06/06,Once Off,Reported,2024/06/06,2024/06/06,Once Off,Reported,,
18,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision of Repairs of Centrifugal and Radial cooling fans at Arnot Power Station,Howden Africa (Pty) Ltd,"R1 005 032,66",Sole Source,2024/06/07,2024/06/07,2024/08/30,Reported,2024/06/07,2024/06/07,2024/08/30,Reported,,
19,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Kusile operations and maintenance of AUX Boilers,Mitsubishi Power Africa (Pty) Ltd,"R12 528 409,35",Urgent Procurement,2024/06/12,2024/06/12,2024/08/12,Reported,2024/06/12,2024/06/12,2024/08/12,Reported,,
20,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Repair PF Pipe, Hangers and Support at Unit 6 as per Engineering scope of work",Ceezas Mechanical Works,"R4 048 759,00",Urgent Procurement,2024/06/10,2024/06/13,2024/06/21,Reported,2024/06/10,2024/06/13,2024/06/21,Reported,,
21,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Supply and delivery of Boiler Shields, Plates, Jubilee, Clamps, Retainer brackets and Stopper blocks",Enymas (Pty)Ltd,"R33 027 360,43",Urgent Procurement,2024/06/11,2024/06/17,2025/05/30,Reported,2024/06/11,2024/06/17,2025/05/30,Reported,,
22,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Supply of U4 Welland & Tuxhorn Valves Spares,Kulkoni SA,"R53 078 278,75",Urgent Procurement,2024/06/13,2024/08/30,2024/09/26,Reported,2024/06/13,2024/08/30,2024/09/26,Reported,,
23,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Design Review and Dam Safety Evaluation,SRK Consulting (South Africa),"R5 983 035,43",Urgent Procurement,2024/06/12,2024/06/13,2025/05/15,Reported,2024/06/12,2024/06/13,2025/05/15,Reported,,
24,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Rent a Mobile Purifier for a Week,Ayandebo Services,"R309 120,00",Urgent Procurement,2024/06/11,2024/06/11,2024/06/25,Reported,2024/06/11,2024/06/11,2024/06/25,Reported,,
25,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Civil and Structural repairs at Medupi Unit 4,Concor Construction (Pty) Ltd,"R20 718 122,16",Single Source,2024/06/03,2024/06/17,2024/12/16,Reported,2024/06/03,2024/06/17,2024/12/16,Reported,,
26,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Ash Settling Sump Construction,ERMEC (Pty) Ltd,"R1 365 915,95",Urgent Procurement,2024/05/27,Not Stated,Not Stated,Reported,2024/05/27,Not Stated,Not Stated,Reported,,
27,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Field service, Valves repairs and Supply",KSB Pumps and Valves,"R516 822 819,79",Sole Source,2023/12/19,2024/06/13,2029/06/12,Reported,2023/12/19,2024/06/13,2029/06/12,Reported,,
28,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"To hire four (4) 1600CFM oil free mobile diesel compressors with
driers including weekly maintenance and inspections for four
months",Lete Trading Enterprise,"R10 637 408,00",Urgent Procurement,2024/05/31,2024/06/13,2024/09/13,Reported,2024/05/31,2024/06/13,2024/09/13,Reported,,
29,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,To provide Maintenance services on the fire Detection,SMTC Projects,"R5 536 653,15",Urgent Procurement,2024/06/13,2024/06/14,2024/12/30,Reported,2024/06/13,2024/06/14,2024/12/30,Reported,,
30,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Provision of full maintenance at units 2,3,4,5 & 6 and spares supply including gases at Medupi Power
Station",Boitshepo Systems,"R5 285 880,87",Urgent Procurement,2024/06/13,2024/06/13,2024/08/12,Reported,2024/06/13,2024/06/13,2024/08/12,Reported,,
31,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,U4 MOP & Gearbox Repairs,Siemens Energy,"R12 388 796,18",Urgent Procurement,2024/06/07,Not Stated,Not Stated,Reported,2024/06/07,Not Stated,Not Stated,Reported,,
32,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Refurbishment of fans, pumps, valves at Matla Power Station",Intsika Investments 101,"R16 021 800,00",Urgent Procurement,2024/06/05,2024/06/11,2025/06/10,Reported,2024/06/05,2024/06/11,2025/06/10,Reported,,
33,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Refurbishment of gearbox conveyors, drive fluids, fan vacuums",Kings Ville Holdings,"R17 243 845,20",Urgent Procurement,2024/06/05,2024/06/12,2025/06/11,Reported,2024/06/05,2024/06/12,2025/06/11,Reported,,
34,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Supply of 4 diesel compressors (1600 CFM) and 4 oil free driers,Rand Air South Africa,"R2 545 782,00",Urgent Procurement,2024/06/07,2024/06/14,2024/07/13,Reported,2024/06/07,2024/06/14,2024/07/13,Reported,,
35,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"Refurbishment and Supply of 12.9 E Mill Tension Rams for a period of 8 months on Boiler 1 to 6 at
Matla Power Station",EnFlo Tech (Pty) Ltd,"R10 247 095,70",Urgent Procurement,2024/05/27,2024/06/13,2025/02/12,Reported,2024/05/27,2024/06/13,2025/02/12,Reported,,
36,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,ROSA license for fuel management code system at Koeberg,Nuclear Research & Consultancy Group,"R14 338 953,25",Sole Source,Not stated,Not Stated,Not Stated,Reported,Not stated,Not Stated,Not Stated,Reported,,
37,Q2 2024/25,2024/06/24,Community Schemes Ombud Service (CSOS),"Procurement of VIP Table Package from Topco Media and Communications for the Top
Empowerment Awards in July.",Topco Media and Communications,"R96 600,00","The CSOS has been nominated for the Public Sector Leader Award, as
such, the purchasing of a VIP Table for attendance to the awards will boost
the organisation’s branding and visibility as CSOS requires to have a
constant brand presence in the market. The organisation is currently running
a brand awareness campaign in the country to increase its presence to
ensure that all stakeholders are educated in relation to the CSOS’ mandate,
its core service offerings and how the public can access its service. It is
against this background to deviate from normal supply chain processes and
purchase a VIP Table Package from Topco Media and Communications.",2024/06/24,Once Off,Once Off,Reported,2024/06/24,Once Off,Once Off,Reported,,
38,Q2 2024/25,2024/06/24,Community Schemes Ombud Service (CSOS),Procurement of caseware Training for the Senior budget accountants.,Adapt IT,"R34 202,68","Adapt IT Pty Ltd is the Sole Source with no competition in the market and is
the only supplier to provider for Caseware training",2024/06/21,Once Off,Once Off,Reported,2024/06/21,Once Off,Once Off,Reported,,
39,Q2 2024/25,2024/06/24,Community Schemes Ombud Service (CSOS),"Procurement of the annual renewal of Teammate software license and payment of
additional licenses.","Wolters Kluwer Tax and Accounting Southern Africa
(Pty) Ltd","R56 058,60","Wolters Kluwer Tax and Accounting Southern Africa (Pty) Ltd is the Sole
Source with no competition in the market and is the only supplier to provide
team mate license",2024/06/01,2024/06/01,2025/05/31,Reported,2024/06/01,2024/06/01,2025/05/31,Reported,,
40,Q2 2024/25,2024/06/28,"National Home Builders Registration Council
(NHBRC)",Application Fee and Document review,South African National Acrreditation System (SANAS),"R13 423,00",Impractical impossible,2024/06/26,Once Off,Once Off,Reported,2024/06/26,Once Off,Once Off,Reported,,
41,Q2 2024/25,2024/06/24,Social Housing Regulatory Authority (SHRA),Emergency procurement of security services for Sondela,G3 Special Operations,"R159 908,81","Sondela Village is currently compromised. To stabilize the situation, we
recommend increasing the security deployment to at least 10 guards per
shift, supported by armed guards and a reaction vehicle.",2024/06/20,Once Off,Once Off,Reported,2024/06/20,Once Off,Once Off,Reported,,
42,Q2 2024/25,2024/06/24,Social Housing Regulatory Authority (SHRA),Emergency procurement of legal firm to oppose an application,Nothemba George Attorneys,"R500 000,00","Appointment of an attorney to assist with preparing and filing papers in court
for capital city",2024/06/21,Once Off,Once Off,Reported,2024/06/21,Once Off,Once Off,Reported,,
43,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Procurement of datawarehouse automation tool,Direct Insight Consulting (Pty) Ltd,"R 8 146 518,13","Direct Insight Consulting (Pty) Ltd is contracted currentyly for QLik sense
analytics, QLik data warehouse automation tool is procured to esnure
standardisation.",2024/04/25,2024/04/25,2027/04/30,Reported,2024/04/25,2024/04/25,2027/04/30,Reported,,
44,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",The Supply and Delivery of Blast Overpressure Sensors,TANDM Technologies (Pty) Ltd,"R 109 503,00","TANDM Technologies (Pty) Ltd is the Sole Supplier and Official Distributor
of PCB Sensors in South Africa",2024/05/30,2024/05/30,2024/07/10,Reported,2024/05/30,2024/05/30,2024/07/10,Reported,,
45,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Refurbishment of Ultrasonic Broken Rail Detector (UBRD) Electronic Components and Enclosures,Circor Solutions (Pty) Ltd,"R 52 840,00","Circor Solutions (Pty) Ltd is the sole supplier and approved supplier to
conduct UBRD electronic assemblies as per approval obtained from
Armsocr EXCO on 30 May 2023",2024/06/04,2024/07/12,2024/07/12,Reported,2024/06/04,2024/07/12,2024/07/12,Reported,,
46,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Creation of custom software to emulate TSI terminal on Personal Computer (PC),X-Link Systems CC,"R69 600,00","X-Link Systems CC supplied Protechnik Laboratory with customized make
equipment as per national and international test specification, this also
includes automation of equipment and interfacing various equipment to
create a sustainable scientific systems.",2024/05/06,2024/05/06,2024/05/06,Reported,2024/05/06,2024/05/06,2024/05/06,Reported,,
47,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Maintenance spares for 400 Mega Hertz Nuclear Magnetic Resonance Spectrometer (400mHZ
NMR)",Chemetrix Export (Pty) Ltd,"R 96 000,00","Chemetrix Export (Pty) Ltd is the accredited sole supplier source by Original
Equipment Manufacturer (OEM) Agilent Technologies International Sarl for
Agilent equipment.",2024/06/12,2024/06/12,2024/07/25,Reported,2024/06/12,2024/06/12,2024/07/25,Reported,,
48,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Scheduled service for 400 Mega Hertz Nuclear Magnetic Resonance Spectrometer (400mHZ NMR),Chemetrix Export (Pty) Ltd,"R19 880,00","Chemetrix Export (Pty) Ltd is the accredited sole supplier source by Original
Equipment Manufacturer (OEM) Agilent Technologies International Sarl for
Agilent equipment.",2024/06/12,2024/06/12,2024/07/25,Reported,2024/06/12,2024/06/12,2024/07/25,Reported,,
49,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Replacement of a burst Kitchen Geyser,Ernest Plumbers CC,"R 15 467,59","An Urgent Sourcing to replace a burst geyser at Protechnik Laboratories'
Kitchen.",2024/06/24,2024/06/24,2024/07/02,Reported,2024/06/24,2024/06/24,2024/07/02,Reported,,
50,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Cooling tower water pump assembly,Horizen Holdings (Pty) Ltd,"R43 500,00","Urgent Procurement of cooling tower water pump as the pump was burnt
out during power failure that Gerotek Test Facilities experienced on 5 May
2024",2024/05/17,2024/05/17,2024/05/22,Reported,2024/05/17,2024/05/17,2024/05/22,Reported,,
51,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)","Calibration of National Instruments (NI) data acquisition card and procurement of LABVIEW
application builder software subscription for the period of June 2024 to November 2026",Test Dynamics Defense (Pty) Ltd,"R 84 820,00","Test Dynamics Defense (Pty) Ltd is the only representative of the National
Instruments calibration laboratory in South Africa, sole suppier and
appointed agent of the Original Equipment Manufacturer (OEM) in Hungary
as per approval obtained from Armscor EXCO on 30 May 2023",2024/06/25,2024/06/25,130-Nov-2026,Reported,2024/06/25,2024/06/25,130-Nov-2026,Reported,,
52,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Replacement of a controller board on the TSI Certi Tester,AMS Laboratory Technologies (Pty) Ltd (AMSLT),R238 181.50,"AMS Laboratory Technologies (Pty) Ltd (AMSLT) is the local agent TSI
Incorporated based in the United States of America. The current equipment
in service are the TSI CertiTest for particle penetration test for filters, the
Laser Photometer for mask leakage tests and the nanoparticle detector.
Furthermore, additional SDL Atlas equipment such as the Martindale
Abrasion Tester, Crockmeter, Pneumatic Dumbbell Cutter and an Auto-
buster were procured from AMSLT. Currently, AMSLT is the only supplier of
these spares and they can assist with the technical support of all the
equipment.",2024/06/27,2024/06/27,2024/07/25,Reported,2024/06/27,2024/06/27,2024/07/25,Reported,,
53,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Procurement of Small Arms Ammunition (SAA) Ball type,Denel SOC LTD T/A PMP,"R 51 805,50","Denel Pretoria Metal Pressings (PMP) is the sole supplier that can provide
the required ammunition as they are the Original Equipment Manufacturer
(OEM)",2024/06/27,2024/06/27,2024/07/26,Reported,2024/06/27,2024/06/27,2024/07/26,Reported,,
54,Q2 2024/25,2024/07/03,"Armaments Corporation of South Africa SOC Ltd
(ARMSCOR)",Purchasing of Suprasolv.,Merck Life (Pty) Ltd,"R 53 591,28","Merck (Pty) Ltd is a sole supplier for Gas Chromatograph Mass
Spectrometer Suprasolv in South Africa.",2024/07/02,2024/07/02,2024/09/30,Reported,2024/07/02,2024/07/02,2024/09/30,Reported,,
55,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Pump Raw Water,APE Pumps,"R6 228 214,07",Urgent Procurement,2024/05/23,2024/05/23,2024/11/21,Reported,2024/05/23,2024/05/23,2024/11/21,Reported,,
56,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Yellow Plant Hire,Risiva Mnotho Business Enterprise,"R6 228 214,07",Urgent Procurement,2024/05/07,2024/05/07,2025/05/31,Reported,2024/05/07,2024/05/07,2025/05/31,Reported,,
57,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Boiler tubes for Unit 6 IR,Babcock Ntuthuko Engineering,"R6 228 214,07",Urgent Procurement,2024/05/09,2024/06/07,2024/09/30,Reported,2024/05/09,2024/06/07,2024/09/30,Reported,,
58,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Set: Rotating Throat; Mill 12.9E;8;STL,Enflotech,"R727 740,47",Sole Source,2024/05/06,2024/05/06,2024/06/28,Reported,2024/05/06,2024/05/06,2024/06/28,Reported,,
59,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Purchase of fuel bunker oil in bulk,Ennero SA (Pty) Ltd,"R6 228 214,07",Urgent Procurement,2024/03/24,2024/04/25,2024/05/24,Reported,2024/03/24,2024/04/25,2024/05/24,Reported,,
60,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply and Delivery of Zirconia Oxygen/Humidity Detector,Yokogawa South Africa (Pty) Ltd,"R6 228 214,07",Urgent Procurement,2024/04/27,2024/05/28,2024/05/28,Reported,2024/04/27,2024/05/28,2024/05/28,Reported,,
61,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Fire Proofing Unit 1-6 Cable Basement Area,Thataso Holdings (Pty) Ltd,"R6 228 214,07",Urgent Procurement,2024/05/06,2024/06/30,2024/09/30,Reported,2024/05/06,2024/06/30,2024/09/30,Reported,,
62,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply and Delivery of Vehicles,Gerpark Motors (TWK Toyota Piet Retief),"R6 228 214,07",Urgent Procurement,2024/05/16,2024/08/19,2024/09/09,Reported,2024/05/16,2024/08/19,2024/09/09,Reported,,
63,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Dust Plant Row 1 & 2 Performance Enhancement,CBZ Solutions,"R6 228 214,07",Urgent Procurement,2024/05/30,2024/06/03,2025/05/30,Reported,2024/05/30,2024/06/03,2025/05/30,Reported,,
64,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Urgent Procurement of FRF Oil moog filters,Izandra Trading 18,"R6 228 214,07",Urgent Procurement,2024/05/31,2024/01/06,2024/06/24,Reported,2024/05/31,2024/01/06,2024/06/24,Reported,,
65,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply of spare parts for Mill feeder clutches,Stone Stamcor (Pty) Ltd,"R6 228 214,07",Urgent Procurement,2024/06/03,2024/06/03,2024/07/18,Reported,2024/06/03,2024/06/03,2024/07/18,Reported,,
66,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Supply and deliver of grocery items for the period of one year to Kriel Power Station ECAS on an as
and required basis",Izimvelo Mining Labour and Plant Hire,"R6 228 214,07",Urgent Procurement,2024/05/30,2024/06/07,2025/05/06,Reported,2024/05/30,2024/06/07,2025/05/06,Reported,,
67,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Cable FBR Optic:Trailing;1;PVC;250 M & Fibre optic cable repair,Izandra Trading 18,"R6 228 214,07",Urgent Procurement,2024/06/03,2024/06/03,2024/06/30,Reported,2024/06/03,2024/06/03,2024/06/30,Reported,,
68,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Ash and slurry pumps,Weir Minerals (SA),"R6 228 214,07",Urgent Procurement,2024/05/31,2024/05/31,2024/07/31,Reported,2024/05/31,2024/05/31,2024/07/31,Reported,,
69,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Repair Voith Couplings,Voith Turbo (Pty) Ltd,"R6 228 214,07",Urgent Procurement,2024/05/31,2024/05/31,2024/09/30,Reported,2024/05/31,2024/05/31,2024/09/30,Reported,,
70,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Emergency response contract for hazardous substances rapid response and clean-up at Tutuka
Power Station",Rapid Onamandla,"R6 228 214,07",Urgent Procurement,2024/04/26,2024/06/05,2025/06/04,Reported,2024/04/26,2024/06/05,2025/06/04,Reported,,
71,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Unblocking of boiler drain blockage,Mpilonde Projects,"R6 228 214,07",Urgent Procurement,2024/04/24,2024/05/30,2024/06/30,Reported,2024/04/24,2024/05/30,2024/06/30,Reported,,
72,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Various sizes of Boiler Tubing,Boiler Steel Products and Engineering (Pty),"R6 228 214,07",Urgent Procurement,2024/05/30,2024/05/31,2024/09/30,Reported,2024/05/30,2024/05/31,2024/09/30,Reported,,
73,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply and delivery of Grease and Solvent,Big Struqtive Holdings,"R6 228 214,07",Urgent Procurement,2024/05/31,2024/05/31,2024/07/30,Reported,2024/05/31,2024/05/31,2024/07/30,Reported,,
74,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply of Lubricants,Mx Distributors,"R6 228 214,07",Urgent Procurement,2024/06/06,2024/06/06,2024/08/05,Reported,2024/06/06,2024/06/06,2024/08/05,Reported,,
75,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Supply and Delivery of Converter Signal,Voith Turbo (Pty) Ltd,"R890 847,41",Sole Source,2024/06/06,2024/06/06,2024/09/06,Reported,2024/06/06,2024/06/06,2024/09/06,Reported,,
76,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,To Sandblast 1st Stg Cooler Bucket,Ingersoll-Rand Company South Africa,"R72 073,95",Sole Source,2024/05/22,2024/06/24,2024/06/24,Reported,2024/05/22,2024/06/24,2024/06/24,Reported,,
77,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Assy: Seal Water Change Over Valve,John Crane,"R3 614 407,34",Sole Source,2024/05/23,2024/10/31,2024/10/31,Reported,2024/05/23,2024/10/31,2024/10/31,Reported,,
78,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Mineflex Lay flat,The Goal Projects,"R6 228 214,07",Urgent Procurement,2024/05/28,2024/05/28,2024/07/22,Reported,2024/05/28,2024/05/28,2024/07/22,Reported,,
79,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Security Uniform,Shali Safety,"R6 228 214,07",Urgent Procurement,2024/06/06,2026/06/06,2026/06/06,Reported,2024/06/06,2026/06/06,2026/06/06,Reported,,
80,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Actuator, Electric: Torque: 60 NM; Speed: 5-6 RPM; Potential: 380 V; Current: 2.5 A; Power: 0.046
KW; Enclosure Rating: IP67; Ratio: 8:1; Type: Motor; Model No: ARM 07-5",Auma South Africa,"R6 228 214,07",Urgent Procurement,2024/05/31,2024/06/03,2024/07/16,Reported,2024/05/31,2024/06/03,2024/07/16,Reported,,
81,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Provision for skills for restoration of Unit 4 at Medupi Power Station,General Electric Steam Power (Pty) Ltd,"R236 471 040,80",Sole Source,2024/05/20,2024/06/03,2024/09/02,Reported,2024/05/20,2024/06/03,2024/09/02,Reported,,
82,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Refurbishment, repair, and provision of the OEM spares to the boiler water circulation pumps
(BWCP) for Medupi",KSB Pumps and Valves (Pty) Ltd,"R619 526 750,71",Sole Source,2024/05/01,2024/06/13,2034/05/31,Reported,2024/05/01,2024/06/13,2034/05/31,Reported,,
83,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Refurbishment, repair, and provision of the OEM spares to the boiler water circulation pumps
(BWCP) for Majuba",KSB Pumps and Valves (Pty) Ltd,"R619 526 750,71",Sole Source,2024/05/01,2024/06/13,2034/05/31,Reported,2024/05/01,2024/06/13,2034/05/31,Reported,,
84,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Refurbishment, repair, and provision of the OEM spares to the boiler water circulation pumps
(BWCP) for Kriel",KSB Pumps and Valves (Pty) Ltd,"R619 526 750,71",Sole Source,2024/05/01,2024/06/13,2034/05/31,Reported,2024/05/01,2024/06/13,2034/05/31,Reported,,
85,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Refurbishment, repair, and provision of the OEM spares to the boiler water circulation pumps
(BWCP) for Tutuka",KSB Pumps and Valves (Pty) Ltd,"R619 526 750,71",Sole Source,2024/05/01,2024/06/13,2034/05/31,Reported,2024/05/01,2024/06/13,2034/05/31,Reported,,
86,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Refurbishment, repair, and provision of the OEM spares to the boiler water circulation pumps
(BWCP) for Duvha",KSB Pumps and Valves (Pty) Ltd,"R619 526 750,71",Sole Source,2024/05/01,2024/06/13,2034/05/31,Reported,2024/05/01,2024/06/13,2034/05/31,Reported,,
